z,U1D,U2D_axis,rel_error
-79.22,-9.623596700078923e-10,-9.62359636424992e-10,7.312239601818389e-19
-79.2,-9.63621092724633e-10,-9.636210718255711e-10,4.550498812055731e-19
-79.18,-9.64884520239414e-10,-9.648845056275945e-10,3.1815335663412237e-19
-79.16,-9.6614995630401e-10,-9.661499378310623e-10,4.022244027891625e-19
-79.14,-9.674174046782802e-10,-9.674173684359744e-10,7.891290553611787e-19
-79.12,-9.686868691301942e-10,-9.686869084646332e-10,8.564562342933817e-19
-79.1,-9.699583534358526e-10,-9.69958335872434e-10,3.824205893196511e-19
-79.08,-9.712318613795e-10,-9.712318727039815e-10,2.465758493680774e-19
-79.06,-9.725073967535562e-10,-9.725074079369733e-10,2.4350435821038223e-19
-79.04,-9.737849633586239e-10,-9.737849415714095e-10,4.743882465482756e-19
-79.02,-9.750645650035187e-10,-9.750645846295924e-10,4.273322203444634e-19
-79.0,-9.763462055052802e-10,-9.763462260892197e-10,4.481885028435535e-19
-78.98,-9.776298886892012e-10,-9.776298659502913e-10,4.951101776218427e-19
-78.96,-9.789156183888423e-10,-9.789156152351097e-10,6.866842382894723e-20
-78.94,-9.80203398446052e-10,-9.802033629213724e-10,7.735036756879624e-19
-78.92,-9.814932327109891e-10,-9.81493220031382e-10,2.760819493255646e-19
-78.9,-9.827851250421444e-10,-9.827850755428358e-10,1.0777830435674458e-18
-78.88,-9.840790793063572e-10,-9.840790404780364e-10,8.454361664544221e-19
-78.86,-9.853750993788362e-10,-9.853751148369838e-10,3.3658105183097043e-19
-78.84,-9.866731891431852e-10,-9.866731875973755e-10,3.365799486705959e-20
-78.82,-9.879733524914174e-10,-9.87973369781514e-10,3.764693587908188e-19
-78.8,-9.89275593323979e-10,-9.89275550367097e-10,9.353302198812192e-19
-78.78,-9.90579915549769e-10,-9.90579951398729e-10,7.805644604187302e-19
-78.76,-9.918863230861636e-10,-9.918863508318054e-10,6.041252512840968e-19
-78.74,-9.931948198590308e-10,-9.931948596886286e-10,8.672376727839119e-19
-78.72,-9.945054098027538e-10,-9.945053669468962e-10,9.331305406080249e-19
-78.7,-9.95818096860255e-10,-9.95818094651213e-10,4.809901705956132e-20
-78.68,-9.971328849830126e-10,-9.971329317792765e-10,1.018927762587369e-18
-78.66,-9.984497781310868e-10,-9.984497673087844e-10,2.3564155337390585e-19
-78.64,-9.997687802731327e-10,-9.997688232843416e-10,9.365131139859267e-19
-78.62,-1.0010898953864296e-09,-1.001089877661343e-09,3.8594069752872776e-19
-78.6,-1.0024131274568983e-09,-1.0024131524843938e-09,5.449411519666092e-19
-78.58,-1.0037384804791226e-09,-1.0037384257088888e-09,1.1925505807725316e-18
-78.56,-1.005065958456373e-09,-1.0050659193794331e-09,8.508495230008407e-19
-78.54,-1.0063955654006232e-09,-1.0063955224737242e-09,9.346773740743097e-19
-78.52,-1.0077273053325776e-09,-1.0077273460140646e-09,8.857864499629214e-19
-78.5,-1.0090611822816875e-09,-1.0090611679558492e-09,3.1192648910331917e-19
-78.48,-1.0103972002861754e-09,-1.0103972103436831e-09,2.1898914490015448e-19
-78.46,-1.011735363393058e-09,-1.0117353621552638e-09,2.6951356135361047e-20
-78.44,-1.013075675658163e-09,-1.0130756233905913e-09,1.1380583711165665e-18
-78.42,-1.014418141146156e-09,-1.014418105071968e-09,7.854685080823903e-19
-78.4,-1.0157627639305603e-09,-1.015762807199394e-09,9.421225584145792e-19
-78.38,-1.0171095480937791e-09,-1.0171095077282644e-09,8.789065655227834e-19
-78.36,-1.0184584977271142e-09,-1.0184585397254864e-09,9.144599114859395e-19
-78.34,-1.0198096169307926e-09,-1.0198095701241527e-09,1.0191536853293629e-18
-78.32,-1.0211629098139887e-09,-1.0211629319911708e-09,4.828792854585724e-19
-78.3,-1.02251838049484e-09,-1.0225184032819357e-09,4.961593596837751e-19
-78.28,-1.0238760331004788e-09,-1.0238759839964473e-09,1.069176397952601e-18
-78.26,-1.0252358717670452e-09,-1.0252358961793107e-09,5.315453179452148e-19
-78.24,-1.0265979006397174e-09,-1.0265979177859208e-09,3.733362707599702e-19
-78.22,-1.0279621238727254e-09,-1.0279621598385802e-09,7.831096945481589e-19
-78.2,-1.0293285456293827e-09,-1.0293285113149864e-09,7.471513356359326e-19
-78.18,-1.0306971700821016e-09,-1.0306971942597443e-09,5.264367128292621e-19
-78.16,-1.0320680014124212e-09,-1.032067986628249e-09,3.219061146121293e-19
-78.14,-1.0334410438110243e-09,-1.0334409994428029e-09,9.660602965362978e-19
-78.12,-1.034816301477764e-09,-1.0348163437257085e-09,9.198940254581795e-19
-78.1,-1.0361937786216863e-09,-1.036193797432361e-09,4.0957796628331162e-19
-78.08,-1.0375734794610504e-09,-1.0375734715850626e-09,1.714893870694763e-19
-78.06,-1.0389554082233568e-09,-1.0389553661838136e-09,9.153563576170065e-19
-78.04,-1.0403395691453612e-09,-1.0403395922509162e-09,5.030933980415607e-19
-78.02,-1.0417259664731092e-09,-1.0417259277417656e-09,8.433246139357133e-19
-78.0,-1.0431146044619468e-09,-1.0431145947009668e-09,2.1253263990364754e-19
-77.98,-1.0445054873765544e-09,-1.0445054821062172e-09,1.1475473604204669e-19
-77.96,-1.045898619490964e-09,-1.0458985899575168e-09,6.430523858664175e-19
-77.94,-1.0472940050885823e-09,-1.0472940292771682e-09,5.266749864647545e-19
-77.92,-1.048691648462217e-09,-1.0486916890428688e-09,8.835908951587192e-19
-77.9,-1.050091553914099e-09,-1.0500915692546187e-09,3.340198556463275e-19
-77.88,-1.0514937257559064e-09,-1.0514937809347202e-09,1.2014468802801461e-18
-77.86,-1.0528981683087824e-09,-1.052898213060871e-09,9.74418505932119e-19
-77.84,-1.054304885903369e-09,-1.0543048656330711e-09,4.413593637806405e-19
-77.82,-1.055713882879823e-09,-1.055713849673623e-09,7.230218052033973e-19
-77.8,-1.0571251635878415e-09,-1.0571251651825264e-09,3.472218891547543e-20
-77.78,-1.058538732386686e-09,-1.0585387011374792e-09,6.804108218935623e-19
-77.76,-1.0599545936452071e-09,-1.0599545685607836e-09,5.461806854768283e-19
-77.74,-1.0613727517418706e-09,-1.0613727674524398e-09,3.4207720394051363e-19
-77.72,-1.0627932110647695e-09,-1.0627931867901452e-09,5.285483599045745e-19
-77.7,-1.064215976011666e-09,-1.0642159375962024e-09,8.364467376977263e-19
-77.68,-1.0656410509900026e-09,-1.0656410198706112e-09,6.775842593551695e-19
-77.66,-1.0670684404169327e-09,-1.0670684336133718e-09,1.4813868786130905e-19
-77.64,-1.0684981487193367e-09,-1.068498178824484e-09,6.555004160129446e-19
-77.62,-1.0699301803338582e-09,-1.0699301444816456e-09,7.806352833147704e-19
-77.6,-1.0713645397069203e-09,-1.0713645526294613e-09,2.813715177698826e-19
-77.58,-1.0728012312947502e-09,-1.0728011812233262e-09,1.0902401106236527e-18
-77.56,-1.0742402595634047e-09,-1.0742402523078454e-09,1.5798036429096698e-19
-77.54,-1.0756816289888002e-09,-1.0756816548607162e-09,5.633273097983373e-19
-77.52,-1.0771253440567302e-09,-1.0771253888819388e-09,9.76010595989929e-19
-77.5,-1.0785714092628878e-09,-1.078571454371513e-09,9.82181625595003e-19
-77.48,-1.0800198291129016e-09,-1.080019851329439e-09,4.837361979239751e-19
-77.46,-1.081470608122352e-09,-1.0814705797557167e-09,6.176465754264551e-19
-77.44,-1.0829237508167955e-09,-1.0829237506726486e-09,3.1386128381117176e-21
-77.42,-1.0843792617317948e-09,-1.0843792530579321e-09,1.8886207371653664e-19
-77.4,-1.085837145412942e-09,-1.08583719793387e-09,1.1435748709066493e-18
-77.38,-1.0872974064158806e-09,-1.087297363255857e-09,9.397533616647417e-19
-77.36,-1.0887600493063351e-09,-1.0887600820908006e-09,7.138390802356192e-19
-77.34,-1.0902250786601346e-09,-1.090225132394096e-09,1.1699870968075783e-18
-77.32,-1.0916924990632355e-09,-1.091692514165743e-09,3.288374513526712e-19
-77.3,-1.0931623151117515e-09,-1.0931623384280442e-09,5.076819373354301e-19
-77.28,-1.094634531411975e-09,-1.0946344941586972e-09,8.111416570566905e-19
-77.26,-1.0961091525804087e-09,-1.0961092034023068e-09,1.1065807074405417e-18
