z,psi_1,psi_2,psi_3
42.519999999999996,5.535170811178053e-13,-1.2167625234274355e-12,0.11318203866540617
42.540000000000006,5.458754260273846e-13,-1.2004281858878082e-12,0.11322714922358762
42.56,5.383392823145744e-13,-1.1843131578997431e-12,0.11327217502338317
42.58,5.309071929433051e-13,-1.168414494512642e-12,0.11331711594964888
42.60000000000001,5.23577721001054e-13,-1.152729290327817e-12,0.11336197188731754
42.620000000000005,5.163494494208686e-13,-1.1372546789672034e-12,0.11340674272139885
42.64,5.092209807072331e-13,-1.1219878325492064e-12,0.11345142833697956
42.66,5.021909366657196e-13,-1.1069259611715949e-12,0.113496028619224
42.68000000000001,4.952579581363761e-13,-1.0920663124013358e-12,0.11354054345337401
42.7,4.884207047307972e-13,-1.07740617077129e-12,0.11358497272474942
42.72,4.816778545728276e-13,-1.0629428572836633e-12,0.11362931631874817
42.74000000000001,4.750281040428471e-13,-1.0486737289201355e-12,0.11367357412084667
42.760000000000005,4.684701675255904e-13,-1.0345961781585636e-12,0.1137177460165999
42.78,4.620027771614481e-13,-1.020707632496183e-12,0.11376183189164184
42.8,4.556246826012066e-13,-1.007005553979214e-12,0.11380583163168558
42.82000000000001,4.493346507641743e-13,-9.934874387387855e-13,0.1138497451225236
42.84,4.4313146559964976e-13,-9.801508165330967e-13,0.11389357225002812
42.86,4.370139278516855e-13,-9.669932502957251e-13,0.11393731290015117
42.879999999999995,4.309808548271021e-13,-9.540123356900095e-13,0.11398096695892505
42.900000000000006,4.2503108016670695e-13,-9.412057006694124e-13,0.11402453431246239
42.92,4.1916345361967216e-13,-9.285710050437953e-13,0.11406801484695643
42.94,4.1337684082103286e-13,-9.161059400515169e-13,0.1141114084486814
42.96000000000001,4.07670123072256e-13,-9.038082279372795e-13,0.11415471500399262
42.980000000000004,4.020421971248428e-13,-8.916756215356519e-13,0.11419793439932685
43.0,3.964919749669195e-13,-8.797059038601815e-13,0.11424106652120253
43.019999999999996,3.9101838361277736e-13,-8.678968876980298e-13,0.11428411125621998
43.040000000000006,3.856203648953191e-13,-8.562464152100525e-13,0.11432706849106161
43.06,3.802968752613741e-13,-8.447523575362534e-13,0.1143699381124923
43.08,3.7504688556983975e-13,-8.33412614406538e-13,0.11441272000735955
43.10000000000001,3.698693808926128e-13,-8.222251137566958e-13,0.11445541406259377
43.120000000000005,3.6476336031826976e-13,-8.111878113495427e-13,0.11449802016520849
43.14,3.597278367584608e-13,-8.002986904011538e-13,0.11454053820230069
43.16,3.5476183675697643e-13,-7.895557612121143e-13,0.11458296806105088
43.18000000000001,3.4986440030145367e-13,-7.789570608037285e-13,0.11462530962872362
43.2,3.4503458063768224e-13,-7.685006525591117e-13,0.11466756279266747
43.22,3.402714440864767e-13,-7.581846258691079e-13,0.11470972744031549
43.24000000000001,3.3557406986307827e-13,-7.480070957829602e-13,0.11475180345918529
43.260000000000005,3.3094154989905154e-13,-7.379662026636785e-13,0.11479379073687943
43.28,3.2637298866664163e-13,-7.280601118480325e-13,0.11483568916108557
43.3,3.2186750300555767e-13,-7.182870133111155e-13,0.11487749861957673
43.32000000000001,3.174242219521496e-13,-7.086451213354135e-13,0.11491921900021161
43.34,3.130422865709442e-13,-6.991326741843206e-13,0.11496085019093481
43.36,3.0872084978850895e-13,-6.897479337800374e-13,0.11500239207977699
43.38000000000001,3.044590762296106e-13,-6.80489185385802e-13,0.11504384455485525
43.400000000000006,3.0025614205563736e-13,-6.71354737292384e-13,0.11508520750437326
43.42,2.961112348052529e-13,-6.623429205087938e-13,0.11512648081662159
43.44,2.920235532372518e-13,-6.534520884571459e-13,0.11516766437997791
43.46000000000001,2.879923071755862e-13,-6.446806166716202e-13,0.1152087580829073
43.480000000000004,2.8401671735653253e-13,-6.360269025014701e-13,0.11524976181396242
43.5,2.800960152779703e-13,-6.274893648180162e-13,0.11529067546178377
43.519999999999996,2.762294430507421e-13,-6.190664437255805e-13,0.11533149891510006
43.540000000000006,2.7241625325206827e-13,-6.107566002763006e-13,0.11537223206272823
43.56,2.6865570878098495e-13,-6.025583161887761e-13,0.1154128747935739
43.58,2.6494708271578043e-13,-5.944700935704949e-13,0.11545342699663148
43.60000000000001,2.6128965817340025e-13,-5.864904546439881e-13,0.11549388856098461
43.620000000000005,2.5768272817079465e-13,-5.786179414766628e-13,0.11553425937580619
43.64,2.5412559548818105e-13,-5.708511157142655e-13,0.11557453933035869
43.66,2.506175725341964e-13,-5.631885583179245e-13,0.11561472831399451
