z,psi_1,psi_2,psi_3
-79.46,-2.8718234851363487e-44,-2.8243476296244294e-42,0.002429903036432597
-79.44,-2.9616576748014503e-44,-2.482486430404609e-42,0.0025198847177878127
-79.42,-3.051580777108971e-44,-2.1127401400117763e-42,0.002609864792573838
-79.4,-3.1407696290073147e-44,-1.718127575767536e-42,0.0026998432034232808
-79.38,-3.228386157771289e-44,-1.3019630163318393e-42,0.0027898198929698073
-79.36,-3.313508640151368e-44,-8.677462107087599e-43,0.002879794803848181
-79.34,-3.395110080586616e-44,-4.19083942358343e-43,0.0029697678786943
-79.32,-3.4720702121909265e-44,4.0452591917025374e-44,0.003059739060145234
-79.3,-3.543252672938503e-44,5.07443466603612e-43,0.0031497082908392596
-79.28,-3.607560990168131e-44,9.786759378947244e-43,0.003239675513415896
-79.26,-3.663930252822501e-44,1.45119439910974e-42,0.003329640670515943
-79.24,-3.7114009229446783e-44,1.9223005176405454e-42,0.0034196037047815185
-79.22,-3.7491209850352964e-44,2.3896357652790335e-42,0.003509564558856092
-79.2,-3.7762854118896903e-44,2.8512006085434962e-42,0.0035995231753845223
-79.18,-3.7921034055311557e-44,3.305347815022159e-42,0.0036894794970130976
-79.16,-3.7957965845163146e-44,3.7506548555527373e-42,0.0037794334663895654
-79.14,-3.786551543879616e-44,4.1857108976172065e-42,0.0038693850261631744
-79.12,-3.763491495987765e-44,4.608989082927493e-42,0.003959334118984711
-79.1,-3.7256791610266924e-44,5.018837748402117e-42,0.004049280687506533
-79.08,-3.672123676300991e-44,5.413376178459981e-42,0.004139224674382609
-79.06,-3.601735091751561e-44,5.790383910283885e-42,0.004229166022268551
-79.04,-3.513366465174641e-44,6.147229323158416e-42,0.004319104673821656
-79.02,-3.4058566767726825e-44,6.480893997418265e-42,0.004409040571700939
-79.0,-3.2781378848419566e-44,6.788100137036974e-42,0.004498973658567168
-78.98,-3.12936037068045e-44,7.065390725305179e-42,0.0045889038770829055
-78.96,-2.9590059380134787e-44,7.309149959252766e-42,0.004678831169912543
-78.94,-2.76692182211857e-44,7.515734053841178e-42,0.004768755479722336
-78.92,-2.553433158260397e-44,7.681666614939168e-42,0.004858676749180443
-78.9,-2.319380548480342e-44,7.803822052130264e-42,0.004948594920956959
-78.88,-2.0661467960283204e-44,7.87950724923309e-42,0.0050385099377239576
-78.86,-1.7956456237985183e-44,7.906578538090614e-42,0.005128421742155521
-78.84,-1.5102362307077658e-44,7.883482219303456e-42,0.005218330276927778
-78.82,-1.2126352596314097e-44,7.809194130787876e-42,0.005308235484718943
-78.8,-9.05762605775127e-45,7.683289889374117e-42,0.005398137308209352
-78.78,-5.926492701146916e-45,7.505920747271147e-42,0.005488035690081502
-78.76,-2.7626558005456027e-45,7.277806653937596e-42,0.005577930573020079
-78.74,4.0578383081042175e-46,7.000155109834462e-42,0.005667821899712001
-78.72,3.552448707082842e-45,6.674680224360846e-42,0.005757709612846456
-78.7,6.652421753856388e-45,6.303537638904836e-42,0.005847593655114932
-78.68,9.681527956484396e-45,5.889359507339828e-42,0.005937473969211258
-78.66,1.2616333185669389e-44,5.4352716291023595e-42,0.00602735049783164
-78.64,1.5433685788681049e-44,4.944841142251799e-42,0.0061172231836747
-78.62,1.8110568312512436e-44,4.4219386537784597e-42,0.006207091969441507
-78.6,2.0623847153416626e-44,3.870724573166609e-42,0.006296956797835616
-78.58,2.2950232016635873e-44,3.295579487844471e-42,0.006386817611563111
-78.56,2.506720834920165e-44,2.700944697572957e-42,0.006476674353332626
-78.54,2.695439720452253e-44,2.0911477423087376e-42,0.006566526965855397
-78.52,2.859424649685497e-44,1.4702225526861274e-42,0.0066563753918452906
-78.5,2.997255524372917e-44,8.418561093990294e-43,0.006746219574018847
-78.48,3.1078853049331064e-44,2.094587542284992e-43,0.006836059455095307
-78.46,3.190628569995236e-44,-4.2375699574251226e-43,0.006925894977796655
-78.44,3.2450853444062983e-44,-1.0547558001626828e-42,0.007015726084847651
-78.42,3.2710369365419674e-44,-1.6807276781314084e-42,0.007105552718975876
-78.4,3.2683367811444025e-44,-2.2991755427935222e-42,0.007195374822911758
-78.38,3.2368691692567726e-44,-2.9079184964447896e-42,0.007285192339388616
-78.36,3.176519064047906e-44,-3.5050201703551e-42,0.0073750052111426915
