z,U
-76.6,0.0021027698813184965
-76.58,0.0021033261248781603
-76.56,0.002103882664574717
-76.54,0.002104439500645531
-76.52,0.002104996633329302
-76.5,0.0021055540628640602
-76.48,0.0021061117894887265
-76.46,0.002106669813442887
-76.44,0.002107228134964351
-76.42,0.0021077867542935932
-76.4,0.0021083456716706438
-76.38,0.0021089048873346446
-76.36,0.0021094644015260703
-76.34,0.0021100242144856166
-76.32,0.0021105843264544247
-76.3,0.0021111447376729684
-76.28,0.002111705448382166
-76.26,0.002112266458824491
-76.24,0.0021128277692413046
-76.22,0.0021133893798748584
-76.2,0.002113951290967403
-76.18,0.0021145135027614112
-76.16,0.0021150760155002435
-76.14,0.0021156388294261506
-76.12,0.0021162019447833816
-76.1,0.0021167653618150758
-76.08,0.0021173290807652593
-76.06,0.00211789310187796
-76.04,0.002118457425398315
-76.02,0.0021190220515701287
-76.0,0.002119586980638983
-75.98,0.0021201522128500147
-75.96,0.002120717748449028
-75.94,0.002121283587681159
-75.92,0.002121849730792434
-75.9,0.002122416178029988
-75.88,0.002122982929639181
-75.86,0.0021235499858682583
-75.84,0.0021241173469632455
-75.82,0.002124685013172389
-75.8,0.002125252984742601
-75.78,0.002125821261922129
-75.76,0.0021263898449592174
-75.74,0.0021269587341018912
-75.72,0.00212752792959995
-75.7,0.002128097431701196
-75.68,0.002128667240655429
-75.66,0.002129237356712449
-75.64,0.002129807780121835
-75.62,0.0021303785111333857
-75.6,0.002130949549998013
-75.58,0.0021315208969659603
-75.56,0.0021320925522881383
-75.54,0.0021326645162163455
-75.52,0.0021332367890012703
-75.5,0.0021338093708951553
-75.48,0.002134382262149355
-75.46,0.0021349554630172227
-75.44,0.002135528973750556
-75.42,0.002136102794602265
-75.4,0.002136676925825924
-75.38,0.002137251367674219
-75.36,0.002137826120401392
-75.34,0.002138401184261018
-75.32,0.002138976559507782
-75.3,0.0021395522463957027
-75.28,0.00214012824517991
-75.26,0.0021407045561155323
-75.24,0.0021412811794576992
-75.22,0.0021418581154615405
-75.2,0.002142435364384183
-75.18,0.0021430129264807564
-75.16,0.0021435908020083884
-75.14,0.0021441689912230963
-75.12,0.0021447474943828955
-75.1,0.0021453263117442484
-75.08,0.0021459054435649483
-75.06,0.002146484890103233
-75.04,0.0021470646516171185
-75.02,0.002147644728365065
-75.0,0.0021482251206055318
-74.98,0.002148805828597867
-74.96,0.002149386852601197
-74.94,0.0021499681928750926
-74.92,0.0021505498496795666
-74.9,0.0021511318232750785
-74.88,0.0021517141139211974
-74.86,0.002152296721879493
-74.84,0.0021528796474106445
-74.82,0.0021534628907757774
-74.8,0.002154046452237126
-74.78,0.002154630332056036
-74.76,0.0021552145304947435
-74.74,0.0021557990478157044
-74.72,0.0021563838842820417
-74.7,0.002156969040156434
-74.68,0.002157554515702226
-74.66,0.0021581403111829854
-74.64,0.002158726426863167
-74.62,0.0021593128630065595
