D,n,E,omega2,omega_real,omega_imag,S_z,S_z_physical,z1,z2,has_bound,has_stable_bound,has_turning_points,is_diagnostic_tunnel,is_physical_tunnel
6.5,2,-20.243117044720716,-20.243117044720716,,4.49923516219376,26.929238930096933,,-3.0770786468264744,3.0770786468264744,True,False,True,True,False
6.5,3,0.0016007353531986726,0.0016007353531986726,0.040009190859084776,0.0,,,,,False,False,False,False,False
7.0,1,-20.320262195289573,-20.320262195289573,,4.507800150327161,29.25924935332754,,-3.3270434000714912,3.327043400071492,True,False,True,True,False
7.0,2,-20.320262195285736,-20.320262195285736,,4.5078001503267355,29.2592493533246,,-3.3270434000714673,3.3270434000714677,True,False,True,True,False
7.0,3,0.001607831598308171,0.001607831598308171,0.04009777547830018,0.0,,,,,False,False,False,False,False
7.5,1,-20.387520168052617,-20.387520168052617,,4.515254164280525,31.539454501248496,,-3.577224740750605,3.577224740750605,True,False,True,True,False
7.5,2,-20.387520168052617,-20.387520168052617,,4.515254164280525,31.539454501248496,,-3.577224740750605,3.577224740750605,True,False,True,True,False
7.5,3,0.0016151630933603004,0.0016151630933603004,0.04018909172101679,0.0,,,,,False,False,False,False,False
8.0,1,-20.44667647873414,-20.44667647873414,,4.521800136973564,33.871284063357095,,-3.827166030535124,3.8271660305351243,True,False,True,True,False
8.0,2,-20.44667647873414,-20.44667647873414,,4.521800136973564,33.871284063357095,,-3.827166030535124,3.8271660305351243,True,False,True,True,False
8.0,3,0.001622715701401926,0.001622715701401926,0.04028294554028945,0.0,,,,,False,False,False,False,False
8.5,1,-20.49911129873938,-20.49911129873938,,4.527594427368619,36.15258406081701,,-4.077340370005455,4.077340370005455,True,False,True,True,False
8.5,2,-20.49911129873938,-20.49911129873938,,4.527594427368619,36.15258406081701,,-4.077340370005455,4.077340370005455,True,False,True,True,False
8.5,3,0.0016304771857026028,0.0016304771857026028,0.040379167719290635,0.0,,,,,False,False,False,False,False
9.0,1,-20.545908258310813,-20.545908258310813,,4.532759452950357,38.485673938642066,,-4.32726431000594,4.3272643100059405,True,False,True,True,False
9.0,2,-20.545908258310813,-20.545908258310813,,4.532759452950357,38.485673938642066,,-4.32726431000594,4.3272643100059405,True,False,True,True,False
9.0,3,0.0016384369148419776,0.0016384369148419776,0.04047761004360284,0.0,,,,,False,False,False,False,False
9.5,1,-20.587930002532364,-20.587930002532364,,4.537392423246238,40.76771365514678,,-4.577434079159123,4.577434079159123,True,False,True,True,False
9.5,2,-20.587930002532364,-20.587930002532364,,4.537392423246238,40.76771365514678,,-4.577434079159123,4.577434079159123,True,False,True,True,False
9.5,3,0.001646585624862575,0.001646585624862575,0.040578142205657655,0.0,,,,,False,False,False,False,False
10.0,1,-20.625871773938428,-20.625871773938428,,4.54157150928381,43.10171607237443,,-4.8273447802461105,4.827344780246111,True,False,True,True,False
10.0,2,-20.625871773938428,-20.625871773938428,,4.54157150928381,43.10171607237443,,-4.8273447802461105,4.827344780246111,True,False,True,True,False
10.0,3,0.0016549152237791652,0.0016549152237791652,0.040680649254641515,0.0,,,,,False,False,False,False,False
10.5,1,-20.660300130067014,-20.660300130067014,,4.545360286057313,45.38427531103936,,-5.077511519507129,5.077511519507129,True,False,True,True,False
10.5,2,-20.660300130067014,-20.660300130067014,,4.545360286057313,45.38427531103936,,-5.077511519507129,5.077511519507129,True,False,True,True,False
10.5,3,0.0016634186247121347,0.0016634186247121347,0.04078502941904216,0.0,,,,,False,False,False,False,False
11.0,1,-20.69168139315928,-20.69168139315928,,4.548810986747996,47.71896193262957,,-5.32741185075767,5.327411850757671,True,False,True,True,False
11.0,2,-20.69168139315928,-20.69168139315928,,4.548810986747996,47.71896193262957,,-5.32741185075767,5.327411850757671,True,False,True,True,False
11.0,3,0.0016720896047840157,0.0016720896047840157,0.040891192264154094,0.0,,,,,False,False,False,False,False
11.5,1,-20.720402873592143,-20.720402873592143,,4.5519669236048,50.001897495607295,,-5.577576566652489,5.577576566652489,True,False,True,True,False
11.5,2,-20.720402873592143,-20.720402873592143,,4.5519669236048,50.001897495607295,,-5.577576566652489,5.577576566652489,True,False,True,True,False
11.5,3,0.0016809226962122988,0.0016809226962122988,0.04099905726004317,0.0,,,,,False,False,False,False,False
12.0,1,-20.746788920991797,-20.746788920991797,,4.554864314224058,52.33711185156767,,-5.827468595093867,5.827468595093867,True,False,True,True,False
12.0,2,-20.746788920991797,-20.746788920991797,,4.554864314224058,52.33711185156767,,-5.827468595093867,5.827468595093867,True,False,True,True,False
12.0,3,0.0016899130844524701,0.0016899130844524701,0.04110855244900348,0.0,,,,,False,False,False,False,False
12.5,1,-20.771113215943764,-20.771113215943764,,4.557533676885313,54.62032695691363,,-6.077631962307607,6.077631962307607,True,False,True,True,False
12.5,2,-20.771113215943764,-20.771113215943764,,4.557533676885313,54.62032695691363,,-6.077631962307607,6.077631962307607,True,False,True,True,False
12.5,3,0.0016990565208991042,0.0016990565208991042,0.041219613303609536,0.0,,,,,False,False,False,False,False
13.0,1,-20.79360829076978,-20.79360829076978,,4.560000909075543,56.95595800359333,,-6.327517218090134,6.327517218090135,True,False,True,True,False
13.0,2,-20.79360829076978,-20.79360829076978,,4.560000909075543,56.95595800359333,,-6.327517218090134,6.327517218090135,True,False,True,True,False
13.0,3,0.0017083492594640254,0.0017083492594640254,0.04133218188608031,0.0,,,,,False,False,False,False,False
13.5,1,-20.814472981645977,-20.814472981645977,,4.562288130055573,59.23938512791315,,-6.577679698483711,6.577679698483711,True,False,True,True,False
13.5,2,-20.814472981645977,-20.814472981645977,,4.562288130055573,59.23938512791315,,-6.577679698483711,6.577679698483711,True,False,True,True,False
13.5,3,0.0017177879905395203,0.0017177879905395203,0.04144620598486091,0.0,,,,,False,False,False,False,False
14.0,1,-20.833878318012577,-20.833878318012577,,4.5644143455664254,61.57535172677297,,-6.827559341050326,6.827559341050327,True,False,True,True,False
14.0,2,-20.833878318012577,-20.833878318012577,,4.5644143455664254,61.57535172677297,,-6.827559341050326,6.827559341050327,True,False,True,True,False
14.0,3,0.0017273697877342896,0.0017273697877342896,0.04156163841494088,0.0,,,,,False,False,False,False,False
14.5,1,-20.851972218659206,-20.851972218659206,,4.566395976988768,63.85894248747415,,-7.077721256240895,7.077721256240895,True,False,True,True,False
14.5,2,-20.851972218659206,-20.851972218659206,,4.566395976988768,63.85894248747415,,-7.077721256240895,7.077721256240895,True,False,True,True,False
14.5,3,0.0017370920622291819,0.0017370920622291819,0.04167843641775903,0.0,,,,,False,False,False,False,False
15.0,1,-20.86888326730025,-20.86888326730025,,4.56824728613724,66.1951838693327,,-7.327596182057164,7.327596182057164,True,False,True,True,False
15.0,2,-20.86888326730025,-20.86888326730025,,4.56824728613724,66.1951838693327,,-7.327596182057164,7.327596182057164,True,False,True,True,False
15.0,3,0.00174695252654183,0.00174695252654183,0.041796561180817614,0.0,,,,,False,False,False,False,False
15.5,1,-20.884723771489124,-20.884723771489124,,4.569980718940631,68.47890280424375,,-7.57775775905936,7.57775775905936,True,False,True,True,False
15.5,2,-20.884723771489124,-20.884723771489124,,4.569980718940631,68.47890280424375,,-7.57775775905936,7.57775775905936,True,False,True,True,False
15.5,3,0.0017569491529101935,0.0017569491529101935,0.04191597729876036,0.0,,,,,False,False,False,False,False
16.0,1,-20.899592258659787,-20.899592258659787,,4.57160718551581,70.81537248209742,,-7.827628673578927,7.8276286735789276,True,False,True,True,False
16.0,2,-20.899592258659787,-20.899592258659787,,4.57160718551581,70.81537248209742,,-7.827628673578927,7.8276286735789276,True,False,True,True,False
16.0,3,0.001767080149178381,0.001767080149178381,0.042036652449717986,0.0,,,,,False,False,False,False,False
16.5,1,-20.913575526567534,-20.913575526567534,,4.573136289962014,73.0991930875515,,-8.0777900742913,8.0777900742913,True,False,True,True,False
16.5,2,-20.913575526567534,-20.913575526567534,,4.573136289962014,73.0991930875515,,-8.0777900742913,8.0777900742913,True,False,True,True,False
16.5,3,0.0017773439246075503,0.0017773439246075503,0.04215855695594371,0.0,,,,,False,False,False,False,False
17.0,1,-20.926750338199476,-20.926750338199476,,4.574576520094453,75.43585484153458,,-8.327657541316615,8.327657541316617,True,False,True,True,False
17.0,2,-20.926750338199476,-20.926750338199476,,4.574576520094453,75.43585484153458,,-8.327657541316615,8.327657541316617,True,False,True,True,False
17.0,3,0.001787739071394909,0.001787739071394909,0.04228166353627668,0.0,,,,,False,False,False,False,False
17.5,1,-20.939184831091747,-20.939184831091747,,4.575935405039252,77.71975697109096,,-8.577818882029614,8.577818882029614,True,False,True,True,False
17.5,2,-20.939184831091747,-20.939184831091747,,4.575935405039252,77.71975697109096,,-8.577818882029614,8.577818882029614,True,False,True,True,False
17.5,3,0.0017982643377341214,0.0017982643377341214,0.04240594696188403,0.0,,,,,False,False,False,False,False
18.0,1,-20.95093969562692,-20.95093969562692,,4.577219646862812,80.05658212421903,,-8.827683358369601,8.827683358369601,True,False,True,True,False
18.0,2,-20.95093969562692,-20.95093969562692,,4.577219646862812,80.05658212421903,,-8.827683358369601,8.827683358369601,True,False,True,True,False
18.0,3,0.0018089186140105656,0.0018089186140105656,0.042531383871331596,0.0,,,,,False,False,False,False,False
18.5,1,-20.96206916533067,-20.96206916533067,,4.578435231094863,82.34055023505533,,-9.077844722945493,9.077844722945493,True,False,True,True,False
18.5,2,-20.96206916533067,-20.96206916533067,,4.578435231094863,82.34055023505533,,-9.077844722945493,9.077844722945493,True,False,True,True,False
18.5,3,0.0018197009068813396,0.0018197009068813396,0.04265795244595478,0.0,,,,,False,False,False,False,False
19.0,1,-20.97262185325333,-20.97262185325333,,4.5795875199905645,84.67751575854467,,-9.327706583261662,9.327706583261662,True,False,True,True,False
19.0,2,-20.97262185325333,-20.97262185325333,,4.5795875199905645,84.67751575854467,,-9.327706583261662,9.327706583261662,True,False,True,True,False
19.0,3,0.0018306103299468223,0.0018306103299468223,0.04278563228406029,0.0,,,,,False,False,False,False,False
19.5,1,-20.982641461624915,-20.982641461624915,,4.5806813315952155,86.96153770161484,,-9.577868032205934,9.577868032205934,True,False,True,True,False
19.5,2,-20.982641461624915,-20.982641461624915,,4.5806813315952155,86.96153770161484,,-9.577868032205934,9.577868032205934,True,False,True,True,False
19.5,3,0.0018416460843239466,0.0018416460843239466,0.04291440415902272,0.0,,,,,False,False,False,False,False
20.0,1,-20.992167386655822,-20.992167386655822,,4.581721007073196,89.29862486815743,,-9.827727587159355,9.827727587159357,True,False,True,True,False
20.0,2,-20.992167386655822,-20.992167386655822,,4.581721007073196,89.29862486815743,,-9.827727587159355,9.827727587159357,True,False,True,True,False
20.0,3,0.0018528074424946604,0.0018528074424946604,0.0430442498191647,0.0,,,,,False,False,False,False,False
