z,U
-74.96,-1.0695606113432377e-09
-74.94,-1.0709516901906635e-09
-74.92,-1.0723449462732866e-09
-74.9,-1.0737403835778466e-09
-74.88,-1.0751380060994481e-09
-74.86,-1.076537817841579e-09
-74.84,-1.0779398228161357e-09
-74.82,-1.0793440250434406e-09
-74.8,-1.0807504285522588e-09
-74.78,-1.0821590373798237e-09
-74.76,-1.0835698555718526e-09
-74.74,-1.0849828871825705e-09
-74.72,-1.0863981362747248e-09
-74.7,-1.0878156069196108e-09
-74.68,-1.0892353031970924e-09
-74.66,-1.090657229195619e-09
-74.64,-1.0920813890122423e-09
-74.62,-1.0935077867526491e-09
-74.6,-1.09493642653117e-09
-74.58,-1.0963673124708042e-09
-74.56,-1.0978004487032408e-09
-74.54,-1.0992358393688789e-09
-74.52,-1.1006734886168495e-09
-74.5,-1.1021134006050314e-09
-74.48,-1.1035555795000783e-09
-74.46,-1.1050000294774373e-09
-74.44,-1.1064467547213658e-09
-74.42,-1.107895759424961e-09
-74.4,-1.1093470477901731e-09
-74.38,-1.1108006240278315e-09
-74.36,-1.1122564923576593e-09
-74.34,-1.113714657008305e-09
-74.32,-1.1151751222173547e-09
-74.3,-1.116637892231355e-09
-74.28,-1.1181029713058397e-09
-74.26,-1.1195703637053446e-09
-74.24,-1.121040073703435e-09
-74.22,-1.122512105582719e-09
-74.2,-1.123986463634878e-09
-74.18,-1.1254631521606846e-09
-74.16,-1.1269421754700254e-09
-74.14,-1.1284235378819157e-09
-74.12,-1.1299072437245343e-09
-74.1,-1.1313932973352358e-09
-74.08,-1.1328817030605737e-09
-74.06,-1.1343724652563247e-09
-74.04,-1.135865588287513e-09
-74.02,-1.137361076528426e-09
-74.0,-1.1388589343626394e-09
-73.98,-1.1403591661830433e-09
-73.96,-1.1418617763918598e-09
-73.94,-1.1433667694006645e-09
-73.92,-1.1448741496304133e-09
-73.9,-1.1463839215114643e-09
-73.88,-1.1478960894835948e-09
-73.86,-1.1494106579960312e-09
-73.84,-1.1509276315074677e-09
-73.82,-1.1524470144860898e-09
-73.8,-1.1539688114095943e-09
-73.78,-1.1554930267652186e-09
-73.76,-1.1570196650497587e-09
-73.74,-1.1585487307695944e-09
-73.72,-1.1600802284407079e-09
-73.7,-1.1616141625887138e-09
-73.68,-1.1631505377488772e-09
-73.66,-1.1646893584661396e-09
-73.64,-1.1662306292951376e-09
-73.62,-1.1677743548002351e-09
-73.6,-1.1693205395555389e-09
-73.58,-1.1708691881449222e-09
-73.56,-1.1724203051620534e-09
-73.54,-1.1739738952104165e-09
