D,level,rho_max,z_max,dr,dz,Nr,Nz,E1,E2,DeltaE,M_LR,chi_LR,omega1,Gamma_ref,M_sym,norm1,norm2,overlap12,build_s,solve_s
10.0,mid,3.0,11.0,0.08,0.04,38,550,2.296722733725727,2.681860983768295,0.38513825004256796,0.19256912502128398,0.000272353732129932,1.815687950537131,707.0552091036333,-1.3423933881710722e-17,1.0,1.0000000000000002,1.0755285551056204e-16,0.0027441978454589844,0.07837891578674316
11.0,coarse,3.0,11.5,0.12,0.06,25,383,2.162750360028637,2.515538158568847,0.35278779854021014,0.17639389927010507,0.000313419876016821,1.7784123144053623,562.8038065481148,-7.9894663220165e-06,1.0000000000000002,0.9999999999999998,6.010816844259637e-16,0.0028829574584960938,0.03273510932922363
11.0,fine,3.0,11.5,0.06,0.03,50,767,2.176196750430073,2.529261047194675,0.3530642967646016,0.1765321483823008,0.0003064312992692975,1.7821887527504132,576.0904607435714,-4.059772602043765e-06,1.0000000000000002,0.9999999999999999,-1.48318857196017e-16,0.004025936126708984,0.1467287540435791
11.0,mid,3.0,11.5,0.08,0.04,38,575,2.1554316191916656,2.5084248621238547,0.35299324293218914,0.17649662146609457,0.00031762387837736634,1.7763534612209546,555.6780628955119,3.521177642164614e-16,0.9999999999999998,1.0000000000000002,-6.245004513516506e-17,0.005942106246948242,0.06552767753601074
12.0,coarse,3.0,12.0,0.12,0.06,25,400,2.3603202294241714,2.7173039033577293,0.3569836739335579,0.17849183696677895,0.0002272608850505138,1.833117625637856,785.4050067925466,-2.523036874746994e-17,0.9999999999999999,1.0,-9.8879238130678e-17,0.0036177635192871094,0.03127121925354004
12.0,fine,3.0,12.0,0.06,0.03,50,800,2.378213039996394,2.7363206915435434,0.3581076515471495,0.17905382577357476,0.0002214139184928391,1.8379915777816813,808.6836951913015,1.0524445637689399e-16,1.0,1.0000000000000002,1.6707555478001623e-16,0.0064258575439453125,0.1725001335144043
12.0,mid,3.0,12.0,0.08,0.04,38,600,2.3559783648226693,2.713743425005352,0.3577650601826825,0.17888253009134125,0.000229383719588679,1.8319329586048365,779.8396957382403,-8.601955683213788e-17,0.9999999999999999,1.0,0.0,0.004792213439941406,0.08208799362182617
13.0,coarse,3.0,12.5,0.12,0.06,25,417,2.2233540814696364,2.552197064136261,0.3288429826666244,0.1644214913333122,0.0002631870410080762,1.795370179508849,624.7324743024362,-1.1280209076673784e-05,1.0000000000000002,0.9999999999999999,-3.8163916471489756e-17,0.002786874771118164,0.04660511016845703
13.0,fine,3.0,12.5,0.06,0.03,50,833,2.2444032133692042,2.5750983865583144,0.3306951731891101,0.16534758659455506,0.0002553620373296225,1.801222699548616,647.5026136368251,-5.445680133424801e-06,1.0000000000000002,1.0,-1.275394449339745e-16,0.00681304931640625,0.16888689994812012
13.0,mid,3.0,12.5,0.08,0.04,38,625,2.221112111544127,2.551210930892056,0.33009881934792906,0.16504940967396453,0.0002652050874609334,1.7947456955078975,622.3463179162333,-1.4125867416934958e-17,1.0000000000000002,1.0000000000000002,1.3877787807814457e-17,0.0028879642486572266,0.08572006225585938
14.0,coarse,3.0,13.0,0.12,0.06,25,433,2.414089606037047,2.747892976898314,0.3338033708612671,0.16690168543063355,0.00019473709524249448,1.8477255223752924,857.0615948789872,-1.7618979553735678e-05,1.0,0.9999999999999998,-5.2909066017292616e-17,0.0019621849060058594,0.04159688949584961
14.0,fine,3.0,13.0,0.06,0.03,50,867,2.4277198571091057,2.761730401378126,0.3340105442690202,0.1670052721345101,0.000190634245217827,1.8514102346884402,876.0507428436198,-9.833566381792299e-06,0.9999999999999999,0.9999999999999998,-1.319474043914859e-16,0.010080099105834961,0.15435218811035156
14.0,mid,3.0,13.0,0.08,0.04,38,650,2.406925553817312,2.7408979484692098,0.33397239465189754,0.16698619732594877,0.0001970997323146749,1.8457858905672977,847.2167636399979,1.1088621991728619e-16,1.0000000000000004,1.0,6.84673671924596e-17,0.002995014190673828,0.09563112258911133
15.0,coarse,3.0,13.5,0.12,0.06,25,450,2.2829458238873404,2.592231031074644,0.3092852071873038,0.1546426035936519,0.00022380960219172454,1.811890124672945,690.9560719435918,2.0796415919376465e-17,1.0,1.0000000000000002,4.0679265511656126e-16,0.0033919811248779297,0.05602693557739258
15.0,fine,3.0,13.5,0.06,0.03,50,900,2.3001033554933503,2.610303531184716,0.3102001756913655,0.15510008784568274,0.0002181275716068801,1.8166186598990308,711.052191628537,-3.7174819659654267e-17,1.0,0.9999999999999999,-2.3093506273941244e-17,0.0044329166412353516,0.17499113082885742
15.0,mid,3.0,13.5,0.08,0.04,38,675,2.2781285664340163,2.5880475320389076,0.3099189656048913,0.15495948280244565,0.0002260868251162072,1.8105602907481475,685.3981107603128,-1.1161942164861561e-16,1.0,1.0,-2.9761349634727097e-17,0.003086090087890625,0.11195015907287598
16.0,coarse,3.0,14.0,0.12,0.06,25,467,2.4531625368332124,2.76521087091227,0.31204833407905763,0.15602416703952882,0.00017100084609862422,1.8582686933899555,912.4175148790921,1.6548876435709985e-05,1.0,0.9999999999999998,-1.3877787807814457e-16,0.004311800003051758,0.038770198822021484
16.0,fine,3.0,14.0,0.06,0.03,50,933,2.4745734983336414,2.7881694759998936,0.31359597766625225,0.15679798883312612,0.00016610481519628505,1.8640207880637065,943.9701591301787,9.012178392613535e-06,1.0,1.0,1.111307226797642e-17,0.01098322868347168,0.17753100395202637
16.0,mid,3.0,14.0,0.08,0.04,38,700,2.4511930821199104,2.7642999311083076,0.31310684898839725,0.15655342449419862,0.00017212012674903387,1.8577387012494277,909.5590820849624,-6.017307518877557e-16,1.0000000000000002,1.0000000000000002,6.353424730765056e-17,0.0030870437622070312,0.10640907287597656
17.0,coarse,3.0,14.5,0.12,0.06,25,483,2.33528636790786,2.627143472938771,0.2918571050309109,0.14592855251545545,0.0001936012105028196,1.8262766405744395,753.7584715325431,-1.183028602558488e-05,1.0,1.0000000000000002,9.64939933512099e-17,0.00445103645324707,0.04726886749267578
17.0,fine,3.0,14.5,0.06,0.03,50,967,2.3488355942543495,2.6408887506885264,0.29205315643417684,0.14602657821708842,0.00018945927008730975,1.8299824027171272,770.7544642697823,-6.523192139546869e-06,1.0,1.0000000000000002,-2.3418766925686896e-17,0.0052721500396728516,0.21159911155700684
17.0,mid,3.0,14.5,0.08,0.04,38,725,2.3280787241627503,2.6200909404516386,0.2920122162888883,0.14600610814444415,0.00019602265879630054,1.8243022567992264,744.8430147872256,1.0316297547930313e-16,1.0000000000000002,0.9999999999999999,1.3351949754158987e-16,0.0032410621643066406,0.11531496047973633
18.0,coarse,3.0,15.0,0.12,0.06,25,500,2.222036279440605,2.4946589500599434,0.2726226706193384,0.1363113353096692,0.00021868280115313704,1.7950031419027113,623.3290162321199,2.8644120039895887e-16,1.0,1.0,-1.9255430583342559e-16,0.002094745635986328,0.14057493209838867
18.0,fine,3.0,15.0,0.06,0.03,50,1000,2.238635212659424,2.512024150251603,0.2733889375921792,0.1366944687960896,0.000213186528326448,1.7996208524740493,641.1965609138879,2.831184755769348e-16,1.0000000000000002,0.9999999999999998,5.757079654580138e-16,0.00961923599243164,0.19403600692749023
18.0,mid,3.0,15.0,0.08,0.04,38,750,2.2168595538976126,2.4900100920494705,0.27315053815185797,0.13657526907592898,0.00022105254189281777,1.7935605799352339,617.8407536347197,1.6759208132931477e-17,0.9999999999999999,0.9999999999999999,6.635317295611287e-17,0.00323486328125,0.10521817207336426
19.0,coarse,3.0,15.5,0.12,0.06,25,517,2.3749072026818197,2.6500633654084265,0.2751561627266068,0.1375780813633034,0.00017104451477190243,1.8370920506827686,804.3407971706756,1.21600232922048e-05,1.0000000000000002,0.9999999999999999,2.732189474663471e-16,0.002111196517944336,0.04495096206665039
19.0,fine,3.0,15.5,0.06,0.03,50,1033,2.39518770715389,2.671611060938097,0.2764233537842071,0.13821167689210356,0.00016626234146932718,1.8426035132805674,831.2867223610073,6.369893953846157e-06,1.0,1.0,1.509751525186065e-16,0.010064125061035156,0.2172238826751709
19.0,mid,3.0,15.5,0.08,0.04,38,775,2.372193532125467,2.6482163400882506,0.27602280796278356,0.13801140398139178,0.00017234404150173345,1.8363533244246508,800.7901101704387,-2.3050450936214544e-17,1.0,1.0,2.40692882291782e-16,0.003386974334716797,0.10255694389343262
20.0,coarse,3.0,16.0,0.12,0.06,25,533,2.2723323166912253,2.531421325555396,0.25908900886417063,0.12954450443208532,0.00019085488772286057,1.8089589040913079,678.7591660748885,-6.2204273280651375e-06,1.0,1.0,2.5153490401663703e-16,0.004032135009765625,0.0510869026184082
20.0,fine,3.0,16.0,0.06,0.03,50,1067,2.285812170715719,2.545090061576201,0.25927789086048225,0.12963894543024113,0.00018672413360388277,1.8126809346147266,694.2806102678599,3.364436134992252e-06,0.9999999999999997,1.0000000000000002,-1.1310939164455025e-16,0.012677192687988281,0.2485508918762207
20.0,mid,3.0,16.0,0.08,0.04,38,800,2.265088051185904,2.5243216489818523,0.25923359779594835,0.12961679889797417,0.0001933033385680987,1.806955464638214,670.5357489328181,5.213491437398402e-17,0.9999999999999998,0.9999999999999999,1.4311468676808659e-16,0.006903886795043945,0.11647987365722656
