D,level,rel_DeltaE_vs_fine,rel_M_LR_vs_fine,rel_chi_LR_vs_fine,abs_M_sym,abs_M_sym_tol,pass_abs_M_sym,abs_overlap12
13.0,mid,0.0018033339750019104,0.0018033339750019104,0.03854547149702397,1.4125867416934958e-17,1e-12,True,1.3877787807814457e-17
14.0,coarse,0.0006202600825267704,0.0006202600825267704,0.02152210385903849,1.7618979553735678e-05,1e-12,False,5.2909066017292616e-17
14.0,fine,0.0,0.0,0.0,9.833566381792299e-06,1e-12,False,1.319474043914859e-16
14.0,mid,0.00011421680476035209,0.00011421680476035209,0.033915664467630925,1.1088621991728619e-16,1e-12,True,6.84673671924596e-17
15.0,coarse,0.002949606659707529,0.002949606659707529,0.02604911677596109,2.0796415919376465e-17,1e-12,True,4.0679265511656126e-16
15.0,fine,0.0,0.0,0.0,3.7174819659654267e-17,1e-12,True,2.3093506273941244e-17
15.0,mid,0.0009065439303747643,0.0009065439303747643,0.036488984178816415,1.1161942164861561e-16,1e-12,True,2.9761349634727097e-17
16.0,coarse,0.004935151269196792,0.004935151269196792,0.029475550703051953,1.6548876435709985e-05,1e-12,False,1.3877787807814457e-16
16.0,fine,0.0,0.0,0.0,9.012178392613535e-06,1e-12,False,1.111307226797642e-17
16.0,mid,0.0015597415550258108,0.0015597415550258108,0.036213950484461084,6.017307518877557e-16,1e-12,True,6.353424730765056e-17
17.0,coarse,0.0006712867125274069,0.0006712867125274069,0.021861904216146814,1.183028602558488e-05,1e-12,False,9.64939933512099e-17
17.0,fine,0.0,0.0,0.0,6.523192139546869e-06,1e-12,False,2.3418766925686896e-17
17.0,mid,0.00014018045820290731,0.00014018045820290731,0.034642742505901866,1.0316297547930313e-16,1e-12,True,1.3351949754158987e-16
18.0,coarse,0.0028028455708175967,0.0028028455708175967,0.025781520388909004,2.8644120039895887e-16,1e-12,True,1.9255430583342559e-16
18.0,fine,0.0,0.0,0.0,2.831184755769348e-16,1e-12,True,5.757079654580138e-16
18.0,mid,0.0008720156800084219,0.0008720156800084219,0.036897329433146504,1.6759208132931477e-17,1e-12,True,6.635317295611287e-17
19.0,coarse,0.0045842402251929865,0.0045842402251929865,0.02876281700542203,1.21600232922048e-05,1e-12,False,2.732189474663471e-16
19.0,fine,0.0,0.0,0.0,6.369893953846157e-06,1e-12,False,1.509751525186065e-16
19.0,mid,0.0014490303222941888,0.0014490303222941888,0.03657893891460831,2.3050450936214544e-17,1e-12,True,2.40692882291782e-16
20.0,coarse,0.0007284924899873396,0.0007284924899873396,0.022122229404693845,6.2204273280651375e-06,1e-12,False,2.5153490401663703e-16
20.0,fine,0.0,0.0,0.0,3.364436134992252e-06,1e-12,False,1.1310939164455025e-16
20.0,mid,0.00017083240066057524,0.00017083240066057524,0.03523489351501327,5.213491437398402e-17,1e-12,True,1.4311468676808659e-16
