D,eta,generic_offdiag_k11,generic_offdiag_k_bg,generic_offdiag_k22,generic_offdiag_e_part,generic_offdiag_e_tree,generic_offdiag_det_ratio_ref,generic_offdiag_q_inferred,generic_offdiag_q_geomean,generic_offdiag_q_residual,generic_offdiag_rho_inferred,generic_offdiag_rho_residual,generic_offdiag_schur_from_q,generic_offdiag_schur_from_det,generic_offdiag_positive_cone,generic_offdiag_positive_q
15.2,0.5800000000000001,1.5261519456798223,1.2635129579283289,2.0825460836896115,0.5261519456798223,0.8190331257612826,2.51543265753439,4.440892098500626e-16,0.4309358726955254,-0.43093587269552497,1.0305227250455212e-15,-0.999999999999999,1.648219015580322,1.6482190155803222,1,1
16.0,0.5800000000000001,1.5223414824099712,1.3217878591111365,2.1089332993242156,0.5223414824099712,0.7871454402130791,2.4289197567270415,-8.881784197001252e-16,0.41115871611314914,-0.41115871611315,-2.160183853321748e-15,-1.0000000000000022,1.5955157136504576,1.595515713650458,1,1
16.8,0.5800000000000001,1.5202307488638929,1.3729068193667717,2.1438218919946594,0.5202307488638929,0.7709150726278877,2.3738712011067515,4.440892098500626e-16,0.40105372554366836,-0.4010537255436679,1.1073060329960913e-15,-0.9999999999999989,1.5615203171497523,1.5615203171497525,1,1
17.6,0.5800000000000001,1.5333451063625898,1.2679119024066776,1.946628624197221,0.5333451063625898,0.6787167217905434,2.3541489508478244,8.881784197001252e-16,0.36199024217344566,-0.3619902421734448,2.453597683648498e-15,-0.9999999999999976,1.5353027450111019,1.535302745011102,1,1
18.4,0.5800000000000001,1.5405182049703174,1.20297833384972,1.7169023663713,0.5405182049703174,0.5139240325215799,2.1986425500178775,-4.440892098500626e-16,0.2777852955496714,-0.27778529554967185,-1.5986778888757055e-15,-1.0000000000000016,1.4272097161359025,1.427209716135903,1,1
19.200000000000003,0.5800000000000001,1.0,1.2685122027208124,1.2685122027208124,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
20.0,0.5800000000000001,1.0,1.3261537967964965,1.3261537967964965,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1,1
4.0,0.77,1.3985904370913835,1.052928468881864,1.9349620523317437,0.39859043709138353,0.8820335834498796,2.5701835428571016,8.881784197001252e-16,0.3515701515565668,-0.3515701515565659,2.5263191877004935e-15,-0.9999999999999974,1.8376956360449979,1.8376956360449979,1,1
4.8,0.77,1.3864995409067105,1.3330127461264274,2.3625620843150017,0.38649954090671046,1.0295493381885743,2.4573592824112978,0.0,0.39792034655069153,-0.39792034655069153,0.0,-1.0,1.7723477072370983,1.7723477072370983,1,1
5.6,0.77,1.3740219028415432,1.0489632309804584,2.163321585962678,0.37402190284154324,1.1143583549822198,2.833703941390105,0.0,0.41679443237782177,-0.41679443237782177,0.0,-1.0,2.0623426275300774,2.0623426275300774,1,1
6.4,0.77,1.408758027936343,1.2368422574530327,2.310931061397086,0.40875802793634297,1.0740888039440535,2.632140570176325,8.881784197001252e-16,0.4390424213286766,-0.4390424213286757,2.0229899812692947e-15,-0.999999999999998,1.8684121176097834,1.8684121176097834,1,1
7.2,0.77,1.46539717508666,1.5397550802947837,2.131691550316045,0.4653971750866599,0.5919364700212615,2.0287478287723486,-4.440892098500626e-16,0.27548556097866445,-0.2754855609786649,-1.6120235422591025e-15,-1.0000000000000016,1.3844354713269957,1.3844354713269962,1,1
8.0,0.77,1.481376517522817,1.5891268740470006,2.147171923425947,0.48137651752281707,0.5580450493789464,2.0015834596938684,4.440892098500626e-16,0.2686297824908857,-0.26862978249088526,1.6531644620049902e-15,-0.9999999999999983,1.3511645662109928,1.3511645662109928,1,1
8.8,0.77,1.4893167950828494,1.1526414316992488,1.891253857071711,0.4893167950828494,0.7386124253724622,2.443670733707458,0.0,0.3614154647916235,-0.3614154647916235,0.0,-1.0,1.6407998229627958,1.6407998229627958,1,1
9.6,0.77,1.4963861814197217,1.1066533286499558,1.991814853071339,0.4963861814197217,0.8851615244213833,2.693277239511445,4.440892098500626e-16,0.4393819490471902,-0.43938194904718975,1.0107133686604108e-15,-0.999999999999999,1.799854391168029,1.7998543911680291,1,1
10.4,0.77,1.5001900894292903,1.191089660939199,2.108300910866378,0.5001900894292903,0.9172112499271792,2.6554274088169922,-8.881784197001252e-16,0.45877997712662694,-0.4587799771266278,-1.9359572430838254e-15,-1.000000000000002,1.770060626001857,1.7700606260018574,1,1
11.2,0.77,1.501890360820013,1.263616892757297,2.182084656705559,0.5018903608200129,0.9184677639482619,2.593548670632395,4.440892098500626e-16,0.46097011744954364,-0.4609701174495432,9.63379605400715e-16,-0.999999999999999,1.726856192895699,1.726856192895699,1,1
12.0,0.77,1.5025680605446587,1.324701506182844,2.2018188606636238,0.5025680605446587,0.8771173544807798,2.4974552227023334,4.440892098500626e-16,0.44081116771146744,-0.440811167711467,1.007436386323e-15,-0.999999999999999,1.6621245241942932,1.6621245241942937,1,1
12.8,0.77,1.5279634654789576,1.114287005200122,1.9059516633925608,0.5279634654789576,0.7916646581924389,2.613531787629217,-4.440892098500626e-16,0.41797001643649445,-0.4179700164364949,-1.0624905911583173e-15,-1.000000000000001,1.7104674599074758,1.710467459907476,1,1
13.6,0.77,1.531640224193335,1.1152775579450587,1.797342781201496,0.5316402241933349,0.6820652232564373,2.4683384694156514,-4.440892098500626e-16,0.3626133082065293,-0.36261330820652976,-1.2246908753749547e-15,-1.0000000000000013,1.611565451485609,1.6115654514856093,1,1
