eta,D,xi_target,quartic_target
2.1,9.2,0.14847929267990154,0.0020320795279054186
2.1,9.6,0.14741767428801256,0.002017242263060218
2.1,10.0,0.14759160742885405,0.0020217868756018825
2.1,10.4,0.14505261674290518,0.0019808733523179055
2.1,10.8,0.14294101303146234,0.0019458395309128477
2.1,11.2,0.1406575188533644,0.0019070914019001484
2.1,11.6,0.13737451572430087,0.0018502430899783005
2.1,12.0,0.1332406728851369,0.0017771166896672155
2.1,12.4,0.13875784984262246,0.0018805496994697332
2.1,12.8,0.14352245548226086,0.0019703903146204753
2.1,13.2,0.13666094817544883,0.0018485814303067353
2.1,13.6,0.13172053888880395,0.001757292942635985
2.1,14.0,0.12575352137454124,0.0016459484255637532
2.1,14.4,0.1272303637311215,0.0016734147880851065
2.1,14.8,0.13199445567828666,0.0017615545607382256
2.1,15.2,0.13559419504444706,0.0018272058271326535
2.1,15.6,0.1324972169511625,0.0017702208338556378
2.1,16.0,0.1280186088557101,0.0016873421062914887
2.1,16.4,0.12607141273065187,0.001651064559488718
2.1,16.8,0.12417663767231113,0.0016155654852961418
2.1,17.200000000000003,0.12236830319971784,0.0015821644557029273
2.1,17.6,0.12127571595300085,0.001561901942803751
2.1,18.0,0.10707160549955172,0.001292457640191751
2.1,18.4,0.10502599838695137,0.0012542352936231239
2.1,18.8,0.10314824682398754,0.001219312534820911
2.1,19.200000000000003,0.0,0.0
2.1,19.6,0.0,0.0
2.1,20.0,0.0,0.0
3.0500000000000003,4.0,0.12917931574373084,0.0016232470639392558
3.0500000000000003,4.4,0.09734296945174276,0.0011136701716951073
3.0500000000000003,4.8,0.12148786636308252,0.0015016691454344591
3.0500000000000003,5.2,0.13989952580154977,0.0017434282287924884
3.0500000000000003,5.6,0.14023039964192252,0.0017348756595472084
3.0500000000000003,6.0,0.14230380569795048,0.0017463163674074139
3.0500000000000003,6.4,0.1348609379382108,0.001727440174949239
3.0500000000000003,6.800000000000001,0.11600652415348446,0.0014509658120535015
3.0500000000000003,7.2,0.08818996755819646,0.0009584076161746543
3.0500000000000003,7.6,0.08642620527833379,0.0009263212853574508
3.0500000000000003,8.0,0.08445432556883736,0.0008908613000827733
3.0500000000000003,8.4,0.10040767721235128,0.001175453071927434
3.0500000000000003,8.8,0.1283127511899644,0.001684367899287299
3.0500000000000003,9.2,0.14847929266551674,0.0020320795282110014
3.0500000000000003,9.6,0.14741767428611413,0.002017242263279922
3.0500000000000003,10.0,0.1475916073965469,0.0020217868753524488
3.0500000000000003,10.4,0.14505261665254635,0.0019808733501373624
3.0500000000000003,10.8,0.14294101261890926,0.0019458395200202155
3.0500000000000003,11.2,0.140657518231325,0.0019070913850258605
3.0500000000000003,11.6,0.1373745172303174,0.0018502431114576106
3.0500000000000003,12.0,0.1332406764700323,0.001777116770108454
3.0500000000000003,12.4,0.1387578613875407,0.001880549928805319
3.0500000000000003,12.8,0.14352249633244102,0.001970390951250948
3.0500000000000003,13.2,0.13666117740212408,0.0018485853068398819
3.0500000000000003,13.6,0.13172042599997186,0.001757290807443661
3.0500000000000003,14.0,0.12575425252394448,0.0016459622073227993
3.0500000000000003,14.4,0.1272315450052893,0.001673437562882596
3.0500000000000003,14.8,0.13198699786976453,0.001761419521043085
3.0500000000000003,15.2,0.13560918166956745,0.0018274764489612896
3.0500000000000003,15.6,0.13250222736716075,0.0017703042438606367
3.0500000000000003,16.0,0.12805377652662855,0.0016879937808117554
3.0500000000000003,16.4,0.12595574843589089,0.001648966039942916
3.0500000000000003,16.8,0.12383172253112565,0.0016091680713806807
3.0500000000000003,17.200000000000003,0.12327641831784104,0.0015991402377508632
3.0500000000000003,17.6,0.12334894478734341,0.0016009583170349102
3.0500000000000003,18.0,0.10707160549955172,0.001292457640191751
3.0500000000000003,18.4,0.10502599838695144,0.0012542352936231263
