D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
12.0,0.2,2.5104925261872533e-06,8.248761138314966e-06,4.859955493187072e-07,2.5104925261872533e-06,8.248761138314966e-06,4.859955493187072e-07,2.5229141324611904e-06,8.289574987405971e-06,4.884001951408125e-07,0.0,0.0,4.081384909100548e-08,4.081384909100548e-08,4.081384909100548e-08,4.081384909100548e-08,0.004947876221245851,1.4779687035454037,1.0,0.3906686474340275,1.0,1.0,0.0,0.0,0.03763632279542452,0.037592486809649356,-4.38359857751619e-05,4.38359857751619e-05,11.600217431039827,11.600963949984468
12.8,0.2,6.983448492049483e-07,2.0545170056435982e-06,2.0486443800685837e-07,6.983448492049483e-07,2.0545170056435982e-06,2.0486443800685837e-07,7.023800921356163e-07,2.0663886121033567e-06,2.0604820527621477e-07,0.0,0.0,1.1871606459758435e-08,1.1871606459758435e-08,1.1871606459758435e-08,1.1871606459758435e-08,0.0057782955444749574,1.5781226258875372,1.0,0.4562359290923607,1.0,1.0,0.0,0.0,0.002336848556940834,0.0023379827642972893,1.1342073564552142e-06,1.1342073564552142e-06,12.209139280635895,12.209119465146083
13.600000000000001,0.2,2.2308911225641225e-07,5.646186044969788e-07,8.933047346053077e-08,2.2308911225641225e-07,5.646186044969788e-07,8.933047346053077e-08,2.2438782411755301e-07,5.67905528144952e-07,8.985051024883968e-08,0.0,0.0,3.28692364797325e-09,3.28692364797325e-09,3.28692364797325e-09,3.28692364797325e-09,0.005821493698213477,1.5835144599575646,1.0,0.4596467185984162,1.0,1.0,0.0,0.0,0.00017651753130944648,0.00017661838854020898,1.0085723076250523e-07,1.0085723076250523e-07,12.246911137942325,12.24690937316339
14.4,0.2,1.1122084749816456e-07,2.807373843084252e-07,4.062644301295013e-08,1.1122084749816456e-07,2.807373843084252e-07,4.062644301295013e-08,1.1184807191699288e-07,2.8232058877662653e-07,4.0855553810800145e-08,0.0,0.0,1.5832044682013466e-09,1.5832044682013466e-09,1.5832044682013466e-09,1.5832044682013466e-09,0.0056394500935507685,1.5609164733916419,1.0,0.4452731317042589,1.0,1.0,0.0,0.0,4.36405598004737e-05,4.3649691030855146e-05,9.131230381446509e-09,9.131230381446509e-09,12.249236302106603,12.249236142315056
15.200000000000001,0.2,4.9689485941752355e-08,1.4731897374309762e-07,1.1752764178822809e-08,4.9689485941752355e-08,1.4731897374309762e-07,1.1752764178822809e-08,4.9961190493897316e-08,1.4812452113455674e-07,1.1817028871184803e-08,0.0,0.0,8.055473914591207e-10,8.055473914591207e-10,8.055473914591207e-10,8.055473914591207e-10,0.005468049165641593,1.5399344597018174,1.0,0.4317398568847099,1.0,1.0,0.0,0.0,1.201738935635228e-05,1.2015806871942535e-05,-1.58248440974425e-09,1.58248440974425e-09,12.249789696588872,12.24978972428211
16.0,0.2,2.0159399224671645e-08,5.6365919623594934e-08,5.183824551910209e-09,2.0159399224671645e-08,5.6365919623594934e-08,5.183824551910209e-09,2.0266326038841118e-08,5.6664888265760997e-08,5.211319907221736e-09,0.0,0.0,2.989686421660626e-10,2.989686421660626e-10,2.989686421660626e-10,2.989686421660626e-10,0.0053040674961491,1.520124718640573,1.0,0.4187923832293445,1.0,1.0,0.0,0.0,1.759243811335543e-06,1.7584384501651072e-06,-8.053611704358657e-10,8.053611704358657e-10,12.249969213252644,12.249969227346446
16.8,0.2,8.363770974837185e-09,2.7143436465027054e-08,2.4115021376643433e-09,8.363770974837185e-09,2.7143436465027054e-08,2.4115021376643433e-09,8.4068159390359e-09,2.728313281185223e-08,2.423913168943557e-09,0.0,0.0,1.396963468251765e-10,1.396963468251765e-10,1.396963468251765e-10,1.396963468251765e-10,0.005146597668470173,1.5013415333766713,1.0,0.40635906399495303,1.0,1.0,0.0,0.0,4.0796461726804186e-07,4.076501180249607e-07,-3.144992430811403e-10,3.144992430811403e-10,12.249992860620237,12.249992866123968
17.6,0.2,3.484481823026278e-09,7.1486903888878225e-09,8.215528967184851e-10,3.484481823026278e-09,7.1486903888878225e-09,8.215528967184851e-10,3.504101269742282e-09,7.18894123744934e-09,8.261786672347875e-10,0.0,0.0,4.0250848561517615e-11,4.0250848561517615e-11,4.0250848561517615e-11,4.0250848561517615e-11,0.005630520608933485,1.559816346703205,1.0,0.44456808785883606,1.0,1.0,0.0,0.0,5.537233504867664e-08,5.476449637638419e-08,-6.078386722924483e-10,6.078386722924483e-10,12.249999030984155,12.249999041621331
18.4,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739689e-30,1e-30,1e-30,5.870480073968777e-33,5.870480073968777e-33,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739688,1.5896510516836373,1.0,0.463514527796402,1.0,1.0,0.0,0.0,5.537233504867664e-08,5.476449637638419e-08,-6.078386722924483e-10,6.078386722924483e-10,12.249999030984155,12.249999041621331
19.200000000000003,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535278e-30,1e-30,1e-30,5.716173653527695e-33,5.716173653527695e-33,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535276,1.5704009692603986,1.0,0.4513309811859851,1.0,1.0,0.0,0.0,5.537233504867664e-08,5.476449637638419e-08,-6.078386722924483e-10,6.078386722924483e-10,12.249999030984155,12.249999041621331
20.0,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0055641423643005e-30,1.0055641423643005e-30,1.0055641423643005e-30,1e-30,1e-30,5.564142364300414e-33,5.564142364300414e-33,1.0055641423643005e-30,1.0055641423643005e-30,1.0055641423643005,1.5516627094173834,1.0,0.43932707173589636,1.0,1.0,0.0,0.0,5.537233504867664e-08,5.476449637638419e-08,-6.078386722924483e-10,6.078386722924483e-10,12.249999030984155,12.249999041621331
4.0,0.39,0.0001654979621523847,0.0014386614029499533,0.0003693819442046074,0.0001654979621523847,0.0014386614029499533,0.0003693819442046074,0.0001660168959691949,0.0014431724557944765,0.00037054017467266824,0.0,0.0,4.511052844523257e-06,4.511052844523257e-06,4.511052844523257e-06,4.511052844523257e-06,0.003135590372601511,1.280917082806759,1.0,0.24757629233153006,1.0,1.0,0.0,0.0,1.8694259606561723,1.8694113603439741,-1.460031219813196e-05,1.460031219813196e-05,1.377254578362314,1.3771689076248776
4.8,0.39,0.00019685141633857164,0.0015442312461478576,0.00015905043524855667,0.00019685141633857164,0.0015442312461478576,0.00015905043524855667,0.0001976185375459645,0.0015502490465786215,0.00015967024771520603,0.0,0.0,6.017800430763859e-06,6.017800430763859e-06,6.017800430763859e-06,6.017800430763859e-06,0.003896955488872205,1.3602809677586774,1.0,0.30769127235057525,1.0,1.0,0.0,0.0,11.50991842482554,11.509590904681522,-0.0003275201440189335,0.0003275201440189335,638.8153159789183,638.7739266251208
5.6,0.39,0.00015747505740017673,0.0012958105796536405,6.0386690183634915e-05,0.00015747505740017673,0.0012958105796536405,6.0386690183634915e-05,0.0001581891841820497,0.0013016868946361042,6.066053515591654e-05,0.0,0.0,5.876314982463651e-06,5.876314982463651e-06,5.876314982463651e-06,5.876314982463651e-06,0.004534856463383978,1.4305484675437201,1.0,0.35805791447458585,1.0,1.0,0.0,0.0,52.96156926449738,52.955564209266726,-0.00600505523065209,0.00600505523065209,16616.22140635975,16612.3512558489
6.4,0.39,0.00010390003672109304,0.0006732184212491433,2.706949721439932e-05,0.00010390003672109304,0.0006732184212491433,2.706949721439932e-05,0.00010441375093331731,0.0006765470232577762,2.7203337257922416e-05,0.0,0.0,3.3286020086329728e-06,3.3286020086329728e-06,3.3286020086329728e-06,3.3286020086329728e-06,0.004944312133433334,1.4775528482269376,1.0,0.3903872383399466,1.0,1.0,0.0,0.0,57.81329443384983,57.797657198482966,-0.01563723536686723,0.01563723536686723,19890.373680501452,19879.348359234984
7.2,0.39,7.576695236915642e-05,0.0001214700135960606,1.730011537659483e-05,7.576695236915642e-05,0.0001214700135960606,1.730011537659483e-05,7.615099515046345e-05,0.00012208571319078027,1.7387805117549288e-05,0.0,0.0,6.15699594719673e-07,6.15699594719673e-07,6.15699594719673e-07,6.15699594719673e-07,0.005068737349179326,1.4921401916441892,1.0,0.40021145959540433,1.0,1.0,0.0,0.0,3.485831483348917,3.484454010836722,-0.0013774725121948883,0.0013774725121948883,27.191831105809648,27.155928270583107
8.0,0.39,6.286562167252231e-05,8.645287411769387e-05,1.321051780601408e-05,6.286562167252231e-05,8.645287411769387e-05,1.321051780601408e-05,6.31701053080855e-05,8.687160035813995e-05,1.327450168754158e-05,0.0,0.0,4.1872624044608504e-07,4.1872624044608504e-07,4.1872624044608504e-07,4.1872624044608504e-07,0.004843404510485632,1.4658274448318904,1.0,0.38241989178356733,1.0,1.0,0.0,0.0,2.320559103860827,2.318770703002571,-0.001788400858255823,0.001788400858255823,5.296431648131554,5.275872529348993
