D,eta,coeff_1,coeff_2,coeff_3,basis_1_mumu,basis_2_mumu,basis_3_mumu,basis_1_offdiag_frob,basis_2_offdiag_frob,basis_3_offdiag_frob,tree_term_1_mumu,tree_term_2_mumu,tree_term_3_mumu,C_tree_mumu,C_match_mumu,C_ir_mumu,delta_C_match_diag_mumu,delta_C_rge_diag_mumu,tree_rebuild_residual,match_rebuild_residual,ir_rebuild_residual,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,shell_spread,coeff_cv,offdiag_mix,gap_cv,gap_asym,g_col_norm_cv,c_tree_diag_cv,pkin_entropy,action_norm_diag,action_norm_offdiag,mu_mumu_tree_recon,mu_mumu_ir_recon,mu_mumu_ir_native,abs_delta_mu_mumu_ir_recon_vs_native,chi2_uv_rge
4.8,3.43,0.07791491828745961,0.37724921781652965,0.09505110765703394,1.0000000000000001e-60,0.004161103583490356,1.0000000000000001e-60,1.0079858792610566e-31,1.2901323317381603e-31,7.971721936714691e-32,7.791491828745962e-62,0.0015697730721252953,9.505110765703395e-62,0.0015697730721252953,0.0015715932799682754,0.0015777177090269224,1.8202078429800563e-06,6.124429058647048e-06,0.0,0.0,0.0,1.3602809677586774,1.0,0.30769127235057525,1.0011595356521918,1.0,0.07111786048012514,0.7483266861513331,2.993278295504248e-29,0.3330127461264275,0.9985580509745398,0.1957340473559828,1.0288814678031082,0.8341126373933606,1.4726602518529865,1.4163259993902102,1297.485521623382,13.948141345136762,13.948141345136762,0.0,984.0990701095661
5.6,3.43,0.10068879661392005,0.3791428486472338,0.06701317657374546,1.0000000000000001e-60,0.00343434400378527,1.0000000000000001e-60,7.904352146000565e-32,1.1720655278243226e-31,5.959444798111691e-32,1.0068879661392006e-61,0.0013021069688296935,6.7013176573745465e-62,0.0013021069688296935,0.0013042924651429863,0.001310207244258683,2.1854963132927983e-06,5.9147791156967475e-06,0.0,0.0,0.0,1.4305484675437201,1.0,0.35805791447458585,1.001678430701632,1.0,0.1092096338293002,0.767379504927606,3.368022308887913e-29,0.04896323098045846,0.10296811348511037,0.28060102967778355,1.1142545846630012,0.879037262159928,1.3731955190754255,1.0711593535980681,892.7340445234471,58.02344952002788,58.02344952002787,1.4210854715202004e-14,20038.843972169645
6.4,3.43,0.12575962690668605,0.3468630854221608,0.052359654260362744,1.0000000000000001e-60,0.0019381367964826934,1.0000000000000001e-60,5.752501155700377e-32,8.804855016370669e-32,4.5605734319466625e-32,1.2575962690668605e-61,0.0006722681091982096,5.235965426036275e-62,0.0006722681091982096,0.0006736688973300254,0.0006769997266330109,1.4007881318158118e-06,3.330829302985506e-06,0.0,0.0,0.0,1.4775528482269376,1.0,0.3903872383399466,1.0020836748205808,1.0,0.1316552460415761,0.715278139509384,4.490444038446338e-29,0.23684225745303278,0.6206901777936342,0.28047183716500834,1.0740771267491565,0.9010352281964351,1.4570583697050576,1.309910589913548,237.96538610538383,59.89560616104666,59.89560616104666,0.0,21385.84962592675
7.2,3.43,0.15546199712422942,0.30682023524729596,0.04629878606320655,1.0000000000000001e-60,0.0003942546672087957,1.0000000000000001e-60,4.4222443481515865e-32,3.9711694358654393e-32,3.895876290432982e-32,1.5546199712422945e-61,0.00012096530974034708,4.629878606320656e-62,0.00012096530974034708,0.00012121690728601651,0.00012183132395132915,2.51597545669434e-07,6.144166653126358e-07,0.0,0.0,0.0,1.4921401916441892,1.0,0.40021145959540433,1.0020799148632735,1.0,0.14069871838435052,0.6301144919667779,8.300512389387294e-29,0.5397550802947837,2.3455123877977533,0.05673892634684577,0.5919358107848773,0.9103278981245463,1.4320462244303225,1.6204236024415644,7.704606346964245,3.5330918551327763,3.5330918551327763,0.0,28.43800539021118
8.0,3.43,0.18204732350682404,0.30804493691236984,0.04395335965797054,1.0000000000000001e-60,0.0002788905285962925,1.0000000000000001e-60,3.724670408224819e-32,3.3400031652457607e-32,3.50419033094253e-32,1.8204732350682404e-61,8.59108152869024e-05,4.3953359657970545e-62,8.59108152869024e-05,8.610281789860667e-05,8.651984867518231e-05,1.9200261170427006e-07,4.1703077657564383e-07,0.0,0.0,0.0,1.4658274448318904,1.0,0.38241989178356733,1.0022349061764002,1.0,0.1520636193182569,0.6058618762702935,9.732597691953039e-29,0.5891268740470006,2.8676826827286432,0.04473497088292337,0.5580450217225088,0.9133806364159601,1.4452584351748583,1.665287061215118,3.8861937720148028,2.326401211369646,2.326401211369646,0.0,5.363870027669671
8.8,3.43,0.15532925669130593,0.26822733985107144,0.04235738192353969,1.0000000000000001e-60,0.00021803260940042338,1.0000000000000001e-60,2.3881380588317396e-32,2.9531854625161854e-32,2.579827620959073e-32,1.5532925669130595e-61,5.8482306820263274e-05,4.235738192353969e-62,5.8482306820263274e-05,5.8569535886315406e-05,5.8893790282328354e-05,8.722906605213146e-08,3.2425439601294835e-07,0.0,0.0,0.0,1.5482467554553723,1.0,0.43712316521321565,1.001491546260653,1.0,0.11517223325097901,0.5937428157982927,1.2483365527533563e-28,0.1526414316992487,0.36027589124483117,0.08885835383790645,0.7386124128073621,0.9135092940138594,1.2831884075109417,1.2087482232265034,1.8008509128452201,1.583612746466925,1.5836127464669245,4.440892098500626e-16,0.21071025415704459
9.600000000000001,3.43,0.1615250298213807,0.2625585966287155,0.041326765125282786,1.0000000000000001e-60,0.00016598138027800193,1.0000000000000001e-60,1.6485998528050524e-32,2.5766752242221136e-32,1.956789256143102e-32,1.6152502982138072e-61,4.357983827228934e-05,4.132676512528279e-62,4.357983827228934e-05,4.364614009873791e-05,4.38876890642105e-05,6.630182644856849e-08,2.415489654725874e-07,0.0,0.0,0.0,1.5480056645464257,1.0,0.4369674344285572,1.0015213876204476,1.0,0.11485685465158924,0.5829075328039723,1.5205403540271516e-28,0.1066533286499557,0.23877254389671365,0.18728807642891,0.8851615241089844,0.9126874960731569,1.3214390644594516,1.1497013156171452,0.99999999752253,0.9999999979716239,0.9999999979716241,2.220446049250313e-16,1.000000010141879
10.4,3.43,0.17639310278994444,0.26744080649196844,0.04063825721607377,1.0000000000000001e-60,0.00011205461341960352,1.0000000000000001e-60,1.297333462625057e-32,2.117117034267152e-32,1.4411276959137232e-32,1.7639310278994445e-61,2.9967976184084514e-05,4.063825721607377e-62,2.9967976184084514e-05,3.0019744347125364e-05,3.0179680140169682e-05,5.176816304084975e-08,1.5993579304431811e-07,0.0,0.0,0.0,1.5229622419775668,1.0,0.42065728173279693,1.001727449418768,1.0,0.12533762689732517,0.5770575959604645,1.8818072693505863e-28,0.19108966093919896,0.472461907610346,0.220824975839357,0.9172112618700295,0.9115432851342707,1.380053889896946,1.2559774722814012,0.47287200132897145,0.4952548911388683,0.49525489113886845,1.6653345369377348e-16,5.116023200050878
11.2,3.43,0.19039182204919433,0.27312195340649453,0.040136034496110536,1.0000000000000001e-60,6.0315134839430895e-05,1.0000000000000001e-60,9.786270620734407e-33,1.553256383723317e-32,8.90454950613309e-33,1.9039182204919434e-61,1.647338744732148e-05,4.013603449611054e-62,1.647338744732148e-05,1.65050879822209e-05,1.6589765197411687e-05,3.170053489942075e-08,8.467721519078681e-08,0.0,0.0,0.0,1.499419168235305,1.0,0.40507781194222237,1.0019243482860336,1.0,0.1353663151635882,0.5744380150759414,2.5787377240566718e-28,0.26361689275729705,0.7159775670150244,0.25761164719784035,0.9184677759010066,0.9102765370125353,1.4258283021533602,1.3404293458524341,0.14288761801137304,0.15211190259139923,0.15211190259139923,0.0,9.732654397837855
12.0,3.43,0.20336917430389131,0.27894910771807685,0.039827581170837636,1.0000000000000001e-60,2.957082437531488e-05,1.0000000000000001e-60,7.026954938208634e-33,1.0875812498441646e-32,6.986406599875982e-33,2.0336917430389132e-61,8.248755073982043e-06,3.982758117083764e-62,8.248755073982043e-06,8.265833152129211e-06,8.306731471431416e-06,1.7078078147168276e-08,4.089831930220467e-08,0.0,0.0,0.0,1.4779687035454037,1.0,0.3906686474340275,1.0020703824994193,1.0,0.14464355018632655,0.5733931516996877,3.6558279480067737e-28,0.324701506182844,0.9616532811955605,0.21985478162960875,0.8771174053715289,0.9093091097772936,1.4365937998417064,1.407463712250409,0.03582659939093273,0.038202617653778324,0.038202617653778324,0.0,11.59057569103138
12.8,3.43,0.17135253153744634,0.22310074191813284,0.039621467084039026,1.0000000000000001e-60,9.186019029316344e-06,1.0000000000000001e-60,4.0388379677876596e-33,6.0616892131868145e-33,4.55444315358891e-33,1.7135253153744637e-61,2.049407660714563e-06,3.962146708403903e-62,2.049407660714563e-06,2.052009930539619e-06,2.0638670503784746e-06,2.602269825056104e-09,1.1857119838855512e-08,0.0,0.0,0.0,1.5781226258875372,1.0,0.4562359290923607,1.0012697668086927,1.0,0.10063809092004923,0.5338322597762198,6.46404423547135e-28,0.11428700520012199,0.2580678072267517,0.17569428045847932,0.7916633955499218,0.9085355337544835,1.2989829216021613,1.1597086448540501,0.002211492551846793,0.0023602684236154973,0.002360268423615497,4.336808689942018e-19,12.208730120505674
13.600000000000001,3.43,0.17197318409683332,0.21729039700809313,0.03944983669729968,1.0000000000000001e-60,2.5885617446326796e-06,1.0000000000000001e-60,2.2787958365921463e-33,3.2178015753819755e-33,3.0149352342625718e-33,1.7197318409683334e-61,5.624696091711971e-07,3.944983669729968e-62,5.624696091711971e-07,5.631442223890727e-07,5.66422562930896e-07,6.74613217875585e-10,3.2783405418232864e-09,0.0,0.0,0.0,1.5835144599575646,1.0,0.4596467185984162,1.001199377187453,1.0,0.09808481357269962,0.5280216019097187,1.1763488295712895e-27,0.11527755794505871,0.2605959846057573,0.14219344601157302,0.6820544847944048,0.907825510874757,1.263700761674024,1.1610009932696252,0.00016658154837844705,0.00017780461932358376,0.0001778046193235838,5.421010862427522e-20,12.246888616752354
14.4,3.43,0.18124703391907562,0.22399964546084833,0.03936741301708171,1.0000000000000001e-60,1.2472862552806118e-06,1.0000000000000001e-60,1.567404010988234e-33,2.233639411615592e-33,2.035717144397029e-33,1.8124703391907566e-61,2.793916789710462e-07,3.936741301708171e-62,2.793916789710462e-07,2.7977255175741174e-07,2.8135031510059304e-07,3.8087278636553007e-10,1.5777633431813045e-09,0.0,0.0,0.0,1.5609164733916419,1.0,0.4452731317042589,1.0013632216527286,1.0,0.10740742647090296,0.5324657751502841,1.706898530707589e-27,0.19599958236239193,0.48756089689181237,0.14358465010708318,0.6958543941494896,0.9074244704977343,1.3078595522453393,1.2618790978739667,4.110131391852565e-05,4.3870104388351714e-05,4.3870104388351714e-05,0.0,12.249232285201863
15.200000000000001,3.43,0.19010426637722727,0.23075409965198201,0.0393231526231386,1.0000000000000001e-60,6.36458540351539e-07,1.0000000000000001e-60,1.0224279419523345e-33,1.595567034444544e-33,1.0936942886213224e-33,1.901042663772273e-61,1.4686541744463405e-07,3.932315262313861e-62,1.4686541744463405e-07,1.470959530492476e-07,1.479002809525878e-07,2.3053560461355164e-10,8.043279033401839e-10,0.0,0.0,0.0,1.5399344597018174,1.0,0.4317398568847099,1.0015697065287712,1.0,0.11619019864791928,0.5368509890678882,2.498835029765596e-27,0.26351295792832896,0.7155942817054621,0.20614409899481195,0.8194368900488691,0.9071879489454665,1.3881517262250846,1.3403122806873127,1.1357110690183032e-05,1.2123128350018792e-05,1.2123128350018789e-05,3.3881317890172014e-21,12.249787846172435
16.0,3.43,0.19896055497332452,0.23734654100015917,0.03928219613378043,1.0000000000000001e-60,2.3577682401147757e-07,1.0000000000000001e-60,6.366952551262236e-34,9.711371149564362e-34,7.299676125005615e-34,1.9896055497332453e-61,5.5960813627127475e-08,3.928219613378043e-62,5.5960813627127475e-08,5.60562316598868e-08,5.635355769619061e-08,9.541803275932623e-11,2.973260363038096e-10,0.0,0.0,0.0,1.520124718640573,1.0,0.4187923832293445,1.0017050865878239,1.0,0.12459912372608362,0.5410001788740852,4.0661872638707335e-27,0.3217878591111364,0.9489298103375201,0.18083051406094844,0.7848913475230797,0.9069602961348278,1.4023243949515753,1.4043428740235022,1.6489094646324035e-06,1.7600275186097e-06,1.7600275186097e-06,0.0,12.249969199537782
