D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
12.0,0.2,2.510492526187209e-06,8.248761138314983e-06,4.859955493187072e-07,2.51139704076682e-06,8.251733114783945e-06,4.861706504414548e-07,2.523823122466937e-06,8.29256166884665e-06,4.885761626422417e-07,2.9719764689621213e-09,2.9719764689621213e-09,4.0828554062705556e-08,4.0828554062705556e-08,4.380053053166768e-08,4.380053053166768e-08,0.005309952585269676,1.4779687035454037,1.0,0.3906686474340275,1.0003602936755143,1.0,0.0,0.0,input_tied,0.0568952967286554,0.0,0.14464355018632655,0.5733932596472961,3.6558276713953666e-28,0.03820536915314077,0.038166392114151966,-3.897703898880084e-05,3.897703898880084e-05,11.590528853770833,11.591192347296158
12.8,0.2,6.987777679838202e-07,2.0494321184607085e-06,2.0546569946694125e-07,6.989485337715037e-07,2.0499329542142883e-06,2.0551591072668504e-07,7.029872649700129e-07,2.061778072670097e-06,2.0670344239795576e-07,5.008357535797982e-10,5.008357535797982e-10,1.1845118455808773e-08,1.1845118455808773e-08,1.2345954209388572e-08,1.2345954209388572e-08,0.006024085451857461,1.5781226258875372,1.0,0.4562359290923607,1.0002443778201133,1.0,0.0,0.0,input_tied,0.03859059854271584,0.0,0.10063809092004923,0.5338366691941206,6.464039578999375e-28,0.002360365373917612,0.0023613058887066666,9.405147890547555e-07,9.405147890547555e-07,12.208728426735803,12.208711995482005
13.600000000000001,0.2,2.2327272996020326e-07,5.624265717181725e-07,8.965344399731104e-08,2.2332570585862553e-07,5.625600186148833e-07,8.967471606104786e-08,2.246257950479306e-07,5.658349582181167e-07,9.019675685548633e-08,1.3344689671078953e-10,1.3344689671078953e-10,3.2749396032334376e-09,3.2749396032334376e-09,3.408386499944227e-09,3.408386499944227e-09,0.006060144863945267,1.5835144599575646,1.0,0.4596467185984162,1.000237269900501,1.0,0.0,0.0,input_tied,0.0374681608677078,0.0,0.09808481357269962,0.5279902974964306,1.1763507368333603e-27,0.00017779019525587393,0.00017787379835899818,8.36031031242507e-08,8.36031031242507e-08,12.24688886914148,12.246887406273014
14.4,0.2,1.1131066673668665e-07,2.793823306840649e-07,4.0799391706625195e-08,1.11339671246205e-07,2.794551300635597e-07,4.081002291008296e-08,1.1196756576563033e-07,2.8103110332293994e-07,4.1040168997601044e-08,7.279937949481032e-11,7.279937949481032e-11,1.575973259380224e-09,1.575973259380224e-09,1.6487726388750344e-09,1.6487726388750344e-09,0.005901492176824607,1.5609164733916419,1.0,0.4452731317042589,1.0002605725971165,1.0,0.0,0.0,input_tied,0.04114797522087915,0.0,0.10740742647090296,0.5324070810699959,1.706879698711195e-27,4.387184755862388e-05,4.3878635950253405e-05,6.788391629527178e-09,6.788391629527178e-09,12.249232254697342,12.249232135904208
15.200000000000001,0.2,4.9719954079899026e-08,1.4657335329968847e-07,1.1801348079610915e-08,4.973400047457906e-08,1.4661476176854415e-07,1.1804682080937954e-08,5.0005948434378104e-08,1.4741645849430338e-07,1.186923066294129e-08,4.1408468855676865e-11,4.1408468855676865e-11,8.016967257592352e-10,8.016967257592352e-10,8.431051946149121e-10,8.431051946149121e-10,0.0057521041555969096,1.5399344597018174,1.0,0.4317398568847099,1.000282510210236,1.0,0.0,0.0,input_tied,0.04461222422875725,0.0,0.11619019864791928,0.5358343387962237,2.4991003148885037e-27,1.2075383966998948e-05,1.2073665475942657e-05,-1.7184910562918743e-09,1.7184910562918743e-09,12.24978868169192,12.249788711765255
16.0,0.2,2.0165371176482903e-08,5.612530329078049e-08,5.197701772296492e-09,2.0171507412460664e-08,5.6142381979900646e-08,5.199283410657508e-09,2.027849844927543e-08,5.644016496331662e-08,5.226860760799243e-09,1.7078689120155965e-11,1.7078689120155965e-11,2.9778298341597574e-10,2.9778298341597574e-10,3.148616725361317e-10,3.148616725361317e-10,0.005609977213038115,1.520124718640573,1.0,0.4187923832293445,1.0003042957118944,1.0,0.0,0.0,input_tied,0.04805245275753466,0.0,0.12459912372608362,0.5426257045971616,4.0660163687710654e-27,1.7705507419393659e-06,1.7697984762005774e-06,-7.522657387885034e-10,7.522657387885034e-10,12.249969015381605,12.249969028546241
16.8,0.2,8.364325250162602e-09,2.705844584190968e-08,2.415816165380267e-09,8.367067403630274e-09,2.706731666040084e-08,2.4166081645525883e-09,8.41012933322173e-09,2.7206621249217e-08,2.4290454744978805e-09,8.870818491158171e-12,8.870818491158171e-12,1.3930458881616072e-10,1.3930458881616072e-10,1.481754073073189e-10,1.481754073073189e-10,0.005476124097187292,1.5013415333766713,1.0,0.40635906399495303,1.0003278391723969,1.0,0.0,0.0,input_tied,0.05177028701979095,0.0,0.13268580337603814,0.5606880526041327,6.119560513184084e-27,4.115254256548783e-07,4.1124107859952676e-07,-2.8434705535153105e-10,2.8434705535153105e-10,12.249992798306106,12.24999280328218
17.6,0.2,3.484410888318046e-09,7.139226485334225e-09,8.222198924376402e-10,3.485311409687385e-09,7.141071567965596e-09,8.224323893581148e-10,3.504935527408181e-09,7.181279518598895e-09,8.270631118758501e-10,1.8450826313710803e-12,1.8450826313710803e-12,4.020795063329938e-11,4.020795063329938e-11,4.205303326467046e-11,4.205303326467046e-11,0.005890418710074266,1.559816346703205,1.0,0.44456808785883606,1.000258442932881,1.0,0.0,0.0,input_tied,0.04081167212466809,0.0,0.10702376707827714,0.5253311760113416,1.0452097502090277e-26,5.6207073804593766e-08,5.5558085031658675e-08,-6.489887729350915e-10,6.489887729350915e-10,12.249999016376224,12.249999027733528
18.4,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739689e-30,1e-30,1e-30,5.870480073968777e-33,5.870480073968777e-33,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739688,1.5896510516836373,1.0,0.463514527796402,1.0001491574997905,1.0,0.0,0.0,input_tied,0.023554008262195277,0.0,0.09421603304878111,0.0,0.0,5.6207073804593766e-08,5.5558085031658675e-08,-6.489887729350915e-10,6.489887729350915e-10,12.249999016376224,12.249999027733528
19.200000000000003,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535278e-30,1e-30,1e-30,5.716173653527695e-33,5.716173653527695e-33,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535276,1.5704009692603986,1.0,0.4513309811859851,1.0001617549823998,1.0,0.0,0.0,input_tied,0.025543322979062127,0.0,0.10217329191624851,0.0,0.0,5.6207073804593766e-08,5.5558085031658675e-08,-6.489887729350915e-10,6.489887729350915e-10,12.249999016376224,12.249999027733528
20.0,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0055641423643005e-30,1.0055641423643005e-30,1.0055641423643005e-30,1e-30,1e-30,5.564142364300414e-33,5.564142364300414e-33,1.0055641423643005e-30,1.0055641423643005e-30,1.0055641423643005,1.5516627094173834,1.0,0.43932707173589636,1.0001741788785037,1.0,0.0,0.0,input_tied,0.027505226013716272,0.0,0.11002090405486509,0.0,0.0,5.6207073804593766e-08,5.5558085031658675e-08,-6.489887729350915e-10,6.489887729350915e-10,12.249999016376224,12.249999027733528
4.0,0.39,0.00016435372048146063,0.0014798793343970764,0.0003418631110110614,0.00016438843876545283,0.0014801919459452378,0.0003419353265991221,0.0001649038935714128,0.001484833221560546,0.0003430074957172587,3.1261154816142854e-07,3.1261154816142854e-07,4.641275615308244e-06,4.641275615308244e-06,4.953887163469672e-06,4.953887163469672e-06,0.0033474939803034387,1.280917082806759,1.0,0.24757629233153006,1.0002112412416981,1.0,0.0,0.0,input_tied,0.03335787982008203,0.0,0.07718149434815945,0.7288019674564653,2.8776779761078553e-29,2.4448817340068487,2.4448577365744812,-2.3997432367472982e-05,2.3997432367472982e-05,6.823611487882244,6.823298060497176
4.8,0.39,0.00019574823662416805,0.0015684082500680974,0.0001519655378412984,0.00019578677801838392,0.001568717058166192,0.00015199545874276948,0.00019654975037763125,0.0015748302787165001,0.00015258777828000076,3.0880809809459564e-07,3.0880809809459564e-07,6.113220550308133e-06,6.113220550308133e-06,6.422028648402729e-06,6.422028648402729e-06,0.0040946154473007245,1.3602809677586774,1.0,0.30769127235057525,1.0001968926764324,1.0,0.0,0.0,input_tied,0.031092045213761434,0.0,0.07111786048012514,0.7487615630647682,2.993885844525977e-29,13.751970835344054,13.75149937473754,-0.0004714606065139293,0.0004714606065139293,953.5698969824377,953.4971050258863
5.6,0.39,0.0001571487821813237,0.0013021843961999173,5.952962446598845e-05,0.00015719680551851551,0.0013025823327252701,5.954781621516367e-05,0.00015790967046804447,0.001308489356635919,5.981785701440741e-05,3.979365253527819e-07,3.979365253527819e-07,5.9070239106489425e-06,5.9070239106489425e-06,6.304960436001724e-06,6.304960436001724e-06,0.004841833809713197,1.4305484675437201,1.0,0.35805791447458585,1.0003055915325925,1.0,0.0,0.0,input_tied,0.04825708056015101,0.0,0.1092096338293002,0.7675026961661312,3.3680490616590615e-29,57.98141445255387,57.974518777665004,-0.006895674888866665,0.006895674888866665,20009.102884072952,20004.226093277313
6.4,0.39,0.00010403240172801354,0.0006722762677837851,2.7226661152841032e-05,0.00010406959506570504,0.0006725166178846608,2.7236395143267565e-05,0.0001045841476273099,0.0006758417499584035,2.737106038224541e-05,2.403501008756831e-07,2.403501008756831e-07,3.325132073742662e-06,3.325132073742662e-06,3.565482174618345e-06,3.565482174618345e-06,0.005303596669226856,1.4775528482269376,1.0,0.3903872383399466,1.0003575168608405,1.0,0.0,0.0,input_tied,0.056456799731440396,0.0,0.1316552460415761,0.7152920655698475,4.490444037240646e-29,59.89388950310497,59.879278210548954,-0.014611292556018896,0.014611292556018896,21384.594432509086,21373.912375167412
7.2,0.39,7.600594590530699e-05,0.00012096549319106766,1.75679713156894e-05,7.603354382828626e-05,0.00012100941602268922,1.7574350283985857e-05,7.641893789167916e-05,0.0001216227809692858,1.7663430049657855e-05,4.392283162155705e-08,4.392283162155705e-08,6.133649465965861e-07,6.133649465965861e-07,6.572877782181431e-07,6.572877782181431e-07,0.005433679976652041,1.4921401916441892,1.0,0.40021145959540433,1.0003631021580028,1.0,0.0,0.0,input_tied,0.05733879450671165,0.0,0.14069871838435052,0.6301156162653222,8.300514929464497e-29,3.532800267571452,3.5316231972930683,-0.0011770702783837628,0.0011770702783837628,28.430231133455354,28.39885909523702
8.0,0.39,6.31393068273821e-05,8.591083025389693e-05,1.3492972088047451e-05,6.316371603186723e-05,8.59440427664905e-05,1.3498188374563071e-05,6.346964345899502e-05,8.63603045308751e-05,1.3563565561019815e-05,3.3212512593573185e-08,3.3212512593573185e-08,4.162617643845999e-07,4.162617643845999e-07,4.494742769781731e-07,4.494742769781731e-07,0.0052318697846338745,1.4658274448318904,1.0,0.38241989178356733,1.0003865928486015,1.0,0.0,0.0,input_tied,0.06104829567980598,0.0,0.1520636193182569,0.605861966287592,9.73259792018171e-29,2.326336305231986,2.324800826663291,-0.001535478568694959,0.001535478568694959,5.363118439942793,5.345353556231915
8.8,0.39,2.2146857620247044e-05,5.848230796281681e-05,7.04775033011198e-06,2.2153293359275754e-05,5.8499302557639204e-05,7.049798362507449e-06,2.2275939076869495e-05,5.8823168125821684e-05,7.088827664608886e-06,1.6994594822395813e-08,1.6994594822395813e-08,3.2386556818248056e-07,3.2386556818248056e-07,3.408601630048764e-07,3.408601630048764e-07,0.005828432134066872,1.5482467554553723,1.0,0.43712316521321565,1.000290593778091,1.0,0.0,0.0,input_tied,0.045888730098838273,0.0,0.11517223325097901,0.5937428251074812,1.2483365522047047e-28,1.5836854161367002,1.5836977495769018,1.2333440201572898e-05,1.2333440201572898e-05,0.21087707563320476,0.21090539499761346
9.600000000000001,0.39,1.0975147121485077e-05,4.357983841062823e-05,3.956029580418546e-06,1.0978306073992337e-05,4.359238189986708e-05,3.957168235729817e-06,1.1039062843521447e-05,4.383363335364004e-05,3.979068222564373e-06,1.254348923885565e-08,1.254348923885565e-08,2.412514537729579e-07,2.412514537729579e-07,2.5379494301181355e-07,2.5379494301181355e-07,0.005823677926945186,1.5480056645464257,1.0,0.4369674344285572,1.0002878278051577,1.0,0.0,0.0,input_tied,0.045451945160637976,0.0,0.11485685465158924,0.5829075347227113,1.5205403538262763e-28,1.000000004530878,1.0000000045313937,5.158096172408477e-13,5.158096172408477e-13,0.9999999773456102,0.9999999773430311
