D,eta,coeff_l1,coeff_l2,tree_diag_susceptibility_parented,coeff_participation_access_parented,tree_diag_compressibility_parented,stationarity_s_part,stationarity_s_schur,stationarity_response_action,stationarity_response_weight,stationarity_score_alpha,stationarity_score_beta,stationarity_cross_xi,stationarity_lambda_quartic_density,eymh_parented_prefactor_diag
12.8,0.39,0.4340743669944907,0.2840864732223568,0.7104634185829285,0.808990100690447,0.7646155125995896,0.42393719695018284,0.5367643388185979,0.9607015357687807,0.6185663805274197,-0.21196859847509142,-0.26838216940929893,0.1435225019957199,0.0019703919583867377,0.0392926809931249
13.6,0.39,0.4287111875175987,0.2799014713307117,0.6115334287634345,0.8080164124312916,0.7877353600980089,0.42634581650474207,0.4771861659387096,0.9035319824434517,0.6365030996116648,-0.21317290825237104,-0.2385930829693548,0.13171867550818192,0.0017572589524715992,0.0396210022414701
14.4,0.39,0.44461773816574,0.2908235437512176,0.5818492502540765,0.8087632122840402,0.7950921277359606,0.424498193255552,0.4585945741944524,0.8830927674500044,0.643041263289488,-0.212249096627776,-0.2292972870972262,0.12723264116124391,0.00167345784934593,0.0396846783076986
15.2,0.39,0.4600914356264559,0.3014442407480813,0.648028357300619,0.8094339590236094,0.7789644892311359,0.42284018324323375,0.4995796384391297,0.9224198216823635,0.630520310457162,-0.21142009162161687,-0.24978981921956486,0.13558685239523746,0.0018271463210742345,0.0417242863639605
16.0,0.39,0.4760466013004638,0.3127055207762198,0.5954494782179597,0.8104813764534904,0.7916960385595462,0.42025383183854315,0.46715550106273734,0.8874093329012804,0.6416548950645167,-0.21012691591927157,-0.23357775053136867,0.12805832531143294,0.0016879464643834328,0.0435038855570558
16.8,0.39,0.4911538066157465,0.3230784583082524,0.5615203171497523,0.8110455462011041,0.8002509168088998,0.41886213179953374,0.44565990895942537,0.8645220407589591,0.6490399419212085,-0.20943106589976687,-0.22282995447971268,0.12305643834295363,0.0015947460640022505,0.0431099782091254
17.6,0.39,0.4410367983505292,0.2876304861315658,0.5353027450111023,0.8075697528076581,0.8070547292918159,0.42745169286002216,0.42872758961253354,0.8561792824725557,0.6517529882364431,-0.21372584643001108,-0.21436379480626677,0.12127571595302504,0.0015619019428042068,0.0407600933091185
18.4,0.39,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0586804347402074
19.200000000000003,0.39,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0580670617382019
20.0,0.39,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0622911350603241
