D,eta,C_uv_ee,C_uv_mumu,C_uv_tautau,C_match_ee,C_match_mumu,C_match_tautau,C_ir_ee,C_ir_mumu,C_ir_tautau,delta_C_match_mumu,abs_delta_C_match_mumu,delta_C_rge_mumu,abs_delta_C_rge_mumu,delta_C_mumu,abs_delta_C_mumu,rel_delta_C_mumu,mu_match,mu_low,log_ratio,finite_fac_diag,finite_fac_offdiag,kappa_diag,kappa_offdiag,finite_match_mode,kappa_diag_eff,kappa_offdiag_eff,shell_spread,coeff_cv,offdiag_mix,gap_cv,gap_asym,g_col_norm_cv,c_tree_diag_cv,pkin_entropy,action_norm_diag,action_norm_offdiag,mu_mumu_uv_tree,mu_mumu_uv_rge,delta_mu_mumu,abs_delta_mu_mumu,chi2_uv_tree,chi2_uv_rge
12.0,0.2,2.510492526187209e-06,8.248761138314983e-06,4.859955493187072e-07,2.5156902067813614e-06,8.265839231656106e-06,4.870017461542639e-07,2.528137530535516e-06,8.306737581039058e-06,4.894113705137658e-07,1.707809334112331e-08,1.707809334112331e-08,4.0898349382951797e-08,4.0898349382951797e-08,5.797644272407511e-08,5.797644272407511e-08,0.007028503038447572,1.4779687035454037,1.0,0.3906686474340275,1.0020703828192814,1.0,0.0,0.0,action_normalized,0.3269417501619208,0.0,0.14464355018632655,0.5733932596472961,3.6558276713953666e-28,0.324701506182844,0.9616532811955605,0.21985478162960875,0.8771178989054502,0.9093093189472398,1.4365939232251868,1.407463712250409,0.03820536915314077,0.038202673735767724,-2.695417373042852e-06,2.695417373042852e-06,11.590528853770833,11.590574736377572
12.8,0.2,6.987777679838202e-07,2.0494321184607085e-06,2.0546569946694125e-07,6.996650567166025e-07,2.0520344308275704e-06,2.0572659414399466e-07,7.037079281964529e-07,2.0638916922363304e-06,2.0691534320631692e-07,2.6023123668619397e-09,2.6023123668619397e-09,1.1857261408760014e-08,1.1857261408760014e-08,1.4459573775621953e-08,1.4459573775621953e-08,0.007055405078008769,1.5781226258875372,1.0,0.4562359290923607,1.0012697724132558,1.0,0.0,0.0,action_normalized,0.2005144223720319,0.0,0.10063809092004923,0.5338366691941206,6.464039578999375e-28,0.11428700520012199,0.2580678072267517,0.17569428045847932,0.7916713924836573,0.9085350079277832,1.2989849208355952,1.1597086448540501,0.002360365373917612,0.002360324789045027,-4.058487258502136e-08,4.058487258502136e-08,12.208728426735803,12.208729135773645
13.600000000000001,0.2,2.2327272996020326e-07,5.624265717181725e-07,8.965344399731104e-08,2.2354050961033493e-07,5.631011117330964e-07,8.976096885209729e-08,2.2484184927832693e-07,5.663792013065076e-07,9.028351176661531e-08,6.745400149238967e-10,6.745400149238967e-10,3.278089573411199e-09,3.278089573411199e-09,3.952629588335096e-09,3.952629588335096e-09,0.0070278144509781934,1.5835144599575646,1.0,0.4596467185984162,1.0011993388094436,1.0,0.0,0.0,action_normalized,0.18939199347330837,0.0,0.09808481357269962,0.5279902974964306,1.1763507368333603e-27,0.11527755794505871,0.2605959846057573,0.14219344601157302,0.6819962957925976,0.9078328296404699,1.263686214423572,1.1610009932696252,0.00017779019525587393,0.00017777739650959773,-1.2798746276205175e-08,1.2798746276205175e-08,12.24688886914148,12.246889093091093
14.4,0.2,1.1131066673668665e-07,2.793823306840649e-07,4.0799391706625195e-08,1.1146240070979585e-07,2.797631728108261e-07,4.0855007704494736e-08,1.120909873559061e-07,2.8134088326190616e-07,4.108540748151587e-08,3.808421267611717e-10,3.808421267611717e-10,1.5777104510800866e-09,1.5777104510800866e-09,1.9585525778412583e-09,1.9585525778412583e-09,0.0070102950785962785,1.5609164733916419,1.0,0.4452731317042589,1.0013631575262067,1.0,0.0,0.0,action_normalized,0.21526120832044612,0.0,0.10740742647090296,0.5324070810699959,1.706879698711195e-27,0.19599958236239193,0.48756089689181237,0.14358465010708318,0.6958086696085115,0.907472730085574,1.3078481211100947,1.2618790978739667,4.387184755862388e-05,4.386716287650698e-05,-4.684682116899285e-09,4.684682116899285e-09,12.249232254697342,12.249232336676709
15.200000000000001,0.2,4.9719954079899026e-08,1.4657335329968847e-07,1.1801348079610915e-08,4.9797929305529735e-08,1.468032225846968e-07,1.1819855996528445e-08,5.007022683131952e-08,1.4760594982346453e-07,1.1884487550248266e-08,2.2986928500831996e-10,2.2986928500831996e-10,8.027272387677349e-10,8.027272387677349e-10,1.0325965237760548e-09,1.0325965237760548e-09,0.00704491301133553,1.5399344597018174,1.0,0.4317398568847099,1.001568288367793,1.0,0.0,0.0,action_normalized,0.24765417243116167,0.0,0.11619019864791928,0.5358343387962237,2.4991003148885037e-27,0.26351295792832896,0.7155942817054621,0.20614409899481195,0.8180925978636038,0.9076578822018635,1.3878156531787684,1.3403122806873127,1.2075383966998948e-05,1.2074924690936111e-05,-4.592760628374697e-10,4.592760628374697e-10,12.24978868169192,12.249788689729177
16.0,0.2,2.0165371176482903e-08,5.612530329078049e-08,5.197701772296492e-09,2.0199802878626292e-08,5.6221135383763203e-08,5.206576675599169e-09,2.030694399650343e-08,5.651933608054882e-08,5.234192709710423e-09,9.583209298271328e-11,9.583209298271328e-11,2.9820069678561903e-10,2.9820069678561903e-10,3.940327897683323e-10,3.940327897683323e-10,0.0070205908327458195,1.520124718640573,1.0,0.4187923832293445,1.00170746681735,1.0,0.0,0.0,action_normalized,0.2696323522437088,0.0,0.12459912372608362,0.5426257045971616,4.0660163687710654e-27,0.3217878591111364,0.9489298103375201,0.18083051406094844,0.786802702341457,0.9059933867437956,1.4028022336561696,1.4043428740235022,1.7705507419393659e-06,1.7703978907718135e-06,-1.5285116755241143e-10,1.5285116755241143e-10,12.249969015381605,12.249969018056499
16.8,0.2,8.364325250162602e-09,2.705844584190968e-08,2.415816165380267e-09,8.380109151615713e-09,2.7109506486955106e-08,2.420374931705435e-09,8.423238201836943e-09,2.7249028209834245e-08,2.432831627685774e-09,5.106064504542494e-11,5.106064504542494e-11,1.3952172287913877e-10,1.3952172287913877e-10,1.905823679245637e-10,1.905823679245637e-10,0.0070433597346296496,1.5013415333766713,1.0,0.40635906399495303,1.0018870501781125,1.0,0.0,0.0,action_normalized,0.2979910198876209,0.0,0.13268580337603814,0.5606880526041327,6.119560513184084e-27,0.3729068193667717,1.1893186878231288,0.1777839621892827,0.8324265017386813,0.9175631953686375,1.439006025665377,1.4580718575681215,4.115254256548783e-07,4.115085066954818e-07,-1.691895939648644e-11,1.691895939648644e-11,12.249992798306106,12.249992798602191
17.6,0.2,3.484410888318046e-09,7.139226485334225e-09,8.222198924376402e-10,3.4892255624326104e-09,7.149091294640208e-09,8.233560158626563e-10,3.5088717188711048e-09,7.1893444005098275e-09,8.279919388784604e-10,9.864809305983397e-12,9.864809305983397e-12,4.025310586961934e-11,4.025310586961934e-11,5.0117915175602737e-11,5.0117915175602737e-11,0.00702007637361801,1.559816346703205,1.0,0.44456808785883606,1.0013817756484191,1.0,0.0,0.0,action_normalized,0.21820126433529213,0.0,0.10702376707827714,0.5253311760113416,1.0452097502090277e-26,0.2679119024066777,0.7319116463917812,0.1320001313909301,0.6787167217905434,0.9037860142270192,1.3366351644987071,1.345257621215382,5.6207073804593766e-08,5.5421309149153085e-08,-7.85764655440681e-10,7.85764655440681e-10,12.249999016376224,12.249999030127107
18.4,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739689e-30,1e-30,1e-30,5.870480073968777e-33,5.870480073968777e-33,1.0058704800739689e-30,1.0058704800739689e-30,1.0058704800739688,1.5896510516836373,1.0,0.463514527796402,1.000657181480739,1.0,0.0,0.0,action_normalized,0.103777939753867,0.0,0.09421603304878111,0.0,0.0,0.20297833384972,0.5093420730458487,0.0,0.0,-0.0,1.10148916692486,1.2702190003210754,5.6207073804593766e-08,5.5421309149153085e-08,-7.85764655440681e-10,7.85764655440681e-10,12.249999016376224,12.249999030127107
19.200000000000003,0.2,0.0,0.0,0.0,1e-30,1e-30,1e-30,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535278e-30,1e-30,1e-30,5.716173653527695e-33,5.716173653527695e-33,1.0057161736535278e-30,1.0057161736535278e-30,1.0057161736535276,1.5704009692603986,1.0,0.4513309811859851,1.0007338863028497,1.0,0.0,0.0,action_normalized,0.11589067975208274,0.0,0.10217329191624851,0.0,0.0,0.26851220272081255,0.7341536078101636,0.0,0.0,-0.0,1.1342561013604062,1.3459310085035026,5.6207073804593766e-08,5.5421309149153085e-08,-7.85764655440681e-10,7.85764655440681e-10,12.249999016376224,12.249999030127107
