q_ss,q_dd,q_sd,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
-0.025,0.0,0.025,0.00025705578599283897,0.0008579541263907739,0.0008874521072388397,0.0005562599498136755,0.00014197974507390576,0.002989423208030672,0.010096684523194996,0.9976027716342831
-0.025,0.025,0.0,0.00025694660913951,0.0008570009175824446,0.00089653923073163,0.0006721790250097115,0.00013795353875312166,0.00391106126779698,0.009783542546755605,0.9963638871641864
-0.025,-0.0125,0.025,0.0002570696428705077,0.0008572962694055779,0.0009052588178444232,0.0005627807649104533,0.000142038460338334,0.003717929234843515,0.010215043957280387,0.9985717476525428
0.0,0.0,-0.025,0.0002572386308954116,0.0008590831339247314,0.000910101105636496,0.0006837537344397404,9.150384567768732e-05,0.0026348099873100728,0.007709707656693099,0.9990532725886812
-0.0125,0.0125,0.0125,0.0002571744088123657,0.0008603240923156342,0.0009295954252026561,0.0006983997047846913,9.245854505246509e-05,0.0019551258732865605,0.007874849204033113,0.9982401801051671
-0.025,0.0125,-0.0125,0.0002569245011240224,0.0008552480037120935,0.0009399565331622561,0.0006984535830281136,0.0001360529727714166,0.005446519825365137,0.010049536062042244,0.9983152742878024
0.0,0.0,0.025,0.0002574158073262819,0.0008638071030136435,0.0009645677042251499,0.0007246741771873566,9.725846053743048e-05,0.002717918276728465,0.008171108647827136,0.9990492955560719
0.0,-0.025,0.0125,0.00025739167238744546,0.0008612242815972122,0.0009696101943705848,0.0007284625710766157,9.639166538644162e-05,0.0010217259045626787,0.008213824918183621,0.9991844205230198
-0.0125,-0.0125,0.0,0.0002571592878556332,0.0008578463531344258,0.0010006225646983502,0.0007517619868164793,9.947390392761601e-05,0.0036640754593272344,0.008476538925990429,0.9994152207278878
0.0,0.025,-0.0125,0.0002572548464587734,0.000861579096192658,0.0010316753916921328,0.0007750917974167493,0.00010261420404189536,0.0010469487368476409,0.008739595652928173,0.9991600659029999
-0.025,0.025,-0.025,0.00025687186463928523,0.0008547878333153328,0.0010342118142001588,0.000768491862924936,0.00014552252469324234,0.005699337673974233,0.011057265475491893,0.9977657461805478
-0.025,-0.025,0.025,0.00025708316382384264,0.0008566497653313559,0.0010906051909138625,0.0008193654171702036,0.00014209717246060904,0.004736209956146245,0.010415545707747775,0.9987345347065204
-0.025,0.0125,0.025,0.00025704159227411295,0.0008586236106088685,0.0011098959853779178,0.0008338584802740634,0.0001419210266672133,0.0032653580977643477,0.010064998524082783,0.9958133555016432
-0.025,0.0,-0.0125,0.00025694007094530355,0.0008546236548549764,0.0011112365221594978,0.0008348656178596148,0.00015340985180289923,0.006449082414736312,0.011656780221769344,0.9985270803304345
0.0,-0.0125,-0.0125,0.00025729309253111826,0.000859571238018154,0.0011588343398276635,0.0008706255849459943,0.00011519739928356199,0.0023458384874464706,0.009816792801675411,0.9987958417033834
-0.025,0.0125,-0.025,0.00025688823310287385,0.0008541671195874405,0.0011830110365878,0.0008790601140742371,0.00016645188332253813,0.006680937456705578,0.012648150903306385,0.998266149559757
-0.0125,0.0,-0.025,0.00025706674539860853,0.0008562633639434032,0.0011894593050785218,0.0008936339454757025,0.0001341955097291514,0.0051498218638868975,0.010648706592315343,0.9988399413842076
-0.0125,0.025,0.0,0.0002571181223521615,0.0008598312419430452,0.0012130556254454916,0.0009113617254663531,0.00012066053912052066,0.0022829969944901753,0.01027611568161696,0.9976240055171773
-0.0125,-0.025,0.0125,0.00025721308946722275,0.000858327545055952,0.001247875203703508,0.000937521474661196,0.00012404595173332034,0.003418718767837643,0.010571081556769307,0.9991522030824778
0.0,0.0125,0.0125,0.00025735753788122865,0.0008632914935320662,0.0012486094328325592,0.0009380730967896156,0.00012419814346864566,0.0024248797771867403,0.010577301406303585,0.9987737427306582
-0.025,-0.0125,0.0,0.000256992033493657,0.0008550836854495944,0.0012783178725421784,0.0009603928769434944,0.00014023292100340257,0.006214174547598475,0.010828969472278765,0.9985863357036321
-0.025,0.025,0.0125,0.0002569860975369699,0.00085814130437833,0.0013963542713293364,0.001049072945532803,0.00013990965933075028,0.0036552300960903225,0.011828887087872081,0.9949989703383276
0.0,-0.025,0.0,0.00025734770448341003,0.0008600630985064315,0.0014034992212437203,0.0010544409053734327,0.00013951032582826262,0.0020642284952983175,0.011889413852120861,0.9983314600149512
-0.0125,0.0125,0.025,0.00025721815811828895,0.0008615138936242932,0.0014322841222025318,0.0010760668361680104,0.00014247480200513252,0.002615814598935614,0.01213325837658527,0.9969605822475782
-0.0125,-0.0125,-0.0125,0.0002571194711340601,0.0008567335328482443,0.0014336232756981815,0.0010770729344988794,0.00014250361410006462,0.004909533184867223,0.012144602700743926,0.998706396976323
-0.025,0.0,-0.025,0.000256904204230434,0.0008535570228830122,0.0014684296730900215,0.0011032227809852913,0.00018703953342114055,0.0076656471484873485,0.014213211076970364,0.9979588523688296
-0.025,-0.025,0.0125,0.00025704412519970537,0.0008555472400389646,0.0015210284467119806,0.0011427399375598668,0.00015118840187666738,0.0059762159572891785,0.012885035068120568,0.9984465442576644
0.0,0.025,0.0,0.00025729942050651937,0.0008627798234636141,0.0015373742829125625,0.0011550204704322553,0.0001529326325784286,0.0021451637628905084,0.013023504978471323,0.998275351174769
0.0,-0.0125,-0.025,0.00025725153395683074,0.0008584404097501834,0.0015873032453010971,0.0011925318131589258,0.00015777336661881858,0.003634825152209659,0.013446466450811614,0.9975484466975572
-0.0125,-0.025,0.0,0.00025717233512982283,0.000857207311019558,0.0016737936297404055,0.0012575115423203442,0.00016636658642399382,0.004666161353194237,0.014179149418684811,0.9983712056689819
-0.025,-0.0125,-0.0125,0.0002569552598565728,0.0008540099749967965,0.0017033643011892252,0.0012797278179714766,0.00017542985729790406,0.007432598980573079,0.014429650413215173,0.9979414211150739
-0.0125,0.025,0.0125,0.0002571608718495523,0.0008610132269875568,0.001724103163909696,0.001295308806440687,0.0001715159584469994,0.002728520745186548,0.014605334815434384,0.9962551473873295
0.0,0.0125,0.025,0.0002574047307415275,0.0008645248518071309,0.0017607054029253888,0.0013228078584268665,0.00017515883453600445,0.003814271716726022,0.014915402082297968,0.9974994892000708
0.0,-0.025,-0.0125,0.00025730519617232154,0.0008589247087096258,0.0018249599652766513,0.0013710819421408615,0.00018138474962592355,0.0033448003431382762,0.015459719508425895,0.9970180028634842
-0.0125,-0.0125,-0.025,0.0002570810217463974,0.0008556425360035618,0.0018542211487067028,0.0013930657012211078,0.000184291673170911,0.006135236046625693,0.015707598747927515,0.9975503663741716
-0.025,0.025,0.025,0.0002570270616478399,0.000859305004350386,0.0019128070283045417,0.001437080936135704,0.00019029763818423362,0.0039020109714909554,0.016203895260164497,0.9931948428553835
-0.025,-0.025,0.0,0.00025700644231685816,0.0008544663957112391,0.0019391226929408312,0.0014568517438595663,0.0001927258878509086,0.0071965439251076005,0.01642682222935321,0.9977278004654372
0.0,0.025,0.0125,0.00025734558249858634,0.0008640050563161104,0.0020579855211106945,0.0015461527040976364,0.00020474847501283922,0.0035226043154684317,0.017433740747263282,0.9969125465969269
-0.0125,-0.025,-0.0125,0.00025713296500823205,0.000856109039015608,0.002087512082193488,0.0015683358398845826,0.00020746617814060286,0.005893844083334281,0.01768386807119493,0.9971467843349955
-0.025,-0.0125,-0.025,0.0002569197819932868,0.0008529572956793344,0.00211623573367703,0.0015899157542995646,0.00021523206574247666,0.008631715698710022,0.017927193735124344,0.9968665386659132
0.0,-0.025,-0.025,0.00025726410118709386,0.0008578085685392243,0.002234348421215504,0.0016786531381884906,0.00022205109632156272,0.0046159689847286335,0.018927757612945212,0.9952502679601243
-0.0125,0.025,0.025,0.0002572051783538064,0.0008622194098024289,0.002250220773413414,0.001690577945248961,0.00022388491807245892,0.0035943620420170854,0.019062216514833946,0.9944296479775809
-0.025,-0.025,-0.0125,0.00025697007157622225,0.0008534067155207814,0.0023452410807713875,0.00176196615651536,0.00023306508607656706,0.008397559903748627,0.01986715872030903,0.9965825946043886
