beta,gamma,best_center_D_eff,best_width_D_eff,best_implied_center_D,D,slice_corr_quartic,slice_p95_abs_xi_resid,slice_p95_abs_quartic_resid,slice_mean_quartic_gap
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,7.2,,0.023919381057994238,0.0005903931312758334,0.0005903930305580547
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,8.0,,0.02690146079726509,0.0006579263380173923,0.0006579263095558659
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,8.8,,0.005272760450483027,0.00013558729312300065,0.00013558728998513958
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,9.6,,0.01824670496174241,0.0004684656394262415,0.00046846563868338216
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,10.4,,0.016792606998334653,0.0004320991335713411,0.0004320991208656658
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,11.2,,0.013900784464613486,0.00035831869644633186,0.00035831865952557613
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,12.0,,0.008854382181243903,0.00022834521026666023,0.0002283450245528281
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,12.8,,0.016278542000689844,0.0004216216392874681,0.00042161981844516
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,13.6,,0.008062303549096345,0.0002085364070203502,0.0002085176690557614
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,14.4,,0.004831165834570647,0.00012467287681151113,0.0001246255246183613
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,15.2,,0.010773324934223172,0.00027883509302700045,0.00027860425943942416
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,16.0,,0.005449735772753067,0.00014064722589125127,0.0001393197814665893
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,16.8,0.9882853967525577,0.0029156414552848064,7.506917853385793e-05,6.746157819756708e-05
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,17.6,0.9707239633597124,0.0033233267231572022,8.544921619975648e-05,3.7244780216624676e-05
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,18.4,0.9999999999999997,0.07471673146203352,0.0013956474900924073,0.00031343802393272026
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,19.200000000000003,1.0,0.057070115477443624,0.0008142495201521876,0.0005174392821777931
0.2,1.0206207261596576,19.200000000000003,0.4,19.59591794226543,20.0,,0.021326359575644962,0.00011370340318742589,0.0001137034031874259
0.4,1.0910894511799618,15.2,0.4,16.58455965793542,4.0,,0.0012487680780611798,3.1488424562171316e-05,1.8801161476367364e-05
