p_part,p_tree,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)",part_anchor_leak,tree_anchor_leak,part_onset_residual,tree_onset_residual
2.0,1.5,0.03289820557994218,0.11980197819140737,0.007491959775875134,0.005336245458167799,0.0008568586654728039,0.009727244393636368,0.06954315422034252,0.9974934256275926,0.0,0.0,0.04013555487217707,0.04227177226937173
2.0,0.0,0.03288765204297033,0.11980197819140737,0.0030391498309900733,0.002211888851264554,0.00032099911626215505,0.002744975850397649,0.0268125442865276,0.992250650708534,0.0,0.0,0.04785614119368575,0.026972275685891223
1.5,0.0,0.032884978948906005,0.11980197819140737,0.004107308731950088,0.002989293354432654,0.00043369632758971655,0.0036417266955748938,0.03623625138546528,0.9944205285778761,0.0,0.0,0.05044037062208273,0.00929944680600786
1.25,0.0,0.03288374299330754,0.11980197819140737,0.004598928259181179,0.003347025019613703,0.00048553995028055574,0.004589525767921748,0.040573269920196234,0.9951067970931835,0.0,0.0,0.05171647232879989,0.007077115809268286
1.0,0.0,0.032882568555882424,0.11980197819140737,0.005064508222814013,0.0036857274620021307,0.0005346282235546562,0.0056444306982235,0.04468077072676169,0.9955323937585947,0.0,0.0,0.05298202507239347,0.012521431465710886
0.75,0.0,0.032881451849006524,0.11980197819140737,0.005505463201939342,0.004006570151060984,0.0005811089731035946,0.00664566593987001,0.04857102175535512,0.9957025301745447,0.0,0.0,0.05423712260771277,0.018448950813173493
0.5,0.0,0.03288038935251328,0.11980197819140737,0.005923236512935581,0.004310602348962078,0.000625136115086633,0.007592255020987597,0.05225675642161126,0.9956234385430857,0.0,0.0,0.05548185787672463,0.025851325960711602
-1.0,2.0,0.0328854895443512,0.11980197819140737,0.002361527091735205,0.001911719918041399,0.0003031710831267187,0.0041471833497708785,0.02317389272819967,0.9847730264965997,0.0,0.0,0.05743561148665133,0.048840672004255015
0.0,0.0,0.03287841412296442,0.11980197819140737,0.006694569374534165,0.004871935538642624,0.000729855601428353,0.009335419444320004,0.05946662240147085,0.9947471101843655,0.0,0.0,0.057940609360540074,0.039745355031093166
-0.5,0.0,0.03287661930033735,0.11980197819140737,0.007388363303762802,0.005376840202587108,0.00083146446730753,0.010899346586914943,0.06776235503906172,0.9929704300109988,0.0,0.0,0.06035938267182214,0.0526241713598532
