proxy_label,proxy_family,proxy_normalization,scale_to_xi_target,c4_target,c4_proxy,abs_c4_gap,rel_c4_gap,corr_xi,corr_quartic,p95_abs_xi_resid,p95_abs_quartic_resid,max_abs_xi_resid,max_abs_quartic_resid,mean_xi_proxy,mean_xi_target,rank_score
hk_loop_prefactor_offdiag:over_tree,hk_loop_prefactor_offdiag,over_tree,20048.98305782842,0.0014974113157501156,0.00027794024935261767,0.001219471066397498,0.8143861700327903,0.11978376318620503,0.03410172539275358,0.1424255513239747,0.0020143457057975123,0.1426182323624729,0.0021365473725053524,0.02241700325830505,0.11592162866948753,0.03884020460318868
hk_abs_offdiag_geom:over_part,hk_abs_offdiag_geom,over_part,864.5932732775976,0.0014974113157501156,0.00018831774312626231,0.0013090935726238534,0.874237798829558,0.10965426139387394,0.05756361212641131,0.1438227443606314,0.001980730959949236,0.14557677072389338,0.0020169276914320535,0.015085444059420902,0.11592162866948753,0.03924551062273094
hk_abs_offdiag_geom:over_diag,hk_abs_offdiag_geom,over_diag,635.9502015914577,0.0014974113157501156,0.00018718998479219886,0.0013102213309579168,0.8749909374777045,0.11213726475172628,0.05799563133259755,0.14384906331745975,0.0019807369896048125,0.14560106729645372,0.0020169359402089576,0.014983896526047985,0.11592162866948753,0.039253224149927664
hk_abs_offdiag_geom:over_sqrt_diag,hk_abs_offdiag_geom,over_sqrt_diag,805.2006781252766,0.0014974113157501156,0.00018748900588760816,0.0013099223098625074,0.8747912454543679,0.11097950386264605,0.05780556813799295,0.14385886838806944,0.001980739202593325,0.1456222308062665,0.002016943035994163,0.015013158262136523,0.11592162866948753,0.039255378609473195
hk_abs_offdiag_geom:raw,hk_abs_offdiag_geom,raw,1019.5635254293635,0.0014974113157501156,0.00018783803827547053,0.0013095732774746451,0.8745581549306146,0.10978337658380402,0.05761187062691001,0.14386851414328927,0.0019807413619609875,0.14564302870830126,0.0020169499281888254,0.015046895264343012,0.11592162866948753,0.03925744317525795
hk_abs_offdiag_geom:over_tree,hk_abs_offdiag_geom,over_tree,750.045363373603,0.0014974113157501156,0.00018677536579167185,0.0013106359499584438,0.8752678279994777,0.11225267936366004,0.058038957892112567,0.14389368824597748,0.0019807469150902347,0.14566620084042164,0.0020169575126008986,0.014950677091443964,0.11592162866948753,0.039264804926543044
hk_loop_local_prefactor_offdiag:over_diag,hk_loop_local_prefactor_offdiag,over_diag,7589000.033988616,0.0014974113157501156,0.00019149700326609063,0.001305914312484025,0.8721146279236164,0.09488309396827482,0.01522621429433692,0.14471790765292,0.0019808628178796433,0.14653386917002065,0.0020171697584644103,0.015448314002813754,0.11592162866948753,0.03946625404359367
hk_loop_local_prefactor_offdiag:over_part,hk_loop_local_prefactor_offdiag,over_part,10088437.308297288,0.0014974113157501156,0.0001888993764932786,0.001308511939256837,0.873849372910174,0.09101677156528841,0.013981435744382167,0.1447181809272308,0.0019808628350953595,0.14654193028719323,0.002017171075069696,0.015247929870483418,0.11592162866948753,0.0394689200061599
hk_loop_local_prefactor_offdiag:over_sqrt_diag,hk_loop_local_prefactor_offdiag,over_sqrt_diag,9489892.904672816,0.0014974113157501156,0.0001899127500286174,0.0013074985657214983,0.8731726226247448,0.09304158294296976,0.014602150052775719,0.14472473997623253,0.001980863244082832,0.14655496792131364,0.0020171731789452676,0.015324487563762602,0.11592162866948753,0.039469546803862464
hk_loop_local_prefactor_offdiag:over_tree,hk_loop_local_prefactor_offdiag,over_tree,8927298.202038294,0.0014974113157501156,0.00019101459619798466,0.001306396719552131,0.8724367886172294,0.09504569979243223,0.01524548975265152,0.14473115460783967,0.001980863636230175,0.14656776973842767,0.0020171752140618476,0.015408550593816898,0.11592162866948753,0.03947004900774222
