D,eta,mu_mumu_release_bridge,mu_mumu_direct_y2,chi2_release_bridge,chi2_direct_y2,accept_release,accept_direct_y2,acceptance_gain,acceptance_loss,crossing_type,s_cross,y2_cross_over_release,amp_cross_over_release,abs_mu_cross_validation_error
4.8,2.29,13.874408961295863,13.84179973530401,972.567993335366,967.4898790838182,False,False,False,False,none,,,,
4.8,2.4800000000000004,13.88670915208322,13.854045659795217,974.4869090544928,969.39533310165,False,False,False,False,none,,,,
4.8,2.6700000000000004,13.89901136632965,13.866293545965998,976.4080320977362,971.3029673387092,False,False,False,False,none,,,,
4.8,2.8600000000000003,13.911315590323095,13.878543380108836,978.3313612541358,973.2127805578629,False,False,False,False,none,,,,
4.8,3.0500000000000003,13.923621810331165,13.890795148496132,980.2568953012652,975.1247715105908,False,False,False,False,none,,,,
4.8,3.24,13.93593001263566,13.903048837414556,982.1846330106214,977.0389389423344,False,False,False,False,none,,,,
4.8,3.43,13.94824018347661,13.915304433109368,984.1145731388568,978.9552815837936,False,False,False,False,none,,,,
4.8,3.62,13.960552309115483,13.92756192184732,986.046714437664,980.8737981607428,False,False,False,False,none,,,,
4.8,3.81,13.972866375806683,13.93982128988828,987.9810556493144,982.794487389596,False,False,False,False,none,,,,
4.8,4.0,13.985182369784695,13.952082523472468,989.9175955046222,984.7173479753932,False,False,False,False,none,,,,
5.6,0.2,57.97146702316152,57.155479927955426,20002.06800720407,19429.209637479,False,False,False,False,none,,,,
5.6,0.39,57.974464210454144,57.15838736334343,20004.187504374728,19431.236008504096,False,False,False,False,none,,,,
5.6,0.5800000000000001,57.97746133527802,57.1612947311,20006.307069655497,19433.262438053753,False,False,False,False,none,,,,
5.6,0.77,57.98045839751931,57.16420203111446,20008.42670295883,19435.28892604344,False,False,False,False,none,,,,
5.6,0.96,57.98345539719626,57.16710926340444,20010.546404290613,19437.315472478054,False,False,False,False,none,,,,
5.6,1.15,57.986452334278525,57.170016427940496,20012.666173622343,19439.342077329704,False,False,False,False,none,,,,
5.6,1.34,57.989449208726725,57.17292352468411,20014.78601091914,19441.36874056414,False,False,False,False,none,,,,
5.6,1.53,57.99244602052467,57.175830553619505,20016.905916162486,19443.39546216297,False,False,False,False,none,,,,
5.6,1.72,57.995442769655206,57.17873751473001,20019.025889333232,19445.42224210718,False,False,False,False,none,,,,
