D,eta,C_tree_mumu,coeff_1,coeff_2,coeff_3,g_mu1_sq,g_mu2_sq,g_mu3_sq,mu_contrib_1,mu_contrib_2,mu_contrib_3,mu_share_1,mu_share_2,mu_share_3,y2_raw,p2_kin,m2_2,coeff2_kin_over_m2,C_tree_mumu_single_layer_pred,abs_single_layer_residual
8.0,0.39,8.591083025389693e-05,0.1820472420383371,0.3080449905785686,0.04395337611480762,1.6700015826228804e-32,0.0002788905285962925,1.6700015826228804e-32,3.040191823161535e-33,8.591083025389695e-05,7.340220767334743e-34,3.538775977576624e-29,1.0000000000000002,8.54399933703561e-30,0.0002788905285962925,0.48003904281644527,1.5583406888546971,0.3080449905785686,8.591083025389693e-05,0.0
8.8,0.39,5.848230796281681e-05,0.15532924999089492,0.26822734509135887,0.042357383543000754,1.4765927312580927e-32,0.00021803260940042338,1.4765927312580927e-32,2.293580414883266e-33,5.848230796281682e-05,6.254460465470607e-34,3.9218363549221247e-29,1.0000000000000002,1.0694619763377342e-29,0.00021803260940042336,0.4622615479770941,1.7233945622495974,0.26822734509135887,5.848230796281681e-05,0.0
9.6,0.39,4.357983841062823e-05,0.1615250293108877,0.2625585974621757,0.04132676505617363,1.2883376121110573e-32,0.00016598138027800206,1.2883376121110573e-32,2.0809877055855758e-33,4.3579838410628254e-05,5.324282580874542e-34,4.775115699093702e-29,1.0000000000000007,1.2217306844295364e-29,0.00016598138027800206,0.44797458829617043,1.7061889902908467,0.2625585974621757,4.3579838410628254e-05,2.710505431213761e-20
10.4,0.39,2.9967975391542698e-05,0.17639310502410083,0.267440799419151,0.040638258854067445,1.058558517133576e-32,0.00011205461341960352,1.058558517133576e-32,1.867224236868993e-33,2.996797539154269e-05,4.301797503145205e-34,6.230732014669049e-29,0.9999999999999998,1.4354648410313434e-29,0.00011205461341960352,0.43655252315558984,1.6323333018138184,0.267440799419151,2.9967975391542687e-05,1.0164395367051604e-20
11.2,0.39,1.6473383521677937e-05,0.19039187005448907,0.2731218883209475,0.040136033424183586,7.766281918616586e-33,6.0315134839430895e-05,7.766281918616586e-33,1.478636937855777e-33,1.6473383521677937e-05,3.117077506672279e-34,8.975915214442642e-29,1.0,1.8921902125148736e-29,6.0315134839430895e-05,0.42749706699731355,1.5652244850290382,0.2731218883209475,1.6473383521677937e-05,0.0
12.0,0.39,8.248753787970822e-06,0.20336925217829332,0.2789490642288861,0.039827556994765326,5.437906249220823e-33,2.957082437531488e-05,5.437906249220823e-33,1.1059029273197068e-33,8.24875378797082e-06,2.1657852107303287e-34,1.3406909161629334e-28,0.9999999999999998,2.62559080607873e-29,2.9570824375314875e-05,0.4201104536438587,1.5060471875221828,0.2789490642288861,8.24875378797082e-06,1.6940658945086007e-21
12.8,0.39,2.0493996179638756e-06,0.17135246850320776,0.22309986637556523,0.03962203211571782,3.0308446065934072e-33,9.186019029316344e-06,3.0308446065934072e-33,5.193427049894139e-34,2.0493996179638756e-06,1.2008822234019412e-34,2.5341212149995054e-28,1.0,5.859678185141092e-29,9.186019029316344e-06,0.4141233210906006,1.8562239763670116,0.22309986637556523,2.0493996179638756e-06,0.0
13.6,0.39,5.62447153419074e-07,0.17198040067031226,0.21728172201621013,0.03944906483107635,1.608900787690989e-33,2.5885617446326847e-06,1.608900787690989e-33,2.766994021058773e-34,5.624471534190749e-07,6.346963148039164e-35,4.919562672223381e-28,1.0000000000000018,1.1284550218552006e-28,2.5885617446326847e-06,0.4093547858284566,1.883981689899885,0.21728172201621013,5.624471534190749e-07,9.529120656610879e-22
14.4,0.39,2.794082993936715e-07,0.18123647579554872,0.2240129707280473,0.039368291642144004,1.116819705807796e-33,1.2472862552806118e-06,1.116819705807796e-33,2.0240846757962647e-34,2.794082993936714e-07,4.396728388993478e-35,7.244182367483782e-28,0.9999999999999997,1.5735854656195164e-28,1.2472862552806118e-06,0.4053992906079698,1.8097134701192203,0.2240129707280473,2.7940829939367144e-07,5.293955920339377e-23
15.2,0.39,1.4671605106442874e-07,0.19021071733294503,0.23051941605401685,0.03936130223949392,7.977835172222724e-34,6.364585403515399e-07,7.977835172222724e-34,1.5174697508724834e-34,1.467160510644289e-07,3.140179814307237e-35,1.0342902087830209e-27,1.000000000000001,2.140311023589547e-28,6.364585403515399e-07,0.40173154545946893,1.7427232479425183,0.23051941605401685,1.467160510644289e-07,1.5881867761018131e-22
16.0,0.39,5.614789054568102e-08,0.19887298401593712,0.2381399901414727,0.03903362714305395,4.855685574782181e-34,2.3577682401147757e-07,4.855685574782181e-34,9.65664679700073e-35,5.614789054568101e-08,1.8953502024995327e-35,1.719859233027506e-27,0.9999999999999999,3.3756391986935045e-28,2.357768240114776e-07,0.40036708191275355,1.6812257432063638,0.2381399901414727,5.614789054568102e-08,0.0
16.8,0.39,2.4653082118783833e-08,0.21160064185053518,0.241092604378527,0.03846056038668437,3.1977438102683376e-34,1.0225565476109463e-07,3.1977438102683376e-34,6.766446427263562e-35,2.465308211878383e-08,1.2298701891597157e-35,2.7446655126776332e-27,0.9999999999999999,4.988707631905567e-28,1.0225565476109464e-07,0.3916488145179689,1.6244746101919467,0.241092604378527,2.4653082118783833e-08,0.0
17.6,0.39,7.139226485334225e-09,0.18962990788759787,0.21279271638670574,0.038614174076225596,1.8316698659802081e-34,3.355014497939953e-08,1.8316698659802081e-34,3.473393879663156e-35,7.139226485334225e-09,7.072841905513656e-36,4.865224386421113e-27,1.0,9.90701432437122e-28,3.355014497939953e-08,0.3906548896492393,1.835847092338004,0.21279271638670574,7.139226485334225e-09,0.0
18.4,0.39,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.9524807384358465,0.0,0.0,0.0
19.200000000000003,0.39,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.8861115867515161,0.0,0.0,0.0
20.0,0.39,0.0,0.0,0.0,0.0,1.0000000000000001e-34,1e-08,1.0000000000000001e-34,0.0,0.0,0.0,0.0,0.0,0.0,1e-08,0.0,1.823074165025783,0.0,0.0,0.0
4.0,0.5800000000000001,0.0014838405094366,0.05096434622299735,0.35746036526507363,0.12722034575989247,6.442874387242344e-32,0.0041510630369783405,6.442874387242344e-32,3.2835688094270075e-33,0.0014838405094366235,8.196647072325263e-33,2.2128852720658954e-30,1.0000000000000158,5.523940760612777e-30,0.0041510630369783405,0.5869375262581437,1.6419653290034042,0.35746036526507363,0.0014838405094366233,2.3201926491189795e-17
4.8,0.5800000000000001,0.0015684959230168,0.0771167200444446,0.3769422922419072,0.09561564852616573,6.450661658690802e-32,0.004161103583490356,6.450661658690802e-32,4.974538692346912e-33,0.001568495923016869,6.16784197918593e-33,3.1715343465981264e-30,1.000000000000044,3.932328983885964e-30,0.004161103583490356,0.5849929008466513,1.551942864695122,0.3769422922419072,0.001568495923016869,6.895525817007808e-17
