D,n,E,omega2,omega_real,omega_imag,S_z,z1,z2,has_bound,has_stable_bound,has_turning_points,is_physical_tunnel
7.5,3,0.0016151630933605016,0.0016151630933605016,0.040189091721019296,0.0,,,,False,False,False,False
8.0,1,-20.446676478733924,-20.446676478733924,,4.52180013697354,,,,True,False,False,False
8.0,2,-20.446676478733032,-20.446676478733032,,4.521800136973441,,,,True,False,False,False
8.0,3,0.0016227157018027867,0.0016227157018027867,0.040282945545265014,0.0,,,,False,False,False,False
8.5,1,-20.499111298740488,-20.499111298740488,,4.527594427368742,,,,True,False,False,False
8.5,2,-20.499111298739326,-20.499111298739326,,4.527594427368614,,,,True,False,False,False
8.5,3,0.0016304771857085316,0.0016304771857085316,0.04037916771936405,0.0,,,,False,False,False,False
9.0,1,-20.545908258312338,-20.545908258312338,,4.532759452950525,,,,True,False,False,False
9.0,2,-20.545908258311073,-20.545908258311073,,4.532759452950385,,,,True,False,False,False
9.0,3,0.0016384369144398386,0.0016384369144398386,0.04047761003863542,0.0,,,,False,False,False,False
9.5,1,-20.587930002532595,-20.587930002532595,,4.537392423246263,,,,True,False,False,False
9.5,2,-20.587930002531106,-20.587930002531106,,4.537392423246099,,,,True,False,False,False
9.5,3,0.001646585624978158,0.001646585624978158,0.040578142207081856,0.0,,,,False,False,False,False
10.0,1,-20.62587177393947,-20.62587177393947,,4.5415715092839255,,,,True,False,False,False
10.0,2,-20.625871773937565,-20.625871773937565,,4.541571509283715,,,,True,False,False,False
10.0,3,0.0016549152242705408,0.0016549152242705408,0.04068064926068094,0.0,,,,False,False,False,False
10.5,1,-20.660300130069068,-20.660300130069068,,4.545360286057538,,,,True,False,False,False
10.5,2,-20.66030013006578,-20.66030013006578,,4.545360286057177,,,,True,False,False,False
10.5,3,0.0016634186244756143,0.0016634186244756143,0.040785029416142565,0.0,,,,False,False,False,False
11.0,1,-20.691681393162128,-20.691681393162128,,4.548810986748309,,,,True,False,False,False
11.0,2,-20.691681393159687,-20.691681393159687,,4.548810986748041,,,,True,False,False,False
11.0,3,0.0016720896049874354,0.0016720896049874354,0.040891192266641424,0.0,,,,False,False,False,False
11.5,1,-20.720402873596374,-20.720402873596374,,4.5519669236052644,,,,True,False,False,False
11.5,2,-20.720402873596207,-20.720402873596207,,4.551966923605246,,,,True,False,False,False
11.5,3,0.0016809226968509555,0.0016809226968509555,0.040999057267831845,0.0,,,,False,False,False,False
12.0,1,-20.746788920995307,-20.746788920995307,,4.554864314224443,,,,True,False,False,False
12.0,2,-20.746788920993698,-20.746788920993698,,4.554864314224266,,,,True,False,False,False
12.0,3,0.0016899130842009012,0.0016899130842009012,0.04110855244594367,0.0,,,,False,False,False,False
12.5,1,-20.771113215945466,-20.771113215945466,,4.5575336768855,,,,True,False,False,False
12.5,2,-20.771113215944094,-20.771113215944094,,4.55753367688535,,,,True,False,False,False
12.5,3,0.0016990565210958214,0.0016990565210958214,0.041219613305995745,0.0,,,,False,False,False,False
13.0,1,-20.793608290774262,-20.793608290774262,,4.5600009090760345,,,,True,False,False,False
13.0,2,-20.79360829077036,-20.79360829077036,,4.560000909075607,,,,True,False,False,False
13.0,3,0.001708349260134195,0.001708349260134195,0.04133218189418743,0.0,,,,False,False,False,False
13.5,1,-20.814472981647597,-20.814472981647597,,4.562288130055751,,,,True,False,False,False
13.5,2,-20.814472981646354,-20.814472981646354,,4.562288130055614,,,,True,False,False,False
13.5,3,0.0017177879909943948,0.0017177879909943948,0.041446205990348435,0.0,,,,False,False,False,False
14.0,1,-20.833878318016207,-20.833878318016207,,4.5644143455668225,,,,True,False,False,False
14.0,2,-20.833878318013088,-20.833878318013088,,4.564414345566481,,,,True,False,False,False
14.0,3,0.0017273697877678202,0.0017273697877678202,0.041561638415344264,0.0,,,,False,False,False,False
14.5,1,-20.851972218662915,-20.851972218662915,,4.566395976989174,,,,True,False,False,False
14.5,2,-20.85197221865948,-20.85197221865948,,4.566395976988798,,,,True,False,False,False
14.5,3,0.0017370920627655451,0.0017370920627655451,0.04167843642419357,0.0,,,,False,False,False,False
15.0,1,-20.86888326730549,-20.86888326730549,,4.5682472861378125,,,,True,False,False,False
15.0,2,-20.868883267298546,-20.868883267298546,,4.568247286137052,,,,True,False,False,False
