D,n,E,omega2,omega_real,omega_imag,S_z,z1,z2,has_bound,has_stable_bound,has_turning_points,is_physical_tunnel
11.5,2,-0.47719115462431605,0.522808845375684,0.7230552159936916,0.0,8.15850689935963,-5.607432650189275,5.607432650189277,True,True,True,True
11.5,3,0.005735955958816117,1.0057359559588162,1.0028638770834335,0.0,,,,False,False,False,False
12.0,1,-0.47811157804216176,0.5218884219578382,0.7224184535003506,0.0,8.50733507758035,-5.858427411179297,5.858427411179297,True,True,True,True
12.0,2,-0.47774214230171236,0.5222578576982877,0.722674101997773,0.0,8.504367869354668,-5.858404303905031,5.858404303905031,True,True,True,True
12.0,3,0.005745476556945168,1.0057454765569451,1.0028686237772848,0.0,,,,False,False,False,False
12.5,1,-0.4784906002249303,0.5215093997750697,0.7221560771571958,0.0,8.870031791842559,-6.107450093494398,6.107450093494401,True,True,True,True
12.5,2,-0.47823128245237345,0.5217687175476265,0.72233559897573,0.0,8.867851366795039,-6.107437739249553,6.107437739249556,True,True,True,True
12.5,3,0.005755348987296718,1.0057553489872968,1.0028735458607414,0.0,,,,False,False,False,False
13.0,1,-0.4788521896073692,0.5211478103926308,0.721905679706588,0.0,9.214680542113314,-6.358419932850907,6.358419932850907,True,True,True,True
13.0,2,-0.47867013641023354,0.5213298635897665,0.7220317607901792,0.0,9.213089769259971,-6.3584085488861115,6.3584085488861115,True,True,True,True
13.0,3,0.005765572015196317,1.0057655720151963,1.002878642715656,0.0,,,,False,False,False,False
13.5,1,-0.47919528859483507,0.5208047114051649,0.7216680063610724,0.0,9.577214730900668,-6.607445857490184,6.607445857490187,True,True,True,True
13.5,2,-0.4790674590021187,0.5209325409978813,0.7217565663004953,0.0,9.576049579613201,-6.6074397689302105,6.607439768930213,True,True,True,True
13.5,3,0.005776144542040528,1.0057761445420406,1.0028839137916414,0.0,,,,False,False,False,False
14.0,1,-0.4795197351068717,0.5204802648931284,0.7214431820269205,0.0,9.921681378455073,-6.858415652608013,6.858415652608013,True,True,True,True
14.0,2,-0.4794299660505931,0.5205700339494068,0.7215053942621682,0.0,9.920833524178022,-6.858410040531069,6.858410040531069,True,True,True,True
14.0,3,0.0057870656024467245,1.0057870656024468,1.0028893586046503,0.0,,,,False,False,False,False
14.5,1,-0.4798259285708143,0.5201740714291857,0.7212309418134982,0.0,10.284019710154704,-7.107443362440008,7.10744336244001,True,True,True,True
14.5,2,-0.47976287935019135,0.5202371206498086,0.721274649942592,0.0,10.283400437292933,-7.107440359988337,7.10744035998834,True,True,True,True
14.5,3,0.005798334362149124,1.005798334362149,1.0028949767359236,0.0,,,,False,False,False,False
15.0,1,-0.4801146044448833,0.5198853955551167,0.7210307868289098,0.0,10.628285367123876,-7.3584130250005995,7.3584130250005995,True,True,True,True
15.0,2,-0.4800703163796511,0.5199296836203489,0.7210614978074678,0.0,10.627835741931957,-7.3584102567943654,7.3584102567943654,True,True,True,True
15.0,3,0.005809950115428319,1.0058099501154283,1.0029007678307102,0.0,,,,False,False,False,False
15.5,1,-0.4803866832318885,0.5196133167681115,0.7208420886491794,0.0,10.99042136707677,-7.6074417767637135,7.607441776763716,True,True,True,True
15.5,2,-0.48035557007160706,0.5196444299283929,0.7208636694468608,0.0,10.990093753047208,-7.607440295389664,7.607440295389667,True,True,True,True
15.5,3,0.005821912283357763,1.0058219122833578,1.0029067315973892,0.0,,,,False,False,False,False
16.0,1,-0.4806431714000178,0.5193568285999822,0.7206641579820535,0.0,11.334486880775795,-7.85841127553346,7.85841127553346,True,True,True,True
16.0,2,-0.4806213114670586,0.5193786885329414,0.7206793243412367,0.0,11.334249476862208,-7.858409909422573,7.858409909422573,True,True,True,True
16.0,3,0.005834220411787068,1.0058342204117872,1.0029128678064647,0.0,,,,False,False,False,False
16.5,1,-0.4808850971818381,0.5191149028181619,0.7204962892466289,0.0,11.696427342315175,-8.107440682178915,8.107440682178916,True,True,True,True
16.5,2,-0.4808697369436667,0.5191302630563333,0.7205069486523591,0.0,11.696254725138258,-8.107439950952259,8.107439950952262,True,True,True,True
16.5,3,0.005846874169441109,1.005846874169441,1.0029191762896157,0.0,,,,False,False,False,False
17.0,1,-0.4811134706925646,0.5188865293074354,0.7203377883378294,0.0,12.040302833889236,-8.358410012231667,8.358410012231667,True,True,True,True
17.0,2,-0.4811026765313855,0.5188973234686145,0.7203452807290505,0.0,12.04017796047426,-8.358409337765504,8.358409337765504,True,True,True,True
17.0,3,0.0058598733465941265,1.0058598733465942,1.0029256569390346,0.0,,,,False,False,False,False
17.5,1,-0.4813292597853876,0.5186707402146125,0.7201879894962234,0.0,12.402060356473484,-8.607439865716435,8.607439865716438,True,True,True,True
17.5,2,-0.48132167367253526,0.5186783263274648,0.7201932562357585,0.0,12.401969728993834,-8.60743950462731,8.607439504627312,True,True,True,True
17.5,3,0.005873217853206609,1.0058732178532066,1.002932309706496,0.0,,,,False,False,False,False
