D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,slope_window,source_slab_left,source_slab_right,source_max_node_slope_abs,guard_factor,interval_L_bound,five_percent_reserve,interval_remainder_bound,interval_remainder_over_reserve,beta_interval,beta_s22_inflated,beta_interval_over_s22_inflated,interval_contribution,s22_inflated_contribution,interval_slab_pass
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,29.0,78.125,78.75,0.625,0.0025393147173086,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00012696573586543002,8.25196133335984e-05,0.6499360852841454,0.0026218343306421985,0.002666280453174,0.9833302897754466,0.001638646456651374,0.0016664252832337,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,30.0,78.75,79.375,0.625,0.002518409762964,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.0001259204881482,8.25196133335984e-05,0.6553311105058482,0.002600929376297598,0.0026443302511122,0.9835871957383737,0.001625580860185999,0.0016527064069451,1.0
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,31.0,79.375,80.0,0.625,0.0024977847648906,global,0.0,31.0,5.2812552533502975e-05,5.0,0.0002640627626675149,0.00012488923824453,8.25196133335984e-05,0.6607423865619796,0.0025803043782241983,0.0026226740031351,0.9838448755505816,0.001612690236390124,0.0016391712519594,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,0.0,60.0,60.625,0.625,0.0034716515091858,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00017358257545929,0.00010012658105610262,0.5768239167507059,0.0035717780902419028,0.0036452340846451,0.9798487579405071,0.002232361306401189,0.0022782713029032,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,1.0,60.625,61.25,0.625,0.0034316008767634,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00017158004383817003,0.00010012658105610262,0.5835560990445922,0.003531727457819503,0.0036031809206015,0.9801693380497616,0.0022073296611371893,0.0022519880753759,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,2.0,61.25,61.875,0.625,0.0033923399859774,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00016961699929887,0.00010012658105610262,0.5903098243099839,0.0034924665670335022,0.0035619569852763,0.9804909440147528,0.002182791604395939,0.0022262231157977,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,3.0,61.875,62.5,0.625,0.0033538412072543,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000167692060362715,0.00010012658105610262,0.5970859970324807,0.0034539677883104027,0.003521533267617,0.9808136189063128,0.0021587298676940016,0.0022009582922606,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,4.0,62.5,63.125,0.625,0.0033160813684902,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00016580406842451,0.00010012658105610262,0.6038849468985732,0.003416207949546303,0.0034818854369147,0.9811373784237445,0.0021351299684664394,0.0021761783980717,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,5.0,63.125,63.75,0.625,0.0032790438424901,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000163952192124505,0.00010012658105610262,0.6107059610405615,0.0033791704235462024,0.0034429960346146,0.9814621886209804,0.0021119815147163765,0.0021518725216341,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,6.0,63.75,64.375,0.625,0.0032427104778622,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00016213552389311,0.00010012658105610262,0.6175486941536168,0.003342837058918303,0.0034048460017554,0.9817880330549082,0.0020892731618239392,0.0021280287510971,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,7.0,64.375,65.0,0.625,0.0032070683041252,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00016035341520626,0.00010012658105610262,0.6244119024675053,0.0033071948851813027,0.0033674217193315,0.982114852498441,0.002066996803238314,0.0021046385745821,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,8.0,65.0,65.625,0.625,0.0031721032017718,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00015860516008859,0.00010012658105610262,0.631294599748055,0.003272229782827903,0.0033307083618604,0.9824425999879998,0.002045143614267439,0.0020816927261627,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,9.0,65.625,66.25,0.625,0.0031378022754504,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00015689011377252002,0.00010012658105610262,0.638195604863155,0.003237928856506503,0.0032946923892229,0.982771219279204,0.0020237055353165643,0.0020591827432643,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,10.0,66.25,66.875,0.625,0.0031041520589918,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00015520760294959,0.00010012658105610262,0.6451138936062482,0.0032042786400479023,0.0032593596619414,0.9831006616002944,0.002002674150029939,0.0020370997887133,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,11.0,66.875,67.5,0.625,0.0030711368141727,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000153556840708635,0.00010012658105610262,0.6520489780464217,0.0031712633952288025,0.0032246936548813,0.9834309037165069,0.0019820396220180015,0.0020154335343008,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,12.0,67.5,68.125,0.625,0.0030387430278397,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00015193715139198501,0.00010012658105610262,0.6589999887373463,0.0031388696088958026,0.0031906801792317,0.9837619042255833,0.001961793505559877,0.0019941751120198,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,13.0,68.125,68.75,0.625,0.0030069548668022,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00015034774334011,0.00010012658105610262,0.6659666372883343,0.0031070814478583028,0.0031573026101423,0.9840936493946858,0.0019419259049114393,0.0019733141313389,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,14.0,68.75,69.375,0.625,0.0029757560634119,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000148787803170595,0.00010012658105610262,0.6729488501238298,0.0030758826444680027,0.0031245438665825,0.9844261357201809,0.0019224266527925016,0.001952839916614,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,15.0,69.375,70.0,0.625,0.0029451311717659,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000147256558588295,0.00010012658105610262,0.6799464962103318,0.0030452577528220027,0.0030923877303541,0.984759356962427,0.0019032860955137515,0.0019327423314713,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,16.0,70.0,70.625,0.625,0.0029150654250137,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000145753271250685,0.00010012658105610262,0.6869594088484792,0.0030151920060698025,0.0030608186962644,0.985093305183256,0.0018844950037936266,0.0019130116851652,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,17.0,70.625,71.25,0.625,0.0028855423259105,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000144277116295525,0.00010012658105610262,0.6939879561427595,0.002985668906966603,0.003029819442206,0.9854279979115681,0.0018660430668541268,0.0018936371513787,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,18.0,71.25,71.875,0.625,0.0028565479043876,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00014282739521938,0.00010012658105610262,0.7010320457242128,0.002956674485443703,0.0029993752996069,0.9857634307487985,0.0018479215534023142,0.0018746095622543,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,19.0,71.875,72.5,0.625,0.0028280690345373,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000141403451726865,0.00010012658105610262,0.7080914916384586,0.0029281956155934024,0.0029694724862642,0.9860995948399149,0.0018301222597458765,0.0018559203039151,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,20.0,72.5,73.125,0.625,0.0028000900173759,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000140004500868795,0.00010012658105610262,0.7151668727417276,0.0029002165984320025,0.0029400945182447,0.9864365177496043,0.0018126353740200015,0.0018375590739029,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,21.0,73.125,73.75,0.625,0.0027726003987447,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.00013863001993723502,0.00010012658105610262,0.7222575680320547,0.002872726979800803,0.0029112304186819,0.9867741699063004,0.0017954543623755017,0.0018195190116762,1.0
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,22.0,73.75,74.375,0.625,0.0027455872644209,global,0.0,31.0,6.408101187590568e-05,5.0,0.0003204050593795284,0.000137279363221045,0.00010012658105610262,0.7293636764244048,0.0028457138454770024,0.002882866627642,0.9871125560201909,0.0017785711534231265,0.0018017916422762,1.0
