D,R_tail,parity,R0,R1,center_mode,center_anchors,tube_radius_min,slab_index,station,R,point_index,z_real,z_imag,dH_dR_abs,s24_interval_L_bound,dH_over_s24_L,H_minus_abs,H_plus_abs,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,left,62.5,1.0,0.064,0.064,4.673397017601241e-05,0.0002640627626675,0.17698053941387581,0.0030097207181120187,0.002995118759709143,125.89113795704651,0.3807770705956593,1.2843898046070525e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,left,62.5,2.0,-0.064,0.064,4.297887391524958e-05,0.0002640627626675,0.16276007067822473,0.0026254932850769187,0.0026120661989183463,132.0817830214699,0.3485650158601729,1.3508056389369768e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,left,62.5,3.0,0.064,-0.064,4.9666424544994403e-05,0.0002640627626675,0.1880856810073327,0.003185106347353179,0.003169587592290557,123.01358753683876,0.3937297260276629,3.662332418605801e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,left,62.5,4.0,-0.064,-0.064,4.593515230822014e-05,0.0002640627626675,0.17395543333787022,0.002824687387491848,0.002810337677424836,128.4686576557851,0.3647209338329878,8.294397390070446e-08
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,mid,62.8125,0.0,0.0,0.0,4.23040254343385e-05,0.0002640627626675,0.16020443400270898,0.00017985921329787417,0.00019289057179528617,2253.8624672593874,0.44903375649870697,0.024490819996236993
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,mid,62.8125,1.0,0.064,0.064,4.635118325759849e-05,0.0002640627626675,0.17553093359082414,0.002995118759709143,0.002980635956849127,125.27306501225772,0.3770589089762817,1.2855473572817243e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,mid,62.8125,2.0,-0.064,0.064,4.2498485367045294e-05,0.0002640627626675,0.16094084958339291,0.0026120661989183463,0.002598788931737072,131.40843079328178,0.34500636092324866,1.6557761471126712e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,mid,62.8125,3.0,0.064,-0.064,4.924460537247055e-05,0.0002640627626675,0.18648826087788037,0.003169587592290557,0.0031542004688071366,122.41750520881028,0.3899023407399124,2.348754086809435e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,mid,62.8125,4.0,-0.064,-0.064,4.544432647278103e-05,0.0002640627626675,0.17209668646087437,0.002810337677424836,0.002796140876414332,127.82463308476194,0.3610403089782455,1.0586195147575634e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,right,63.125,0.0,0.0,0.0,4.583936772751055e-05,0.0002640627626675,0.1735926991918589,0.00019289057179528617,0.0002072141907591932,2032.511349010656,0.4347488200575977,0.023002086579445847
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,right,63.125,1.0,0.064,0.064,4.597681146464455e-05,0.0002640627626675,0.17411319566680894,0.002980635956849127,0.0029662697716376974,124.66146180365432,0.3733934020002337,1.2855473572817243e-07
6.0,400.0,even,60.0,80.0,cubic_path,60;80;100;120,0.064,4.0,right,63.125,2.0,-0.064,0.064,4.202515440283865e-05,0.0002640627626675,0.15914835540729189,0.002598788931737072,0.002585659293078551,130.74156966651756,0.34150277548251773,1.6557761471126712e-07
