D,ell,N_target,R,R_tail,n_half,h,parity,seed_E,seed_omega,E_dtn_real,E_dtn_imag,omega_dtn_real,omega_dtn_imag,Gamma_dtn,Gamma_dtn_narrow,rel_Gamma_exact_vs_narrow,S_seed,Gamma_geo_seed,Gamma_dtn_over_geo,root_candidate_count,root_success,root_nfev,guess_E_real,guess_E_imag,residual_abs,seed_dist,dtn_success,dtn_nfev,dtn_status,dtn_residual_abs,m_tail_real,m_tail_imag,m_R_real,m_R_imag,tail_mode,coulomb_order,whittaker_dps,coulomb_A,coulomb_B,coulomb_k_real,coulomb_k_imag,coulomb_next_term_abs,whittaker_kappa_real,whittaker_kappa_imag,whittaker_mu,whittaker_x_abs,whittaker_U_abs,whittaker_U_shift_abs
12.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,even,0.004821231389541256,1.0024077171438484,0.004482928633272949,-0.0019084219910151673,1.0022394100650331,-0.0009520789004352433,0.0019041578008704865,0.0019041578008704865,0.0,14.047245277583976,6.306119284597517e-13,3019539775.470673,5.0,1.0,22.0,0.004821231389541256,-0.001,9.161955667567128e-10,0.001938175237353173,1.0,746.0,0.0,0.0006320604768034465,0.014525556613569541,0.06542135023755068,0.016158643169195925,0.05974338575780723,whittaker,6.0,50.0,0.16,2.0064,0.0683928678183631,-0.013951907939315618,,0.22908407866189823,-1.1229802532644326,1.502131818450032,55.841146713539324,0.00010911563153210878,1.987110030401193e-06
12.0,1.0,3.0,100.0,400.0,1200.0,0.08333333333333333,odd,0.004821231389541256,1.0024077171438484,0.004482928633333223,-0.0019084219913101602,1.0022394100650633,-0.0009520789005823815,0.001904157801164763,0.001904157801164763,0.0,14.047245277583976,6.306119284597517e-13,3019539775.937325,5.0,1.0,45.0,0.004821231389541256,-1e-05,3.654314298668491e-10,0.0019381752376331168,1.0,746.0,0.0,0.0006320604753563841,0.014525556615622392,0.06542135023846567,0.016158643222042437,0.05974338575869795,whittaker,6.0,50.0,0.16,2.0064,0.0683928678192085,-0.013951907941299763,,0.22908407868643668,-1.1229802532388997,1.502131818450032,55.841146714519276,0.00010911563154100221,1.9871100305251593e-06
12.0,1.0,3.0,120.0,400.0,1200.0,0.1,even,0.003703311627393985,1.0018499446660631,0.003563287472073966,-0.0016518369123545472,1.0017803986856972,-0.0008244506054029919,0.0016489012108059837,0.0016489012108059837,0.0,14.103374728342006,5.633353920970793e-13,2927032872.3138866,5.0,1.0,29.0,0.003703311627393985,-1e-05,8.318362529397797e-10,0.001657761125461111,1.0,698.0,0.0,0.00022844328218083953,0.014192576665383322,0.05788279963532955,0.01681842196157544,0.05089706161545667,whittaker,6.0,50.0,0.16,2.0064,0.061199791843164514,-0.013495445512197793,,0.27488840573637363,-1.246577091209025,1.502131818450032,50.13608087575647,0.00012402637881623325,2.5257949755507676e-06
12.0,1.0,3.0,120.0,400.0,1200.0,0.1,odd,0.003703311627393985,1.0018499446660631,0.0035632874715249762,-0.0016518369124980615,1.0017803986854235,-0.0008244506054748468,0.0016489012109496936,0.0016489012109496936,0.0,14.103374728342006,5.633353920970793e-13,2927032872.568992,5.0,1.0,23.0,0.003703311627393985,-0.0001,1.8150413371705526e-10,0.001657761125650483,1.0,698.0,0.0,0.00022844328244744582,0.014192576667646931,0.05788279963113746,0.01681842200279435,0.05089706161552196,whittaker,6.0,50.0,0.16,2.0064,0.061199791839133835,-0.013495445514259123,,0.27488840580899665,-1.246577091265853,1.502131818450032,50.136080872962694,0.0001240263788427422,2.525794976233051e-06
12.0,1.0,3.0,60.0,800.0,1200.0,0.05,even,0.010547238830805607,1.0052597867371427,0.01084585757709809,-0.0019229933572493508,1.005408758730986,-0.0009563241520177964,0.0019126483040355928,0.0019126483040355928,0.0,14.03688880883854,6.456417475571163e-13,2962398747.095256,5.0,1.0,64.0,0.010547238830805607,-1e-05,8.568812141772186e-07,0.0019460412656627875,1.0,2162.0,0.0,0.02031084745629309,0.009276732823613151,0.10357936467258752,0.04450331764650905,0.16032087349697122,whittaker,6.0,50.0,0.16,2.0064,0.10454872410369871,-0.009196637136106951,,0.06679346763908547,-0.7593179677288145,1.502131818450032,167.92389778286713,1.405595881587459e-05,8.404585797646924e-08
12.0,1.0,3.0,60.0,800.0,1200.0,0.05,odd,0.010547238830805607,1.0052597867371427,0.010845857584923537,-0.0019229933666953596,1.005408758734882,-0.000956324156711687,0.001912648313423374,0.001912648313423374,0.0,14.03688880883854,6.456417475571163e-13,2962398761.6354885,5.0,0.0,40.0,0.010547238830805607,-0.002,1.1990381207270597e-07,0.0019460412761977324,1.0,2150.0,0.0,0.020310854521193793,0.009276732865494849,0.10357936471411161,0.04450333081291424,0.16032089112252418,whittaker,6.0,50.0,0.16,2.0064,0.10454872414477955,-0.009196637177668422,,0.06679346788421527,-0.7593179673823366,1.502131818450032,167.92389785417066,1.4055958826057278e-05,8.40458580011286e-08
12.0,1.0,3.0,80.0,800.0,1200.0,0.06666666666666667,even,0.006729144715632753,1.003358931148586,0.006616880842905405,-0.0014325725073287305,1.0033032395721961,-0.0007139279785140397,0.0014278559570280794,0.0014278559570280794,0.0,14.07270157893736,5.998781429917855e-13,2380243343.934656,5.0,1.0,38.0,0.006729144715632753,-0.0001,1.916173002378836e-07,0.0014369645666730505,1.0,1814.0,0.0,0.006656898565494603,0.00887976441608549,0.08057571906839968,0.012920351983447903,0.10484427913163302,whittaker,6.0,50.0,0.16,2.0064,0.08181400769971184,-0.008755056423753314,,0.10345429768531522,-0.9667568428720781,1.502131818450032,131.64979355969885,1.8756855092946186e-05,1.4342551735392507e-07
12.0,1.0,3.0,80.0,800.0,1200.0,0.06666666666666667,odd,0.006729144715632753,1.003358931148586,0.006616880804214937,-0.0014325724702377376,1.0033032395529016,-0.0007139279600433313,0.0014278559200866627,0.0014278559200866627,0.0,14.07270157893736,5.998781429917855e-13,2380243282.3531218,5.0,1.0,52.0,0.006729144715632753,-1e-05,5.315042185325591e-08,0.0014369645327181465,1.0,1814.0,0.0,0.006656897571230389,0.00887976421478844,0.08057571880614649,0.012920352804183364,0.10484427414216292,whittaker,6.0,50.0,0.16,2.0064,0.0818140074419525,-0.008755056224657836,,0.10345429603046745,-0.9667568463467419,1.502131818450032,131.64979311572986,1.8756854991770042e-05,1.4342551707405024e-07
12.0,1.0,3.0,100.0,800.0,1200.0,0.08333333333333333,even,0.004821231389541256,1.0024077171438484,0.0049127578895462685,-0.0011962515361338296,1.0024535470009999,-0.0005966618302227606,0.0011933236604455212,0.0011933236604455212,0.0,14.047245277583976,6.306119284597517e-13,1892326495.250691,5.0,1.0,39.0,0.004821231389541256,-0.001,5.699100918554413e-08,0.0011997478226301202,1.0,1706.0,0.0,0.0028159920023345018,0.00863432409452277,0.06916631119457319,0.018765657656954274,0.07577644980627825,whittaker,6.0,50.0,0.16,2.0064,0.07060120983379045,-0.008471891196695128,,0.13404085800726256,-1.117040637415614,1.502131818450032,113.77230617481342,2.1919910162611963e-05,1.9439051057368505e-07
12.0,1.0,3.0,100.0,800.0,1200.0,0.08333333333333333,odd,0.004821231389541256,1.0024077171438484,0.004912757889992408,-0.0011962515309274643,1.0024535470012208,-0.0005966618276258179,0.0011933236552516358,0.0011933236552516358,0.0,14.047245277583976,6.306119284597517e-13,1892326487.0144281,5.0,1.0,44.0,0.004821231389541256,-0.0001,5.088223151338476e-08,0.0011997478174729625,1.0,1706.0,0.0,0.002815991616246269,0.00863432405706467,0.06916631119312926,0.01876565829461159,0.07577644686612313,whittaker,6.0,50.0,0.16,2.0064,0.07060120983254352,-0.008471891159973112,,0.13404085744741503,-1.1170406375722417,1.502131818450032,113.77230616583235,2.1919910115069664e-05,1.9439051016905153e-07
