method,D,ell,eta_cap,Nz,zmax,z_cap_frac,z_cap_start,cap_power,N_target,seed_E,seed_omega_real,seed_bound,E_cap_real,E_cap_imag,omega_cap_real,omega_cap_imag,Gamma_cap,Gamma_cap_narrow,Gamma_cap_over_eta,rel_Gamma_exact_vs_narrow,S_seed,Gamma_wkb_seed,rel_Gamma_cap_vs_wkb,candidate_overlap,candidate_seed_dist,candidate_interior_weight,R,n_half,h,parity,seed_omega,E_siegert_real,E_siegert_imag,omega_siegert_real,omega_siegert_imag,Gamma_siegert,Gamma_siegert_narrow,q_R_real,q_R_imag,U_R,Gamma_geo_seed,Gamma_siegert_over_geo,root_success,root_nfev,guess_E_imag,residual_abs
CAP,6.0,1.0,5e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753974262378,-1.0455802643477497e-07,1.0033321471109358,-5.2105390391330824e-08,1.0421078078266165e-07,1.0421078078266165e-07,0.0020842156156532,0.0,11.684850011539648,7.113985303421259e-11,1463.8720279551967,0.9999999996084368,1.0455802790824755e-07,0.980161190040268,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,5.53e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.006675397430155,-1.1564117649435365e-07,1.0033321471128882,-5.7628561402678975e-08,1.1525712280535796e-07,1.1525712280535796e-07,0.0020842156022668,0.0,11.684850011539648,7.113985303421259e-11,1619.148452512665,0.9999999995214188,1.1564117848755437e-07,0.980161190150922,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.12e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753974349791,-1.2797902252216316e-07,1.0033321471152925,-6.377699692475673e-08,1.2755399384951346e-07,1.2755399384951346e-07,0.0020842155857763,0.0,11.684850011539648,7.113985303421259e-11,1792.0033365147688,0.9999999994138686,1.2797902522345986e-07,0.980161190287203,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,6.78e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753974409548,-1.417806804248789e-07,1.003332147118271,-7.065490766547024e-08,1.413098153309405e-07,1.413098153309405e-07,0.0020842155653531,0.0,11.684850011539648,7.113985303421259e-11,1985.366421968594,0.999999999280668,1.417806840974146e-07,0.9801611904560118,,,,,,,,,,,,,,,,,,,,
CAP,6.0,1.0,7.5e-05,1201.0,80.0,0.9,72.0,2.0,3.0,0.0066753974086843,1.003332147102187,0.0,0.0066753974481706,-1.568370340128109e-07,1.0033321471218677,-7.815808277583326e-08,1.5631616555166652e-07,1.5631616555166652e-07,0.0020842155406888,0.0,11.684850011539648,7.113985303421259e-11,2196.30796290078,0.9999999991197802,1.5683703898349037e-07,0.9801611906598618,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287385152826,-7.890252467366494e-07,1.0033587287283834,-3.931919981085072e-07,7.863839962170144e-07,7.863839962170144e-07,0.0157276799243402,0.0,14.039315646234174,6.413005366883295e-13,1226232.179653793,0.9999989558249828,7.89025359495975e-07,0.8603854865429813,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5.53e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287386094575,-8.726618691740294e-07,1.0033587287753305,-4.34870323119217e-07,8.69740646238434e-07,8.69740646238434e-07,0.015727678955487,0.0,14.039315646234174,6.413005366883295e-13,1356212.8131518916,0.9999988690408989,8.726620217303913e-07,0.8603854934665088,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.12e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287387254447,-9.657667693415247e-07,1.003358728833151,-4.81266939524539e-07,9.62533879049078e-07,9.62533879049078e-07,0.0157276777622398,0.0,14.039315646234174,6.413005366883295e-13,1500908.2055646712,0.9999990486732394,9.657669761269478e-07,0.8603855019935901,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.78e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287388691146,-1.0699179871326486e-06,1.0033587289047716,-5.331682260344366e-07,1.0663364520688733e-06,1.0663364520688733e-06,0.0157276762842016,0.0,14.039315646234174,6.413005366883295e-13,1662770.8067653982,0.999999126470112,1.0699182682991486e-06,0.8603855125558707,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,7.5e-05,1201.0,80.0,0.8,64.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287390426115,-1.1835374621705926e-06,1.003358728991261,-5.89787793723824e-07,1.179575587447648e-06,1.179575587447648e-06,0.0157276744993019,0.0,14.039315646234174,6.413005366883295e-13,1839348.135023286,0.9999991154325004,1.183537842767354e-06,0.8603855253109448,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287383297908,-5.410532157757488e-07,1.0033587286359071,-2.696210240336101e-07,5.392420480672202e-07,5.392420480672202e-07,0.0107848409613444,0.0,14.039315646234174,6.413005366883295e-13,840856.004193169,0.999998861710624,5.410532673930194e-07,0.9019770947841714,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5.53e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287383825575,-5.984048316014752e-07,1.00335872866221,-2.982008400920254e-07,5.964016801840508e-07,5.964016801840508e-07,0.0107848405096573,0.0,14.039315646234174,6.413005366883295e-13,929986.807688208,0.9999987941591744,5.984049014381196e-07,0.901977098164316,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.12e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287384475455,-6.622490742520591e-07,1.0033587286946053,-3.300161025726371e-07,6.600322051452741e-07,6.600322051452741e-07,0.0107848399533541,0.0,14.039315646234174,6.413005366883295e-13,1029207.8769388448,0.9999992710521092,6.622491689152595e-07,0.9019771023273054,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.78e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287385280443,-7.336680452168773e-07,1.0033587287347323,-3.6560605105915426e-07,7.312121021183085e-07,7.312121021183085e-07,0.0107848392642818,0.0,14.039315646234174,6.413005366883295e-13,1140200.9182679646,0.9999993482667264,7.336681739326297e-07,0.9019771074838956,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,7.5e-05,1201.0,80.0,0.825,66.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287386252549,-8.115796334556772e-07,1.0033587287831898,-4.04431441205435e-07,8.088628824108699e-07,8.088628824108699e-07,0.0107848384321449,0.0,14.039315646234174,6.413005366883295e-13,1261284.2105002606,0.9999985287804636,8.115798076916997e-07,0.90197711371105,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287382118846,-3.477669671669386e-07,1.00335872857713,-1.7330141118127776e-07,3.466028223625555e-07,3.466028223625555e-07,0.0069320564472511,0.0,14.039315646234174,6.413005366883295e-13,540467.6298134249,0.9999994042788256,3.47766987332681e-07,0.9357346855795724,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,5.53e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287382383298,-3.8463025574557507e-07,1.0033587285903116,-1.916713558100844e-07,3.833427116201688e-07,3.833427116201688e-07,0.0069320562679958,0.0,14.039315646234174,6.413005366883295e-13,597757.2891162812,0.9999986256816592,3.8463028303044897e-07,0.9357346869753292,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.12e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287382709009,-4.256667432608725e-07,1.0033587286065468,-2.1212091504502762e-07,4.2424183009005523e-07,4.2424183009005523e-07,0.0069320560472231,0.0,14.039315646234174,6.413005366883295e-13,661532.5647165312,0.9999993364083948,4.256667802471141e-07,0.9357346886943746,,,,,,,,,,,,,,,,,,,,
CAP,12.0,1.0,6.78e-05,1201.0,80.0,0.85,68.0,2.0,3.0,0.0067287380934534,1.0033587285180976,0.0,0.0067287383112452,-4.715719616853254e-07,1.0033587286266563,-2.3499669073033723e-07,4.6999338146067435e-07,4.6999338146067435e-07,0.0069320557737562,0.0,14.039315646234174,6.413005366883295e-13,732874.3908233355,0.999999014302805,4.715720119780274e-07,0.935734690823692,,,,,,,,,,,,,,,,,,,,
