tube_kind,D,R_tail,parity,R0,R1,pad_factor,n_contour,center_real,center_imag,half_re,half_im,half_re_over_box,half_im_over_box,root_gap_abs,delta_F_abs_max,rouche_ratio_from_R0,rouche_ratio_from_R1,rouche_ratio_symmetric,R0_argument_index_round,R1_argument_index_round,R0_argument_index_error,R1_argument_index_error,R0_zero_count_abs,R1_zero_count_abs,R0_boundary_F_abs_min,R1_boundary_F_abs_min,direct_endpoint_index_ok,rouche_pass_from_R0,symmetric_rouche_pass,large_tube_status
segment,18.0,800.0,even,60.0,80.0,64.0,24.0,0.0087583849687655,-0.0015921264018138,0.0085213659795227,0.0066349970653778005,85.213659795227,66.349970653778,0.004268684687260225,3.0705502051638414,0.9918461710650255,1.3005550227822227,1.3005550227822227,-1.0,0.0,0.0,0.0,1.0,0.0,3.095792769827143,2.360953709282628,0.0,1.0,0.0,rouche_ratio_ok_but_index_not_one
segment,18.0,800.0,even,80.0,100.0,64.0,24.0,0.00578278472504095,-0.0012442246539993,0.0072542342642018505,0.0065129046824367,72.5423426420185,65.129046824367,0.0017233266033490095,4.6681068188971535,1.5492844883100627,3.7422418480834527,3.7422418480834527,-1.0,0.0,0.0,0.0,1.0,0.0,3.013072714611025,1.247409175675771,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,18.0,800.0,even,100.0,120.0,64.0,24.0,0.00421004313956105,-0.00102239388139435,0.007118507321278051,0.00650892609016825,71.18507321278051,65.08926090168251,0.0014534340904898309,3.0437514498220706,1.9033145033197836,2.083728679529236,2.083728679529236,0.0,-1.0,0.0,0.0,0.0,1.0,1.5991847088398283,1.4607235000046777,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,18.0,800.0,odd,60.0,80.0,64.0,24.0,0.008758384964886401,-0.00159212639961255,0.0085213659756993,0.00663499706093005,85.213659756993,66.3499706093005,0.004268684678680497,3.07055020874068,0.9918461731081724,1.3005550209387697,1.3005550209387697,-1.0,0.0,0.0,0.0,1.0,0.0,3.0957927670562286,2.360953715379368,0.0,1.0,0.0,rouche_ratio_ok_but_index_not_one
segment,18.0,800.0,odd,80.0,100.0,64.0,24.0,0.00578278472599995,-0.0012442246562948,0.007254234263187151,0.0065129046823877,72.5423426318715,65.129046823877,0.0017233266013242652,4.668106815432304,1.5492844906835828,3.7422418492665135,3.7422418492665135,-1.0,0.0,2.220446049250313e-16,0.0,1.0,0.0,3.0130727077585466,1.2474091743555435,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,18.0,800.0,odd,100.0,120.0,64.0,24.0,0.0042100431402137,-0.0010223938822226499,0.0071185073225991,0.00650892609168445,71.18507322599099,65.0892609168445,0.0014534340935566028,3.04375144949305,1.9033145031334935,2.0837286795378223,2.0837286795378223,0.0,-1.0,0.0,0.0,0.0,1.0,1.599184708823484,1.4607234998407586,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,60.0,80.0,96.0,24.0,0.007931176873466849,-0.0030105092838165,0.01093029916543925,0.0099055610013221,109.3029916543925,99.055610013221,0.002729881605562651,12.72479785112989,5.356402167015767,12.057078748646566,12.057078748646566,-1.0,-1.0,0.0,2.220446049250313e-16,1.0,1.0,2.375624057784165,1.0553798408721746,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,even,80.0,100.0,96.0,24.0,0.00550912302073865,-0.0024119018303769496,0.010691754687288951,0.00989304645211745,106.9175468728895,98.9304645211745,0.002260800318750878,8.338258307489571,6.125351656176307,9.432021155130476,9.432021155130476,-1.0,0.0,0.0,0.0,1.0,0.0,1.3612701401530063,0.884037277943767,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,100.0,120.0,96.0,24.0,0.0039594963655165995,-0.00197837466558795,0.010057871967933101,0.009740480712671551,100.578719679331,97.40480712671551,0.0009578759202561388,1.914290805943648,2.2480021652439666,4.693866033765267,4.693866033765267,0.0,0.0,0.0,0.0,0.0,0.0,0.851552029415371,0.4078281723792756,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,60.0,80.0,96.0,24.0,0.0086867661790564,-0.00316705500889825,0.0116858884677506,0.01006210671841605,116.858884677506,100.6210671841605,0.004272925610913533,6.461011972304225,2.226624578024468,5.550132450866352,5.550132450866352,-1.0,-1.0,0.0,0.0,1.0,1.0,2.9017069316807054,1.1641185196032013,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,odd,80.0,100.0,96.0,24.0,0.005509123023177799,-0.0024119018352601503,0.010691754688128,0.00989304645522205,106.91754688128,98.9304645522205,0.002260800321981289,8.338260458908199,6.125351700251206,9.432021742004649,9.432021742004649,-1.0,0.0,0.0,0.0,1.0,0.0,1.3612704815898555,0.8840374510349691,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,100.0,120.0,96.0,24.0,0.0039594963684024004,-0.00197837466616975,0.0100578719666474,0.00974048071386835,100.578719666474,97.40480713868351,0.0009578759184999257,1.9142905919416202,2.248001773837201,4.693865378293853,4.693865378293853,0.0,0.0,0.0,0.0,0.0,0.0,0.851552082485257,0.40782818373828933,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,800.0,even,60.0,80.0,96.0,24.0,0.0083131520251921,-0.0017850700479373001,0.011320511879405502,0.009819626476553801,113.20511879405501,98.196264765538,0.0034689461894811123,4.623689961177432,1.02724929861608,2.2037247691856177,2.2037247691856177,-1.0,-1.0,0.0,0.0,1.0,1.0,4.501039784019819,2.098124968158391,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,800.0,even,80.0,100.0,96.0,24.0,0.00574201031931,-0.0014376641241404002,0.010450629826476602,0.0097277794472431,104.50629826476602,97.277794472431,0.0017203472775336533,3.9085649305731986,1.576392371850618,1.5924172329043862,1.5924172329043862,0.0,0.0,0.0,0.0,0.0,0.0,2.4794365922899693,2.4544854513062666,0.0,0.0,0.0,large_tube_rouche_not_closed
