D,group_family,group_label,n_boxes,R_values,R_tail_values,parities,re_span,im_span,abs_diameter,box_re_min,box_im_min,re_overlap_width,im_overlap_width,has_common_box_intersection,exact_square_cover_factor,disk_cover_diameter_lower_factor,n_contour_jost_pass,boundary_ratio_direct_max,boundary_product_margin_min,winding_abs_max,single_pole_status
6.0,fixed_R_tail_parity_block,"(6,60)",4.0,60,"400,800","even,odd",0.0015111786079009,0.0016244652028232,0.0017846552922776487,0.0001,0.0001,-0.0013111786079009011,-0.0014244652028232003,0.0,8.122326014116,8.923276461388243,4.0,6.282861420419525e-05,15916.314766229983,0.0,tail_box_control_but_no_single_pole_intersection
6.0,fixed_R_tail_parity_block,"(6,80)",4.0,80,"400,800","even,odd",8.237567510199773e-06,0.0011395047561849,0.0011395345308004025,0.0001,0.0001,0.00019176243248980075,-0.0009395047561849001,0.0,5.6975237809245,5.697672654002012,4.0,0.0003630170492981,2754.6915549375767,0.0,tail_box_control_but_no_single_pole_intersection
6.0,fixed_R_tail_parity_block,"(6,100)",4.0,100,"400,800","even,odd",0.00047401215938370003,0.0008089707031408001,0.0009376145926055038,0.0001,0.0001,-0.0002740121593836995,-0.0006089707031408003,0.0,4.044853515704,4.688072963027518,4.0,0.0016346571569902,611.7490727176125,0.0,tail_box_control_but_no_single_pole_intersection
6.0,fixed_R_tail_parity_block,"(6,120)",4.0,120,"400,800","even,odd",4.1857863654300165e-05,0.0007756483991071001,0.0007767770075368407,0.0001,0.0001,0.0001581421363456995,-0.0005756483991071,0.0,3.8782419955355003,3.883885037684203,4.0,0.0075847882058402,131.84283764575096,0.0,tail_box_control_but_no_single_pole_intersection
12.0,fixed_R_tail_parity_block,"(12,60)",4.0,60,"400,800","even,odd",1.902670563470009e-05,0.0013736080157724,0.0013737397848272855,0.0001,0.0001,0.0001809732943652987,-0.0011736080157724003,0.0,6.868040078861999,6.868698924136427,4.0,0.0001529628097196,6537.536815862822,0.0,tail_box_control_but_no_single_pole_intersection
12.0,fixed_R_tail_parity_block,"(12,80)",4.0,80,"400,800","even,odd",5.82948344766002e-05,0.0010128606689949003,0.0010145368512397422,0.0001,0.0001,0.00014170516552340032,-0.0008128606689949004,0.0,5.064303344974501,5.072684256198711,4.0,0.0009221250409499,1084.45162596372,0.0,tail_box_control_but_no_single_pole_intersection
12.0,fixed_R_tail_parity_block,"(12,100)",4.0,100,"400,800","even,odd",0.0004298292567195003,0.0007121704603826999,0.0008318292820777034,0.0001,0.0001,-0.0002298292567194998,-0.0005121704603826998,0.0,3.560852301913499,4.159146410388517,4.0,0.0038861752918664,257.32241211377027,0.0,tail_box_control_but_no_single_pole_intersection
12.0,fixed_R_tail_parity_block,"(12,120)",4.0,120,"400,800","even,odd",8.441968861609998e-05,0.0006840712904721,0.0006892606286315146,0.0001,0.0001,0.00011558031138389968,-0.0004840712904720999,0.0,3.4203564523604997,3.446303143157573,4.0,0.0168309976894491,59.414184378794616,0.0,tail_box_control_but_no_single_pole_intersection
18.0,fixed_R_tail_parity_block,"(18,60)",4.0,60,"400,800","even,odd",6.645676848160073e-05,0.0012894062585296,0.0012911177334435147,0.0001,0.0001,0.00013354323151839806,-0.0010894062585296,0.0,6.447031292647999,6.455588667217573,4.0,0.0002438051124329,4101.636713114478,0.0,tail_box_control_but_no_single_pole_intersection
18.0,fixed_R_tail_parity_block,"(18,80)",4.0,80,"400,800","even,odd",9.168752610059974e-05,0.0009440776801061999,0.0009485195140359203,0.0001,0.0001,0.00010831247389940079,-0.0007440776801062,0.0,4.720388400530999,4.742597570179601,4.0,0.0015108588457181,661.8751995489495,0.0,tail_box_control_but_no_single_pole_intersection
18.0,fixed_R_tail_parity_block,"(18,100)",4.0,100,"400,800","even,odd",0.00040362853308599945,0.0006583471394051,0.0007722285588333593,0.0001,0.0001,-0.00020362853308599892,-0.0004583471394050999,0.0,3.2917356970254996,3.8611427941667964,4.0,0.0061633798869333,162.248639276649,0.0,tail_box_control_but_no_single_pole_intersection
18.0,fixed_R_tail_parity_block,"(18,120)",4.0,120,"400,800","even,odd",0.00010937337046279961,0.0006326419477385,0.000642026765947809,0.0001,0.0001,9.062662953720005e-05,-0.0004326419477385,0.0,3.1632097386924998,3.210133829739045,4.0,0.0260580974101955,38.37578715968492,0.0,tail_box_control_but_no_single_pole_intersection
