D,R_tail,parity,R0,R1,center_mode,tube_radius_min,slab_index,R_left,R_right,delta_R,node_upper_beta,sampled_direct_dH_dR_abs_max,direct_guard_factor,direct_L_bound,s24_interval_L_bound,direct_L_over_s24_L,five_percent_reserve,direct_remainder_bound,direct_remainder_over_reserve,beta_direct,beta_s24_interval,direct_contribution,s24_interval_contribution,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max,special_interval_pass
6.0,400.0,even,60.0,80.0,cubic_path,0.064,18.0,71.25,71.875,0.625,0.0027898417688441,3.94658217785127e-05,2.0,7.89316435570254e-05,0.0002640627626675,0.29891243566369025,0.000139492088442205,2.4666138611570437e-05,0.17682822651114172,0.0028145079074556704,0.0028723613821776935,0.001759067442159794,0.0017952258638610583,107.43296518182751,0.3042163344071459,0.024806072368977874,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,19.0,71.875,72.5,0.625,0.0027653631990871,3.887074064244504e-05,2.0,7.774148128489007e-05,0.0002640627626675,0.2944053167495633,0.000138268159954355,2.4294212901528148e-05,0.17570359589328546,0.002789657411988628,0.0028478828124206936,0.0017435358824928926,0.0017799267577629334,106.53926719852986,0.29899968226236057,0.02321338225446767,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,20.0,72.5,73.125,0.625,0.0027412519622848,3.880629790931561e-05,2.0,7.761259581863122e-05,0.0002640627626675,0.2939172302622567,0.00013706259811424002,2.4253936193322257e-05,0.17695517615321207,0.0027655058984781223,0.0028237715756183938,0.0017284411865488266,0.0017648572347614962,105.66100325343471,0.29391179362130293,0.021313448676684447,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,21.0,73.125,73.75,0.625,0.0027174985174473,4.809761514448453e-05,2.0,9.619523028896906e-05,0.0002640627626675,0.36428926713190246,0.000135874925872365,3.0061009465302832e-05,0.22124030075674772,0.0027475595269126026,0.0028000181307808935,0.0017172247043203766,0.0017500113317380586,104.79781055338229,0.28894832027904704,0.019540260678310682,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,22.0,73.75,74.375,0.625,0.0026940922896245,5.951481129879572e-05,2.0,0.00011902962259759144,0.0002640627626675,0.45076261944388585,0.00013470461448122502,3.7196757061747325e-05,0.2761357300564619,0.0027312890466862473,0.0027766119029580937,0.0017070556541789045,0.0017353824393488086,103.94921509193067,0.2841051037502104,0.018213127582810053,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,23.0,74.375,75.0,0.625,0.0026710261908412,6.859539860522019e-05,2.0,0.00013719079721044038,0.0002640627626675,0.5195385969023848,0.00013355130954206002,4.287212412826262e-05,0.3210161268748973,0.0027138983149694626,0.0027535458041747936,0.0016961864468559142,0.001720966127609246,103.11492224003965,0.27937813095866665,0.01815863587004609,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,24.0,75.0,75.625,0.625,0.0026482905439162,6.990415493454387e-05,2.0,0.00013980830986908775,0.0002640627626675,0.5294510610158625,0.00013241452719581,4.3690096834089924e-05,0.3299494229170378,0.00269198064075029,0.0027308101572497937,0.0016824879004689313,0.001706756348281121,102.29448243940021,0.27476364529726055,0.019199118690440407,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,25.0,75.625,76.25,0.625,0.0026258781767754,6.842389566185754e-05,2.0,0.00013684779132371508,0.0002640627626675,0.5182396409903117,0.00013129390883877002,4.276493478866096e-05,0.3257191073591742,0.002668643111564061,0.002708397790108994,0.0016679019447275382,0.001692748618818121,101.48754652866391,0.2702579297175973,0.02033414470842832,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,26.0,76.25,76.875,0.625,0.002603782466641,5.928599535760657e-05,2.0,0.00011857199071521314,0.0002640627626675,0.4490295773528488,0.00013018912333205,3.705374709850411e-05,0.28461476773292166,0.002640836213739504,0.0026863020799745936,0.00165052263358719,0.001678938799984121,100.69381770455169,0.2658575379644047,0.021499344029256417,1.0
6.0,400.0,even,60.0,80.0,cubic_path,0.064,27.0,76.875,77.5,0.625,0.0025819940322465,4.754569024870101e-05,2.0,9.509138049740202e-05,0.0002640627626675,0.3601090117243766,0.000129099701612325,2.9716056405438132e-05,0.23017912539157392,0.002611710088651938,0.0026645136455800936,0.0016323188054074612,0.0016653210284875584,99.91290393706419,0.2615591234707751,0.02269639357548451,1.0
