D,ell,N_target,theta,R0,L,Nz,h,exterior_length,seed_E,seed_omega,seed_bound,S_seed,Gamma_geo_seed,Gamma_ecs_over_geo,Z_left_imag,Z_right_imag,J_exterior_real,J_exterior_imag,V_imag_abs_max,candidate_count,candidate_index,E_ecs_real,E_ecs_imag,omega_ecs_real,omega_ecs_imag,Gamma_ecs,Gamma_ecs_narrow,candidate_overlap,candidate_interior_weight,candidate_seed_dist,eig_residual_abs
6.0,1.0,3.0,0.16,60.0,100.0,1335.0,0.1499250374812533,40.0,0.004795369512921285,1.0023948171817936,0.0,11.582209797089657,8.726884060403383e-11,5118712.097817322,-6.348842476471752,6.348842476471755,0.9872272833756269,0.15931820661424598,0.0001285690827874882,12.0,0.0,0.004794021932403891,-0.0004477735555944481,1.0023941698845498,-0.00022335203508117978,0.00044670407016235956,0.00044670407016235956,0.9970072762371194,0.35714013969235875,0.00044777558337067146,4.4736105476112116e-14
6.0,1.0,3.0,0.16,60.0,120.0,1601.0,0.15000000000000568,60.0,0.003689610919892787,1.0018431069383533,0.0,11.586823297896808,8.641972346785521e-11,4847907.000473324,-9.53519466586262,9.53519466586262,0.9872272833756269,0.15931820661424598,0.0001304278308693689,12.0,1.0,0.003680308519362063,-0.0004197250249580527,1.0018384861843448,-0.00020947739118939206,0.00041895478237878413,0.00041895478237878413,0.9961184373943968,0.14292310107014056,0.0004198280972394201,3.770642029513342e-14
12.0,1.0,3.0,0.08,50.0,100.0,1335.0,0.1499250374812533,50.0,0.0048211312419342706,1.0024076671903175,0.0,14.043217155809481,6.357127794484991e-13,444246905.8285291,-3.983753484970004,3.9837534849700047,0.9968017063026194,0.0799146939691727,8.172171297020569e-05,12.0,1.0,0.0048175947526611015,-0.00028309289745961734,1.0024059131369878,-0.00014120671763282494,0.0002824134352656499,0.0002824134352656499,0.9990991494115937,0.15199072370633304,0.0002831149860895051,3.6624673822641334e-14
12.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,70.0,0.00370329076155683,1.0018499342524092,0.0,14.056780078951155,6.183560734955222e-13,398192869.3745042,-5.582041373746712,5.582041373746712,0.9968017063026194,0.0799146939691727,8.17217582212278e-05,12.0,1.0,0.0036983403974169826,-0.0002466798727586514,1.0018474712021297,-0.0001231124896001669,0.0002462249792003338,0.0002462249792003338,0.9989958646182133,0.05133585885393209,0.00024672953963670734,4.1079332307989694e-14
12.0,1.0,3.0,0.08,60.0,100.0,1335.0,0.1499250374812533,40.0,0.0048211312419342706,1.0024076671903175,0.0,14.043217155809481,6.357127794484991e-13,355190225.13320553,-3.184606545278277,3.1846065452782777,0.9968017063026194,0.0799146939691727,6.46036341569276e-05,12.0,0.0,0.004820700045658539,-0.00022634256688329425,1.0024074584678386,-0.00011289948262618411,0.00022579896525236822,0.00022579896525236822,0.9991836524492473,0.3507206279732297,0.00022634297761041039,4.350740236889521e-14
12.0,1.0,3.0,0.08,60.0,120.0,1601.0,0.15000000000000568,60.0,0.00370329076155683,1.0018499342524092,0.0,14.056780078951155,6.183560734955222e-13,341260317.4667125,-4.7828944340549855,4.7828944340549855,0.9968017063026194,0.0799146939691727,6.546244616796934e-05,12.0,1.0,0.0037008781573003944,-0.00021141051088382974,1.0018487357329457,-0.00010551019497427586,0.00021102038994855172,0.00021102038994855172,0.9987257751463551,0.13864686571321772,0.00021142427668425416,3.9624346185340465e-14
12.0,1.0,3.0,0.12,50.0,100.0,1335.0,0.1499250374812533,50.0,0.0048211312419342706,1.0024076671903175,0.0,14.043217155809481,6.357127794484991e-13,666805640.4127843,-5.967662507281213,5.967662507281215,0.9928086358538663,0.11971220728891936,0.00012266644661083827,12.0,1.0,0.004813163818219753,-0.0004249157944655988,1.002403715446206,-0.00021194843350937377,0.00042389686701874754,0.00042389686701874754,0.9979631142426308,0.15271188392798626,0.0004249904848663999,4.0544532766436904e-14
12.0,1.0,3.0,0.12,50.0,120.0,1601.0,0.15000000000000568,70.0,0.00370329076155683,1.0018499342524092,0.0,14.056780078951155,6.183560734955222e-13,597519316.2974705,-8.361897679131017,8.361897679131017,0.9928086358538663,0.11971220728891936,0.0001226665155007852,12.0,0.0,0.003692139408796071,-0.0003701611614052373,1.00184438588915,-0.00018473984913171642,0.00036947969826343284,0.00036947969826343284,0.9977733518331767,0.05172822409435516,0.0003703290942948839,3.318799723620481e-14
12.0,1.0,3.0,0.12,60.0,100.0,1335.0,0.1499250374812533,40.0,0.0048211312419342706,1.0024076671903175,0.0,14.043217155809481,6.357127794484991e-13,533200236.7029337,-4.77054043439202,4.7705404343920215,0.9928086358538663,0.11971220728891936,9.696864414013595e-05,12.0,0.0,0.004820160749773098,-0.00033977815342689624,1.002407197437058,-0.0001694811022385098,0.0003389622044770196,0.0003389622044770196,0.998292373500636,0.3515284096621617,0.00033977953940934457,4.1016049280547397e-14
12.0,1.0,3.0,0.12,60.0,120.0,1601.0,0.15000000000000568,60.0,0.00370329076155683,1.0018499342524092,0.0,14.056780078951155,6.183560734955222e-13,512233567.62647074,-7.1647756062418235,7.1647756062418235,0.9928086358538663,0.11971220728891936,9.826044095130426e-05,12.0,0.0,0.0036978553563643854,-0.0003173278355702259,1.0018472340820506,-0.00015837136879505375,0.0003167427375901075,0.0003167427375901075,0.9977253524801267,0.13938527614679833,0.00031737438279938473,3.681945354561965e-14
12.0,1.0,3.0,0.16,50.0,100.0,1335.0,0.1499250374812533,50.0,0.0048211312419342706,1.0024076671903175,0.0,14.043217155809481,6.357127794484991e-13,889888210.6521931,-7.942024542614212,7.942024542614214,0.9872272833756269,0.15931820661424598,0.00016371214475608838,12.0,0.0,0.004806941172496665,-0.0005670713756098998,1.0024006290802012,-0.00028285665389607856,0.0005657133077921571,0.0005657133077921571,0.9963957551274663,0.15372443469550232,0.0005672488899123101,3.934953435751326e-14
12.0,1.0,3.0,0.16,50.0,120.0,1601.0,0.15000000000000568,70.0,0.00370329076155683,1.0018499342524092,0.0,14.056780078951155,6.183560734955222e-13,797121796.0814091,-11.12837673200508,11.12837673200508,0.9872272833756269,0.15931820661424598,0.00016371223851727266,12.0,0.0,0.003683433620966845,-0.0004938120760687232,1.0018400542800368,-0.00024645255196129924,0.0004929051039225985,0.0004929051039225985,0.9958549483220892,0.05228160103073262,0.0004942111618566631,4.1134932854011406e-14
12.0,1.0,3.0,0.16,60.0,100.0,1335.0,0.1499250374812533,40.0,0.0048211312419342706,1.0024076671903175,0.0,14.043217155809481,6.357127794484991e-13,711709853.6929948,-6.348842476471752,6.348842476471755,0.9872272833756269,0.15931820661424598,0.0001294097032348111,12.0,0.0,0.004819405181154109,-0.0004535320035521858,1.0024068317591077,-0.0002262215246260292,0.0004524430492520584,0.0004524430492520584,0.9970092842303321,0.3526579417422277,0.0004535352880778702,4.1807053232753626e-14
12.0,1.0,3.0,0.16,60.0,120.0,1601.0,0.15000000000000568,60.0,0.00370329076155683,1.0018499342524092,0.0,14.056780078951155,6.183560734955222e-13,683619789.4905403,-9.53519466586262,9.53519466586262,0.9872272833756269,0.15931820661424598,0.0001311388080486492,12.0,0.0,0.003693610236674728,-0.00042350042095064294,1.0018451252113867,-0.00021136022439660295,0.0004227204487932059,0.0004227204487932059,0.9957981058376116,0.14042268788222897,0.00042361104696096485,3.664887196336135e-14
