D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,station,R,point_index,z_real,z_imag,dH_dR_abs,H_minus_abs,H_plus_abs,dF_dE_abs_min,curved_numerator_abs_max,dF_dE_CR_rel_mismatch_max
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,7.0,node_slope_proxy,64.6875,0.0,0.0,0.0,5.594416376540484e-05,0.0032070683041252,0.0031721032017718,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,8.0,node_slope_proxy,65.3125,0.0,0.0,0.0,5.488148211424335e-05,0.0031721032017718,0.0031378022754504,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,9.0,node_slope_proxy,65.9375,0.0,0.0,0.0,5.384034633380344e-05,0.0031378022754504,0.0031041520589918,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,10.0,node_slope_proxy,66.5625,0.0,0.0,0.0,5.282439171052852e-05,0.0031041520589918,0.0030711368141727,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,11.0,node_slope_proxy,67.1875,0.0,0.0,0.0,5.183005813286928e-05,0.0030711368141727,0.0030387430278397,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,12.0,node_slope_proxy,67.8125,0.0,0.0,0.0,5.086105765998855e-05,0.0030387430278397,0.0030069548668022,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,13.0,node_slope_proxy,68.4375,0.0,0.0,0.0,4.9918085424446175e-05,0.0030069548668022,0.0029757560634119,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,14.0,node_slope_proxy,69.0625,0.0,0.0,0.0,4.8999826633665255e-05,0.0029757560634119,0.0029451311717659,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,15.0,node_slope_proxy,69.6875,0.0,0.0,0.0,4.810519480346539e-05,0.0029451311717659,0.0029150654250137,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,16.0,node_slope_proxy,70.3125,0.0,0.0,0.0,4.723695856511667e-05,0.0029150654250137,0.0028855423259105,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,17.0,node_slope_proxy,70.9375,0.0,0.0,0.0,4.6391074436692714e-05,0.0028855423259105,0.0028565479043876,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,18.0,node_slope_proxy,71.5625,0.0,0.0,0.0,4.556619176037183e-05,0.0028565479043876,0.0028280690345373,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,19.0,node_slope_proxy,72.1875,0.0,0.0,0.0,4.4766427458212826e-05,0.0028280690345373,0.0028000900173759,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,20.0,node_slope_proxy,72.8125,0.0,0.0,0.0,4.3983389810040016e-05,0.0028000900173759,0.0027726003987447,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,21.0,node_slope_proxy,73.4375,0.0,0.0,0.0,4.322101491800734e-05,0.0027726003987447,0.0027455872644209,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,22.0,node_slope_proxy,74.0625,0.0,0.0,0.0,4.247643109901514e-05,0.0027455872644209,0.002719039494984,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,23.0,node_slope_proxy,74.6875,0.0,0.0,0.0,4.174992081671797e-05,0.002719039494984,0.0026929457944736,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,24.0,node_slope_proxy,75.3125,0.0,0.0,0.0,4.1039089542945634e-05,0.0026929457944736,0.0026672963635092,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,25.0,node_slope_proxy,75.9375,0.0,0.0,0.0,4.03460314389259e-05,0.0026672963635092,0.0026420800938599,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,26.0,node_slope_proxy,76.5625,0.0,0.0,0.0,3.966504297711337e-05,0.0026420800938599,0.0026172894419992,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,27.0,node_slope_proxy,77.1875,0.0,0.0,0.0,3.900363586302816e-05,0.0026172894419992,0.0025929121695848,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,28.0,node_slope_proxy,77.8125,0.0,0.0,0.0,3.835365594550902e-05,0.0025929121695848,0.0025689411346189,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,29.0,node_slope_proxy,78.4375,0.0,0.0,0.0,3.7718392133957725e-05,0.0025689411346189,0.0025453671395352,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,30.0,node_slope_proxy,79.0625,0.0,0.0,0.0,3.709988387278068e-05,0.0025453671395352,0.0025221797121147,,,
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,31.0,node_slope_proxy,79.6875,0.0,0.0,0.0,3.649032830875739e-05,0.0025221797121147,0.0024993732569217,,,
