D,branch_id,anchor_theta,anchor_R0,anchor_L,anchor_candidate_index,anchor_E_real,anchor_E_imag,anchor_Gamma,n_cases,Gamma_min,Gamma_max,Gamma_candidate,E_abs_span,Gamma_theta_rel_span_max,Gamma_R0_rel_span_max,Gamma_L_rel_span_max,E_theta_abs_span_max,E_R0_abs_span_max,E_L_abs_span_max,seed_overlap_min,seed_overlap_median,interior_weight_min,eig_residual_abs_max,branch_pick_dist_max,branch_stability_score,branch_pass,branch_status,fail_reasons
6.0,21.0,0.16,60.0,100.0,0.0,0.004794021932401394,-0.00044777355559443715,0.00044670407016234926,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255450289087,0.0011557242318610069,0.6686507927647004,0.22281250329610439,0.1337656531230487,0.00028058121363766666,0.00011277728615924251,0.0011140665535414485,0.00026455536639121286,0.0011368190274608802,0.0528469959573829,4.703456341001068e-14,0.0011320842029023284,4.457671951764669,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,22.0,0.16,60.0,100.0,3.0,0.009562551703467707,-0.0010117579740709017,0.0010069547735975155,12.0,0.000502474139180534,0.0018763787457900874,0.0009752846860358479,0.002467514076558067,0.6687732223623838,0.2231127242083325,0.46066974799057214,0.0009471499274107298,0.00027260663465382965,0.002181628715540861,1.8457821574245162e-05,0.014640003400436322,0.4315226380574882,7.702222031093219e-14,0.0022296768169797255,8.726514862163445,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,23.0,0.16,60.0,120.0,1.0,0.0036803085193568745,-0.00041972502495814885,0.0004189547823788812,12.0,0.0002091346479862323,0.0005585653183309982,0.0003504255447282071,0.001155724230596856,0.6686507951691837,0.22281250330381697,0.13376565369617072,0.00028058121408238763,0.00011277728615924251,0.00111406655387644,0.00037551850546397415,0.9962489582826415,0.0528469959573829,4.703456341001068e-14,0.0011318688668388484,4.457671967794558,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
6.0,24.0,0.16,60.0,120.0,3.0,0.007083984918339503,-0.0009172024015326227,0.0009139707419468628,12.0,0.0002229328044166019,0.0010660251806712847,0.0004944249332137487,0.002417675357567762,0.6686507951472286,0.22281250329610439,0.6870635285211787,0.000536683196462504,0.0001544933098548529,0.0023375829205977082,5.057598135235696e-05,0.00031318164516659923,0.15571052919522657,6.362127094022139e-14,0.0023917717252075962,9.350331682390832,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
12.0,25.0,0.08,50.0,100.0,1.0,0.004817594752668717,-0.00028309289745957674,0.0002824134352656083,12.0,0.00021102038996039242,0.0005657133077922749,0.000354220951380295,0.0011682957071654668,0.6686411669762501,0.22279845951821223,0.13755325438481922,0.00028417824480941184,0.00011422145384781659,0.0011261954328306493,0.0050972687360366226,0.015825304374811403,0.051335858833425965,4.3546434846307226e-14,0.0011535701300125455,4.5047817313225975,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
12.0,26.0,0.08,50.0,100.0,3.0,0.00964511666209867,-0.0006444283601945449,0.0006413428362662008,12.0,0.0005126230737774715,0.001912132418664876,0.0009949372540816463,0.0024904133362742445,0.6687408376276819,0.2230911006441392,0.4597997751437679,0.0009652963575430556,0.0002778155485134647,0.0021972416888666854,7.41611941443603e-05,0.026311316827652965,0.42736222258426027,8.108403513350086e-14,0.0024263947422566313,8.788966755466742,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
12.0,27.0,0.08,50.0,120.0,1.0,0.0036983403974109076,-0.00024667987275875516,0.00024622497920043815,12.0,0.00021102038996039242,0.0005657133077922749,0.0003542209513702055,0.001168295707047816,0.6686411670862196,0.2227984596812462,0.13755325443773642,0.00028417824480941184,0.00011422145384781659,0.0011261954328621216,0.008653877738500878,0.9977289168491716,0.051335858853946884,4.5336763687961993e-14,0.0011539698408699105,4.504781731448486,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
12.0,28.0,0.08,50.0,120.0,2.0,0.007140227404549114,-0.0005418300846662193,0.0005399059678831289,12.0,0.00022579896528971858,0.0010805416295549884,0.0005012164833000556,0.002435574439307645,0.6686411670842308,0.2227984596805594,0.6878370010896734,0.0005440204786912466,0.00015659971734604638,0.0023543497379918906,0.0002803460334843172,0.00983100821181463,0.15199072363152222,7.038854463099901e-14,0.002340884350358647,9.417398951967563,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
12.0,29.0,0.08,60.0,100.0,0.0,0.004820700045666521,-0.0002263425668833702,0.0002257989652524431,12.0,0.00021102038996039242,0.0005657133077922749,0.000354220951380295,0.0011682957070262945,0.6686411670862196,0.2227984596812462,0.13755325438481922,0.00028417824480941184,0.00011422145384781659,0.0011261954328306493,0.0050972687360366226,0.5072819204785388,0.051335858833425965,4.5336763687961993e-14,0.0011682957070262945,4.5047817313225975,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;L_E_not_stationary;seed_overlap_low
12.0,30.0,0.08,60.0,100.0,3.0,0.009653078181894183,-0.0005150913430685151,0.0005126230732627295,12.0,0.0005126230732627295,0.001912132418664876,0.0009949372540816463,0.00249041333848415,0.6687408382965571,0.22309110163577886,0.4597997760948289,0.0009652963575430556,0.0002778155485134647,0.0021972416888666854,0.009696087693833106,0.045475221441079974,0.42736222258426027,8.108403513350086e-14,0.00249041333848415,8.788966755466742,0.0,not_promoted,theta_width_not_stationary;R0_width_not_stationary;L_width_not_stationary;theta_E_not_stationary;R0_E_not_stationary;L_E_not_stationary;seed_overlap_low
