D,branch_id,anchor_R,anchor_R_tail,anchor_parity,anchor_E_real,anchor_E_imag,anchor_Gamma,n_cases,Gamma_min,Gamma_max,Gamma_candidate,Gamma_R_rel_span_max,Gamma_Rtail_rel_span_max,Gamma_R120_over_R80_min,Gamma_R120_over_R80_max,parity_Gamma_rel_split_max,parity_E_abs_split_max,E_abs_span,root_residual_abs_max,branch_pick_dist_max,branch_pick_dist_median,branch_stability_score,branch_pass,branch_status,fail_reasons
6.0,10.0,80.0,800.0,even,0.0065926401457866,-0.0015654435713835,0.0015603082717446,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.004661700747137169,0.00267378238752319,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,11.0,80.0,800.0,odd,0.0065926401437956,-0.0015654435342973,0.0015603082347817,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.0046617007653403705,0.002673782391766813,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,12.0,100.0,800.0,even,0.0048913804928334,-0.0013098846768973,0.0013066925319058,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.006322059135344185,0.0016035133621792462,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,13.0,100.0,800.0,odd,0.004891380441855,-0.0013098846845399,0.0013066925395628,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.006322059179964558,0.0016035133616333639,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,14.0,120.0,800.0,even,0.0034597665381007,-0.0010622455538093,0.0010604125989039,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.007750315550495965,0.002312951021675551,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
6.0,15.0,120.0,800.0,odd,0.0034597665623006,-0.0010622455933506,0.0010604126383642,16.0,0.0010604125989039,0.0036097645895319,0.001914698600393,0.6738135069253611,0.5359911348303594,0.6796173874081334,0.6805049749060799,0.08941326082971927,0.0015432715367494345,0.007750315550495964,9.81366517228877e-07,0.007750315514565767,0.0023129509913006234,8941.326082971927,0.0,not_promoted,parity_split_large;R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,0.0,60.0,400.0,even,0.0108648842827327,-0.0032966013702414,0.0032788330374462,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.007744463549512483,0.005475408271577735,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,1.0,60.0,400.0,odd,0.0108648842799949,-0.0032966013730217,0.003278833040216,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.007744463547737464,0.005475408270054501,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,2.0,80.0,400.0,even,0.0066751756346851,-0.0024454331384992,0.002437310128149,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.004275294833605279,0.0027342739360332793,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,3.0,80.0,400.0,odd,0.0066751756386915,-0.0024454331392326,0.0024373101288751,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.00427529482953307,0.0027342739400978925,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,4.0,100.0,400.0,even,0.0044829286332729,-0.0019084219910151,0.0019041578008704,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.006531186714570407,0.001781108370662459,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,5.0,100.0,400.0,odd,0.0044829286333332,-0.0019084219913101,0.0019041578011647,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.006531186714448783,0.0017811083707879813,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,6.0,120.0,400.0,even,0.0035632874720739,-0.0016518369123545,0.0016489012108059,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.007484555170973807,0.002242877339029504,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,7.0,120.0,400.0,odd,0.0035632874715249,-0.001651836912498,0.0016489012109496,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.007484555171477851,0.002242877339591467,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,8.0,60.0,800.0,even,0.010845857577098,-0.0019229933572493,0.0019126483040355,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.007428660622598053,0.005117380569249784,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,9.0,60.0,800.0,odd,0.0108458575849235,-0.0019229933666953,0.0019126483134233,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.00742866063157322,0.0051173805781385,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,10.0,80.0,800.0,even,0.0066168808429054,-0.0014325725073287,0.001427855957028,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.004638980149403119,0.002623909397849674,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,11.0,80.0,800.0,odd,0.0066168808042149,-0.0014325724702377,0.0014278559200866,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.004638980199736612,0.002623909365037164,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,12.0,100.0,800.0,even,0.0049127578895462,-0.0011962515361338,0.0011933236604455,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.00631183634341886,0.00158620557702693,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,13.0,100.0,800.0,odd,0.0049127578899924,-0.0011962515309274,0.0011933236552516,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.006311836344730588,0.0015862055769742009,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,14.0,120.0,800.0,even,0.0034788677931656,-0.0009677656342506,0.0009660865370413,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.007744463536577916,0.002312115197747164,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
12.0,15.0,120.0,800.0,odd,0.0034788677834578,-0.0009677656220259,0.0009660865248426,16.0,0.0009660865248426,0.003278833040216,0.00177652950594765,0.7508666904421675,0.5263178806348504,0.6765249902294483,0.6765994417602661,2.58719377972406e-08,5.3597547563233496e-11,0.007744463549512483,8.568812141772186e-07,0.007744463549512483,0.002312115209199551,10.526357612697007,0.0,not_promoted,R_width_not_stationary;R_tail_not_stationary;R120_R80_ratio_outside_gate
