tube_kind,D,R_tail,parity,R0,R1,pad_factor,n_contour,center_real,center_imag,half_re,half_im,half_re_over_box,half_im_over_box,root_gap_abs,delta_F_abs_max,rouche_ratio_from_R0,rouche_ratio_from_R1,rouche_ratio_symmetric,R0_argument_index_round,R1_argument_index_round,R0_argument_index_error,R1_argument_index_error,R0_zero_count_abs,R1_zero_count_abs,R0_boundary_F_abs_min,R1_boundary_F_abs_min,direct_endpoint_index_ok,rouche_pass_from_R0,symmetric_rouche_pass,large_tube_status
segment,6.0,400.0,odd,100.0,120.0,256.0,32.0,0.0039594963684024004,-0.00197837466616975,0.0260578719666474,0.025740480713868353,260.578719666474,257.4048071386835,0.0009578759184999257,1.582194268614003,0.8279719661511955,1.746424473183524,1.746424473183524,-1.0,-1.0,0.0,0.0,1.0,1.0,1.9109273421040915,0.9059620343786474,1.0,1.0,0.0,large_tube_rouche_pass
segment,6.0,400.0,even,60.0,80.0,272.0,32.0,0.007931176873466849,-0.0030105092838165,0.02853029916543925,0.027505561001322103,285.3029916543925,275.05561001322104,0.002729881605562651,6.291705312319193,1.110568849862816,1.5345975992068919,1.5345975992068919,-1.0,-1.0,0.0,0.0,1.0,1.0,5.6652996462996255,4.099905614065121,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,even,80.0,100.0,272.0,32.0,0.00550912302073865,-0.0024119018303769496,0.02829175468728895,0.02749304645211745,282.9175468728895,274.9304645211745,0.002260800318750878,5.272399308064294,1.4750685787321816,1.893115085411943,1.893115085411943,-1.0,-1.0,0.0,0.0,1.0,1.0,3.5743418198195984,2.78503898082721,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,even,100.0,120.0,272.0,32.0,0.0039594963655165995,-0.00197837466558795,0.027657871967933102,0.02734048071267155,276.578719679331,273.40480712671547,0.0009578759202561388,7.824569455397232,3.354376051966911,5.170146230102527,5.170146230102527,-1.0,-1.0,0.0,0.0,1.0,1.0,2.332645277147482,1.5134135684286179,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,odd,60.0,80.0,272.0,32.0,0.0086867661790564,-0.00316705500889825,0.0292858884677506,0.02766210671841605,292.858884677506,276.6210671841605,0.004272925610913533,8.485135881444876,1.2348298918087541,2.182125260850667,2.182125260850667,-1.0,0.0,0.0,0.0,1.0,0.0,6.871501846311817,3.8884733308742687,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,80.0,100.0,272.0,32.0,0.005509123023177799,-0.0024119018352601503,0.028291754688128,0.02749304645522205,282.91754688128,274.9304645522205,0.002260800321981289,5.272399175114149,1.4750692457961025,1.8931152852056259,1.8931152852056259,-1.0,-1.0,0.0,0.0,1.0,1.0,3.574340113279636,2.7850386166743526,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,odd,100.0,120.0,272.0,32.0,0.0039594963684024004,-0.00197837466616975,0.0276578719666474,0.027340480713868354,276.578719666474,273.4048071386835,0.0009578759184999257,7.824571941031975,3.3543780098862572,5.170146978411908,5.170146978411908,-1.0,-1.0,0.0,0.0,1.0,1.0,2.3326446566161745,1.5134138301490638,1.0,0.0,0.0,large_tube_index_ok_but_rouche_ratio_large
segment,6.0,400.0,even,60.0,80.0,288.0,32.0,0.007931176873466849,-0.0030105092838165,0.030130299165439252,0.029105561001322104,301.3029916543925,291.05561001322104,0.002729881605562651,9.196488734913302,1.2449692091413576,2.1782331112329607,2.1782331112329607,-1.0,0.0,0.0,0.0,1.0,0.0,7.3869206301544,4.221994738528123,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,80.0,100.0,288.0,32.0,0.00550912302073865,-0.0024119018303769496,0.029891754687288954,0.029093046452117452,298.91754687288955,290.9304645211745,0.002260800318750878,44.21063311733799,8.999707999192886,14.170985419114713,14.170985419114713,-1.0,0.0,0.0,0.0,1.0,0.0,4.91245195080806,3.119799492398314,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,100.0,120.0,288.0,32.0,0.0039594963655165995,-0.00197837466558795,0.029257871967933103,0.02894048071267155,292.578719679331,289.4048071267155,0.0009578759202561388,3.1588483033308594,0.9576552201475563,1.9082288613301248,1.9082288613301248,-1.0,0.0,0.0,0.0,1.0,0.0,3.2985235571985307,1.6553823114953803,0.0,1.0,0.0,rouche_ratio_ok_but_index_not_one
segment,6.0,400.0,odd,60.0,80.0,288.0,32.0,0.0086867661790564,-0.00316705500889825,0.030885888467750602,0.029262106718416052,308.858884677506,292.6210671841605,0.004272925610913533,10.290363807180315,1.1755224248650213,2.9629228327259485,2.9629228327259485,-1.0,0.0,0.0,0.0,1.0,0.0,8.753864315571777,3.4730448236861347,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,80.0,100.0,288.0,32.0,0.005509123023177799,-0.0024119018352601503,0.029891754688128002,0.029093046455222052,298.91754688128003,290.9304645522205,0.002260800321981289,44.21062340014675,8.999711211388275,14.170972532071165,14.170972532071165,-1.0,0.0,0.0,0.0,1.0,0.0,4.91244911772307,3.11980164382445,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,100.0,120.0,288.0,32.0,0.0039594963684024004,-0.00197837466616975,0.029257871966647402,0.028940480713868354,292.578719666474,289.4048071386835,0.0009578759184999257,3.1588476125233753,0.9576554796523679,1.9082286983111874,1.9082286983111874,-1.0,0.0,0.0,0.0,1.0,0.0,3.2985219420141028,1.655382090898751,0.0,1.0,0.0,rouche_ratio_ok_but_index_not_one
segment,6.0,400.0,even,60.0,80.0,304.0,32.0,0.007931176873466849,-0.0030105092838165,0.03173029916543925,0.0307055610013221,317.3029916543925,307.055610013221,0.002729881605562651,11.234225260155258,1.18040963645276,3.0433935492861215,3.0433935492861215,-1.0,0.0,0.0,0.0,1.0,0.0,9.517225980901971,3.6913481868917124,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,80.0,100.0,304.0,32.0,0.00550912302073865,-0.0024119018303769496,0.03149175468728895,0.03069304645211745,314.9175468728895,306.9304645211745,0.002260800318750878,6.527803787564355,1.0571758926226784,2.4571280083952303,2.4571280083952303,0.0,0.0,0.0,0.0,0.0,0.0,6.174756569003814,2.656680386720151,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,100.0,120.0,304.0,32.0,0.0039594963655165995,-0.00197837466558795,0.0308578719679331,0.03054048071267155,308.578719679331,305.40480712671547,0.0009578759202561388,6.108700280805809,1.3928706200862908,3.330104926923364,3.330104926923364,0.0,0.0,0.0,0.0,0.0,0.0,4.385691099168539,1.834386728003057,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,60.0,80.0,304.0,32.0,0.0086867661790564,-0.00316705500889825,0.0324858884677506,0.03086210671841605,324.85888467750596,308.6210671841605,0.004272925610913533,10.527235334323027,1.0961303055042573,3.448986645399619,3.448986645399619,0.0,0.0,0.0,0.0,0.0,0.0,9.60399989076129,3.05226909137634,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,80.0,100.0,304.0,32.0,0.005509123023177799,-0.0024119018352601503,0.031491754688128,0.03069304645522205,314.91754688128003,306.9304645522205,0.002260800321981289,6.527811039298897,1.0571766426999674,2.4571282897509423,2.4571282897509423,0.0,0.0,0.0,0.0,0.0,0.0,6.174759047482595,2.6566830338193554,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,odd,100.0,120.0,304.0,32.0,0.0039594963684024004,-0.00197837466616975,0.0308578719666474,0.03054048071386835,308.578719666474,305.4048071386835,0.0009578759184999257,6.108700081435548,1.3928701356960485,3.3301049509848033,3.3301049509848033,0.0,0.0,0.0,0.0,0.0,0.0,4.38569248121821,1.8343866548797623,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,60.0,80.0,320.0,32.0,0.007931176873466849,-0.0030105092838165,0.03333029916543925,0.0323055610013221,333.30299165439254,323.055610013221,0.002729881605562651,11.29901611613103,1.0918673620279262,3.519810041431902,3.519810041431902,0.0,0.0,0.0,0.0,0.0,0.0,10.34834129957448,3.210120996056495,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,80.0,100.0,320.0,32.0,0.00550912302073865,-0.0024119018303769496,0.03309175468728895,0.03229304645211745,330.9175468728895,322.93046452117454,0.002260800318750878,11.425064298651154,2.045373338742044,5.057301864382176,5.057301864382176,0.0,0.0,0.0,0.0,0.0,0.0,5.585808752977027,2.2591224738068694,0.0,0.0,0.0,large_tube_rouche_not_closed
segment,6.0,400.0,even,100.0,120.0,320.0,32.0,0.0039594963655165995,-0.00197837466558795,0.0324578719679331,0.03214048071267155,324.578719679331,321.4048071267155,0.0009578759202561388,9.430319988607167,2.5201891409555706,5.2455618615728525,5.2455618615728525,0.0,0.0,0.0,0.0,0.0,0.0,3.7419096191452947,1.7977711897157072,0.0,0.0,0.0,large_tube_rouche_not_closed
