D,R,R_tail,parity,ell,h,E0_real,E0_imag,Gamma_dtn,boundary_F_abs_min,m_rouche_budget,m400_real,m400_imag,m800_real,m800_imag,m400_dtn_success,m800_dtn_success,dtn_delta_400_800,residual_delta_400_800,dtn_delta_over_m_budget,residual_delta_over_boundary_gap,tail_l1_self,tail_l1_400,tail_l1_800,tail_l1_pair_max,tail_coeff_self_terminal,tail_coeff_400_terminal,tail_coeff_800_terminal,tail_completion_self,raw_tail_over_m_budget,pair_tail_over_m_budget,empirical_conditioning_lower_bound,allowed_conditioning_self,allowed_conditioning_pair,tail_conditioning_status
6.0,80.0,800.0,even,1.0,0.0666666666666666,0.0065926401457866,-0.0015654435713835,0.0015603082717446,0.7530439004879111,0.025101463349597012,0.010077147236960304,0.066307484680616,0.015596678570846225,0.09764194395717064,1.0,1.0,0.03181687546412768,0.9545062639238315,1.267530702134881,1.2675307021348812,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,4.480021437655708e-05,0.0001792024407726805,7073.177668058395,22321.32175964044,5580.281137289345,not_lifted_tail_conditioning
6.0,80.0,800.0,odd,1.0,0.0666666666666666,0.0065926401437956,-0.0015654435342973,0.0015603082347817,0.7530438565813186,0.025101461886043924,0.010077146958813335,0.06630748463306475,0.015596666519564966,0.09764195765315317,1.0,1.0,0.03181688695690024,0.9545066087070083,1.2675312338916007,1.2675312338916007,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,4.4800216988655625e-05,0.000179202451221167,7073.180223005134,22321.320458184866,5580.280811928325,not_lifted_tail_conditioning
6.0,100.0,800.0,even,1.0,0.0833333333333333,0.0048913804928334,-0.0013098846768973,0.0013066925319058,0.3602649423858714,0.01501103926607797,0.009995719418089806,0.056559363033528404,0.018472004948880412,0.07163761793784135,1.0,1.0,0.017297432970210566,0.41513839128505375,1.1523141511793524,1.1523141511793524,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,7.49149288929317e-05,0.0002996623631102561,3845.374972082752,13348.474259772689,3337.089081260651,not_lifted_tail_conditioning
6.0,100.0,800.0,odd,1.0,0.0833333333333333,0.004891380441855,-0.0013098846845399,0.0013066925395628,0.3602650894584045,0.015011045394100182,0.00999571955008845,0.05655936261710437,0.01847202492175336,0.07163762398238334,1.0,1.0,0.017297448324922953,0.41513875979815107,1.1523147036595733,1.1523147036595733,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,7.491489831009511e-05,0.00029966224077782895,3845.3783855734596,13348.479709078716,3337.0904435751213,not_lifted_tail_conditioning
6.0,120.0,800.0,even,1.0,0.1,0.0034597665381007,-0.0010622455538093,0.0010604125989039,0.195993843504807,0.00979969217524035,0.010095286235926924,0.04569293799922324,0.008518141266187067,0.055416397310075104,1.0,1.0,0.00985053537760093,0.1970107075520186,1.0051882448398777,1.0051882448398777,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00011475370033239391,0.00045901885679418736,2189.8626384549143,8714.315940169374,2178.559737140331,not_lifted_tail_conditioning
6.0,120.0,800.0,odd,1.0,0.1,0.0034597665623006,-0.0010622455933506,0.0010604126383642,0.1959937942767807,0.009799689713839037,0.010095286608940546,0.04569293834004625,0.008518140132399264,0.055416405625092785,1.0,1.0,0.009850543490175393,0.19701086980350785,1.0051893251542996,1.0051893251542998,1.1245509392272367e-06,4.498243499213769e-06,1.1245509392272367e-06,4.498243499213769e-06,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.00011475372915523596,0.00045901897208657416,2189.864441953205,8714.313751383408,2178.559189948674,not_lifted_tail_conditioning
12.0,60.0,400.0,even,1.0,0.05,0.0108648842827327,-0.0032966013702414,0.0032788330374462,0.4523078186556681,0.011307695466391703,0.033063258674968704,0.11343787942367044,-0.019938975341072605,-0.09019810273025484,1.0,1.0,0.2104206502187582,8.416826008750327,18.60862373276344,18.608623732763437,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0015920102443523286,0.0015920102443523286,11688.758787060391,628.1366615243272,628.1366615243272,not_lifted_tail_conditioning
12.0,60.0,400.0,odd,1.0,0.05,0.0108648842799949,-0.0032966013730217,0.003278833040216,0.4523078019672174,0.011307695049180437,0.033063258601438314,0.11343787965929844,-0.01993897536113592,-0.09019810271832612,1.0,1.0,0.210420650421777,8.41682601687108,18.608624437305455,18.608624437305455,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0015920103030914975,0.0015920103030914975,11688.75879833798,628.1366383484561,628.1366383484561,not_lifted_tail_conditioning
12.0,80.0,400.0,even,1.0,0.0666666666666666,0.0066751756346851,-0.0024454331384992,0.002437310128149,0.1707273293788763,0.0056909109792958705,0.021241431811292493,0.07901013656263542,-0.019091238881894783,-0.06923304256826006,1.0,1.0,0.1536319123231884,4.608957369695657,26.99601397423319,26.99601397423319,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.0031632838904008535,0.0031632838904008535,8534.173633973849,316.12717500144424,316.12717500144424,not_lifted_tail_conditioning
12.0,80.0,400.0,odd,1.0,0.0666666666666666,0.0066751756386915,-0.0024454331392326,0.0024373101288751,0.1707273203919376,0.005690910679731247,0.02124143152512234,0.07901013699443911,-0.01909123888264007,-0.06923304259829238,1.0,1.0,0.15363191269389323,4.608957380816801,26.996015460419855,26.996015460419855,1.8001967022511972e-05,1.8001967022511972e-05,4.499880565376888e-06,1.8001967022511972e-05,44.92339820925668,44.92339820925668,44.92339820925668,2.246169910462834e-11,0.003163284056913385,0.003163284056913385,8534.173654566312,316.12715836078365,316.12715836078365,not_lifted_tail_conditioning
