D,ell,N_target,theta,R0,L,Nz,h,case_id,candidate_index,seed_E,seed_omega,S_seed,Gamma_geo_seed,E_real,E_imag,omega_real,omega_imag,Gamma,Gamma_narrow,Gamma_over_geo,seed_overlap,interior_weight,seed_dist,eig_residual_abs
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,6.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.017544745542116137,-0.0014768417809356675,1.008734495001361,-0.0007320270042582785,0.001464054008516557,0.001464054008516557,16941202.19050527,0.002572969404395438,0.37403841145450367,0.013933621820818917,4.027029444133981e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,7.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.017544745701451096,-0.001476841830211109,1.0087344950803565,-0.0007320270286253385,0.001464054057250677,0.001464054057250677,16941202.75442885,2.4875562701758e-06,0.37403839738567285,0.013933621984479116,1.1612372751612388e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,8.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.02471719640519607,-0.002139646100263358,1.012283711870514,-0.0010568411183410657,0.0021136822366821313,0.0021136822366821313,24458331.40704552,0.006118723287430037,0.43694377335193146,0.02113616419258075,3.3238390885911877e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,9.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.024717196835430843,-0.002139646225197319,1.0122837120830852,-0.001056841179828103,0.002113682359656206,0.002113682359656206,24458332.830031727,5.91478654796197e-06,0.43694374826987237,0.021136164633252612,3.825449567384064e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,10.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.033234993398128715,-0.0029343374971372176,1.0164826986909978,-0.0014433779841585043,0.0028867559683170086,0.0028867559683170086,33403901.939013194,0.004080870931621274,0.4044365732046108,0.029690738662617108,5.873768718517519e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,11.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.03323499433890661,-0.002934337754966606,1.0164826991539384,-0.0014433781103254288,0.0028867562206508577,0.0028867562206508577,33403904.85887731,3.937897606043278e-06,0.40443654676808394,0.029690739624270553,6.253821098607625e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,12.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.04311995128920995,-0.0038630009446600465,1.0213341900443391,-0.0018911542286136247,0.0037823084572272494,0.0037823084572272494,43766727.14804444,0.002580556392330841,0.4136571839152614,0.03961911808632217,1.2773855715564215e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,13.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.043119953062594335,-0.0038630014054415896,1.0213341909129243,-0.0018911544525835504,0.003782308905167101,0.003782308905167101,43766732.33135021,2.4892939779831983e-06,0.4136571281686843,0.0396191198961845,2.934824204905235e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,14.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.054388418369342766,-0.004927316719456157,1.0268369757961477,-0.0023992692294878704,0.004798538458975741,0.004798538458975741,55525964.055652015,0.0039047655506403976,0.421994148964987,0.05093768277856118,2.155273790466513e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,15.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.05438842136704386,-0.004927317460703389,1.0268369772566603,-0.0023992695870124446,0.004798539174024889,0.004798539174024889,55525972.329794995,3.7671422467411094e-06,0.4219941081003487,0.05093768583390689,1.8690563067828666e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,16.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.06705367623041475,-0.0061287734756472504,1.032987161840273,-0.0029665293539218834,0.005933058707843767,0.005933058707843767,68653988.5776232,1.8828678806624676e-06,0.40040833205263837,0.06365977251758566,1.6335067002508557e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,17.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.06705367156435633,-0.006128772372741173,1.0329871595802318,-0.002966528826569191,0.005933057653138382,0.005933057653138382,68653976.373171,0.0019518904030373936,0.40040840420700563,0.06365976776702059,1.8244452842133818e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,18.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.08112562712656003,-0.007467575523315692,1.0397781119184215,-0.003590946682623369,0.007181893365246738,0.007181893365246738,83104794.56599727,0.002891279317012493,0.42286316595297907,0.07779525236255917,3.4527944062945246e-13
6.0,1.0,3.0,0.08,50.0,120.0,1601.0,0.15000000000000568,130120.0,19.0,0.00368961091990175,1.0018431069383578,11.586823297896787,8.641972346785927e-11,0.0811256339417437,-0.007467577069225697,1.0397781151981795,-0.00359094741468106,0.00718189482936212,0.00718189482936212,83104811.50790964,2.7904915524634613e-06,0.4228630955315497,0.07779525929466437,2.4696348111843515e-13
