D,R_tail,parity,R0,R1,center_mode,tube_factor,tube_radius_min,slab_index,R_left,R_right,delta_R,q_left,q_right,node_upper_beta,inflated_beta,node_upper_contribution,inflated_contribution,node_slope_abs
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,13.0,68.125,68.75,0.625,0.0029181252064478377,0.002891644792458667,0.0029181252064478377,0.0030640314667702297,0.0018238282540298987,0.0019150196667313936,4.2368662382673286e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,14.0,68.75,69.375,0.625,0.002891644792458667,0.0028655879591276013,0.002891644792458667,0.0030362270320816002,0.0018072779952866668,0.0018976418950510002,4.1690933329704974e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,15.0,69.375,70.0,0.625,0.0028655879591276013,0.0028399427113142664,0.0028655879591276013,0.0030088673570839814,0.0017909924744547508,0.0018805420981774885,4.10323965013358e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,16.0,70.0,70.625,0.625,0.0028399427113142664,0.0028146980292212418,0.0028399427113142664,0.00298193984687998,0.0017749641945714165,0.0018637124042999876,4.039149134883943e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,17.0,70.625,71.25,0.625,0.0028146980292212418,0.0027898417688441645,0.0028146980292212418,0.002955432930682304,0.001759186268263276,0.0018471455816764398,3.977001660332366e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,18.0,71.25,71.875,0.625,0.0027898417688441645,0.0027653631990871065,0.0027898417688441645,0.0029293338572863726,0.0017436511055276029,0.001830833660803983,3.916571161129284e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,19.0,71.875,72.5,0.625,0.0027653631990871065,0.00274125196228489,0.0027653631990871065,0.0029036313590414618,0.0017283519994294415,0.0018147695994009136,3.85779788835465e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,20.0,72.5,73.125,0.625,0.00274125196228489,0.0027174985174473884,0.00274125196228489,0.0028783145603991345,0.0017132824764280563,0.0017989466002494591,3.800551174000244e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,21.0,73.125,73.75,0.625,0.0027174985174473884,0.002694092289624588,0.0027174985174473884,0.002853373443319758,0.0016984365734046178,0.0017833584020748488,3.744996451648039e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,22.0,73.75,74.375,0.625,0.002694092289624588,0.0026710261908412937,0.002694092289624588,0.0028287969041058177,0.0016838076810153676,0.001767998065066136,3.690575805327112e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,23.0,74.375,75.0,0.625,0.0026710261908412937,0.0026482905439162686,0.0026710261908412937,0.0028045775003833584,0.0016693913692758086,0.001752860937739599,3.63770350800402e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,24.0,75.0,75.625,0.625,0.0026482905439162686,0.0026258781767754128,0.0026482905439162686,0.002780705071112082,0.001655181589947668,0.0017379406694450514,3.585978742536924e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,25.0,75.625,76.25,0.625,0.0026258781767754128,0.0026037824666410867,0.0026258781767754128,0.0027571720856141837,0.0016411738604846329,0.001723232553508865,3.535313621492175e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,26.0,76.25,76.875,0.625,0.0026037824666410867,0.0025819940322465403,0.0026037824666410867,0.002733971589973141,0.001627364041650679,0.0017087322437332132,3.486149503127422e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,27.0,76.875,77.5,0.625,0.0025819940322465403,0.0025605069458411425,0.0025819940322465403,0.0027110937338588673,0.0016137462701540876,0.001694433583661792,3.43793382486364e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,28.0,77.5,78.125,0.625,0.0025605069458411425,0.002539314717308604,0.0025605069458411425,0.0026885322931332,0.001600316841150714,0.00168033268320825,3.390756565206168e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,29.0,78.125,78.75,0.625,0.002539314717308604,0.0025184097629640237,0.002539314717308604,0.0026662804531740344,0.0015870716983178775,0.0016664252832337715,3.3447926951328534e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,30.0,78.75,79.375,0.625,0.0025184097629640237,0.0024977847648906264,0.0025184097629640237,0.002644330251112225,0.001574006101852515,0.0016527064069451407,3.2999996917435634e-05
6.0,400.0,even,60.0,80.0,cubic_path,640.0,0.064,31.0,79.375,80.0,0.625,0.0024977847648906264,0.0024774355392512028,0.0024977847648906264,0.0026226740031351577,0.0015611154780566414,0.0016391712519594735,3.255876102307778e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,0.0,60.0,60.625,0.625,0.003471651509185857,0.003431600876763416,0.003471651509185857,0.00364523408464515,0.002169782193241161,0.0022782713029032187,6.408101187590568e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,1.0,60.625,61.25,0.625,0.003431600876763416,0.0033923399859774874,0.003431600876763416,0.0036031809206015872,0.002144750547977135,0.002251988075375992,6.28174252574859e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,2.0,61.25,61.875,0.625,0.0033923399859774874,0.003353841207254337,0.0033923399859774874,0.003561956985276362,0.0021202124912359298,0.0022262231157977263,6.159804595704046e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,3.0,61.875,62.5,0.625,0.003353841207254337,0.0033160813684902433,0.003353841207254337,0.0035215332676170543,0.0020961507545339607,0.002200958292260659,6.0415742022550124e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,4.0,62.5,63.125,0.625,0.0033160813684902433,0.003279043842490129,0.0033160813684902433,0.0034818854369147558,0.002072550855306402,0.0021761783980717223,5.926004160018289e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,5.0,63.125,63.75,0.625,0.003279043842490129,0.0032427104778622894,0.003279043842490129,0.0034429960346146356,0.002049402401556331,0.0021518725216341473,5.8133383404543323e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,6.0,63.75,64.375,0.625,0.0032427104778622894,0.003207068304125247,0.0032427104778622894,0.003404846001755404,0.002026694048663931,0.0021280287510971273,5.7027477979267746e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,7.0,64.375,65.0,0.625,0.003207068304125247,0.003172103201771869,0.003207068304125247,0.0033674217193315095,0.0020044176900782793,0.0021046385745821933,5.594416376540484e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,8.0,65.0,65.625,0.625,0.003172103201771869,0.003137802275450467,0.003172103201771869,0.0033307083618604625,0.001982564501107418,0.002081692726162789,5.488148211424335e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,9.0,65.625,66.25,0.625,0.003137802275450467,0.00310415205899184,0.003137802275450467,0.0032946923892229903,0.001961126422156542,0.002059182743264369,5.384034633380344e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,10.0,66.25,66.875,0.625,0.00310415205899184,0.0030711368141727595,0.00310415205899184,0.003259359661941432,0.0019400950368699,0.002037099788713395,5.282439171052852e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,11.0,66.875,67.5,0.625,0.0030711368141727595,0.003038743027839716,0.0030711368141727595,0.0032246936548813976,0.0019194605088579746,0.0020154335343008736,5.183005813286928e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,12.0,67.5,68.125,0.625,0.003038743027839716,0.0030069548668022234,0.003038743027839716,0.003190680179231702,0.0018992143923998227,0.0019941751120198135,5.086105765998855e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,13.0,68.125,68.75,0.625,0.0030069548668022234,0.0029757560634119445,0.0030069548668022234,0.0031573026101423345,0.0018793467917513895,0.001973314131338959,4.9918085424446175e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,14.0,68.75,69.375,0.625,0.0029757560634119445,0.0029451311717659037,0.0029757560634119445,0.003124543866582542,0.0018598475396324654,0.0019528399166140887,4.8999826633665255e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,15.0,69.375,70.0,0.625,0.0029451311717659037,0.002915065425013738,0.0029451311717659037,0.0030923877303541993,0.0018407069823536898,0.0019327423314713745,4.810519480346539e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,16.0,70.0,70.625,0.625,0.002915065425013738,0.00288554232591054,0.002915065425013738,0.003060818696264425,0.001821915890633586,0.0019130116851652655,4.723695856511667e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,17.0,70.625,71.25,0.625,0.00288554232591054,0.002856547904387607,0.00288554232591054,0.003029819442206067,0.0018034639536940874,0.0018936371513787918,4.6391074436692714e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,18.0,71.25,71.875,0.625,0.002856547904387607,0.0028280690345373746,0.002856547904387607,0.0029993752996069875,0.0017853424402422544,0.0018746095622543672,4.556619176037183e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,19.0,71.875,72.5,0.625,0.0028280690345373746,0.0028000900173759916,0.0028280690345373746,0.0029694724862642436,0.0017675431465858592,0.0018559203039151522,4.4766427458212826e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,20.0,72.5,73.125,0.625,0.0028000900173759916,0.0027726003987447166,0.0028000900173759916,0.002940094518244791,0.0017500562608599947,0.0018375590739029945,4.3983389810040016e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,21.0,73.125,73.75,0.625,0.0027726003987447166,0.002745587264420962,0.0027726003987447166,0.0029112304186819527,0.0017328752492154478,0.0018195190116762204,4.322101491800734e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,22.0,73.75,74.375,0.625,0.002745587264420962,0.0027190394949840775,0.002745587264420962,0.0028828666276420104,0.0017159920402631012,0.0018017916422762566,4.247643109901514e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,23.0,74.375,75.0,0.625,0.0027190394949840775,0.002692945794473629,0.0027190394949840775,0.0028549914697332817,0.0016993996843650484,0.001784369668583301,4.174992081671797e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,24.0,75.0,75.625,0.625,0.002692945794473629,0.0026672963635092878,0.002692945794473629,0.0028275930841973104,0.0016830911215460179,0.001767245677623319,4.1039089542945634e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,25.0,75.625,76.25,0.625,0.0026672963635092878,0.002642080093859959,0.0026672963635092878,0.002800661181684752,0.001667060227193305,0.00175041323855297,4.03460314389259e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,26.0,76.25,76.875,0.625,0.002642080093859959,0.0026172894419992632,0.002642080093859959,0.0027741840985529573,0.0016513000586624745,0.0017338650615955982,3.966504297711337e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,27.0,76.875,77.5,0.625,0.0026172894419992632,0.0025929121695848706,0.0026172894419992632,0.0027481539140992266,0.0016358059012495396,0.0017175961963120166,3.900363586302816e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,28.0,77.5,78.125,0.625,0.0025929121695848706,0.0025689411346189275,0.0025929121695848706,0.0027225577780641145,0.001620570105990544,0.0017015986112900714,3.835365594550902e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,29.0,78.125,78.75,0.625,0.0025689411346189275,0.002545367139535204,0.0025689411346189275,0.002697388191349874,0.0016055882091368296,0.0016858676195936713,3.7718392133957725e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,30.0,78.75,79.375,0.625,0.002545367139535204,0.002522179712114716,0.002545367139535204,0.0026726354965119644,0.0015908544622095025,0.0016703971853199778,3.709988387278068e-05
6.0,400.0,odd,60.0,80.0,cubic_path,640.0,0.064,31.0,79.375,80.0,0.625,0.002522179712114716,0.0024993732569217426,0.002522179712114716,0.002648288697720452,0.0015763623200716974,0.0016551804360752827,3.6490328308757396e-05
