D,risk_norm,max_risk_score,supporting_surfaces,alpha
11.050847457627118,0.03571498724936439,0.0607656708003898,D60E21,0.9610714496174809
11.2,0.06018301182062036,0.0534966192087206,D21E41,0.9618054903546186
11.322033898305085,0.02241370648280185,0.0381348003862087,D60E21,0.960672411194484
11.593220338983052,0.01676429683614077,0.0285228645227383,D60E21,0.9605029289050842
11.864406779661016,0.013833542624703958,0.0235364635934703,D60E21,0.9604150062787411
12.0,0.028909848661644637,0.0256979356540585,D21E41,0.9608672954598493
12.135593220338984,0.010718019799698886,0.0182356963543968,D60E21,0.9603215405939909
12.40677966101695,0.007605971722586799,0.0129408410700191,D60E21,0.9602281791516776
12.677966101694915,0.004521021334195622,0.0076920899385218,D60E21,0.9601356306400258
12.8,0.010908323190118469,0.009696397608793,D21E41,0.9603272496957035
12.94915254237288,0.0024887978060338656,0.004234453931462,D60E21,0.960074663934181
13.220338983050848,0.0013428638104205374,0.0022847556871303,D60E21,0.9600402859143126
13.491525423728811,0.0010172005296441358,0.0017306704350969,D60E21,0.9600305160158893
13.6,0.003473527296148199,0.0030876149506607,D21E41,0.9601042058188844
13.76271186440678,0.0009867934567789585,0.0016789356782894,D60E21,0.9600296038037033
14.033898305084746,0.0009736652787447047,0.0016565993257921,D60E21,0.9600292099583623
14.305084745762713,0.0009604599907956999,0.0016341317780724,D60E21,0.9600288137997238
14.4,0.0019205787422067228,0.0017072005292529,D21E41,0.9600576173622661
14.576271186440678,0.0009561731930939697,0.001626838197478,D60E21,0.9600286851957928
14.847457627118644,0.0009550995706589632,0.0016250115305106,D60E21,0.9600286529871197
15.11864406779661,0.0009535051508397305,0.0016222987760813,D60E21,0.9600286051545251
15.2,0.0018290757731695634,0.0016258636312984,D21E41,0.9600548722731951
15.389830508474576,0.0009522659365071455,0.0016201903701715,D60E21,0.9600285679780952
15.66101694915254,0.0009517196468062879,0.0016192609099454,D60E21,0.9600285515894041
15.932203389830509,0.0009511007346871172,0.0016182078895474,D60E21,0.9600285330220406
16.0,0.0018222848422440089,0.0016198271795688,D21E41,0.9600546685452673
16.203389830508474,0.0009505704024400275,0.0016173055794187,D60E21,0.9600285171120732
16.474576271186443,0.0009503024114638296,0.0016168496181349,D60E21,0.9600285090723438
16.74576271186441,0.0009501820565215533,0.0016166448455908,D60E21,0.9600285054616956
16.8,0.0018200077683295103,0.0016178030908363,D21E41,0.9600546002330499
17.016949152542374,0.0009501271181180417,0.0016165513730965,D60E21,0.9600285038135435
17.28813559322034,0.0009500570936957732,0.001616432233169,D60E21,0.9600285017128108
17.559322033898304,0.0009500218997608376,0.0016163723540194,D60E21,0.9600285006569927
17.6,0.0018184737999101506,0.0016164395478376,D21E41,0.9600545542139973
17.83050847457627,0.0009500112980650244,0.0016163543162373,D60E21,0.9600285003389419
18.101694915254235,0.0009500093420726579,0.0016163509883014,D60E21,0.9600285002802621
18.372881355932204,0.0009500093420726579,0.0016163509883014,D60E21,0.9600285002802621
18.4,0.0018183874724109234,0.0016163628114096,D21E41,0.9600545516241723
18.64406779661017,0.0009500093420726579,0.0016163509883014,D60E21,0.9600285002802621
18.915254237288135,0.0009500093420726579,0.0016163509883014,D60E21,0.9600285002802621
19.186440677966104,0.0009500093420726579,0.0016163509883014,D60E21,0.9600285002802621
19.200000000000003,0.0018183739174634454,0.0016163507624303,D21E41,0.9600545512175239
19.45762711864407,0.0009500093420726579,0.0016163509883014,D60E21,0.9600285002802621
19.728813559322035,0.0009500093420726579,0.0016163509883014,D60E21,0.9600285002802621
20.0,0.0018183739174634454,0.0016163509883014,"D21E41,D60E21",0.9600545512175239
