D,eta,loop_trace_p1,loop_trace_p2,h_part_trace,h_part_fro2,h_part_det,h_part_neff,h_part_susceptibility,coeff_participation_access_parented,coeff_participation_parented_recon,coeff_participation_parented_residual,gap_cv,c_tree_diag_cv,h_tree_base,h_tree_load,h_tree_schur_ratio,h_tree_pressure_fraction,tree_diag_compressibility_parented,tree_diag_compressibility_parented_recon,tree_diag_compressibility_parented_residual,eymh_parented_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
12.0,0.2,0.6004104463578593,0.3995895536421406,1.0,0.5201645154755691,0.2399177422622154,1.9224687002836658,0.9224687002836658,0.8157985764254758,0.8492492667233361,0.0334506902978603,0.324701506182844,0.8771178989054502,1.324701506182844,0.8771178989054502,0.6016394910143518,0.39836050898564834,0.7756542341883732,0.7756542341883732,0.0,0.0457444364275039,0.0381623276974709,0.0381608684312153,1.4592662556031644e-06
12.8,0.2,0.6044242249970322,0.3955757750029678,1.0,0.5218088375324617,0.2390955812337692,1.9164106241067451,0.9164106241067451,0.8089914145203916,0.8499196252919686,0.040928210771577045,0.1142870052001219,0.7916713924836573,1.114287005200122,0.7916713924836573,0.5846334351023936,0.4153665648976063,0.7646132585185753,0.7646132585185753,0.0,0.0392926289711688,0.0023614708275849,0.0023615110031041,4.017551920006482e-08
13.6,0.2,0.6050030216136483,0.3949969783863516,0.9999999999999999,0.5220512690959924,0.23897436545200365,1.9155206762194927,0.9155206762194927,0.808012565999803,0.8500183259271756,0.042005759927372655,0.1152775579450587,0.6819962957925976,1.1152775579450587,0.6819962957925976,0.6205384647563303,0.3794615352436696,0.7877426386557543,0.7877426386557543,0.0,0.0396211797225291,0.0001778882187932,0.0001778917797778,3.560984600020547e-09
14.4,0.2,0.6045661120825199,0.3954338879174801,1.0,0.5218681435921082,0.23906592820394587,1.9161928396641112,0.9161928396641112,0.8087513943566201,0.8499437736161272,0.04119237925950703,0.1959995823623919,0.6958086696085115,1.195999582362392,0.6958086696085115,0.6321991571378275,0.3678008428621725,0.795109525246571,0.795109525246571,0.0,0.0396849667542082,4.3880494927676865e-05,4.388102718529249e-05,5.322576156267756e-10
15.2,0.2,0.6042255719023197,0.3957744280976802,1.0,0.5217259396767312,0.23913703016163435,1.916715125607161,0.9167151256071611,0.8093275313456636,0.8498858673775568,0.04055833603189318,0.2635129579283289,0.8180925978636038,1.2635129579283289,0.8180925978636038,0.6069896164586446,0.3930103835413554,0.7790953834150505,0.7790953834150505,0.0,0.0417258105506857,1.2073811470646549e-05,1.2073793845658816e-05,1.7624987732299535e-11
16.0,0.2,0.6035469077322035,0.3964530922677964,1.0,0.521443924201803,0.2392780378990985,1.9177517535193143,0.9177517535193143,0.8104764316211525,0.8497709940562174,0.039294562435064906,0.3217878591111364,0.786802702341457,1.3217878591111365,0.786802702341457,0.6268584727992741,0.373141527200726,0.7917439439612242,0.7917439439612242,0.0,0.0435062525324147,1.7697615613545258e-06,1.7697402042259288e-06,2.1357128597040317e-11
16.8,0.2,0.6017176158813347,0.3982823841186654,1.0,0.5206929467611655,0.2396535266194173,1.9205176605910237,0.9205176605910237,0.813577980777496,0.8494648711169708,0.035886890339474786,0.3729068193667717,0.8324265017386813,1.3729068193667717,0.8324265017386813,0.6225393713629574,0.37746062863704266,0.7890116420959563,0.7890116420959563,0.0,0.0426372294501484,4.11216973700512e-07,4.112081813062357e-07,8.792394276284323e-12
17.6,0.2,0.605264992326366,0.394735007673634,1.0,0.5221614372189398,0.23891928139053012,1.9151165304853885,0.9151165304853885,0.8075697528076581,0.85006316707555,0.04249341426789188,0.2679119024066777,0.6787167217905434,1.2679119024066776,0.6787167217905434,0.6513373360722863,0.3486626639277137,0.8070547292918159,0.8070547292918159,0.0,0.0407600933091185,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
18.4,0.2,0.5,0.5,1.0,0.5,0.25,2.0,1.0,1.0,0.8408964152537145,-0.1591035847462855,0.20297833384972,0.0,1.20297833384972,0.0,1.0,0.0,1.0,1.0,0.0,0.0586804347402074,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
19.200000000000003,0.2,0.5,0.5,1.0,0.5,0.25,2.0,1.0,1.0,0.8408964152537145,-0.1591035847462855,0.2685122027208125,0.0,1.2685122027208124,0.0,1.0,0.0,1.0,1.0,0.0,0.0580670617382019,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
