D,eta,coeff_l1,coeff_l2,delta_f_norm,coeff_participation_access_parented,tree_diag_susceptibility_parented,s_tree_parented,tree_diag_compressibility_parented,projected_response_action,projected_response_det,projected_response_weight,projected_response_weight_ref,projected_response_weight_residual,shell_spread,shell_access_parented,hk_loop_local_prefactor_diag,eymh_parented_prefactor_diag,projected_response_prefactor_recon,projected_response_prefactor_residual,coeff_action_share,tree_action_share,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
8.8,0.39,0.4659139786252545,0.3128373898658881,0.3983174875140615,0.8194198052293942,0.6407998244075555,0.49518382075966744,0.7806784650591755,0.8935013082737289,2.4436707346429034,0.6397033957855719,0.639703395785572,-1.1102230246251565e-16,0.115172233250979,0.32136821487248435,0.2223372469819722,0.0457081664626894,0.04570816646268943,2.7755575615628914e-17,0.4457939611567248,0.5542060388432752,1.5837000387135487,1.583690534317875,9.504395673598509e-06
9.6,0.39,0.465410391829237,0.311022915080539,0.4030529880353437,0.8174819188927818,0.7998543928953749,0.5877057687942142,0.7453861413090546,0.9907587568295579,2.693277239768961,0.6093396931134121,0.6093396931134122,-1.1102230246251565e-16,0.1148568546515892,0.3209732984685203,0.2103436369428326,0.0411393810710699,0.04113938107106991,6.938893903907228e-18,0.406812440724843,0.593187559275157,1.0000000045309456,1.0000000045308777,6.794564910705958e-14
10.4,0.39,0.4844721632973193,0.3229405158487987,0.40559183038152596,0.8164448484151952,0.7700606219476459,0.5710137956871661,0.7516331565125128,0.9766056260686922,2.655427413399806,0.6136670185326931,0.6136670185326932,-1.1102230246251565e-16,0.1253376268973251,0.3337331239271595,0.2165968878056446,0.0443592616336688,0.04435926163366878,-2.0816681711721685e-17,0.4153076938684332,0.5846923061315668,0.4950631218312705,0.4950549756550261,8.14617624439462e-06
11.2,0.39,0.5036497917996202,0.335343899962222,0.4067245966886865,0.8159825587361267,0.7268560834220629,0.5463024624101752,0.7609776953524688,0.9530270590988617,2.5935486137705457,0.6209445269948283,0.6209445269948283,0.0,0.1353663151635882,0.3452926237866013,0.2141961374641878,0.0459252722558148,0.04592527225581487,6.938893903907228e-17,0.4267712997291666,0.5732287002708334,0.1519945006166041,0.1519898356659645,4.664950639610144e-06
12.0,0.39,0.5221458734019447,0.3475023272755173,0.4071756376269177,0.8157985587153559,0.6621244762845668,0.5080965891068089,0.7756543412618999,0.9152722267337265,2.497455033399713,0.6327776936627667,0.6327776936627667,0.0,0.1446435501863265,0.3554793714957137,0.2033633873147403,0.0457444417491334,0.0457444417491334,0.0,0.4448683416080256,0.5551316583919744,0.0381622598448225,0.0381608005830067,1.4592618158004722e-06
12.8,0.39,0.4340743669944907,0.2840864732223568,0.42393719695018284,0.808990100690447,0.7104634185829285,0.5367643388185979,0.7646155125995896,0.9607015357687807,2.613529314743125,0.6185663805274197,0.6185663805274197,0.0,0.1006380909200492,0.3023840820031647,0.2100711557195202,0.0392926809931249,0.03929268099312495,4.85722573273506e-17,0.4412787751098329,0.5587212248901672,0.0023613959137479,0.0023614360888884,4.017514049995535e-08
13.6,0.39,0.4287111875175987,0.2799014713307117,0.42634581650474207,0.8080164124312916,0.6115334287634345,0.4771861659387096,0.7877353600980089,0.9035319824434517,2.468305745892925,0.6365030996116648,0.6365030996116648,0.0,0.0980848135726996,0.2988704261474397,0.2082773251008593,0.0396210022414701,0.039621002241470166,6.245004513516506e-17,0.471865772091167,0.528134227908833,0.0001779012396004,0.0001779048006959,3.5610954999978992e-09
14.4,0.39,0.44461773816574,0.2908235437512176,0.424498193255552,0.8087632122840402,0.5818492502540765,0.4585945741944524,0.7950921277359606,0.8830927674500044,2.4183676008321613,0.643041263289488,0.643041263289488,0.0,0.1074074264709029,0.31143214686360643,0.1981620938639441,0.0396846783076986,0.039684678307698625,2.7755575615628914e-17,0.4806949042073143,0.5193050957926856,4.388865301973822e-05,4.388918527677359e-05,5.322570353685492e-10
15.2,0.39,0.4600914356264559,0.3014442407480813,0.42284018324323375,0.8094339590236094,0.648028357300619,0.4995796384391297,0.7789644892311359,0.9224198216823635,2.515369777779965,0.630520310457162,0.6305203104571621,-1.1102230246251565e-16,0.1161901986479192,0.3226380950411735,0.205104029139777,0.0417242863639605,0.041724286363960514,1.3877787807814457e-17,0.45840318399926944,0.5415968160007306,1.209733243789101e-05,1.2097314421238845e-05,1.8016652165525832e-11
16.0,0.39,0.4760466013004638,0.3127055207762198,0.42025383183854315,0.8104813764534904,0.5954494782179597,0.46715550106273734,0.7916960385595462,0.8874093329012804,2.428829205723495,0.6416548950645167,0.6416548950645167,0.0,0.1245991237260836,0.33285771202960807,0.2036891577435576,0.0435038855570558,0.043503885557055866,6.245004513516506e-17,0.47357382467972553,0.5264261753202746,1.7711863218868906e-06,1.7711649311954063e-06,2.1390691484328913e-11
16.8,0.39,0.4911538066157465,0.3230784583082524,0.41886213179953374,0.8110455462011041,0.5615203171497523,0.44565990895942537,0.8002509168088998,0.8645220407589591,2.3738712011067515,0.6490399419212085,0.6490399419212085,0.0,0.1326858033760381,0.3422610674663284,0.1940657427146949,0.0431099782091254,0.04310997820912547,6.938893903907228e-17,0.48450139158027367,0.5154986084197264,3.413551593437382e-07,3.413488897524144e-07,6.269591323788682e-12
17.6,0.39,0.4410367983505292,0.2876304861315658,0.42745169286002216,0.8075697528076581,0.5353027450111023,0.42872758961253354,0.8070547292918159,0.8561792824725557,2.3541489508478253,0.6517529882364431,0.6517529882364431,0.0,0.1070237670782771,0.31092929648788725,0.2011363173486186,0.0407600933091185,0.04076009330911849,-6.938893903907228e-18,0.4992548892628967,0.5007451107371033,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
18.4,0.39,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0942160330487811,0.2934342948281214,0.1999781067668977,0.0586804347402074,0.0586804347402074,0.0,0.0,0.0,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
19.200000000000003,0.39,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.1021732919162485,0.3044694702587371,0.1907155475682234,0.0580670617382019,0.058067061738201954,5.551115123125783e-17,0.0,0.0,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
20.0,0.39,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.110020904054865,0.3148270397844881,0.1978582751435992,0.0622911350603241,0.0622911350603241,0.0,0.0,0.0,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
4.0,0.5800000000000001,0.5356450572479634,0.3828319392326664,0.33587564316797797,0.8454063990812368,0.8369138974474974,0.6080869338484299,0.7378287946052653,0.943962577016408,2.570145666868871,0.6237651843856867,0.6237651843856868,-1.1102230246251565e-16,0.0771814943481594,0.26767767385469626,0.2594822797956052,0.0433252408187335,0.04332524081873351,1.3877787807814457e-17,0.35581457501163183,0.6441854249883682,2.4816946922020406,2.481694821821148,1.2961910744735405e-07
4.8,0.5800000000000001,0.5496746608125175,0.3964528123674694,0.32676955384061085,0.8492643482179081,0.7723830027087453,0.5723249703111746,0.751140556840512,0.8990945241517854,2.4573770079370503,0.637916895425194,0.6379168954251939,1.1102230246251565e-16,0.0711178604801251,0.25767406620130606,0.2385972532567175,0.0392193376908345,0.03921933769083455,4.85722573273506e-17,0.36344293626845126,0.6365570637315487,13.763800559808562,13.763803534805348,2.9749967858094806e-06
5.6,0.5800000000000001,0.5468235269197911,0.3979744128181384,0.31773841666217256,0.8531079310826909,1.0623496921769922,0.7238459600508301,0.6963359975572991,1.0415843767130026,2.833703112801652,0.5940497622145092,0.5940497622145091,1.1102230246251565e-16,0.1092096338293002,0.31377884425076946,0.2408620932557482,0.0448967538721383,0.04489675387213835,5.551115123125783e-17,0.30505297867934705,0.694947021320653,57.97746133528231,57.977390401291416,7.09339908908646e-05
6.4,0.5800000000000001,0.5249813542953385,0.3726556016746358,0.34270807311871954,0.8425232366357835,0.8684127919784018,0.625089296110498,0.7315829644608279,0.9677973692292176,2.6321404361230036,0.616375647085138,0.616375647085138,0.0,0.1316552460415761,0.3410845234930134,0.2348317398037009,0.0493701311782508,0.04937013117825083,2.7755575615628914e-17,0.35411139151128546,0.6458886084887145,59.87824241195589,59.87746185614748,0.0007805558084115205
7.2,0.5800000000000001,0.5085809002029982,0.3470601178765843,0.3821262833064535,0.8260804264205999,0.3844355019083825,0.32529247670651545,0.8498917943607538,0.7074187600129689,2.028747809288574,0.7020789758969003,0.7020789758969002,1.1102230246251565e-16,0.1406987183843505,0.35120411348378744,0.2205935934157932,0.0543924294753566,0.054392429475356587,-1.3877787807814457e-17,0.5401698469227026,0.45983015307729747,3.5314925386509124,3.531395095616055,9.744303485748063e-05
8.0,0.5800000000000001,0.5340456094429403,0.3605063293895042,0.392971732431408,0.8216129437133111,0.3511645674575002,0.30096686314919596,0.8602919835728869,0.6939385955806039,2.001583456544316,0.7068270290762831,0.706827029076283,1.1102230246251565e-16,0.1520636193182569,0.3633075560105363,0.2258410747793691,0.0579949944055722,0.05799499440557226,5.551115123125783e-17,0.5662917943087122,0.4337082056912878,2.324652148280022,2.324543264773654,0.00010888350636806265
8.8,0.5800000000000001,0.4659139786380728,0.3128373898256255,0.39831748767027503,0.8194198051653918,0.6407998239295466,0.4951838204683407,0.7806784651728916,0.8935013081386157,2.443670734312731,0.6397033958287881,0.6397033958287881,0.0,0.115172233250979,0.32136821487248435,0.2223372469819722,0.0457081664657773,0.04570816646577732,2.0816681711721685e-17,0.44579396139896976,0.5542060386010302,1.58370003727443,1.583690532878821,9.504395609205574e-06
