beta_peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,acceptance_mismatch,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.25,5.56,0.03,32.739521504704605,32.74000216487015,0.0,14.202322570732264,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.25,5.627118644067797,0.03,32.739521504704605,32.74000216487015,0.0,14.15785787145466,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.25,5.627118644067797,0.05,32.739521504704605,32.74000216487015,0.0,14.15785787145466,2.9964682566916565,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.25,5.7,0.05,32.739521504704605,32.74000216487015,0.0,14.189268249639618,2.994800399886998,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.5,5.56,0.03,32.739521504704605,32.74000216487015,0.0,14.196318596963835,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.5,5.627118644067797,0.03,32.739521504704605,32.74000216487015,0.0,14.107391555061156,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.5,5.627118644067797,0.05,32.739521504704605,32.74000216487015,0.0,14.107391555061156,2.9964665256212584,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.5,5.7,0.05,32.739521504704605,32.74000216487015,0.0,14.168712192210236,2.9931315984512565,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.75,5.56,0.03,32.739521504704605,32.74000216487015,0.0,14.190073898298515,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.75,5.627118644067797,0.03,32.739521504704605,32.74000216487015,0.0,14.06435784208746,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.75,5.627118644067797,0.05,32.739521504704605,32.74000216487015,0.0,14.06435784208746,2.9964639455169646,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.75,5.7,0.05,32.739521504704605,32.74000216487015,0.0,14.1550489617116,2.9914632825845757,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
1.0,5.56,0.03,32.739521504704605,32.74000216487015,0.0,14.19009607461809,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
1.0,5.627118644067797,0.03,32.739521504704605,32.74000216487015,0.0,14.018475615194689,2.9964695136669377,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
1.0,5.627118644067797,0.05,32.739521504704605,32.74000216487015,0.0,14.018475615194689,2.996462214273123,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
1.0,5.7,0.05,32.739521504704605,32.74000216487015,0.0,14.140380748538838,2.989794738911712,28.920382456346616,32.74000216487015,7.955538214041425,28.920382456346616,32.74000216487015,32.74000216487015
0.75,5.56,0.08,32.7395215047066,32.740002164872166,0.0,14.105821379582054,2.9947632006653606,28.92038245634589,32.740002164872166,7.955538214041983,28.92038245634589,32.740002164872166,32.740002164872166
0.5,5.56,0.08,32.739521504721,32.74000216488656,0.0,14.139303341090596,2.995332178184995,28.920382456372295,32.74000216488656,7.955538214047792,28.920382456372295,32.74000216488656,32.74000216488656
1.0,5.56,0.08,32.73952150472601,32.740002164891536,0.0,14.07145980660799,2.9941943984619996,28.9203824563683,32.740002164891536,7.955538214049071,28.9203824563683,32.740002164891536,32.740002164891536
0.25,5.56,0.08,32.73952150472953,32.7400021648951,0.0,14.167798432688954,2.9959011957285355,28.92038245637805,32.7400021648951,7.955538214050687,28.92038245637805,32.7400021648951,32.7400021648951
0.25,5.7,0.08,32.73952209061891,32.7400027507928,0.0,14.171064435076715,2.7956038144237283,28.92038338668341,32.7400027507928,7.955538442992232,28.92038338668341,32.7400027507928,32.7400027507928
