D,eta,coeff_l1,coeff_l2,coeff_p1,coeff_p2,coeff_participation_exact,loop_trace_neff,loop_trace_entropy_norm,coeff_participation_access,coeff_participation_access_recon,coeff_participation_residual,gap_cv,c_tree_diag_cv,tree_diag_susceptibility,tree_diag_susceptibility_recon,tree_diag_compressibility,tree_diag_compressibility_recon,tree_diag_residual,tree_diag_pressure_fraction,shell_background_load,eymh_source_prefactor_diag,mu_mumu_uv_rge,mu_mumu_uv_rge_const,abs_mu_diff_vs_const
20.0,0.2,0.0,0.0,0.0,0.0,inf,9.999999999999999e+29,0.0,1.0,1.0,0.0,0.3261537967964966,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.24593964710907973,0.0622911350603241,5.5585827916252447e-08,5.5590071944080996e-08,4.244027828549087e-12
4.0,0.39,0.5348201512826798,0.3820817830141957,0.5832904602745828,0.4167095397254172,1.9593086754199944,1.9460000494137086,0.9798895629289212,0.8452287961502849,0.8452287961502849,0.0,0.0529284688818641,0.8803624715424814,0.8361085273697313,0.8361085273697313,0.7379905933437506,0.7379905933437506,0.0,0.455369884136139,0.0502678676150436,0.0433256378659887,2.444858357046273,2.444858483789307,1.2674303384585528e-07
4.8,0.39,0.5496382522016724,0.3964315670180943,0.5809700732816575,0.4190299267183424,1.9222835149446742,1.948891089170759,0.980999380039065,0.8492697193296964,0.8492697193296964,0.0,0.3330127461264275,1.029643348812886,0.7724182321623736,0.7724182321623736,0.7511330917844572,0.7511330917844572,0.0,0.4357990784263222,0.24981962632699647,0.0392191959549454,13.75152135651519,13.75152432659523,2.9700800414644846e-06
5.6,0.39,0.5468221053448145,0.3979748578049887,0.5787720819103782,0.4212279180896218,1.8879081131718398,1.9515619141061642,0.9820212281114714,0.8531095169384951,0.8531095169384951,0.0,0.0489632309804584,1.114373175876911,1.0623567566189278,1.0623567566189278,0.6963348049340008,0.6963348049340008,0.0,0.515117839437527,0.046677738107838936,0.044896760436053,57.97446421045843,57.97439328206518,7.092839324940314e-05
6.4,0.39,0.5249812867988601,0.3726557072448083,0.5848480959256462,0.41515190407435376,1.9845959117636978,1.9440184930629636,0.9791266381799423,0.8425234101369389,0.8425234101369388,-1.1102230246251565e-16,0.2368422574530327,1.0740904721175029,0.868413466345598,0.8684134663455981,0.7315828324355546,0.7315828324355546,0.0,0.46478655928557133,0.1914894611870313,0.0493701324354692,59.87809003340474,59.877309480955944,0.0007805524487949356
7.2,0.39,0.508580892319907,0.3470601234960784,0.5943858264378512,0.4056141735621488,2.1473886085268776,1.9311828086510907,0.9741400869882574,0.8260804395106183,0.8260804395106182,-1.1102230246251565e-16,0.5397550802947837,0.5919365641942181,0.3844355324879933,0.38443553248799334,0.8498917849744877,0.8498917849744877,0.0,0.2776839538328791,0.3505460622941724,0.0543924297365417,3.531492232104217,3.5313947890857684,9.744301844838432e-05
8.0,0.39,0.5340456087317134,0.3605063298004697,0.5969978776279854,0.4030021223720146,2.1944763648645336,1.9274612430738307,0.9726796570378552,0.8216129447287177,0.8216129447287176,-1.1102230246251565e-16,0.5891268740470006,0.5580450533015735,0.3511645686794096,0.35116456867940965,0.8602919831838897,0.8602919831838897,0.0,0.2598977036695301,0.3707236241916178,0.057994994451023,2.324652150822692,2.3245432673167357,0.00010888350595639196
8.8,0.39,0.4659139786252545,0.3128373898658881,0.5982833513705135,0.4017166486294865,2.2180645139079083,1.9255978479642188,0.9719459165389244,0.8194198052293942,0.8194198052293942,0.0,0.1526414316992487,0.738612427037752,0.6407998244075555,0.6407998244075555,0.7806784650591755,0.7806784650591755,0.0,0.39054113419284975,0.13242750737687906,0.0457081664626894,1.5837000387135487,1.583690534317875,9.504395673598509e-06
9.6,0.39,0.465410391829237,0.311022915080539,0.5994209517898994,0.4005790482101006,2.23917160007416,1.9239314027650989,0.9712883083324411,0.8174819188927818,0.8174819188927819,1.1102230246251565e-16,0.1066533286499557,0.8851615263329561,0.7998543928953749,0.7998543928953749,0.7453861413090546,0.7453861413090546,0.0,0.4443995003443983,0.0963746512921673,0.0411393810710699,1.0000000045309456,1.0000000045308777,6.794564910705958e-14
10.4,0.39,0.4844721632973193,0.3229405158487987,0.6000304129601661,0.3999695870398338,2.250570322499638,1.9230319277023544,0.9709328012333743,0.8164448484151952,0.8164448484151952,0.0,0.1910896609391989,0.9172112450982502,0.7700606219476459,0.7700606219476459,0.7516331565125128,0.7516331565125128,0.0,0.43504759803103654,0.16043264181180175,0.0443592616336688,0.4950631218312705,0.4950549756550261,8.14617624439462e-06
11.2,0.39,0.5036497917996202,0.335343899962222,0.6003022391526954,0.39969776084730463,2.2556748430116293,1.9226292523209902,0.9707735213026133,0.8159825587361268,0.8159825587361268,0.0,0.263616892757297,0.9184676256155258,0.7268560834220629,0.7268560834220629,0.7609776953524688,0.7609776953524688,0.0,0.4209129471760451,0.2086208994737853,0.0459252722558148,0.1519945006166041,0.1519898356659645,4.664950639610144e-06
12.0,0.39,0.5221458734019447,0.3475023272755173,0.6004104567745779,0.3995895432254221,2.2577105644623683,1.9224686848208565,0.970709986205349,0.8157985587153558,0.8157985587153558,0.0,0.324701506182844,0.8771172910146925,0.6621244762845668,0.6621244762845668,0.7756543412618999,0.7756543412618999,0.0,0.3983603428815681,0.24511295915898698,0.0457444417491334,0.0381622598448225,0.0381608005830067,1.4592618158004722e-06
12.8,0.39,0.4340743669944907,0.2840864732223568,0.6044250015963313,0.39557499840366867,2.334678966061287,1.916409432763983,0.968303209322738,0.808990100690447,0.808990100690447,0.0,0.1142870052001219,0.791660154997012,0.7104634185829285,0.7104634185829285,0.7646155125995896,0.7646155125995896,0.0,0.41536311789206676,0.10256514225398902,0.0392926809931249,0.0023613959137479,0.0023614360888884,4.017514049995535e-08
13.6,0.39,0.4287111875175987,0.2799014713307117,0.6050007464083013,0.3949992535916988,2.345952805472371,1.9155241825444727,0.9679500765892819,0.8080164124312916,0.8080164124312916,0.0,0.1152775579450587,0.6820295090330518,0.6115334287634345,0.6115334287634345,0.7877353600980089,0.7877353600980089,0.0,0.37947300245126014,0.10336221429709568,0.0396210022414701,0.0001779012396004,0.0001779048006959,3.5610954999978992e-09
14.4,0.39,0.44461773816574,0.2908235437512176,0.6045591253822818,0.39544087461771826,2.3372999286850487,1.916203569409363,0.9682211233182139,0.8087632122840402,0.8087632122840402,0.0,0.1959995823623919,0.6958914603017464,0.5818492502540765,0.5818492502540765,0.7950921277359606,0.7950921277359606,0.0,0.3678285084123028,0.16387930669277054,0.0396846783076986,4.388865301973822e-05,4.388918527677359e-05,5.322570353685492e-10
