width_peak,refamp_peak,center_D,sigma_D,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,joint_hotspot_objective,guard_objective,joint_objective
1.0,0.5,5.76,0.15,14.035043394254416,11.811638150125198,0.7122871882395003,30.24579448769721,0.21506726533795373,14.035043394254416,30.24579448769721,15.122897243848605
0.25,1.0,5.76,0.15,14.051615877111608,10.560121173890927,0.6338336591925753,30.245805229264093,0.21506726349337058,14.051615877111608,30.245805229264093,15.122902614632046
0.75,0.75,5.76,0.15,14.043329047624795,11.189032308176692,0.6730710821578612,30.24581770555571,0.2150672644322782,14.043329047624795,30.24581770555571,15.122908852777854
0.25,0.0,5.63,0.2,14.018475615194689,13.038186183831364,0.7906554960706131,30.245819905912697,0.21506727511338042,14.018475615194689,30.245819905912697,15.122909952956348
0.5,1.0,5.76,0.15,14.051615877111608,10.560121173890927,0.6338336591925753,30.245840923420772,0.2150672635265991,14.051615877111608,30.245840923420772,15.122920461710386
1.0,0.75,5.76,0.15,14.043329047624795,11.189032308176692,0.6730710821578754,30.24585339971827,0.21506726446550672,14.043329047624795,30.24585339971827,15.122926699859136
0.75,1.0,5.76,0.15,14.051615877111608,10.560121173890927,0.6338336591925753,30.24587661759422,0.2150672635598312,14.051615877111608,30.24587661759422,15.12293830879711
1.0,1.0,5.76,0.15,14.051615877111608,10.560121173890927,0.6338336591925895,30.24591231178445,0.21506726359305972,14.051615877111608,30.24591231178445,15.122956155892226
0.0,0.25,5.63,0.2,14.03073828698735,12.659358238561062,0.7478707062924457,30.246005951920083,0.21506705261976578,14.03073828698735,30.246005951920083,15.123002975960041
0.5,0.0,5.63,0.2,14.018475615194689,13.038186183831364,0.7906554960706131,30.2461059253269,0.21506728327686275,14.018475615194689,30.2461059253269,15.12305296266345
0.25,0.25,5.63,0.2,14.03073828698735,12.659358238561062,0.7478707062924457,30.24629197203454,0.2150670607832481,14.03073828698735,30.24629197203454,15.12314598601727
0.75,0.0,5.63,0.2,14.018475615194689,13.038186183831364,0.7906554960705847,30.246391945817663,0.21506729144034864,14.018475615194689,30.246391945817663,15.123195972908832
0.0,0.5,5.63,0.2,14.043003535636608,12.278148439793696,0.7050605158197811,30.246478019197752,0.2150668382896228,14.043003535636608,30.246478019197752,15.123239009598876
0.5,0.25,5.63,0.2,14.03073828698735,12.659358238561062,0.7478707062924457,30.246577993225642,0.2150670689467269,14.03073828698735,30.246577993225642,15.123288996612821
1.0,0.0,5.63,0.2,14.018475615194689,13.038186183831364,0.7906554960705847,30.246677967385054,0.21506729960383097,14.018475615194689,30.246677967385054,15.123338983692527
0.25,0.5,5.63,0.2,14.043003535636608,12.278148439793696,0.7050605158197811,30.246764041089122,0.2150668464531016,14.043003535636608,30.246764041089122,15.123382020544561
0.75,0.25,5.63,0.2,14.03073828698735,12.659358238561062,0.7478707062924315,30.24686401549333,0.21506707711021278,14.03073828698735,30.24686401549333,15.123432007746665
0.0,0.75,5.63,0.2,14.05527136168375,11.894541811796493,0.6622249095725294,30.24695008940786,0.2150666239595651,14.05527136168375,30.24695008940786,15.12347504470393
0.5,0.5,5.63,0.2,14.043003535636608,12.278148439793696,0.7050605158197811,30.247050064057134,0.21506685461658392,14.043003535636608,30.247050064057134,15.123525032028567
0.25,0.0,5.9,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.247129108791526,0.21506727497727596,14.018475615194689,30.247129108791526,15.123564554395763
1.0,0.25,5.63,0.2,14.03073828698735,12.659358238561062,0.7478707062924315,30.24715003883763,0.2150670852736951,14.03073828698735,30.24715003883763,15.123575019418816
0.25,0.75,5.63,0.2,14.05527136168375,11.894541811796493,0.6622249095725294,30.247236113076156,0.2150666321230439,14.05527136168375,30.247236113076156,15.123618056538078
0.75,0.5,5.63,0.2,14.043003535636608,12.278148439793696,0.7050605158197527,30.247336088101747,0.2150668627800698,14.043003535636608,30.247336088101747,15.123668044050874
0.0,1.0,5.63,0.2,14.067541765670406,11.508523284678056,0.6193638724617898,30.247422162550706,0.21506640962933687,14.067541765670406,30.247422162550706,15.123711081275353
0.5,0.75,5.63,0.2,14.05527136168375,11.894541811796493,0.6622249095725294,30.247522137821093,0.21506664028652622,14.05527136168375,30.247522137821093,15.123761068910547
1.0,0.5,5.63,0.2,14.043003535636608,12.278148439793696,0.7050605158197527,30.247622113222988,0.21506687094355215,14.043003535636608,30.247622113222988,15.123811056611494
0.25,1.0,5.63,0.2,14.067541765670406,11.508523284678056,0.6193638724617898,30.24770818799594,0.2150664177928192,14.067541765670406,30.24770818799594,15.12385409399797
0.75,0.75,5.63,0.2,14.05527136168375,11.894541811796493,0.6622249095725152,30.24780816364263,0.2150666484500121,14.05527136168375,30.24780816364263,15.123904081821316
0.5,1.0,5.63,0.2,14.067541765670406,11.508523284678056,0.6193638724617898,30.247994214517817,0.21506642595630154,14.067541765670406,30.247994214517817,15.123997107258909
1.0,0.75,5.63,0.2,14.05527136168375,11.894541811796493,0.6622249095725152,30.248094190540826,0.21506665661349444,14.05527136168375,30.248094190540826,15.124047095270413
0.0,0.25,5.9,0.15,14.020819519088747,12.102346381367248,0.46612872502669234,30.248166765189154,0.2150670561932735,14.020819519088747,30.248166765189154,15.124083382594577
0.75,1.0,5.63,0.2,14.067541765670406,11.508523284678056,0.6193638724617756,30.24828024211631,0.21506643411978388,14.067541765670406,30.24828024211631,15.124140121058154
1.0,1.0,5.63,0.2,14.067541765670406,11.508523284678056,0.6193638724617756,30.248566270791443,0.21506644228326977,14.067541765670406,30.248566270791443,15.124283135395721
0.5,0.0,5.9,0.15,14.018475615194689,13.038186183831364,0.7906554960706274,30.248724363497487,0.21506728300464673,14.018475615194689,30.248724363497487,15.124362181748744
0.25,0.0,5.76,0.2,14.018475615194689,13.038186183831364,0.7906554960705847,30.248761599143904,0.2150674893504636,14.018475615194689,30.248761599143904,15.124380799571952
0.25,0.25,5.9,0.15,14.020819519088747,12.102346381367248,0.46612872502669234,30.249762041679332,0.2150670642206478,14.020819519088747,30.249762041679332,15.124881020839666
0.75,0.0,5.9,0.15,14.01847561519466,13.038186183831364,0.7906554960706131,30.25031965169373,0.2150672910320175,14.01847561519466,30.25031965169373,15.125159825846865
0.0,0.5,5.9,0.15,14.023163517128324,11.151970942421904,0.14014055821853333,30.250799734031062,0.21506684543670218,14.023163517128324,30.250799734031062,15.125399867015531
0.0,0.25,5.76,0.2,14.028310390726574,12.302530510174378,0.5904446955412084,30.250861191917267,0.21506142787897176,14.028310390726574,30.250861191917267,15.125430595958633
0.5,0.25,5.9,0.15,14.020819519088747,12.102346381367248,0.46612872502670655,30.251357351660246,0.21506707224801858,14.020819519088747,30.251357351660246,15.125678675830123
1.0,0.0,5.9,0.15,14.018475615194689,13.038186183831364,0.7906554960706131,30.25191497338092,0.21506729905939181,14.018475615194689,30.25191497338092,15.12595748669046
0.5,0.0,5.76,0.2,14.018475615194689,13.038186183831364,0.7906554960706274,30.251989447818886,0.21506771175101846,14.018475615194689,30.251989447818886,15.125994723909443
0.25,0.5,5.9,0.15,14.023163517128324,11.151970942421904,0.14014055821853333,30.252395065796946,0.2150668534640765,14.023163517128324,30.252395065796946,15.126197532898473
0.75,0.25,5.9,0.15,14.020819519088725,12.102346381367248,0.46612872502669234,30.252952695132592,0.21506708027538934,14.020819519088725,30.252952695132592,15.126476347566296
