combo_id,beta,omega,m,phase,center_D,width_D,eta_couple,region,D,slice_p95_abs_delta_mainline,slice_p95_abs_delta_lorentz,slice_p95_abs_delta_cf,slice_mean_abs_improvement_vs_mainline,slice_mean_abs_improvement_vs_lorentz,slice_improved_fraction_vs_mainline,slice_improved_fraction_vs_lorentz,slice_worsened_fraction_vs_mainline,slice_worsened_fraction_vs_lorentz
9346,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.0,D60_hotspot,6.711864406779661,7.462467784829663,8.183041980705045,8.056770603464688,-0.5945380572651165,0.12602983313784188,0.0,1.0,1.0,0.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D21_guard,4.0,0.9136772062233662,0.8176957779573644,0.817695778063551,0.08757109517968618,-7.723019513878448e-11,1.0,0.0,0.0,1.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D21_guard,6.4,2.1022273869561374,0.34042911580091584,0.33967588819126604,1.882105844831004,0.12027571938818972,1.0,1.0,0.0,0.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D21_guard,8.0,0.3226590996076344,0.2966443149847655,0.6919189109003707,-0.23015003584799842,-0.2561648185765957,0.0,0.0,1.0,1.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D60_hotspot,4.813559322033898,8.950884564633627,9.033560155326205,9.033559037524666,-0.08245936694633184,8.312266904416296e-07,0.0,1.0,1.0,0.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D60_hotspot,5.627118644067797,10.271915904250342,10.729779662844628,10.726371714960258,-0.45552269167687093,0.0022612744669882005,0.0,1.0,1.0,0.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D60_hotspot,6.169491525423728,25.887561191706766,27.529979483635344,26.093452089808736,0.16649787463417995,1.8085025077099264,0.6666666666666666,1.0,0.3333333333333333,0.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D60_hotspot,6.4406779661016955,31.28630580743782,33.5632804317817,33.13156024540167,-0.8202876169097738,1.4566559538959676,0.19047619047619047,1.0,0.8095238095238095,0.0
9347,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.15,D60_hotspot,6.711864406779661,7.462467784829663,8.183041980705045,9.90221180642148,-1.7062311145411806,-0.9856632241382218,0.0,0.0,1.0,1.0
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D21_guard,4.0,0.9136772062233662,0.8176957779573644,0.8176957781073368,0.08757109515680805,-1.001083118840198e-10,1.0,0.0,0.0,1.0
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D21_guard,6.4,2.1022273869561374,0.34042911580091584,1.930992141957958,1.4190259921502424,-0.3428041332925718,0.975609756097561,0.5365853658536586,0.024390243902439025,0.4634146341463415
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D21_guard,8.0,0.3226590996076344,0.2966443149847655,0.6576025489057149,-0.11325643170418656,-0.1392712144327839,0.2682926829268293,0.0,0.7317073170731707,1.0
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D60_hotspot,4.813559322033898,8.950884564633627,9.033560155326205,9.033558354038563,-0.08245900647784563,1.1916951766552518e-06,0.0,1.0,1.0,0.0
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D60_hotspot,5.627118644067797,10.271915904250342,10.729779662844628,10.723156483749428,-0.4539310091120659,0.003852957031793177,0.0,1.0,1.0,0.0
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D60_hotspot,6.169491525423728,25.887561191706766,27.529979483635344,26.841167627819047,-0.2709737095427659,1.3710309235329805,0.3333333333333333,1.0,0.6666666666666666,0.0
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D60_hotspot,6.4406779661016955,31.28630580743782,33.5632804317817,32.96464882845689,1.1504153433330724,3.427358914138814,0.6190476190476191,1.0,0.38095238095238093,0.0
9348,0.4,1.2,8.0,0.9853981633974482,6.0,0.1,0.3,D60_hotspot,6.711864406779661,7.462467784829663,8.183041980705045,10.578309065497999,-2.349885656237968,-1.6293177658350093,0.0,0.0,1.0,1.0
9349,0.4,1.2,8.0,0.9853981633974482,6.1,0.03,0.0,D21_guard,4.0,0.9136772062233662,0.8176957779573644,0.8176957779573644,0.08757109525691636,0.0,1.0,0.0,0.0,0.0
9349,0.4,1.2,8.0,0.9853981633974482,6.1,0.03,0.0,D21_guard,6.4,2.1022273869561374,0.34042911580091584,0.33501136125511266,1.7672477496766226,0.005417624233808183,1.0,1.0,0.0,0.0
9349,0.4,1.2,8.0,0.9853981633974482,6.1,0.03,0.0,D21_guard,8.0,0.3226590996076344,0.2966443149847655,1.3089884149112434,-0.9863293065973051,-1.0123440893259024,0.0,0.0,1.0,1.0
9349,0.4,1.2,8.0,0.9853981633974482,6.1,0.03,0.0,D60_hotspot,4.813559322033898,8.950884564633627,9.033560155326205,9.033560155326205,-0.08246019817302228,0.0,0.0,0.0,1.0,0.0
9349,0.4,1.2,8.0,0.9853981633974482,6.1,0.03,0.0,D60_hotspot,5.627118644067797,10.271915904250342,10.729779662844628,10.7297796628446,-0.45778396614383066,2.842170943040401e-14,0.0,1.0,1.0,0.0
9349,0.4,1.2,8.0,0.9853981633974482,6.1,0.03,0.0,D60_hotspot,6.169491525423728,25.887561191706766,27.529979483635344,27.529938862615936,-1.6419640248073304,4.060826841604618e-05,0.0,1.0,1.0,0.0
9349,0.4,1.2,8.0,0.9853981633974482,6.1,0.03,0.0,D60_hotspot,6.4406779661016955,31.28630580743782,33.5632804317817,33.55175498865311,-2.2654184037689578,0.01152516703678381,0.0,1.0,1.0,0.0
