D,N,ell,level,Nz,zmax,E_N,omega_N,bound_proxy,S_N_ell,gamma_geo_N_ell,gamma_sr_denominator,A_l_fp,valid_action,eta,A_l_tensor,A_l_profile_refD_refN,A_l_N_shape_vs_sameD_Nref,eta_weighted_gamma_geo,eta_collapse_residual_abs,eta_collapse_residual_rel
18.0,2,2,fine,8001,80.0,-0.48152804504382507,0.7200499669857467,True,31.05729887585063,7.6091401906407305e-28,0.013986667559983275,5.440281009045324e-26,True,0.25,5.440281009045324e-26,8.048368700607197e-05,1.0,1.9022850476601826e-28,0.0,0.0
18.0,3,1,fine,8001,80.0,0.0058869077175257335,1.0029391346026566,False,15.583380349657196,2.922283778154782e-14,1.0267653400328742,2.8461067628765286e-14,True,0.25,2.8461067628765286e-14,3.993461828130842,26656.689005501,7.305709445386955e-15,0.0,0.0
18.0,3,2,fine,8001,80.0,0.0058869077175257335,1.0029391346026566,False,25.9930399719059,2.654647875167064e-23,1.0388898688951296,2.5552736191279934e-23,True,0.25,2.5552736191279934e-23,0.037802797656009246,469.6951526730786,6.63661968791766e-24,0.0,0.0
18.0,1,1,fine,8001,80.0,-0.48153337700547605,0.7200462644820289,True,22.00432949039145,5.554470318203478e-20,0.052028776704681805,1.0675765739661643e-18,True,1.0,1.0675765739661643e-18,0.00014979502358624395,0.9998942096259255,5.554470318203478e-20,0.0,0.0
18.0,1,2,fine,8001,80.0,-0.48153337700547605,0.7200462644820289,True,31.057343817299767,7.608417167049023e-28,0.013985732634334284,5.440127711558516e-26,True,1.0,5.440127711558516e-26,8.048141911826866e-05,0.9999718217705018,7.608417167049023e-28,0.0,0.0
18.0,2,1,fine,8001,80.0,-0.48152804504382507,0.7200499669857467,True,22.004256024315726,5.555315073920771e-20,0.052031184558729834,1.067689525240435e-18,True,1.0,1.067689525240435e-18,0.00014981087213444748,1.0,5.555315073920771e-20,0.0,0.0
18.0,2,2,fine,8001,80.0,-0.48152804504382507,0.7200499669857467,True,31.05729887585063,7.6091401906407305e-28,0.013986667559983275,5.440281009045324e-26,True,1.0,5.440281009045324e-26,8.048368700607197e-05,1.0,7.6091401906407305e-28,0.0,0.0
18.0,3,1,fine,8001,80.0,0.0058869077175257335,1.0029391346026566,False,15.583380349657196,2.922283778154782e-14,1.0267653400328742,2.8461067628765286e-14,True,1.0,2.8461067628765286e-14,3.993461828130842,26656.689005501,2.922283778154782e-14,0.0,0.0
18.0,3,2,fine,8001,80.0,0.0058869077175257335,1.0029391346026566,False,25.9930399719059,2.654647875167064e-23,1.0388898688951296,2.5552736191279934e-23,True,1.0,2.5552736191279934e-23,0.037802797656009246,469.6951526730786,2.654647875167064e-23,0.0,0.0
18.0,1,1,fine,8001,80.0,-0.48153337700547605,0.7200462644820289,True,22.00432949039145,5.554470318203478e-20,0.052028776704681805,1.0675765739661643e-18,True,4.0,1.0675765739661643e-18,0.00014979502358624395,0.9998942096259255,2.221788127281391e-19,0.0,0.0
18.0,1,2,fine,8001,80.0,-0.48153337700547605,0.7200462644820289,True,31.057343817299767,7.608417167049023e-28,0.013985732634334284,5.440127711558516e-26,True,4.0,5.440127711558516e-26,8.048141911826866e-05,0.9999718217705018,3.043366866819609e-27,0.0,0.0
18.0,2,1,fine,8001,80.0,-0.48152804504382507,0.7200499669857467,True,22.004256024315726,5.555315073920771e-20,0.052031184558729834,1.067689525240435e-18,True,4.0,1.067689525240435e-18,0.00014981087213444748,1.0,2.2221260295683085e-19,0.0,0.0
18.0,2,2,fine,8001,80.0,-0.48152804504382507,0.7200499669857467,True,31.05729887585063,7.6091401906407305e-28,0.013986667559983275,5.440281009045324e-26,True,4.0,5.440281009045324e-26,8.048368700607197e-05,1.0,3.0436560762562922e-27,0.0,0.0
18.0,3,1,fine,8001,80.0,0.0058869077175257335,1.0029391346026566,False,15.583380349657196,2.922283778154782e-14,1.0267653400328742,2.8461067628765286e-14,True,4.0,2.8461067628765286e-14,3.993461828130842,26656.689005501,1.1689135112619127e-13,0.0,0.0
18.0,3,2,fine,8001,80.0,0.0058869077175257335,1.0029391346026566,False,25.9930399719059,2.654647875167064e-23,1.0388898688951296,2.5552736191279934e-23,True,4.0,2.5552736191279934e-23,0.037802797656009246,469.6951526730786,1.0618591500668257e-22,0.0,0.0
