m,s,a,mean_objective,max_objective,max_abs_det_ratio_residual,max_abs_schur_residual,max_abs_weight_residual,mean_abs_xi_residual,max_abs_xi_residual,"corr(xi_gen, xi_target)"
-0.15,0.75,-0.25,0.0002581884357251985,0.0008725516375924242,0.004634990196499267,0.003482241518355522,0.00046143811826981906,0.009419714758091254,0.03926423029851081,0.9714730619912542
-0.1,0.875,0.125,0.00025766244889319364,0.0008528785436613225,0.004680618538110526,0.0032999299265230597,0.00042328310890249465,0.01556785898868315,0.0372092537703778,0.9864653589028215
-0.15,1.125,-0.25,0.000256765354457282,0.0008394346007971321,0.004690075000992611,0.0029342670747163346,0.0005851063178436977,0.028742224411506315,0.045549146388141615,0.9692671685397004
0.05,1.125,0.25,0.0002569600062897081,0.0008484952528680028,0.004710753248715616,0.0035340999126556305,0.00046719372304260265,0.015313884885300591,0.03984896284103703,0.9762155793554156
-0.1,1.25,-0.25,0.00025644684434388666,0.0008366726187875814,0.004740270794096446,0.0029656712341299407,0.0006274715117939866,0.030084887902432727,0.047934301112183705,0.9619673117722812
0.1,1.25,0.25,0.0002565884693017391,0.0008451877875766525,0.004790971941301514,0.003599429707505042,0.0004758195005516441,0.01701293642239131,0.04058559299629928,0.9761565989271702
-0.1,1.125,0.0,0.00025686312295848175,0.0008377310136461638,0.004949955682332696,0.00348961959067573,0.0004819007059893021,0.03142360300300412,0.04063471354013809,0.9977515700366012
0.0,1.0,0.25,0.0002573469160461006,0.0008520080545108851,0.004958071007317599,0.0035029349914763586,0.0004585013351181555,0.013768540753865152,0.03949756083862753,0.9712470298575063
0.1,0.875,0.25,0.0002582191646368229,0.0008821470866549818,0.004992705686093668,0.0031233461902024917,0.0007630295553997524,0.02492853263698828,0.05633826154893677,0.9602755471109073
-0.15,0.75,0.125,0.00025806571252266194,0.0008566568359966269,0.005016451699111357,0.0035364979503511584,0.00045361704392055113,0.014315234524171896,0.03987900803692185,0.9736324506726153
0.1,0.875,0.125,0.0002582870496333244,0.0008886148551721628,0.0050355861415289915,0.0031504303478855356,0.0006849510726089081,0.03365367021150511,0.05081708487774031,0.9864653589028213
-0.1,1.25,-0.125,0.0002565277505876906,0.0008331706014464951,0.005041075312204324,0.00316226485859894,0.0006156719644961894,0.03562128502105163,0.04793204834840631,0.9818477857151686
0.05,1.25,-0.25,0.0002563323843115897,0.000856016063589822,0.005067517968670998,0.003572790938909609,0.0004593491476807543,0.01042661605969401,0.04028522590817682,0.9619673117722813
0.0,0.875,-0.125,0.0002579779023595383,0.0008807927872796209,0.005130956923491858,0.0038548584722728485,0.0005108791060128848,0.023051548104626274,0.04346569588170662,0.9929720792074727
0.15,1.125,0.0,0.0002570059164842536,0.0008745188355977469,0.005188155393586413,0.0035633813514834856,0.0005209019101489742,0.023214085415249573,0.04405879309041219,0.9977515700366018
0.0,1.25,0.125,0.0002565833700155098,0.0008369989912598275,0.0052259549373574465,0.003861370924454377,0.0005142147477518177,0.029723817610953135,0.043539127440354694,0.9899401250413756
-0.15,1.0,0.0,0.00025718341841608446,0.0008406107089476112,0.005280024345018841,0.0037223113854101264,0.0005171296900666755,0.029973666866319103,0.0441921463383711,0.9999999999999998
-0.05,0.875,0.25,0.0002577505461667086,0.0008557414173353796,0.005287640955339956,0.003727985931227362,0.0004781124784791757,0.013008136302279589,0.042035136673245446,0.9602755471109079
-0.05,0.75,-0.125,0.00025854941192536107,0.0008860372001223838,0.005294087556325877,0.003977417579948739,0.0005652265034701287,0.025574808733222962,0.04500065008661713,0.9877051423940499
-0.15,1.125,-0.125,0.00025682492416129096,0.0008357689824771626,0.005337882843753139,0.0033603784268163572,0.0005850765866546315,0.03433296532679143,0.04679384907849074,0.9891101924916054
0.15,1.0,0.125,0.0002576899885968645,0.0008831891575426138,0.005396429878954834,0.0033851786595604505,0.0005890842440087196,0.030960280361742178,0.04708920181725462,0.9927799158014311
0.05,0.75,0.125,0.00025891175616262683,0.0008943883451469314,0.005505641336403411,0.0034445125280910815,0.0008161360447126453,0.03650505977317007,0.0602522574317713,0.9736324506726158
0.05,1.0,-0.125,0.0002574302558092367,0.0008758566528259913,0.005511320453507107,0.0038856883980384893,0.0004996312796453628,0.020667996003269688,0.04381332062254539,0.9931175282085739
-0.05,1.125,0.125,0.0002569040216375914,0.000839841573031653,0.005546260347658816,0.003910322338757322,0.0005045267637565631,0.02826785931446212,0.04409108214955286,0.9935923026764046
-0.1,0.75,0.25,0.00025817236269279657,0.0008597119302826212,0.005610162915453021,0.003955376054718407,0.0005072359480274846,0.013199673218687497,0.044599088119262956,0.9424287573018163
