label,D,eta,mu_candidate,mu_full,chi2_candidate,chi2_full,abs_delta_mu_mumu,acceptance_mismatch
width_only,4.0,1.72,106.85361747693263,2.070636821351888,69502.90899357018,2.8109609134560283,104.78298065558074,1.0
width_only,4.0,1.815,107.39290153020912,2.0853500569798915,70215.59484245378,2.935654378764629,105.30755147322922,1.0
width_only,4.0,1.91,107.93194415764307,2.100105887935608,70931.59453754486,3.0634265895131625,105.83183826970746,1.0
width_only,4.0,2.005,108.47072372259804,2.1149037792301515,71650.87424050571,3.1942963347347084,106.35581994336789,1.0
width_only,4.0,2.1,109.00921865133158,2.129743190999092,72373.39961718804,3.328282030059609,106.87947546033249,1.0
width_only,4.0,2.1950000000000003,109.54740743564332,2.144623578583578,73099.13584406897,3.465401711141339,107.40278385705975,1.0
width_only,4.0,2.29,110.08526863550175,2.159544392612591,73828.04761481985,3.605673027182685,107.92572424288916,1.0
width_only,4.0,2.385,110.62278088165105,2.1745050790863396,74560.09914700722,3.749113234565858,108.44827580256471,1.0
width_only,4.0,2.4800000000000004,111.15992287819667,2.1895050794607793,75295.25418892298,3.8957391905898224,108.9704177987359,1.0
width_only,4.0,2.575,111.69667340516862,2.2045438307331704,76033.4760265402,4.045567347317527,109.49212957443545,0.0
width_only,4.0,2.6700000000000004,112.23301132106316,2.2196207655287057,76774.7274905932,4.198613745536636,110.01339055553446,0.0
width_only,4.0,2.765,112.76891556535966,2.234735312188143,77518.9709637763,4.35489400883648,110.53418025317151,0.0
width_only,4.0,2.8600000000000003,113.30436516101749,2.2498868948564748,78266.16838806463,4.51442333780488,111.05447826616101,0.0
width_only,4.0,2.955,113.8393392169442,2.265074933572471,79016.281272144,4.677216504346346,111.57426428337172,0.0
width_only,4.0,3.0500000000000003,114.37381693044328,2.280298844359258,79769.27069895818,4.843287846126531,112.09351808608403,0.0
width_only,4.0,3.145,114.90777758963418,2.2955580393157105,80525.09733336158,5.0126512611437475,112.61221955031847,0.0
width_only,4.0,3.24,115.44120057584715,2.3108519267087737,81283.72142987874,5.185320202431784,113.13034864913837,0.0
width_only,4.0,3.3350000000000004,115.97406536599371,2.3261799110666166,82045.10284056872,5.361307672896037,113.64788545492709,0.0
width_only,4.0,3.43,116.50635153490701,2.3415413932725633,82809.20102298493,5.540626220285248,114.16481014163445,0.0
width_only,4.0,3.5250000000000004,117.03803875765875,2.356935770659859,83575.97504823617,5.723287932302366,114.6811029869989,0.0
width_only,4.0,3.62,117.5691068118461,2.3723624371071432,84345.38360913815,5.909304431855894,115.19674437473896,0.0
width_only,4.0,3.715,118.09953557985068,2.3878207831346545,85117.38502845519,6.098686872454763,115.71171479671602,0.0
width_only,4.0,3.81,118.62930505107052,2.4033101960011223,85891.93726723091,6.291445933748815,116.22599485506939,0.0
width_only,4.0,3.905,119.15839532412151,2.4188300598013246,86668.99793320052,6.487591817217316,116.73956526432019,0.0
width_only,4.0,4.0,119.68678660901021,2.4343797555642395,87448.52428928448,6.687134242007098,117.25240685344598,0.0
width_only,4.8,0.2,116.07756807979753,11.49929856244426,82193.40387935372,637.4739465836794,104.57826951735328,0.0
width_only,4.8,0.295,116.12061462555488,11.50444450080809,82255.12137540671,638.1237416869426,104.61617012474679,0.0
width_only,4.8,0.39,116.16365929412154,11.509590904681522,82316.85934110753,638.7739266251208,104.65406838944003,0.0
width_only,4.8,0.485,116.20670207293878,11.514737772637506,82378.61775540326,639.4245013076245,104.69196430030128,0.0
width_only,4.8,0.5800000000000001,116.2497429494867,11.519885103252694,82440.3965972698,640.0754656439735,104.72985784623401,0.0
width_only,4.8,0.675,116.29278191123204,11.52503289510164,82502.19584563703,640.726819543064,104.7677490161304,0.0
width_only,4.8,0.77,116.33581894563841,11.530181146758038,82564.01547940358,641.3785629133248,104.80563779888037,0.0
width_only,4.8,0.865,116.37885404018587,11.535329856796782,82625.85547746478,642.0306956629767,104.84352418338909,0.0
width_only,4.8,0.96,116.42188718234213,11.540479023790857,82687.71581867151,642.6832176996396,104.88140815855128,0.0
width_only,4.8,1.055,116.46491835958066,11.54562864631328,82749.59648185602,643.3361289305788,104.91928971326739,0.0
width_only,4.8,1.15,116.50794755938298,11.550778722937414,82811.49744583538,643.9894292627431,104.95716883644558,0.0
width_only,4.8,1.245,116.55097476921966,11.555929252234794,82873.41868938413,644.6431186024897,104.99504551698487,0.0
width_only,4.8,1.34,116.5939999765752,11.561080232777922,82935.36019127004,645.2971968559389,105.03291974379728,0.0
width_only,4.8,1.435,116.63702316892812,11.566231663138169,82997.32193022547,645.9516639287064,105.07079150578996,0.0
width_only,4.8,1.53,116.68004433375924,11.571383541886435,83059.30388495933,646.6065197259892,105.10866079187281,0.0
width_only,4.8,1.625,116.72306345855505,11.576535867593762,83121.30603416196,647.2617641526393,105.14652759096128,0.0
width_only,4.8,1.72,116.76608053080051,11.581688638830398,83183.32835649465,647.9173971130499,105.18439189197011,0.0
width_only,4.8,1.815,116.80909553798254,11.586841854166297,83245.37083059488,648.5734185112135,105.22225368381625,0.0
width_only,4.8,1.91,116.85210846758999,11.59199551217099,83307.43343507602,649.22982825071,105.26011295541899,0.0
width_only,4.8,2.005,116.89511930711274,11.59714961141356,83369.51614852625,649.8866262346982,105.29796969569918,0.0
width_only,4.8,2.1,116.93812804404199,11.602304150462675,83431.61894950898,650.5438123659245,105.33582389357932,0.0
width_only,4.8,2.1950000000000003,116.98113466587375,11.607459127886951,83493.74181656775,651.2013865467666,105.3736755379868,0.0
width_only,4.8,2.29,117.02413916010137,11.61261454225414,83555.88472821555,651.8593486791295,105.41152461784723,0.0
width_only,4.8,2.385,117.06714151422267,11.61777039213192,83618.04766294507,652.517698664548,105.44937112209075,0.0
width_only,4.8,2.4800000000000004,117.1101417157364,11.622926676087497,83680.23059922372,653.1764364041334,105.4872150396489,0.0
width_only,4.8,2.575,117.15313975214481,11.628083392687854,83742.4335154973,653.8355617986066,105.52505635945695,0.0
width_only,4.8,2.6700000000000004,117.19613561094737,11.633240540499113,83804.6563901807,654.4950747482159,105.56289507044825,0.0
width_only,4.8,2.765,117.23912927965078,11.638398118087675,83866.89920167279,655.1549751528829,105.6007311615631,0.0
width_only,4.8,2.8600000000000003,117.2821207457589,11.643556124018971,83929.1619283415,655.8152629120409,105.63856462173993,0.0
width_only,4.8,2.955,117.3251099967806,11.64871455685842,83991.4445485355,656.4759379247605,105.67639543992217,0.0
width_only,4.8,3.0500000000000003,117.36809702022411,11.653873415170883,84053.74704057569,657.1370000896761,105.71422360505323,0.0
width_only,4.8,3.145,117.4110818036019,11.659032697520992,84116.06938276255,657.7984493050301,105.7520491060809,0.0
width_only,4.8,3.24,117.45406433442633,11.664192402472896,84178.41155336976,658.4602854686394,105.78987193195344,0.0
width_only,4.8,3.3350000000000004,117.49704460021219,11.66935252859036,84240.77353064786,659.1225084779073,105.82769207162183,0.0
width_only,4.8,3.43,117.54002258847669,11.674513074436906,84303.1552928242,659.7851182298431,105.86550951403979,0.0
width_only,4.8,3.5250000000000004,117.58299828673867,11.679674038575635,84365.556818102,660.4481146210369,105.90332424816303,0.0
width_only,4.8,3.62,117.62597168251781,11.684835419569158,84427.97808465893,661.1114975476518,105.94113626294866,0.0
width_only,4.8,3.715,117.66894276333663,11.689997215979824,84490.4190706503,661.7752669054532,105.9789455473568,0.0
width_only,4.8,3.81,117.71191151671957,11.695159426369685,84552.87975420749,662.4394225898034,106.01675209034988,0.0
width_only,4.8,3.905,117.75487793019236,11.700322049300237,84615.36011343727,663.1039644956287,106.05455588089212,0.0
width_only,4.8,4.0,117.7978419912834,11.70548508333282,84677.8601264236,663.7688925174704,106.09235690795059,0.0
width_only,6.4,0.2,52.006092532664795,57.79750829366997,16006.103758903944,19879.24338584108,5.791415761005176,0.0
width_only,6.4,0.295,52.00607069413223,57.79758274615296,16006.08994437193,19879.295872557308,5.791512052020735,0.0
width_only,6.4,0.39,52.006048855703796,57.797657198482966,16006.076129911746,19879.348359234984,5.7916083427791705,0.0
width_only,6.4,0.485,52.00602701742296,57.79773165082284,16006.06231555089,19879.400845988897,5.791704633399881,0.0
width_only,6.4,0.5800000000000001,52.00600517920135,57.79780610273658,16006.048501233461,19879.453332511697,5.791800923535227,0.0
width_only,6.4,0.675,52.00598334107728,57.79788055429579,16006.034686983694,19879.50581885384,5.791897213218505,0.0
width_only,6.4,0.77,52.00596150305658,57.79795500565248,16006.020872805278,19879.558305122508,5.791993502595901,0.0
width_only,6.4,0.865,52.00593966514418,57.798029456520545,16006.007058701334,19879.610791115992,5.7920897913763625,0.0
width_only,6.4,0.96,52.00591782734057,57.798103907315834,16005.993244672161,19879.663277127456,5.7921860799752665,0.0
width_only,6.4,1.055,52.005895989617834,57.79817835781034,16005.979430700116,19879.71576299617,5.7922823681925095,0.0
width_only,6.4,1.15,52.0058741520203,57.79825280797608,16005.965616813224,19879.76824870238,5.79237865595578,0.0
width_only,6.4,1.245,52.00585231449126,57.798327258005095,16005.951802975625,19879.820734381497,5.792474943513838,0.0
width_only,6.4,1.34,52.00583047708637,57.798401707671395,16005.937989222522,19879.873219874196,5.792571230585025,0.0
width_only,6.4,1.435,52.00580863977935,57.79847615703287,16005.924175537291,19879.92570522128,5.79266751725352,0.0
width_only,6.4,1.53,52.00578680256348,57.7985506061466,16005.910361915674,19879.97819046299,5.792763803583121,0.0
