pair,lhs_family,rhs_family,layer,D,eta,amp_eff_lhs,amp_eff_rhs,amp_ref_eff_lhs,amp_ref_eff_rhs,partial_ratio_lhs,partial_ratio_rhs,width_ratio_lhs,width_ratio_rhs,mu_lhs,mu_rhs,mu_identity_residual_lhs,mu_identity_residual_rhs,delta_log_amp_point,delta_log_amp_ref,delta_log_partial,delta_log_width,delta_log_mu,delta_mu,path_closure_residual,acceptance_mismatch
uniform_vs_runtime,uniform_profile,runtime_mainline,1,17.83050847457627,1.0,1e-08,1e-08,1.0744892977952539e-05,1.0744892977952539e-05,8.661553887684773e-07,8.661553887684773e-07,0.936780470348653,0.936780470348653,9.24608716966644e-07,9.24608716966644e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,17.83050847457627,1.0,1e-08,1e-08,4.874513847058992e-05,4.874513847058992e-05,4.2085974057017985e-08,4.2085974057017985e-08,0.936780470348653,0.936780470348653,4.49261864322965e-08,4.49261864322965e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,3,17.83050847457627,1.0,1e-08,1e-08,2.7397481066954306e-06,2.7397481066954306e-06,1.3322285272037316e-05,1.3322285272037316e-05,0.936780470348653,0.936780470348653,1.422135248728979e-05,1.422135248728979e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,1,17.83050847457627,1.0,1e-08,1e-08,1.0767514261888238e-05,1.0744892977952539e-05,8.62519830062127e-07,8.661553887684773e-07,0.9367804726669758,0.936780470348653,9.207278068110965e-07,9.24608716966644e-07,0.0,0.0,0.0,0.0021030926033819663,-0.0042061852067638355,2.474777046892208e-09,-0.004206187681541041,-3.880910155547514e-09,-1.5872719805187785e-16,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,2,17.83050847457627,1.0,1e-08,1e-08,4.8798490031606645e-05,4.874513847058992e-05,4.1993998875591376e-08,4.2085974057017985e-08,0.9367804726669758,0.936780470348653,4.4828004106486306e-08,4.49261864322965e-08,0.0,0.0,0.0,0.0010939016142024259,-0.002187803228404873,2.474777046892208e-09,-0.0021878057031819924,-9.818232581019454e-11,-7.24247051220317e-17,0.0
hybrid_vs_uniform,hybrid_profile,uniform_profile,3,17.83050847457627,1.0,1e-08,1e-08,2.718378639560766e-06,2.7397481066954306e-06,1.3532564386969187e-05,1.3322285272037316e-05,0.9367804726669758,0.936780470348653,1.4445822454478077e-05,1.422135248728979e-05,0.0,0.0,0.0,-0.007830370131196742,0.015660740262393773,2.474777046892208e-09,0.015660737787616546,2.244699671882871e-07,-1.8041124150158794e-16,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,1,17.83050847457627,1.0,1e-08,1e-08,1.0767514261888238e-05,1.0744892977952539e-05,8.62519830062127e-07,8.661553887684773e-07,0.9367804726669758,0.936780470348653,9.207278068110965e-07,9.24608716966644e-07,0.0,0.0,0.0,0.0021030926033819663,-0.0042061852067638355,2.474777046892208e-09,-0.004206187681541041,-3.880910155547514e-09,-1.5872719805187785e-16,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,2,17.83050847457627,1.0,1e-08,1e-08,4.8798490031606645e-05,4.874513847058992e-05,4.1993998875591376e-08,4.2085974057017985e-08,0.9367804726669758,0.936780470348653,4.4828004106486306e-08,4.49261864322965e-08,0.0,0.0,0.0,0.0010939016142024259,-0.002187803228404873,2.474777046892208e-09,-0.0021878057031819924,-9.818232581019454e-11,-7.24247051220317e-17,0.0
hybrid_vs_runtime,hybrid_profile,runtime_mainline,3,17.83050847457627,1.0,1e-08,1e-08,2.718378639560766e-06,2.7397481066954306e-06,1.3532564386969187e-05,1.3322285272037316e-05,0.9367804726669758,0.936780470348653,1.4445822454478077e-05,1.422135248728979e-05,0.0,0.0,0.0,-0.007830370131196742,0.015660740262393773,2.474777046892208e-09,0.015660737787616546,2.244699671882871e-07,-1.8041124150158794e-16,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,1,17.83050847457627,2.0,1e-08,1e-08,1.0744892977952539e-05,1.0744892977952539e-05,8.661553887684773e-07,8.661553887684773e-07,0.936780470348653,0.936780470348653,9.24608716966644e-07,9.24608716966644e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uniform_vs_runtime,uniform_profile,runtime_mainline,2,17.83050847457627,2.0,1e-08,1e-08,4.874513847058992e-05,4.874513847058992e-05,4.2085974057017985e-08,4.2085974057017985e-08,0.936780470348653,0.936780470348653,4.49261864322965e-08,4.49261864322965e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
