point1_peak,point1_sigma_D,partial_peak,partial_center_D,partial_sigma_D,D60_D6p169_max_abs_delta_mu,D60_D6p441_max_abs_delta_mu,D21_D6p4_max_abs_delta_mu,D60_guard_D4p814_max_abs_delta_mu,D60_guard_D5p627_max_abs_delta_mu,D60_guard_D6p712_max_abs_delta_mu,D21_guard_D4p0_max_abs_delta_mu,D21_guard_D8p0_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
0.5,0.04,1.0,6.1,0.08,4.147590827880364,22.703689557500347,7.9353938888282585,8.958857939127423,10.272608456175995,7.4624959284919825,0.9244091557313041,0.3226590997374794,22.703689557500347,10.272608456175995,22.703689557500347
0.5,0.03,0.5,6.1,0.08,9.585474669150855,22.706237667863256,4.379508599140671,8.958857939127423,10.272608614987362,7.4624959240249815,0.9244091557313041,0.3226590997374794,22.706237667863256,10.272608614987362,22.706237667863256
0.5,0.04,0.5,6.1,0.08,9.585474668403009,22.706237667863256,7.929563274816346,8.958857939127423,10.272608614987362,7.462495928489751,0.9244091557313041,0.3226590997374794,22.706237667863256,10.272608614987362,22.706237667863256
0.5,0.03,1.0,6.17,0.05,14.75408434976515,22.708766759437772,4.372108370808682,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,22.708766759437772,10.272608773798773,22.708766759437772
0.5,0.04,1.0,6.17,0.05,14.75408434976515,22.708766759437772,7.9240674452668145,8.958857939127423,10.272608773798773,7.462495928487542,0.9244091557313041,0.3226590997374794,22.708766759437772,10.272608773798773,22.708766759437772
0.5,0.03,0.5,6.17,0.05,3.0136317309093243,22.708776315276914,4.37188253084652,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,22.708776315276914,10.272608773798773,22.708776315276914
0.5,0.04,0.5,6.17,0.05,3.0136317303839633,22.708776315276914,7.923899726073813,8.958857939127423,10.272608773798773,7.462495928487542,0.9244091557313041,0.3226590997374794,22.708776315276914,10.272608773798773,22.708776315276914
0.5,0.03,1.0,6.1,0.05,7.955611228327086,22.708785867451503,4.3716569605907765,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,22.708785867451503,10.272608773798773,22.708785867451503
0.5,0.04,1.0,6.1,0.05,7.955611227635643,22.708785867451503,7.923732207318075,8.958857939127423,10.272608773798773,7.462495928487542,0.9244091557313041,0.3226590997374794,22.708785867451503,10.272608773798773,22.708785867451503
0.5,0.03,0.5,6.1,0.05,16.48890937709386,22.708785869284405,4.371656825278087,8.958857939127423,10.272608773798773,7.462495924022772,0.9244091557313041,0.3226590997374794,22.708785869284405,10.272608773798773,22.708785869284405
0.5,0.04,0.5,6.1,0.05,16.48890937609788,22.708785869284405,7.923732106828744,8.958857939127423,10.272608773798773,7.462495928487542,0.9244091557313041,0.3226590997374794,22.708785869284405,10.272608773798773,22.708785869284405
