alpha,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
0.65,4.8,0.6,14.960470147906387,13.765096208939836,1.1953739389665508,0.08327527109244023,0.0
0.675,4.8,0.6,14.766502299865776,13.765096208939836,1.00140609092594,0.07022512942727015,0.0
0.7,4.8,0.6,14.575049314373036,13.765096208939836,0.8099531054332001,0.057174987762100234,0.0
0.725,4.8,0.6,14.38607858533546,13.765096208939836,0.6209823763956237,0.04412484609692989,0.0
0.75,4.8,0.6,14.199557929410009,13.765096208939836,0.43446172047017306,0.031074704431759873,0.0
0.775,4.8,0.6,14.015455580522179,13.765096208939836,0.2503593715823431,0.018024562766589047,0.0
0.8,4.8,0.6,13.833740184456028,13.765096208939836,0.06864397551619206,0.0049744211014192035,0.0
0.825,4.8,0.6,13.654380793514187,13.765096208939836,-0.11071541542564844,-0.008075720563752,0.0
0.85,4.8,0.6,13.477346861247318,13.765096208939836,-0.28774934769251814,-0.021125862228921974,0.0
0.875,4.8,0.6,13.302608237251677,13.765096208939836,-0.4624879716881587,-0.03417600389409199,0.0
0.9,4.8,0.6,13.13013516203431,13.765096208939836,-0.6349610469055254,-0.04722614555926214,0.0
0.65,4.8,1.0,14.988498480044887,13.790954693731495,1.1975437863133926,0.08327021870692226,0.0
0.675,4.8,1.0,14.79417257363936,13.790954693731495,1.003217879907865,0.07022043792643179,0.0
0.7,4.8,1.0,14.602366102916502,13.790954693731495,0.8114114091850073,0.05717065714594105,0.0
0.725,4.8,1.0,14.413046403388726,13.790954693731495,0.6220917096572318,0.0441208763654505,0.0
0.75,4.8,1.0,14.226181234063581,13.790954693731495,0.43522654033208674,0.031071095584960705,0.0
0.775,4.8,1.0,14.041738771953096,13.790954693731495,0.2507840782216011,0.01802131480447028,0.0
0.8,4.8,1.0,13.85968760665443,13.790954693731495,0.06873291292293615,0.0049715340239796435,0.0
0.825,4.8,1.0,13.679996735000651,13.790954693731495,-0.11095795873084313,-0.008078246756511014,0.0
0.85,4.8,1.0,13.502635555780936,13.790954693731495,-0.28831913795055897,-0.021128027537001465,0.0
0.875,4.8,1.0,13.327573864529215,13.790954693731495,-0.4633808292022792,-0.03417780831749122,0.0
0.9,4.8,1.0,13.154781848380344,13.790954693731495,-0.636172845351151,-0.04722758909798171,0.0
0.65,4.8,2.0,15.058612366234705,13.855641930084026,1.2029704361506788,0.08325756851248643,0.0
0.675,4.8,2.0,14.86339086351996,13.855641930084026,1.0077489334359342,0.07020869131731351,0.0
0.7,4.8,2.0,14.670700233783089,13.855641930084026,0.8150583036990628,0.05715981412213958,0.0
0.725,4.8,2.0,14.480507666509176,13.855641930084026,0.62486573642515,0.04411093692696606,0.0
0.75,4.8,2.0,14.292780776542411,13.855641930084026,0.4371388464583852,0.031062059731793115,0.0
0.775,4.8,2.0,14.107487598571664,13.855641930084026,0.251845668487638,0.01801318253661933,0.0
0.8,4.8,2.0,13.924596581687643,13.855641930084026,0.06895465160361702,0.004964305341445495,0.0
0.825,4.8,2.0,13.744076584010502,13.855641930084026,-0.1115653460735242,-0.008084571853727308,0.0
0.85,4.8,2.0,13.565896867387105,13.855641930084026,-0.28974506269692135,-0.021133449048901215,0.0
0.875,4.8,2.0,13.39002709215715,13.855641930084026,-0.46561483792687675,-0.034182326244074863,0.0
0.9,4.8,2.0,13.216437311987008,13.855641930084026,-0.6392046180970183,-0.04723120343924775,0.0
0.65,4.8,4.0,15.1990172726983,13.985185434428539,1.213831838269762,0.0832321865612019,0.0
0.675,4.8,4.0,15.002002743927196,13.985185434428539,1.0168173094986575,0.0701851223625481,0.0
0.7,4.8,4.0,14.807541980564128,13.985185434428539,0.8223565461355893,0.057138058163895396,0.0
0.725,4.8,4.0,14.615601879884103,13.985185434428539,0.6304164454555643,0.0440909939652416,0.0
0.75,4.8,4.0,14.426149768250308,13.985185434428539,0.44096433382176947,0.031043929766588808,0.0
0.775,4.8,4.0,14.239153395552034,13.985185434428539,0.25396796112349485,0.017996865567935838,0.0
0.8,4.8,4.0,14.054580929714835,13.985185434428539,0.06939549528629563,0.004949801369281961,0.0
0.825,4.8,4.0,13.872400951281838,13.985185434428539,-0.11278448314670086,-0.008097262829370896,0.0
0.85,4.8,4.0,13.692582448065204,13.985185434428539,-0.2926029863633346,-0.02114432702802358,0.0
0.875,4.8,4.0,13.515094809867005,13.985185434428539,-0.47009062456153394,-0.03419139122667657,0.0
0.9,4.8,4.0,13.339907823268495,13.985185434428539,-0.6452776111600436,-0.04723845542533031,0.0
0.65,5.6,0.2,26.04239961991447,57.97139610037368,-31.92899648045921,-0.8002237538174513,0.0
0.675,5.6,0.2,27.15505657308536,57.97139610037368,-30.81633952728832,-0.7583864433903642,0.0
0.7,5.6,0.2,28.315251599302794,57.97139610037368,-29.656144501070887,-0.7165491329632782,0.0
0.725,5.6,0.2,29.52501575439453,57.97139610037368,-28.44638034597915,-0.6747118225361914,0.0
0.75,5.6,0.2,30.78646687069203,57.97139610037368,-27.18492922968165,-0.6328745121091051,0.0
0.775,5.6,0.2,32.10181326454148,57.97139610037368,-25.869582835832205,-0.5910372016820182,0.0
0.8,5.6,0.2,33.47335760221731,57.97139610037368,-24.49803849815637,-0.5491998912549318,0.0
0.825,5.6,0.2,34.90350093100648,57.97139610037368,-23.067895169367205,-0.5073625808278456,0.0
0.85,5.6,0.2,36.394746882519854,57.97139610037368,-21.576649217853827,-0.4655252704007587,0.0
0.875,5.6,0.2,37.94970605558943,57.97139610037368,-20.02169004478425,-0.4236879599736724,0.0
0.9,5.6,0.2,39.57110058642419,57.97139610037368,-18.400295513949494,-0.38185064954658593,0.0
0.65,5.6,0.6,26.04530639744309,57.97770588386644,-31.932399486423353,-0.8002209800563787,0.0
0.675,5.6,0.6,27.158082161456687,57.97770588386644,-30.819623722409755,-0.7583838677550827,0.0
0.7,5.6,0.6,28.318400844800156,57.97770588386644,-29.659305039066286,-0.7165467554537878,0.0
0.725,5.6,0.6,29.52829370053594,57.97770588386644,-28.4494121833305,-0.6747096431524916,0.0
0.75,5.6,0.6,30.78987876623736,57.97770588386644,-27.18782711762908,-0.6328725308511958,0.0
0.775,5.6,0.6,32.105364571823785,57.97770588386644,-25.872341312042657,-0.5910354185499002,0.0
0.8,5.6,0.6,33.477054005811524,57.97770588386644,-24.500651878054917,-0.5491983062486046,0.0
0.825,5.6,0.6,34.907348346748826,57.97770588386644,-23.070357537117616,-0.5073611939473092,0.0
0.85,5.6,0.6,36.3987514668924,57.97770588386644,-21.578954416974042,-0.46552408164601367,0.0
0.875,5.6,0.6,37.95387421548439,57.97770588386644,-20.02383166838205,-0.42368696934471783,0.0
0.9,5.6,0.6,39.575438989303194,57.97770588386644,-18.402266894563247,-0.3818498570434222,0.0
0.65,5.6,1.0,26.04821306966639,57.984015390166256,-31.935802320499867,-0.8002182061688767,0.0
0.675,5.6,1.0,27.161107638578343,57.984015390166256,-30.822907751587913,-0.7583812920024027,0.0
0.7,5.6,1.0,28.321549972790024,57.984015390166256,-29.662465417376232,-0.7165443778359286,0.0
0.725,5.6,1.0,29.53157152258266,57.984015390166256,-28.452443867583597,-0.6747074636694546,0.0
0.75,5.6,1.0,30.79329053075484,57.984015390166256,-27.190724859411414,-0.6328705495029806,0.0
0.775,5.6,1.0,32.108915740781725,57.984015390166256,-25.87509964938453,-0.5910336353365067,0.0
0.8,5.6,1.0,33.48075026340318,57.984015390166256,-24.503265126763075,-0.5491967211700324,0.0
0.825,5.6,1.0,34.91119560840957,57.984015390166256,-23.072819781756685,-0.5073598070035582,0.0
0.85,5.6,1.0,36.402755888683316,57.984015390166256,-21.58125950148294,-0.46552289283708426,0.0
0.875,5.6,1.0,37.95804220385558,57.984015390166256,-20.02597318631068,-0.42368597867061014,0.0
0.9,5.6,1.0,39.57977721125209,57.984015390166256,-18.404238178914163,-0.3818490645041363,0.0
0.65,5.6,2.0,26.055479288708714,57.999787941433695,-31.94430865272498,-0.8002112708975334,0.0
0.675,5.6,2.0,27.16867084382659,57.999787941433695,-30.831117097607105,-0.7583748521075836,0.0
0.7,5.6,2.0,28.32942227779584,57.999787941433695,-29.670365663637856,-0.7165384333176341,0.0
0.725,5.6,2.0,29.53976553387544,57.999787941433695,-28.460022407558256,-0.6747020145276847,0.0
0.75,5.6,2.0,30.801819367854307,57.999787941433695,-27.197968573579388,-0.6328655957377354,0.0
0.775,5.6,2.0,32.11779305702074,57.999787941433695,-25.881994884412954,-0.5910291769477856,0.0
0.8,5.6,2.0,33.48999026759336,57.999787941433695,-24.509797673840332,-0.5491927581578361,0.0
0.825,5.6,2.0,34.920813087383905,57.999787941433695,-23.07897485404979,-0.5073563393678868,0.0
0.85,5.6,2.0,36.41276623075102,57.999787941433695,-21.587021710682677,-0.46551992057793695,0.0
0.875,5.6,2.0,37.96846142320594,57.999787941433695,-20.031326518227758,-0.4236835017879876,0.0
0.9,5.6,2.0,39.59062197334589,57.999787941433695,-18.409165968087805,-0.38184708299803766,0.0
0.65,5.6,4.0,26.070009743456573,58.031327827197636,-31.961318083741062,-0.8001973979902842,0.0
0.675,5.6,4.0,27.183795159161384,58.031327827197636,-30.84753266803625,-0.7583619701222811,0.0
0.7,5.6,4.0,28.345164674927688,58.031327827197636,-29.68616315226995,-0.7165265422542781,0.0
0.725,5.6,4.0,29.556151219672252,58.031327827197636,-28.475176607525384,-0.6746911143862752,0.0
0.75,5.6,4.0,30.818874574852416,58.031327827197636,-27.21245325234522,-0.6328556865182718,0.0
0.775,5.6,4.0,32.13554508505513,58.031327827197636,-25.895782742142508,-0.5910202586502685,0.0
0.8,5.6,4.0,33.508467527113,58.031327827197636,-24.522860300084638,-0.5491848307822653,0.0
0.825,5.6,4.0,34.940045144520056,58.031327827197636,-23.09128268267758,-0.5073494029142627,0.0
0.85,5.6,4.0,36.43278385420934,58.031327827197636,-21.598543972988296,-0.46551397504625924,0.0
0.875,5.6,4.0,37.989296633055886,58.031327827197636,-20.04203119414175,-0.423678547178256,0.0
0.9,5.6,4.0,39.61230809178394,58.031327827197636,-18.4190197354137,-0.38184311931025244,0.0
0.65,6.4,0.2,40.15600303390536,59.87715710517649,-19.72115407127113,-0.39952313750866786,0.0
0.675,6.4,0.2,42.70674689431556,59.87715710517649,-17.17041021086093,-0.3379381672454818,0.0
0.7,6.4,0.2,45.41951619923839,59.87715710517649,-14.4576409059381,-0.27635319698229666,0.0
0.725,6.4,0.2,48.30460294430584,59.87715710517649,-11.572554160870645,-0.21476822671911067,0.0
0.75,6.4,0.2,51.37295288156694,59.87715710517649,-8.504204223609548,-0.1531832564559251,0.0
0.775,6.4,0.2,54.63620704665797,59.87715710517649,-5.240950058518514,-0.09159828619273878,0.0
0.8,6.4,0.2,58.10674592381397,59.87715710517649,-1.770411181362519,-0.030013315929553173,0.0
0.825,6.4,0.2,61.79773641628003,59.87715710517649,1.9205793111035447,0.03157165433363246,0.0
0.85,6.4,0.2,65.72318180032335,59.87715710517649,5.846024695146859,0.09315662459681817,0.0
0.875,6.4,0.2,69.89797485236716,59.87715710517649,10.02081774719067,0.15474159486000413,0.0
0.9,6.4,0.2,74.33795435080584,59.87715710517649,14.460797245629358,0.21632656512319,0.0
0.65,6.4,0.6,40.1562538578956,59.87747789531799,-19.721224037422388,-0.39952224874602,0.0
0.675,6.4,0.6,42.70701093969019,59.87747789531799,-17.170466955627795,-0.33793734196588093,0.0
0.7,6.4,0.6,45.41979413361543,59.87747789531799,-14.457683761702555,-0.27635243518574126,0.0
0.725,6.4,0.6,48.304895466771626,59.87747789531799,-11.572582428546362,-0.21476752840560154,0.0
0.75,6.4,0.6,51.37326072398022,59.87747789531799,-8.504217171337764,-0.15318262162546217,0.0
0.775,6.4,0.6,54.63653097499265,59.87747789531799,-5.240946920325335,-0.09159771484532243,0.0
0.8,6.4,0.6,58.107086739540165,59.87747789531799,-1.7703911557778227,-0.030012808065182976,0.0
0.825,6.4,0.6,61.79809495778292,59.87747789531799,1.9206170624649346,0.031572098714956344,0.0
0.85,6.4,0.6,65.72355894435913,59.87747789531799,5.846081049041139,0.09315700549509613,0.0
0.875,6.4,0.6,69.89837151555484,59.87747789531799,10.020893620236855,0.1547419122752355,0.0
0.9,6.4,0.6,74.33837149115408,59.87747789531799,14.46089359583609,0.2163268190553755,0.0
0.65,6.4,1.0,40.15650467921334,59.8777986807895,-19.72129400157616,-0.3995213599822452,0.0
0.675,6.4,1.0,42.70727498218547,59.8777986807895,-17.170523698604036,-0.3379365166852326,0.0
0.7,6.4,1.0,45.42007206489105,59.8777986807895,-14.457726615898451,-0.2763516733882199,0.0
0.725,6.4,1.0,48.305187985897746,59.8777986807895,-11.572610694891758,-0.21476683009120714,0.0
0.75,6.4,1.0,51.37356856279829,59.8777986807895,-8.504230117991213,-0.15318198679419429,0.0
0.775,6.4,1.0,54.636854899457994,59.8777986807895,-5.240943781331509,-0.09159714349718165,0.0
0.8,6.4,1.0,58.107427551103044,59.8777986807895,-1.7703711296864597,-0.030012300200169078,0.0
0.825,6.4,1.0,61.798453494807305,59.8777986807895,1.9206548140178015,0.03157254309684372,0.0
0.85,6.4,1.0,65.72393608357845,59.8777986807895,5.846137402788948,0.09315738639385653,0.0
0.875,6.4,1.0,69.89876817356387,59.8777986807895,10.020969492774363,0.15474222969086887,0.0
0.9,6.4,1.0,74.33878862593541,59.8777986807895,14.460989945145904,0.21632707298788198,0.0
0.65,6.4,2.0,40.15713171923721,59.878600621788785,-19.72146890255157,-0.39951913806963135,0.0
0.675,6.4,2.0,42.70793507415306,59.878600621788785,-17.17066554763572,-0.33793445348066303,0.0
0.7,6.4,2.0,45.42076687773757,59.878600621788785,-14.457833744051214,-0.27634976889169405,0.0
0.725,6.4,2.0,48.30591926722166,59.878600621788785,-11.572681354567123,-0.21476508430272515,0.0
0.75,6.4,2.0,51.37433814212095,59.878600621788785,-8.504262479667837,-0.1531803997137562,0.0
0.775,6.4,2.0,54.63766469157985,59.878600621788785,-5.240935930208934,-0.09159571512478705,0.0
0.8,6.4,2.0,58.108279559555726,59.878600621788785,-1.7703210622330587,-0.030011030535818217,0.0
0.825,6.4,2.0,61.79934981540016,59.878600621788785,1.9207491936113783,0.03157365405315052,0.0
