combo_id,beta,omega,m,phase,center_D,width_D,eta_couple,improved_fraction_vs_lorentz_D21_guard,improved_fraction_vs_lorentz_D60_hotspot,improved_fraction_vs_mainline_D21_guard,improved_fraction_vs_mainline_D60_hotspot,mean_abs_improvement_vs_lorentz_D21_guard,mean_abs_improvement_vs_lorentz_D60_hotspot,mean_abs_improvement_vs_mainline_D21_guard,mean_abs_improvement_vs_mainline_D60_hotspot,p95_abs_delta_cf_D21_guard,p95_abs_delta_cf_D60_hotspot,p95_abs_delta_lorentz_D21_guard,p95_abs_delta_lorentz_D60_hotspot,p95_abs_delta_mainline_D21_guard,p95_abs_delta_mainline_D60_hotspot,joint_objective_vs_mainline,d60_mainline_gain,d21_mainline_gain,beats_mainline_both,beats_lorentz_both
6615,0.4,1.0,12.0,0.8853981633974483,6.1,0.03,0.3,0.3333333333333333,0.8,0.6666666666666666,0.19047619047619047,-0.4060615896996267,0.6131095770129588,0.21907707810981597,-0.4228424747073068,1.5745031411274082,33.54693176783669,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54693176783669,-2.2610016466294987,0.5277139139227247,0.0,0.0
1142,0.4,0.7,10.0,0.6853981633974483,6.1,0.03,0.15,0.3333333333333333,0.8,0.6666666666666666,0.2,-0.050493098682722,1.3724302572174392,0.5746455691267206,0.33647820549717367,0.7970357455965303,33.54693797124696,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54693797124696,-2.2610078500397712,1.3051813094536024,0.0,0.0
4269,0.4,0.9,8.0,0.8853981633974483,6.1,0.07,0.3,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.14969580038468422,1.3579590129930275,0.4754428674247584,0.3220069612727618,1.0712974318357955,33.5469806696988,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.5469806696988,-2.261050548491607,1.0309196232143374,0.0,0.0
4221,0.4,0.9,8.0,0.7853981633974483,6.1,0.07,0.3,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.16048738108222704,1.3890865633233964,0.4646512867272156,0.353134511603131,1.1260351777666688,33.54699054324293,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54699054324293,-2.2610604220357367,0.9761818772834641,0.0,0.0
7958,0.4,1.1,10.0,0.8853981633974483,6.1,0.03,0.15,0.3333333333333333,0.8,0.6666666666666666,0.2,-0.12198126915588133,0.9186082807916794,0.5031573986535613,-0.1173437709285862,0.8122382165134887,33.54700580051415,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54700580051415,-2.261075679306959,1.2899788385366442,0.0,0.0
2685,0.4,0.8,8.0,1.1353981633974484,6.1,0.07,0.3,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.11271820237684806,1.342833607572201,0.5124204654325946,0.30688155585193544,0.8640208409368015,33.547020370165484,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547020370165484,-2.2610902489582934,1.2381962141133314,0.0,0.0
1139,0.4,0.7,10.0,0.6853981633974483,6.0,0.1,0.15,0.2845528455284553,1.0,0.6666666666666666,0.4,-0.17053118369599646,1.3075095570935138,0.4546074841134462,0.2715575053732483,1.0239333449575405,33.54704713431703,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54704713431703,-2.2611170131098426,1.0782837100925924,0.0,0.0
5792,0.4,1.0,8.0,0.5853981633974483,6.0,0.07,0.15,0.3333333333333333,1.0,0.6666666666666666,0.2,-0.11093238648857727,0.5244978409870386,0.5142062813208654,-0.5114542107332268,0.8723194807022634,33.54710532665607,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54710532665607,-2.2611752054488825,1.2298975743478695,0.0,0.0
6608,0.4,1.0,12.0,0.8853981633974483,6.0,0.07,0.15,0.2601626016260163,0.8,0.6666666666666666,0.0,-0.25359082045645215,-0.08580372913204981,0.37154784735299046,-1.1217557808523155,1.271606670517074,33.547119524884444,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.547119524884444,-2.2611894036772533,0.8306103845330588,0.0,0.0
5128,0.4,1.0,4.0,0.5853981633974483,6.1,0.05,0.0,0.3333333333333333,0.8,0.6666666666666666,0.2,-0.08316341303643833,0.6259485209073393,0.5419752547730042,-0.4100035308129263,0.7970357455965303,33.54712977742781,0.7970357455965303,33.56289025402462,2.102217055050133,31.28593012120719,33.54712977742781,-2.2611996562206222,1.3051813094536024,0.0,0.0
