r,sigma_eff,sigma_plummer_fit
1.5309568480300189,0.00677360848053261,0.006445033360339979
1.5359599749843653,0.006709715212803728,0.006352793859992192
1.5409631019387118,0.006646616979203007,0.00626209998731248
1.5459662288930582,0.0065843015430740925,0.0061729222985490795
1.5509693558474047,0.0065227568914378265,0.006085231973398686
1.5559724828017512,0.006461971230270783,0.00599900080060224
1.5609756097560976,0.0064019329798965735,0.005914201163897949
1.565978736710444,0.006342630770486876,0.005830806028322104
1.5709818636647905,0.00628405343766932,0.005748788926848704
1.575984990619137,0.006226190018239369,0.005668123947358896
1.5809881175734835,0.006169029745973485,0.005588785719931728
1.58599124452783,0.006112562047540876,0.0055107494044477874
1.5909943714821764,0.006056776538511286,0.0054339906784975816
1.5959974984365228,0.0060016630194562595,0.00535848572558672
1.6010006253908693,0.0059472114721414995,0.005284211223630201
1.6060037523452158,0.0058934120558079076,0.00521114433372829
1.6110068792995622,0.005840255103539015,0.0051392626892166615
1.6160100062539087,0.005787731118712577,0.005068544384983733
1.6210131332082551,0.005735830771534157,0.004998967967048259
1.6260162601626016,0.005684544895650564,0.0049305124223904505
1.631019387116948,0.005633864484841144,0.00486315716903009
1.6360225140712945,0.005583780689784878,0.004796882046345265
1.641025641025641,0.005534284814901379,0.004731667305625516
1.6460287679799874,0.00548536831526391,0.004667493600853376
1.6510318949343339,0.005437022793582572,0.0046043419797084486
1.6560350218886803,0.005389239997255899,0.004542193874788257
1.6610381488430268,0.005342011815489137,0.004481031095040393
1.6660412757973733,0.00529533027647749,0.004420835817400475
1.6710444027517197,0.005249187544652768,0.004361590578630721
1.6760475297060662,0.005203575917991763,0.00430327826735395
1.6810506566604126,0.005158487825384877,0.004245882116278084
1.6860537836147593,0.005113915824063469,0.004189385694606276
1.6910569105691058,0.005069852597084462,0.004133772900627927
1.6960600375234522,0.005026290950870788,0.004079027954486033
1.7010631644777987,0.004983223812806293,0.00402513539111634
1.7060662914321452,0.004940644228883769,0.003972080053354017
1.7110694183864916,0.0048985453614047774,0.003919847085203564
1.716072545340838,0.00485692048673001,0.0038684219252678336
1.7210756722951845,0.004815762993078948,0.003817790300332156
1.726078799249531,0.004775066378377618,0.0037679382190996965
1.7310819262038775,0.004734824248153247,0.003718851966074163
1.736085053158224,0.0046950303134747256,0.003670518095586249
1.7410881801125704,0.004655678388937711,0.0036229234259601297
1.7460913070669168,0.0046167623906933275,0.003576055033816547
1.7510944340212633,0.004578276334519417,0.0035299002485090617
1.7560975609756098,0.004540214333933268,0.003484446646690125
1.7611006879299562,0.004502570598344895,0.0034396820470037463
1.7661038148843027,0.0044653394312498375,0.0033955945049015984
1.7711069418386491,0.004428515228460574,0.0033521723075794992
1.7761100687929956,0.004392092476375607,0.0033094039690312583
1.781113195747342,0.00435606575028533,0.0032672782252169924
1.7861163227016885,0.004320429712713824,0.0032257840293430763
1.791119449656035,0.004285179111795696,0.003184910547250954
1.7961225766103814,0.004250308779687163,0.0031446471529121335
1.801125703564728,0.00421581363101057,0.0031049834240267425
1.8061288305190744,0.004181688661331538,0.0030659091377230933
1.8111319574734208,0.004147928945668009,0.003027414266355775
1.8161350844277673,0.004114529637030418,0.002989488973399848
