i,j,k,obs_triangle_defect_abs,recon_triangle_defect_abs,mixed_triangle_defect_abs,channel
4,10,12,1.249000902703301e-16,2.7755575615628914e-17,1.5265566588595902e-16,phi
4,10,13,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,phi
4,10,15,0.0,0.0,0.0,phi
4,10,16,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
4,12,13,1.1102230246251565e-16,2.220446049250313e-16,3.191891195797325e-16,phi
4,12,15,1.1102230246251565e-16,0.0,1.249000902703301e-16,phi
4,12,16,0.0,4.440892098500626e-16,2.3592239273284576e-16,phi
4,13,15,0.0,1.1102230246251565e-16,1.3877787807814457e-16,phi
4,13,16,0.0,0.0,3.3306690738754696e-16,phi
4,15,16,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
6,7,9,0.0,2.220446049250313e-16,1.1102230246251565e-16,phi
6,7,10,1.5265566588595902e-16,3.3306690738754696e-16,1.8041124150158794e-16,phi
6,7,12,1.6653345369377348e-16,3.3306690738754696e-16,1.6653345369377348e-16,phi
6,7,13,0.0,3.3306690738754696e-16,3.3306690738754696e-16,phi
6,7,15,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
6,7,16,0.0,4.440892098500626e-16,3.885780586188048e-16,phi
6,9,10,6.938893903907228e-17,1.1102230246251565e-16,1.8041124150158794e-16,phi
6,9,12,5.551115123125783e-17,1.1102230246251565e-16,1.6653345369377348e-16,phi
6,9,13,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,phi
6,9,15,1.1102230246251565e-16,1.1102230246251565e-16,1.6653345369377348e-16,phi
6,9,16,0.0,4.440892098500626e-16,1.1102230246251565e-16,phi
6,10,12,5.551115123125783e-17,1.1102230246251565e-16,4.163336342344337e-17,phi
6,10,13,1.1102230246251565e-16,1.1102230246251565e-16,4.163336342344337e-17,phi
6,10,15,1.1102230246251565e-16,1.1102230246251565e-16,2.636779683484747e-16,phi
6,10,16,0.0,0.0,2.636779683484747e-16,phi
6,12,13,1.1102230246251565e-16,0.0,5.551115123125783e-17,phi
6,12,15,1.1102230246251565e-16,0.0,5.551115123125783e-17,phi
6,12,16,0.0,0.0,2.7755575615628914e-16,phi
6,13,15,1.1102230246251565e-16,1.1102230246251565e-16,1.942890293094024e-16,phi
6,13,16,0.0,4.440892098500626e-16,4.440892098500626e-16,phi
6,15,16,0.0,0.0,0.0,phi
7,9,10,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,phi
7,9,12,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,phi
7,9,13,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,phi
7,9,15,1.1102230246251565e-16,2.220446049250313e-16,1.6653345369377348e-16,phi
7,9,16,1.1102230246251565e-16,5.551115123125783e-17,1.6653345369377348e-16,phi
7,10,12,0.0,0.0,5.551115123125783e-17,phi
7,10,13,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,phi
7,10,15,0.0,0.0,0.0,phi
7,10,16,0.0,5.551115123125783e-17,5.551115123125783e-17,phi
7,12,13,1.1102230246251565e-16,0.0,1.1102230246251565e-16,phi
7,12,15,2.220446049250313e-16,1.1102230246251565e-16,3.3306690738754696e-16,phi
7,12,16,0.0,5.551115123125783e-17,5.551115123125783e-17,phi
7,13,15,1.1102230246251565e-16,0.0,8.326672684688674e-17,phi
