D,eta,coeff_l1,coeff_l2,parent_kernel_k_part,parent_kernel_g_schur,parent_kernel_s_part,parent_kernel_s_schur,parent_kernel_response_action,parent_kernel_response_weight,parent_kernel_cross_xi,parent_kernel_coeff_share,parent_kernel_tree_share,eymh_parented_prefactor_diag
8.8,0.96,0.4659139786146119,0.3128373896455267,1.4893167953566386,1.6407998223189195,0.398317488195615,0.49518381948672974,0.8935013076823448,0.6397033959747271,0.12831275149409527,0.44579396221457324,0.5542060377854267,0.0457081664762049
9.6,0.96,0.4654103916929098,0.3110229149002349,1.4963861805558503,1.7998543922778496,0.40305298832213854,0.5877057684511169,0.9907587567732554,0.6093396931305658,0.1474176742532588,0.40681244103743114,0.5931875589625689,0.041139381072228
10.4,0.96,0.4844721659189021,0.3229405197065204,1.5001900856516157,1.7700606350624493,0.40559182384712983,0.5710138030964058,0.9766056269435357,0.6136670182642618,0.14505261666283095,0.4153076868054743,0.5846923131945256,0.0443592616142651
11.2,0.96,0.5036498102811295,0.3353439264583454,1.5018903595490949,1.7268562088186283,0.4067245543720537,0.5463025350257001,0.9530270893977538,0.6209445175878628,0.14065751881204097,0.4267712417587994,0.5732287582412007,0.0459252715600724
12.0,0.96,0.5221458797888384,0.3475023405588132,1.5025679509069885,1.662124737896162,0.4071756116338726,0.508096746502707,0.9152723581365796,0.6327776520883709,0.13324068885851337,0.44486824934039215,0.5551317506596078,0.0457444387436584
12.8,0.96,0.4340749234581026,0.2840874118309545,1.5279625403338808,1.7104687754784862,0.42393517495552135,0.5367674706524103,0.9607026456079316,0.6185660372729217,0.14352258500110135,0.44127616062434766,0.5587238393756524,0.0392926591888531
13.6,0.96,0.4287114397942616,0.2799012259607951,1.5316525975284934,1.6115367722492895,0.42634728158820895,0.4771882406597963,0.9035355222480053,0.6365019730643766,0.13171948536529038,0.4718655449510748,0.5281344550489252,0.0396209321162301
14.4,0.96,0.4446123313224836,0.2908175904788945,1.5288357578038267,1.5817833876253662,0.42450650312868254,0.45855293685139853,0.8830594399800811,0.6430519788479493,0.12722553532756578,0.4807224563934881,0.5192775436065119,0.0396853396081698
15.2,0.96,0.4601641690336159,0.3015414531580154,1.526039502079597,1.6483738203980471,0.4226758185557972,0.4997892385304232,0.9224650570862204,0.6305060496979936,0.13558834035267453,0.4582025251892992,0.5417974748107008,0.0417233426671605
16.0,0.96,0.4756946960596452,0.312298204546419,1.523206631144559,1.5948900244413273,0.42081773847547643,0.46680478366610884,0.8876225221415852,0.6415865017499529,0.12812101266373432,0.47409538173970706,0.525904618260293,0.0434992485240455
16.8,0.96,0.4914648746662304,0.3233960810855746,1.5196995369161035,1.5708544933662565,0.41851264223677553,0.45161973459328025,0.8701323768300557,0.6472218270733888,0.12427508358902123,0.48097583009316597,0.5190241699068341,0.0429892169332644
17.6,0.96,0.4410367983505292,0.2876304861315658,1.53334510636259,1.5353027450111023,0.42745169286002216,0.42872758961253354,0.8561792824725557,0.6517529882364431,0.12127571595302504,0.4992548892628967,0.5007451107371033,0.0407600933091185
18.4,0.96,0.4179237790947546,0.2712877898789954,1.5405182049703174,1.4272097161359025,0.43211885655718146,0.3557212906510839,0.7878401472082653,0.6744079570837193,0.10502599838694987,0.5484854485880255,0.4515145514119745,0.0395745521139277
19.200000000000003,0.96,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0580670617382019
20.0,0.96,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0622911350603241
4.0,1.15,0.5380514218296297,0.3850149370108706,1.3974819418874604,1.8391888097966318,0.3346720042373057,0.609324610170722,0.9439966144080277,0.6237545688060888,0.12977904273177127,0.3545266997034472,0.6454733002965528,0.0433245034859134
4.8,1.15,0.5497836083569774,0.3965162197627721,1.3865349787857408,1.772276918562963,0.3268078138735686,0.5722651145573533,0.8990729284309219,0.6379237835999865,0.12147850656273806,0.3634942211461304,0.6365057788538696,0.0392197611780555
5.6,1.15,0.5468277902087512,0.3979730765235719,1.37403212042753,2.062328497621351,0.3177495708395254,0.7238356831008884,1.0415852539404138,0.5940495016561989,0.1402209815838118,0.3050634306096877,0.6949365693903123,0.044896734179811
6.4,1.15,0.5249815567765913,0.3726552849600859,1.4087591883550523,1.8684107688737859,0.3427093086966672,0.6250882133167385,0.9677975220134056,0.6163755999989134,0.1348601396559806,0.3541126122990012,0.6458873877009988,0.0493701274067632
7.2,1.15,0.5085809238493166,0.3470601010143223,1.4653972679744274,1.3844354101634053,0.3821263783871553,0.3252924104376427,0.707418788824798,0.7020789657828106,0.08818995817451757,0.5401699593277188,0.45983004067228106,0.0543924286917839
8.0,1.15,0.5340456115679116,0.3605063281259025,1.4813765249119362,1.3511645637257117,0.3929717399154901,0.30096686038729076,0.6939386003027809,0.7068270274074021,0.08445432340458024,0.5662918012400922,0.4337081987599079,0.0579949942686409
8.8,1.15,0.4659139785999588,0.3128373895519315,1.4893167957553755,1.6407998215269817,0.3983174884633464,0.4951838190040762,0.8935013074674226,0.6397033960434704,0.12831275146765622,0.4457939626214472,0.5542060373785528,0.0457081664811168
9.6,1.15,0.4654103916376015,0.3110229148210471,1.4963861807590098,1.7998543923574037,0.40305298845790527,0.5877057684953172,0.9907587569532225,0.6093396930757352,0.14741767430172545,0.4068124411005685,0.5931875588994315,0.0411393810685261
10.4,1.15,0.4844721658897742,0.3229405194508326,1.5001900867491937,1.7700606330491135,0.4055918245787558,0.5710138019589669,0.9766056265377228,0.6136670183887788,0.14505261666074493,0.4153076877272008,0.5846923122727992,0.0443592616232658
11.2,1.15,0.5036498114394391,0.3353439274195839,1.5018903586981316,1.7268562194800676,0.40672455380545885,0.5463025411996011,0.9530270950050599,0.6209445158469498,0.1406575198479916,0.4267712386532929,0.5732287613467072,0.0459252714313139
12.0,1.15,0.5221458624448468,0.3475023248995926,1.5025679687055786,1.6621246148665483,0.4071756234793203,0.5080966724832212,0.9152722959625414,0.6327776717595422,0.13324067710388499,0.44486829250208665,0.5551317074979134,0.0457444401657166
12.8,1.15,0.4340745255628638,0.2840868233849967,1.527964304682314,1.710464103636058,0.4239363296614568,0.5367647393258433,0.9607010689873001,0.618566524895102,0.14352234713864306,0.44127808675006375,0.5587219132499363,0.0392926901636739
13.6,1.15,0.42871233344882,0.2799023406411726,1.5316496906269814,1.6115413987695126,0.42634538370074077,0.47719111153042226,0.9035364952311631,0.6365016634116022,0.13171963351055738,0.47186293630747417,0.5281370636925258,0.039620912840985
14.4,1.15,0.4446077459097098,0.2908114864547793,1.5288520798467347,1.5817730395750909,0.42451717919751275,0.4585463948152354,0.8830635740127482,0.6430506496503794,0.12722667306784186,0.48073229571508097,0.519267704284919,0.0396852575780094
