mode,D,eta,mu,base_mu,delta_mu,delta_log_mu,acceptance_mismatch
full_direct,6.169491525423728,0.2,75.88654558073985,75.88654558073985,0.0,0.0,0.0
base_mode,6.169491525423728,0.2,101.71633542700854,75.88654558073985,25.829789846268696,0.2929485102112658,0.0
refamp2_mode,6.169491525423728,0.2,91.74065592991506,75.88654558073985,15.854110349175215,0.18972623541025338,0.0
full_direct,6.169491525423728,0.39,75.88706648740957,75.88706648740957,0.0,0.0,0.0
base_mode,6.169491525423728,0.39,101.71989748142038,75.88706648740957,25.832830994010806,0.29297666483154994,0.0
refamp2_mode,6.169491525423728,0.39,91.74386864109687,75.88706648740957,15.856802153687298,0.18975439003053735,0.0
full_direct,6.169491525423728,0.5800000000000001,75.88758738947415,75.88758738947415,0.0,0.0,0.0
base_mode,6.169491525423728,0.5800000000000001,101.72345980128574,75.88758738947415,25.835872411811593,0.29300482094291713,0.0
refamp2_mode,6.169491525423728,0.5800000000000001,91.74708159169825,75.88758738947415,15.859494202224099,0.18978254614190465,0.0
full_direct,6.169491525423728,0.77,75.88810828669197,75.88810828669197,0.0,0.0,0.0
base_mode,6.169491525423728,0.77,101.7270217410295,75.88810828669197,25.83891345433753,0.29303297220220925,0.0
refamp2_mode,6.169491525423728,0.77,91.75029419945788,75.88810828669197,15.86218591276591,0.18981069740119647,0.0
full_direct,6.169491525423728,0.96,75.88862917944205,75.88862917944205,0.0,0.0,0.0
base_mode,6.169491525423728,0.96,101.73058387038765,75.88862917944205,25.8419546909456,0.29306112420534786,0.0
refamp2_mode,6.169491525423728,0.96,91.75350697823578,75.88862917944205,15.864877798793728,0.1898388494043354,0.0
full_direct,6.169491525423728,1.15,75.88915006749276,75.88915006749276,0.0,0.0,0.0
base_mode,6.169491525423728,1.15,101.73414526849275,75.88915006749276,25.84499520099999,0.29308926790356876,0.0
refamp2_mode,6.169491525423728,1.15,91.75671909747716,75.88915006749276,15.867569029984395,0.18986699310255611,0.0
full_direct,6.169491525423728,1.34,75.88967095098562,75.88967095098562,0.0,0.0,0.0
base_mode,6.169491525423728,1.34,101.7377066662021,75.88967095098562,25.848035715216483,0.2931174104795869,0.0
refamp2_mode,6.169491525423728,1.34,91.75993121636162,75.88967095098562,15.870260265376004,0.18989513567857427,0.0
full_direct,6.169491525423728,1.53,75.89019182979206,75.89019182979206,0.0,0.0,0.0
base_mode,6.169491525423728,1.53,101.74126832919266,75.89019182979206,25.851076499400605,0.2931455545464802,0.0
