combo_id,mode,kappa,center_D,width_D,power,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_cf,slice_max_abs_delta_base,slice_max_abs_delta_cf,slice_mean_abs_improvement,slice_improved_fraction,slice_worsened_fraction,slice_p95_abs_cf_shift_vs_base
50,gamma_ref_suppress,0.05,6.1,0.2,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,40.17979886587501,31.28639526077564,40.179912286699384,-8.893277352871465,0.0,1.0,8.893493058437187
50,gamma_ref_suppress,0.05,6.1,0.2,0.5,D60_hotspot,6.711864406779661,7.462467784829663,11.315495236445415,7.462495924022775,11.31552980792356,-3.8529695608851733,0.0,1.0,3.853027451615752
50,gamma_ref_suppress,0.05,6.1,0.2,0.5,D21_guard,4.0,0.9136772062233662,0.9136710682666731,0.9244091557317824,0.9244029355066536,5.446356190746011e-06,1.0,0.0,6.137956693130775e-06
50,gamma_ref_suppress,0.05,6.1,0.2,0.5,D21_guard,6.4,2.1022273869561374,4.1929131984795305,2.102232425909044,4.192935397196507,-2.090531454115814,0.0,1.0,6.295049863701237
50,gamma_ref_suppress,0.05,6.1,0.2,0.5,D21_guard,8.0,0.3226590996076344,0.018577464291844148,0.32265909973791107,0.01857746434012819,0.3040816322079967,1.0,0.0,0.30408163564239876
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D60_hotspot,4.813559322033898,8.950884564633627,8.98088503333002,8.958857939127418,8.988884585323243,-0.02976602776614695,0.0,1.0,0.030000468696393057
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D60_hotspot,5.627118644067797,10.271915904250342,11.473635372135412,10.272608773798765,11.474390045243972,-1.201163452457927,0.0,1.0,1.20171946788507
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D60_hotspot,6.169491525423728,25.887561191706766,33.18655646788174,25.89060277919198,33.18985351777509,-7.296696803944428,0.0,1.0,7.298995276174978
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D60_hotspot,6.4406779661016955,31.28630580743782,39.197426662548374,31.28639526077564,39.19753743593238,-7.9109289763078845,0.0,1.0,7.911120855110553
51,gamma_ref_suppress,0.05,6.1,0.3,0.5,D60_hotspot,6.711864406779661,7.462467784829663,11.015398475355504,7.462495924022775,11.015432545848924,-3.5528773086706797,0.0,1.0,3.552930690525841
