i,j,delta_obs,delta_sys,delta_spec,delta_recon,cocycle_residual_abs,channel
3,7,-2.485558055116668,-2.5229356196414066,0.037377564524739025,-2.4855580551166674,2.983724378680108e-16,phi
3,9,-1.9087901305605524,-1.9355442285577078,0.02675409799715537,-1.9087901305605524,7.632783294297951e-17,phi
3,10,-0.7543140245256673,-0.753586196631091,-0.0007278278945762691,-0.7543140245256673,8.456776945386935e-18,phi
3,12,-0.9355519690949569,-0.9280359103207793,-0.00751605877417741,-0.9355519690949566,1.93421667571414e-16,phi
3,13,-1.563548389958954,-1.574461848975155,0.010913459016201084,-1.563548389958954,8.500145032286355e-17,phi
3,15,-1.6179836162958243,-1.622023901729308,0.0040402854334834724,-1.6179836162958245,3.0878077872387166e-16,phi
3,16,-2.878255900892459,-2.898668781955445,0.020412881062985853,-2.878255900892459,1.457167719820518e-16,phi
4,6,0.21163569651565045,0.22271450471749699,-0.011078808201847111,0.21163569651564987,5.759281940243e-16,phi
4,7,-1.6219796076276338,-1.6331231750032698,0.011143567375635483,-1.6219796076276343,4.49293380277993e-16,phi
4,9,-1.0452116830715186,-1.045731783919571,0.0005201008480517108,-1.0452116830715192,7.186091999233923e-16,phi
4,10,0.10926442296336666,0.1362262480070457,-0.026961825043679923,0.10926442296336578,8.951173136040325e-16,phi
4,12,-0.07197352160592298,-0.03822346568264237,-0.03375005592328106,-0.07197352160592344,4.510281037539698e-16,phi
4,13,-0.6999699424699201,-0.6846494043370183,-0.01532053813290254,-0.6999699424699208,7.441963711940502e-16,phi
4,15,-0.7544051688067905,-0.7322114570911712,-0.022193711715620196,-0.7544051688067914,8.500145032286355e-16,phi
4,16,-2.0146774534034253,-2.008856337317308,-0.005821116086117881,-2.0146774534034257,6.418476861114186e-16,phi
6,7,-1.8336153041432843,-1.8558376797207667,0.02222237557748259,-1.833615304143284,1.7694179454963432e-16,phi
6,9,-1.2568473795871689,-1.268446288637068,0.01159890904989891,-1.256847379587169,2.203098814490545e-16,phi
6,10,-0.10237127355228386,-0.08648825671045127,-0.015883016841832773,-0.10237127355228404,1.8388068845354155e-16,phi
6,12,-0.2836092181215734,-0.26093797040013944,-0.022671247721433915,-0.28360921812157336,5.898059818321144e-17,phi
6,13,-0.9116056389855706,-0.9073639090545151,-0.004241729931055407,-0.9116056389855706,1.9949319973733282e-17,phi
6,15,-0.9660408653224409,-0.9549259618086683,-0.011114903513773117,-0.9660408653224414,4.718447854656915e-16,phi
6,16,-2.2263131499190756,-2.231570842034805,0.00525769211572915,-2.226313149919076,3.122502256758253e-16,phi
7,9,0.5767679245561155,0.5873913910836989,-0.010623466527583687,0.5767679245561151,2.949029909160572e-16,phi
7,10,1.7312440305910006,1.7693494230103157,-0.03810539241931534,1.7312440305910004,2.42861286636753e-16,phi
7,12,1.550006086021711,1.5948997093206274,-0.0448936232989164,1.550006086021711,6.938893903907228e-17,phi
7,13,0.9220096651577138,0.9484737706662517,-0.02646410550853786,0.9220096651577139,9.020562075079397e-17,phi
7,15,0.8675744388208434,0.9009117179120987,-0.03333727909125555,0.8675744388208432,2.706168622523819e-16,phi
7,16,-0.39269784577579125,-0.37573316231403825,-0.016964683461753307,-0.39269784577579153,3.0184188481996443e-16,phi
9,10,1.154476106034885,1.1819580319266167,-0.027481925891731675,1.1544761060348852,1.4224732503009818e-16,phi
9,12,0.9732381614655954,1.0075083182369287,-0.034270156771332785,0.9732381614655958,4.85722573273506e-16,phi
9,13,0.34524174060159846,0.36108237958255274,-0.015840638980954183,0.34524174060159857,9.71445146547012e-17,phi
9,15,0.29080651426472787,0.3135203268283997,-0.0227138125636719,0.2908065142647278,6.938893903907228e-17,phi
9,16,-0.9694657703319066,-0.9631245533977372,-0.006341216934169534,-0.9694657703319067,8.673617379884035e-17,phi
10,12,-0.18123794456928952,-0.1744497136896881,-0.006788230879601153,-0.18123794456928924,2.723515857283587e-16,phi
10,13,-0.8092343654332866,-0.8208756523440639,0.011641286910777463,-0.8092343654332864,2.0296264668928643e-16,phi
10,15,-0.8636695917701572,-0.8684377050982169,0.0047681133280596776,-0.8636695917701572,3.122502256758253e-17,phi
10,16,-2.123941876366792,-2.145082585324354,0.021140708957562034,-2.123941876366792,1.0755285551056204e-16,phi
12,13,-0.6279964208639972,-0.6464259386543757,0.01842951779037847,-0.6279964208639972,2.0816681711721685e-17,phi
12,15,-0.6824316472008675,-0.6939879914085287,0.01155634420766076,-0.682431647200868,5.134781488891349e-16,phi
12,16,-1.9427039317975023,-1.9706328716346657,0.027928939837163227,-1.9427039317975026,1.5265566588595902e-16,phi
13,15,-0.054435226336870444,-0.04756205275415301,-0.006873173582717683,-0.054435226336870694,2.498001805406602e-16,phi
13,16,-1.3147075109335051,-1.32420693298029,0.009499422046784686,-1.3147075109335051,9.194034422677078e-17,phi
15,16,-1.2602722845966348,-1.276644880226137,0.016372595629502284,-1.2602722845966348,6.591949208711867e-17,phi
0,1,0.6459737425443773,0.6855523172789577,-0.03957857473433135,0.6459737425446264,2.490230244234226e-13,mix
0,2,-3.4353457750795555,-3.434516330563244,-0.0008294445159028093,-3.4353457750791465,4.0891877557680534e-13,mix
0,3,0.4659772632896724,0.5030727239617782,-0.03709546067207098,0.4659772632897072,3.47499806707674e-14,mix
0,4,-0.7733673636953146,-0.7709696195857132,-0.002397744109392088,-0.7733673636951053,2.0927487173749704e-13,mix
0,5,-1.581371442951573,-1.608818724410976,0.027447281459235945,-1.58137144295174,1.6694978732800791e-13,mix
0,6,-0.39344267383381915,-0.38825505402546684,-0.005187619808336827,-0.39344267383380366,1.547893757614105e-14,mix
0,7,-5.006146933680628,-5.028556012646783,0.022409078966552212,-5.006146933680231,3.971406536962263e-13,mix
0,8,-0.36770192472969987,-0.3605172514095892,-0.007184673319869081,-0.3677019247294583,2.4160968364883573e-13,mix
0,9,-2.123096424517278,-2.1402264757045364,0.017130051186803493,-2.123096424517733,4.548063314846473e-13,mix
0,10,-0.5067271908459009,-0.49749788488013696,-0.009229305965482694,-0.5067271908456197,2.8124030881926387e-13,mix
0,11,-1.4550359114633302,-1.4680652958172422,0.013029384353489316,-1.455035911463753,4.2267231381565296e-13,mix
0,12,-0.7435517616336313,-0.7316527717072016,-0.011898989926557857,-0.7435517616337595,1.280642258905118e-13,mix
0,13,-1.2586092588118647,-1.2678989971855419,0.00928973837403358,-1.2586092588115083,3.5638852979857916e-13,mix
0,14,-3.5331306203793758,-3.5614859904793135,0.028355370100331328,-3.5331306203789823,3.936122261460895e-13,mix
0,15,-1.2982539481327193,-1.3035657800353029,0.005311831902267502,-1.2982539481330353,3.1605013744995247e-13,mix
0,16,-2.524800397047149,-2.5484879577577937,0.02368756071046017,-2.5248003970473336,1.846474362299233e-13,mix
1,2,-4.081319517623933,-4.120068647842201,0.038749130218428636,-4.081319517623772,1.603231436497765e-13,mix
1,3,-0.179996479254705,-0.18247959331717958,0.0024831140622603902,-0.17999647925491918,2.141993180049262e-13,mix
1,4,-1.419341106239692,-1.456521936864671,0.03718083062493938,-1.4193411062397314,3.962802308521418e-14,mix
1,5,-2.2273451854959503,-2.2943710416899337,0.06702585619356723,-2.2273451854963664,4.161532229929321e-13,mix
1,6,-1.0394164163781965,-1.0738073713044245,0.034390954925994574,-1.0394164163784299,2.33438268715247e-13,mix
1,7,-5.652120676225005,-5.7141083299257405,0.06198765370088363,-5.652120676224857,1.4807599590938025e-13,mix
1,8,-1.0136756672740772,-1.0460695686885468,0.03239390141446238,-1.0136756672740845,7.251144129583054e-15,mix
1,9,-2.7690701670616558,-2.825778792983494,0.05670862592113487,-2.769070167062359,7.034720028720187e-13,mix
1,10,-1.1527009333902782,-1.1830502021590947,0.030349268768848716,-1.152700933390246,3.2220753842793215e-14,mix
1,11,-2.1010096540077075,-2.1536176130961997,0.052607959087820615,-2.101009654008379,6.716363576408924e-13,mix
1,12,-1.3895255041780088,-1.4172050889861592,0.027679584807773504,-1.3895255041783856,3.7685479736815353e-13,mix
1,13,-1.9045830013562421,-1.9534513144644996,0.04886831310836494,-1.9045830013561347,1.0748346657152297e-13,mix
1,14,-4.179104362923753,-4.247038307758271,0.06793394483466281,-4.179104362923608,1.4460654895742664e-13,mix
1,15,-1.9442276906770968,-1.9891180973142606,0.04489040663659892,-1.9442276906776617,5.648953527170875e-13,mix
1,16,-3.1707741395915265,-3.2340402750367514,0.0632661354447916,-3.17077413959196,4.3326453535996734e-13,mix
2,3,3.901323038369228,3.937589054525022,-0.03626601615616808,3.901323038368854,3.7413128151086994e-13,mix
2,4,2.661978411384241,2.6635467109775304,-0.0015682995934892677,2.661978411384041,1.9974386727961146e-13,mix
2,5,1.8539743321279822,1.8256976061522678,0.028276725975138653,1.8539743321274065,5.757477827827984e-13,mix
2,6,3.0419031012457363,3.0462612765377766,-0.00435817529243405,3.0419031012453424,3.9374926930069165e-13,mix
2,7,-1.5708011586010724,-1.5940396820835396,0.023238523482455163,-1.5708011586010844,1.2080614286702485e-14,mix
2,8,3.0676438503498558,3.0739990791536544,-0.006355228803966239,3.0676438503496883,1.6755433845938583e-13,mix
2,9,1.3122493505622772,1.2942898548587072,0.01795949570270643,1.3122493505614137,8.635973880455339e-13,mix
2,10,2.9286185842336545,2.9370184456831065,-0.008399861449579875,2.9286185842335266,1.2783524239168287e-13,mix
2,11,1.9803098636162253,1.9664510347460014,0.013858828869392171,1.9803098636153935,8.317669469848354e-13,mix
2,12,2.691794013445924,2.702863558856042,-0.011069545410655052,2.6917940134453873,5.370981437380351e-13,mix
2,13,2.176736516267691,2.1666173333777015,0.010119182889936488,2.176736516267638,5.287610627124906e-14,mix
2,14,-0.0977848452998201,-0.1269696599160698,0.02918481461623414,-0.09778484529983565,1.5553530685608052e-14,mix
2,15,2.137091826946836,2.1309505505279405,0.006141276418170232,2.1370918269461106,7.254925826760683e-13,mix
2,16,0.9105453780324064,0.8860283728054498,0.024517005226363013,0.9105453780318128,5.936431901609751e-13,mix
3,4,-1.239344626984987,-1.2740423435474912,0.0346977165626789,-1.2393446269848123,1.747005318186723e-13,mix
3,5,-2.0473487062412454,-2.111891448372754,0.06454274213130683,-2.047348706241447,2.0174140136219876e-13,mix
3,6,-0.8594199371234915,-0.891327777987245,0.031907840863734035,-0.8594199371235111,1.9498291869979312e-14,mix
3,7,-5.4721241969703005,-5.531628736608561,0.05950453963862316,-5.472124196969938,3.6241842860107454e-13,mix
3,8,-0.8336791880193722,-0.8635899753713673,0.029910787352201786,-0.8336791880191655,2.0674781331386782e-13,mix
3,9,-2.589073687806951,-2.6432991996663144,0.0542255118588745,-2.58907368780744,4.890254867717658e-13,mix
3,10,-0.9727044541355735,-1.000570608841915,0.027866154706588278,-0.9727044541353268,2.467054338595176e-13,mix
3,11,-1.9210131747530026,-1.9711380197790203,0.05012484502556016,-1.92101317475346,4.575020917663153e-13,mix
3,12,-1.209529024923304,-1.2347254956689797,0.025196470745513167,-1.2095290249234665,1.6260257029721004e-13,mix
3,13,-1.724586522101537,-1.77097172114732,0.04638519904610464,-1.7245865221012153,3.217773270058899e-13,mix
3,14,-3.999107883669048,-4.064558714441092,0.06545083077240237,-3.9991078836686897,3.585326480148865e-13,mix
3,15,-1.7642312114223917,-1.806638503997081,0.0424072925743384,-1.7642312114227425,3.5082353688764556e-13,mix
3,16,-2.9907776603368212,-3.051560681719572,0.060783021382531055,-2.990777660337041,2.1987967002701225e-13,mix
4,5,-0.8080040792562586,-0.8378491048252628,0.029845025568627954,-0.8080040792566348,3.761921330003304e-13,mix
4,6,0.37992468986149547,0.38271456556024636,-0.0027898756989448124,0.37992468986130157,1.9392473737944727e-13,mix
4,7,-4.232779569985313,-4.25758639306107,0.024806823075944243,-4.232779569985126,1.874750354957655e-13,mix
4,8,0.4056654389656147,0.410452368176124,-0.004786929210477021,0.405665438965647,3.230662265485407e-14,mix
4,9,-1.3497290608219639,-1.3692568561188232,0.019527795296195635,-1.3497290608226276,6.636947935678705e-13,mix
4,10,0.2666401728494136,0.27347173470557623,-0.006831561856090679,0.26664017284948555,7.194765616613807e-14,mix
4,11,-0.6816685477680157,-0.6970956762315291,0.01542712846288135,-0.6816685477686478,6.321124179642368e-13,mix
4,12,0.029815602061683086,0.03931684787851164,-0.009501245817165776,0.029815602061345862,3.372215701125114e-13,mix
4,13,-0.48524189511655014,-0.4969293775998288,0.011687482483425686,-0.48524189511640314,1.4701954931251038e-13,mix
4,14,-2.759763256684061,-2.7905163708936,0.03075311420972343,-2.759763256683877,1.8446355554146976e-13,mix
4,15,-0.5248865844374049,-0.5325961604495898,0.007709576011659516,-0.5248865844379302,5.253991686160475e-13,mix
4,16,-1.7514330333518344,-1.7775183381720807,0.026085304819852266,-1.7514330333522286,3.9402509033337196e-13,mix
5,6,1.187928769117754,1.220563670385509,-0.03263490126757271,1.1879287691179363,1.8221535391660382e-13,mix
5,7,-3.4247754907290546,-3.4197372882358072,-0.00503820249268363,-3.424775490728491,5.637487004994668e-13,mix
5,8,1.2136695182218733,1.2483014730013866,-0.034631954779105,1.2136695182222816,4.0830533398761304e-13,mix
5,9,-0.5417249815657053,-0.5314077512935607,-0.010317230272432388,-0.541724981565993,2.8779235938802827e-13,mix
5,10,1.0746442521056723,1.111320839530839,-0.036676587424718625,1.0746442521061204,4.4803744048138583e-13,mix
5,11,0.12633553148824292,0.1407534285937337,-0.014417897105746655,0.12633553148798704,2.5588732521786284e-13,mix
5,12,0.8378196813179417,0.8771659527037742,-0.03934627138579366,0.8378196813179806,3.880229471064922e-14,mix
5,13,0.32276218413970836,0.34091972722543396,-0.018157543085202208,0.3227621841402317,5.233834199369625e-13,mix
5,14,-1.9517591774278025,-1.9526672660683375,0.0009080886410955209,-1.951759177427242,5.604778793855125e-13,mix
5,15,0.28311749481885384,0.3052529443756728,-0.022135449556968362,0.2831174948187044,1.4940826353893044e-13,mix
5,16,-0.9434289540955758,-0.939669233346818,-0.0037597207487757496,-0.9434289540955937,1.789410633556976e-14,mix
6,7,-4.612704259846809,-4.640300958621316,0.027596698774889242,-4.612704259846427,3.8169814531308077e-13,mix
6,8,0.025740749104119165,0.02773780261587763,-0.001997053511532288,0.02574074910434534,2.2617628256393907e-13,mix
6,9,-1.7296537506834593,-1.7519714216790696,0.02231767099514027,-1.7296537506839293,4.700580202854354e-13,mix
6,10,-0.11328451701208186,-0.10924283085467018,-0.0040416861571458225,-0.11328451701181601,2.658611178429915e-13,mix
6,11,-1.061593237629511,-1.0798102417917754,0.01821700416182622,-1.0615932376299493,4.382397222890688e-13,mix
6,12,-0.3501090877998123,-0.34339771768173466,-0.006711370118220944,-0.3501090877999556,1.4329076120089823e-13,mix
6,13,-0.8651665849780457,-0.8796439431600751,0.014477358182370444,-0.8651665849777047,3.410015325666649e-13,mix
6,14,-3.1396879465455565,-3.1732309364538467,0.0335429899086682,-3.1396879465451786,3.780101232031541e-13,mix
6,15,-0.9048112742989002,-0.9153107260098361,0.01049945171060431,-0.9048112742992318,3.316045354972985e-13,mix
6,16,-2.13135772321333,-2.160232903732327,0.02887518051879699,-2.13135772321353,1.9985749166728795e-13,mix
7,8,4.638445008950928,4.668038761237194,-0.029593752286421388,4.6384450089507725,1.5501488981328748e-13,mix
7,9,2.8830505091633496,2.888329536942247,-0.005279027779748816,2.883050509162498,8.516000404856783e-13,mix
7,10,4.499419742834727,4.531058127766646,-0.03163838493203497,4.499419742834611,1.156852391659413e-13,mix
7,11,3.5511110222172975,3.5604907168295408,-0.009379694613063068,3.5511110222164777,8.197626605310759e-13,mix
7,12,4.262595172046996,4.2969032409395815,-0.034308068893110145,4.262595172046471,5.249481405122935e-13,mix
7,13,3.747537674868763,3.7606570154612413,-0.013119340592518612,3.7475376748687226,4.0288952729561345e-14,mix
7,14,1.4730163133012522,1.4670700221674697,0.0059462911337790116,1.4730163133012488,3.4104663537704027e-15,mix
7,15,3.707892985547909,3.7249902326114803,-0.017097247064284758,3.7078929855471956,7.132384960417681e-13,mix
7,16,2.481346536633479,2.480068054888989,0.0012784817439078187,2.481346536632897,5.819268678042278e-13,mix
8,9,-1.7553944997875783,-1.779709224294947,0.024314724506672627,-1.7553944997882744,6.960855503113095e-13,mix
8,10,-0.13902526611620106,-0.1369806334705478,-0.002044632645613628,-0.13902526611616145,3.9615880020882344e-14,mix
8,11,-1.0873339867336302,-1.107548044407653,0.020214057673358363,-1.0873339867342948,6.64482358025964e-13,mix
8,12,-0.3758498369039316,-0.3711355202976123,-0.004714316606688726,-0.37584983690430107,3.6945706910485043e-13,mix
8,13,-0.8909073340821649,-0.9073817457759527,0.016474411693902784,-0.8909073340820499,1.1506767760849357e-13,mix
8,14,-3.1654286956496756,-3.200968739069724,0.035540043420200486,-3.1654286956495237,1.5191320423824095e-13,mix
8,15,-0.9305520234030195,-0.9430485286257139,0.012496505222136594,-0.9305520234035772,5.578159462116261e-13,mix
8,16,-2.157098472317449,-2.187970706348205,0.03087223403032932,-2.1570984723178754,4.2635339703167574e-13,mix
9,10,1.6163692336713773,1.6427285908243994,-0.026359357152286222,1.6163692336721132,7.358454123806979e-13,mix
9,11,0.6680605130539482,0.6721611798872942,-0.004100666833314216,0.66806051305398,3.176278684513534e-14,mix
9,12,1.379544662883647,1.4085737039973347,-0.02902904111336139,1.3795446628839734,3.2636740532332453e-13,mix
9,13,0.8644871657054136,0.8723274785189944,-0.007840312812769897,0.8644871657062245,8.108774068871227e-13,mix
9,14,-1.4100341958620972,-1.421259514774777,0.011225318913527807,-1.4100341958612492,8.479467128452711e-13,mix
9,15,0.824842476384559,0.8366606956692334,-0.01181821928453603,0.8248424763846973,1.3838409584909783e-13,mix
9,16,-0.4017039725298706,-0.4082614820532576,0.00655750952365669,-0.4017039725296009,2.697278164709438e-13,mix
10,11,-0.9483087206174292,-0.9705674109371053,0.022258690318971958,-0.9483087206181333,7.041311977928899e-13,mix
10,12,-0.2368245707877304,-0.23415488682706453,-0.0026696839610750793,-0.23682457078813962,4.092208343020598e-13,mix
10,13,-0.7518820679659638,-0.7704011123054049,0.01851904433951644,-0.7518820679658884,7.537026558424031e-14,mix
10,14,-3.0264034295334747,-3.0639881055991762,0.03758467606581413,-3.026403429533362,1.1264600363602995e-13,mix
10,15,-0.7915267572868183,-0.806067895155166,0.014541137867750256,-0.7915267572874157,5.973971317629889e-13,mix
10,16,-2.018073206201248,-2.050990072877657,0.0329168666759429,-2.018073206201714,4.66127136888872e-13,mix
11,12,0.7114841498296987,0.7364125241100405,-0.02492837428004713,0.7114841498299934,2.947607435910271e-13,mix
11,13,0.19642665265146547,0.2001662986317003,-0.003739645979455634,0.19642665265224465,7.791896468323234e-13,mix
11,14,-2.0780947089160455,-2.093420694662071,0.015325985746842111,-2.078094708915229,8.166054638047981e-13,mix
11,15,0.15678196333061076,0.1644995157819393,-0.007717552451221782,0.15678196333071753,1.0676442369073058e-13,mix
11,16,-1.0697644855838189,-1.0804226619405517,0.01065817635697082,-1.0697644855835808,2.379901831162101e-13,mix
12,13,-0.5150574971782332,-0.5362462254783403,0.02118872830059141,-0.515057497177749,4.843139778110128e-13,mix
12,14,-2.789578858745744,-2.829833218772112,0.040254360026889195,-2.7895788587452226,5.213537934700696e-13,mix
12,15,-0.5547021864990879,-0.5719130083281014,0.0172108218288253,-0.5547021864992762,1.8826606940081092e-13,mix
12,16,-1.7812486354135175,-1.8168351860505925,0.03558655063701795,-1.7812486354135746,5.699607452669397e-14,mix
13,14,-2.274521361567511,-2.2935869932937716,0.019065631726297678,-2.2745213615674738,3.7154307408471254e-14,mix
13,15,-0.03964468932085449,-0.03566678284976104,-0.0039779064717661095,-0.03964468932152715,6.726572424065047e-13,mix
13,16,-1.2661911382352842,-1.2805889605722518,0.014397822336426572,-1.2661911382358253,5.410533132632622e-13,mix
14,15,2.2348766722466564,2.2579202104440106,-0.023043538198063873,2.2348766722459468,7.097100684916313e-13,mix
14,16,1.0083302233322267,1.0129980327215196,-0.004667809389871213,1.0083302233316485,5.783143061655061e-13,mix
15,16,-1.2265464489144298,-1.2449221777224908,0.018375728808192583,-1.2265464489142983,1.3154061173636933e-13,mix
