mode,family,layer,D,eta,mu_cf,base_mu,delta_mu_cf,delta_log_mu_cf,acceptance_mismatch_cf
tailm2_detlin,current,1,4.0,0.6,0.4385576716664286,0.4907943979315071,-0.05223672626507847,-0.11253397511600334,0.0
tailm2_detlin,width_anchor,1,4.0,0.6,0.517543369175567,0.4907943979315071,0.026748971244059894,0.053068028184114005,0.0
tailm2_detlin,partial_anchor,1,4.0,0.6,0.4158910368548296,0.4907943979315071,-0.0749033610766775,-0.16560200330011718,0.0
release_tuned,current,2,4.0,0.6,2.460957463934769,2.4855873168468285,-0.024629852912059658,-0.009958489228974634,0.0
release_tuned,width_anchor,2,4.0,0.6,2.475334785812339,2.4855873168468285,-0.010252531034489643,-0.004133322563351732,0.0
release_tuned,partial_anchor,2,4.0,0.6,2.471150445877318,2.4855873168468285,-0.014436870969510629,-0.005825166665623195,0.0
release_fullsumanchor,current,2,4.0,0.6,0.9546731485936136,2.4855873168468294,-1.530914168253216,-0.9568952262959485,1.0
release_fullsumanchor,width_anchor,2,4.0,0.6,2.0089760816931332,2.4855873168468294,-0.4766112351536962,-0.21288379624754064,1.0
release_fullsumanchor,partial_anchor,2,4.0,0.6,1.1811606377506754,2.4855873168468294,-1.304426679096154,-0.7440114300484081,1.0
tailm2_detlin,current,2,4.0,0.6,2.025610013819489,2.4855873168468285,-0.4599773030273395,-0.2046380798443702,1.0
tailm2_detlin,width_anchor,2,4.0,0.6,2.3904291246449434,2.4855873168468285,-0.09515819220188515,-0.03903607654425262,0.0
tailm2_detlin,partial_anchor,2,4.0,0.6,2.1062454884436237,2.4855873168468285,-0.37934182840320485,-0.16560200330011718,1.0
release_tuned,current,3,4.0,0.6,15.832592812952287,15.832320851954758,0.00027196099752835323,1.7177434962328408e-05,0.0
release_tuned,width_anchor,3,4.0,0.6,15.925089447438753,15.832320851954758,0.09276859548399408,0.005842344100585204,0.0
release_tuned,partial_anchor,3,4.0,0.6,15.74036303911175,15.832320851954758,-0.09195781284300786,-0.005825166665622972,0.0
release_fullsumanchor,current,3,4.0,0.6,15.854468350412935,15.832320851954762,0.022147498458172876,0.0013979013098054179,0.0
release_fullsumanchor,width_anchor,3,4.0,0.6,33.363510590889,15.832320851954762,17.531189738934238,0.7454093313582134,0.0
release_fullsumanchor,partial_anchor,3,4.0,0.6,7.523579665787534,15.832320851954762,-8.308741186167229,-0.7440114300484081,0.0
tailm2_detlin,current,3,4.0,0.6,28.261322572808453,15.832320851954758,12.429001720853694,0.5794407021959281,0.0
tailm2_detlin,width_anchor,3,4.0,0.6,33.35128090704983,15.832320851954758,17.518960055095075,0.7450427054960455,0.0
tailm2_detlin,partial_anchor,3,4.0,0.6,13.416046235834802,15.832320851954758,-2.4162746161199564,-0.16560200330011718,0.0
release_tuned,current,1,4.0,1.0,0.5143151303507728,0.5211120687722901,-0.006796938421517296,-0.013128950174327633,0.0
release_tuned,width_anchor,1,4.0,1.0,0.5173196321831327,0.5211120687722901,-0.0037924365891573997,-0.0073041942895049955,0.0
release_tuned,partial_anchor,1,4.0,1.0,0.5180855411323396,0.5211120687722901,-0.0030265276399504826,-0.005824755884822856,0.0
release_fullsumanchor,current,1,4.0,1.0,0.2612350642850003,0.5211120687722901,-0.2598770044872898,-0.6905444903879717,0.0
release_fullsumanchor,width_anchor,1,4.0,1.0,0.5497148976278504,0.5211120687722901,0.028602828855560314,0.053434654046282476,0.0
release_fullsumanchor,partial_anchor,1,4.0,1.0,0.24764245133770912,0.5211120687722901,-0.273469617434581,-0.7439791444342541,0.0
tailm2_detlin,current,1,4.0,1.0,0.4650914131409598,0.52111206877229,-0.056020655631330185,-0.11373114816525912,0.0
tailm2_detlin,width_anchor,1,4.0,1.0,0.5495133948698793,0.52111206877229,0.028401326097589275,0.053068028184114636,0.0
tailm2_detlin,partial_anchor,1,4.0,1.0,0.44105339511788183,0.52111206877229,-0.08005867365440816,-0.1667991763493733,0.0
release_tuned,current,2,4.0,1.0,2.5386184460171304,2.564024495423726,-0.02540604940659552,-0.009958078448174534,0.0
release_tuned,width_anchor,2,4.0,1.0,2.553448427331347,2.564024495423726,-0.010576068092378765,-0.004133322563352066,0.0
release_tuned,partial_anchor,2,4.0,1.0,2.549133090158075,2.564024495423726,-0.014891405265650803,-0.005824755884822744,0.0
release_fullsumanchor,current,2,4.0,1.0,0.9848313723281679,2.5640244954237263,-1.5791931230955585,-0.956862940681795,1.0
release_fullsumanchor,width_anchor,2,4.0,1.0,2.0723729354702836,2.5640244954237263,-0.4916515599534428,-0.21288379624754078,1.0
release_fullsumanchor,partial_anchor,2,4.0,1.0,1.218473624747545,2.5640244954237263,-1.3455508706761814,-0.7439791444342543,1.0
tailm2_detlin,current,2,4.0,1.0,2.0870317468955193,2.564024495423726,-0.4769927485282066,-0.20583525289362703,1.0
tailm2_detlin,width_anchor,2,4.0,1.0,2.4658634153070977,2.564024495423726,-0.09816108011662816,-0.03903607654425331,0.0
tailm2_detlin,partial_anchor,2,4.0,1.0,2.170112297602925,2.564024495423726,-0.3939121978208009,-0.1667991763493737,1.0
release_tuned,current,3,4.0,1.0,15.831672831538931,15.831394383110005,0.0002784484289257705,1.758821576228782e-05,0.0
release_tuned,width_anchor,3,4.0,1.0,15.924157550001791,15.831394383110005,0.09276316689178543,0.005842344100584763,0.0
release_tuned,partial_anchor,3,4.0,1.0,15.739448416876058,15.831394383110005,-0.09194596623394702,-0.005824755884822856,0.0
release_fullsumanchor,current,3,4.0,1.0,15.854052435107487,15.831394383110005,0.02265805199748172,0.0014301869239593983,0.0
release_fullsumanchor,width_anchor,3,4.0,1.0,33.361558239531085,15.831394383110005,17.53016385642108,0.7454093313582132,0.0
release_fullsumanchor,partial_anchor,3,4.0,1.0,7.523382297331803,15.831394383110005,-8.308012085778202,-0.7439791444342543,0.0
tailm2_detlin,current,3,4.0,1.0,28.22585731833701,15.831394383110004,12.394462935227006,0.5782435291466715,0.0
tailm2_detlin,width_anchor,3,4.0,1.0,33.34932927134323,15.831394383110004,17.517934888233228,0.7450427054960455,0.0
tailm2_detlin,partial_anchor,3,4.0,1.0,13.399210382079948,15.831394383110004,-2.4321840010300555,-0.16679917634937383,0.0
release_tuned,current,1,4.0,2.0,0.5956261296720139,0.6034969984736965,-0.00787086880168264,-0.01312789597079573,0.0
release_tuned,width_anchor,1,4.0,2.0,0.5991049986801578,0.6034969984736965,-0.00439199979353877,-0.007304194289505443,0.0
release_tuned,partial_anchor,1,4.0,2.0,0.5999926261030383,0.6034969984736965,-0.0035043723706582597,-0.00582370168129028,0.0
release_fullsumanchor,current,1,4.0,2.0,0.30255995961567006,0.6034969984736964,-0.30093703885802636,-0.6904615955589505,0.0
release_fullsumanchor,width_anchor,1,4.0,2.0,0.6366217760342222,0.6034969984736964,0.03312477756052579,0.053434654046282476,0.0
release_fullsumanchor,partial_anchor,1,4.0,2.0,0.28681712495578265,0.6034969984736964,-0.31667987351791377,-0.7438962496052326,0.0
tailm2_detlin,current,1,4.0,2.0,0.537022173625679,0.6034969984736964,-0.06647482484801748,-0.11670168166932815,0.0
tailm2_detlin,width_anchor,1,4.0,2.0,0.6363884168070861,0.6034969984736964,0.03289141833338971,0.0530680281841138,0.0
tailm2_detlin,partial_anchor,1,4.0,2.0,0.5092664500761365,0.6034969984736964,-0.09423054839755995,-0.16976970985344209,0.0
release_tuned,current,2,4.0,2.0,2.737371394533144,2.764763614061743,-0.02739221952859916,-0.009957024244641443,0.0
release_tuned,width_anchor,2,4.0,2.0,2.753359538830079,2.764763614061743,-0.011404075231664201,-0.004133322563351175,0.0
release_tuned,partial_anchor,2,4.0,2.0,2.748709248845308,2.764763614061743,-0.016054365216434885,-0.005823701681290057,0.0
release_fullsumanchor,current,2,4.0,2.0,1.0620224832508025,2.7647636140617435,-1.702741130810941,-0.9567800458527732,1.0
release_fullsumanchor,width_anchor,2,4.0,2.0,2.2346203388387296,2.7647636140617435,-0.530143275223014,-0.21288379624754009,0.0
release_fullsumanchor,partial_anchor,2,4.0,2.0,1.3139776220479586,2.7647636140617435,-1.4507859920137849,-0.7438962496052328,1.0
tailm2_detlin,current,2,4.0,2.0,2.243751748926585,2.7647636140617435,-0.5210118651351587,-0.20880578639769493,0.0
tailm2_detlin,width_anchor,2,4.0,2.0,2.658917440162925,2.7647636140617435,-0.10584617389881856,-0.039036076544252854,0.0
tailm2_detlin,partial_anchor,2,4.0,2.0,2.333071008793529,2.7647636140617435,-0.4316926052682146,-0.16976970985344195,0.0
release_tuned,current,3,4.0,2.0,15.829310474477454,15.829015380585073,0.0002950938923813595,1.864241929540851e-05,0.0
release_tuned,width_anchor,3,4.0,2.0,15.921764607845093,15.829015380585073,0.0927492272600201,0.005842344100585646,0.0
release_tuned,partial_anchor,3,4.0,2.0,15.737099821278665,15.829015380585073,-0.0919155593064076,-0.005823701681290392,0.0
release_fullsumanchor,current,3,4.0,2.0,15.852984103671002,15.829015380585071,0.023968723085930677,0.0015130817529814,0.0
release_fullsumanchor,width_anchor,3,4.0,2.0,33.356544958365426,15.829015380585071,17.527529577780356,0.7454093313582145,0.0
release_fullsumanchor,partial_anchor,3,4.0,2.0,7.522875331314761,15.829015380585071,-8.30614004927031,-0.7438962496052327,0.0
tailm2_detlin,current,3,4.0,2.0,28.13790692139494,15.829015380585071,12.308891540809869,0.5752729956426037,0.0
tailm2_detlin,width_anchor,3,4.0,2.0,33.34431782783919,15.829015380585071,17.515302447254122,0.7450427054960458,0.0
tailm2_detlin,partial_anchor,3,4.0,2.0,13.35745909500571,15.829015380585071,-2.4715562855793607,-0.16976970985344209,0.0
release_tuned,current,1,4.0,4.0,0.7884515366813843,0.7988687186337424,-0.010417181952358079,-0.013125683334724948,0.0
release_tuned,width_anchor,1,4.0,4.0,0.793054884834772,0.7988687186337424,-0.00581383379897038,-0.007304194289504549,0.0
release_tuned,partial_anchor,1,4.0,4.0,0.7942316236343364,0.7988687186337424,-0.004637094999406011,-0.0058214890452203865,0.0
release_fullsumanchor,current,1,4.0,4.0,0.40057828031467796,0.7988687186337424,-0.39829043831906447,-0.6902874212992993,0.0
release_fullsumanchor,width_anchor,1,4.0,4.0,0.8427170702771325,0.7988687186337424,0.04384835164339007,0.053434654046282684,0.0
release_fullsumanchor,partial_anchor,1,4.0,4.0,0.37973534510492113,0.7988687186337424,-0.4191333735288213,-0.7437220753455818,0.0
tailm2_detlin,current,1,4.0,4.0,0.6631004511796806,0.7988687186337424,-0.1357682674540618,-0.18627013639039577,0.0
tailm2_detlin,width_anchor,1,4.0,4.0,0.8424081650344638,0.7988687186337424,0.04353944640072138,0.05306802818411443,0.0
tailm2_detlin,partial_anchor,1,4.0,4.0,0.6288284346551843,0.7988687186337424,-0.17004028397855808,-0.23933816457451002,0.0
release_tuned,current,2,4.0,4.0,3.1518415910161384,3.1833742708158104,-0.031532679799672,-0.009954811608572171,0.0
release_tuned,width_anchor,2,4.0,4.0,3.1702435136363203,3.1833742708158104,-0.013130757179490082,-0.0041333225633519545,0.0
release_tuned,partial_anchor,2,4.0,4.0,3.16489612970436,3.1833742708158104,-0.01847814111145052,-0.005821489045220498,0.0
release_fullsumanchor,current,2,4.0,4.0,1.2230354643170447,3.18337427081581,-1.9603388064987652,-0.9566058715931223,1.0
release_fullsumanchor,width_anchor,2,4.0,4.0,2.572962424534445,3.18337427081581,-0.610411846281365,-0.21288379624754022,0.0
release_fullsumanchor,partial_anchor,2,4.0,4.0,1.513189462961793,3.18337427081581,-1.670184807854017,-0.7437220753455815,1.0
tailm2_detlin,current,2,4.0,4.0,2.4098571805529856,3.1833742708158104,-0.7735170902628248,-0.2783742411187635,0.0
tailm2_detlin,width_anchor,2,4.0,4.0,3.0615020120302625,3.1833742708158104,-0.12187225878554786,-0.03903607654425331,0.0
tailm2_detlin,partial_anchor,2,4.0,4.0,2.5057887647199997,3.1833742708158104,-0.6775855060958107,-0.2393381645745103,0.0
release_tuned,current,3,4.0,4.0,15.824345516717823,15.824015502557206,0.0003300141606175089,2.085505536473032e-05,0.0
release_tuned,width_anchor,3,4.0,4.0,15.916735433312518,15.824015502557206,0.09271993075531171,0.005842344100584984,0.0
release_tuned,partial_anchor,3,4.0,4.0,15.732163785941086,15.824015502557206,-0.09185171661611946,-0.0058214890452201636,0.0
release_fullsumanchor,current,3,4.0,4.0,15.850737204694827,15.824015502557204,0.026721702137622927,0.0016872560126321994,0.0
release_fullsumanchor,width_anchor,3,4.0,4.0,33.34600869617773,15.824015502557204,17.521993193620524,0.7454093313582143,0.0
release_fullsumanchor,partial_anchor,3,4.0,4.0,7.521809087838501,15.824015502557204,-8.302206414718704,-0.7437220753455817,0.0
tailm2_detlin,current,3,4.0,4.0,26.238644251273342,15.824015502557204,10.414628748716138,0.5057045409215355,0.0
tailm2_detlin,width_anchor,3,4.0,4.0,33.33378542780967,15.824015502557204,17.50976992525247,0.7450427054960457,0.0
tailm2_detlin,partial_anchor,3,4.0,4.0,12.455852465284055,15.824015502557204,-3.368163037273149,-0.23933816457451015,0.0
release_tuned,current,1,4.8,0.2,3.1063938107572917,3.3700793145040793,-0.26368550374678756,-0.0814737725316611,0.0
release_tuned,width_anchor,1,4.8,0.2,3.1208519523093363,3.3700793145040793,-0.24922736219474295,-0.07683025336401172,0.0
release_tuned,partial_anchor,1,4.8,0.2,3.3544665637183,3.3700793145040793,-0.015612750785779284,-0.004643519167649413,0.0
release_fullsumanchor,current,1,4.8,0.2,0.9518559088248529,3.3700793145040793,-2.4182234056792264,-1.2642778914711708,0.0
release_fullsumanchor,width_anchor,1,4.8,0.2,0.5647558860497764,3.3700793145040793,-2.8053234284543027,-1.7862979808379083,0.0
release_fullsumanchor,partial_anchor,1,4.8,0.2,5.680029173589502,3.3700793145040793,2.309949859085423,0.5220200893667377,0.0
tailm2_detlin,current,1,4.8,0.2,3.626998626643937,3.3700793145040793,0.25691931213985786,0.07346920210429103,0.0
tailm2_detlin,width_anchor,1,4.8,0.2,0.5647558860497766,3.3700793145040793,-2.8053234284543027,-1.786297980837908,0.0
tailm2_detlin,partial_anchor,1,4.8,0.2,21.643462861244277,3.3700793145040793,18.2733835467402,1.8597671829421996,0.0
release_tuned,current,2,4.8,0.2,13.663247857066633,13.73924729226536,-0.07599943519872632,-0.005546913129520943,0.0
release_tuned,width_anchor,2,4.8,0.2,13.72684094397469,13.73924729226536,-0.012406348290669555,-0.0009033939618715978,0.0
release_tuned,partial_anchor,2,4.8,0.2,13.675596729788941,13.73924729226536,-0.06365056247641832,-0.004643519167649302,0.0
release_fullsumanchor,current,2,4.8,0.2,20.964905649228907,13.739247292265363,7.225658356963544,0.4225933771467947,0.0
release_fullsumanchor,width_anchor,2,4.8,0.2,12.438914079440647,13.739247292265363,-1.3003332128247163,-0.09942671221994287,0.0
release_fullsumanchor,partial_anchor,2,4.8,0.2,23.15652486496793,13.739247292265363,9.417277572702568,0.5220200893667373,0.0
tailm2_detlin,current,2,4.8,0.2,79.88570884783435,13.739247292265365,66.14646155556899,1.7603404707222563,0.0
tailm2_detlin,width_anchor,2,4.8,0.2,12.43891407944065,13.739247292265365,-1.3003332128247145,-0.09942671221994262,0.0
tailm2_detlin,partial_anchor,2,4.8,0.2,88.2367626280495,13.739247292265365,74.49751533578414,1.8597671829421991,0.0
release_tuned,current,3,4.8,0.2,15.667773690249096,15.666775084530869,0.0009986057182267416,6.373831809371464e-05,0.0
release_tuned,width_anchor,3,4.8,0.2,15.740696475838796,15.666775084530869,0.07392139130792685,0.004707257485743143,0.0
release_tuned,partial_anchor,3,4.8,0.2,15.594194758614224,15.666775084530869,-0.0725803259166451,-0.004643519167649748,0.0
release_fullsumanchor,current,3,4.8,0.2,15.533065330228444,15.666775084530865,-0.13370975430242105,-0.00857123441132915,0.0
release_fullsumanchor,width_anchor,3,4.8,0.2,9.216090368627842,15.666775084530865,-6.450684715903023,-0.5305913237780666,0.0
release_fullsumanchor,partial_anchor,3,4.8,0.2,26.405235969734242,15.666775084530865,10.738460885203377,0.5220200893667376,0.0
tailm2_detlin,current,3,4.8,0.2,59.187957019527964,15.666775084530867,43.521181934997095,1.3291758591641327,0.0
tailm2_detlin,width_anchor,3,4.8,0.2,9.216090368627844,15.666775084530867,-6.450684715903023,-0.5305913237780664,0.0
tailm2_detlin,partial_anchor,3,4.8,0.2,100.61581139594287,15.666775084530867,84.949036311412,1.8597671829421993,0.0
release_tuned,current,1,4.8,0.6,3.1205582176356343,3.385445695151136,-0.2648874775155017,-0.08147366366615423,0.0
release_tuned,width_anchor,1,4.8,0.6,3.135081943525239,3.385445695151136,-0.2503637516258972,-0.07683025336401243,0.0
release_tuned,partial_anchor,1,4.8,0.6,3.369762122544026,3.385445695151136,-0.01568357260710984,-0.004643410302141857,0.0
release_fullsumanchor,current,1,4.8,0.6,0.9561822473096017,3.3854456951511365,-2.4292634478415347,-1.2642923142310987,0.0
release_fullsumanchor,width_anchor,1,4.8,0.6,0.5673309749743476,3.3854456951511365,-2.818114720176789,-1.786297980837909,0.0
release_fullsumanchor,partial_anchor,1,4.8,0.6,5.705845821445937,3.3854456951511365,2.3204001262948006,0.5220056666068102,0.0
tailm2_detlin,current,1,4.8,0.6,3.6354699896041915,3.385445695151136,0.2500242944530555,0.07125283286167622,0.0
tailm2_detlin,width_anchor,1,4.8,0.6,0.5673309749743476,3.385445695151136,-2.8181147201767884,-1.7862979808379087,0.0
tailm2_detlin,partial_anchor,1,4.8,0.6,21.694014198172702,3.385445695151136,18.308568503021565,1.8575508136995853,0.0
release_tuned,current,2,4.8,0.6,13.688955279229448,13.765096208939834,-0.07614092971038566,-0.00554680426401428,0.0
release_tuned,width_anchor,2,4.8,0.6,13.75266651943865,13.765096208939834,-0.012429689501184171,-0.0009033939618724869,0.0
release_tuned,partial_anchor,2,4.8,0.6,13.701327386375063,13.765096208939834,-0.06376882256477145,-0.004643410302141969,0.0
release_fullsumanchor,current,2,4.8,0.6,21.004045926775255,13.765096208939836,7.238949717835419,0.422578954386867,0.0
release_fullsumanchor,width_anchor,2,4.8,0.6,12.462316558973958,13.765096208939836,-1.3027796499658777,-0.0994267122199431,0.0
release_fullsumanchor,partial_anchor,2,4.8,0.6,23.199756770009078,13.765096208939836,9.434660561069242,0.5220056666068101,0.0
tailm2_detlin,current,2,4.8,0.6,79.85881231523763,13.765096208939834,66.09371610629779,1.758124101479642,0.0
tailm2_detlin,width_anchor,2,4.8,0.6,12.462316558973958,13.765096208939834,-1.302779649965876,-0.099426712219943,0.0
tailm2_detlin,partial_anchor,2,4.8,0.6,88.2070543986743,13.765096208939834,74.44195818973446,1.8575508136995853,0.0
release_tuned,current,3,4.8,0.6,15.66742472850312,15.66642443949307,0.0010002890100491157,6.38471836017158e-05,0.0
release_tuned,width_anchor,3,4.8,0.6,15.740344176333577,15.66642443949307,0.0739197368405069,0.004707257485743585,0.0
release_tuned,partial_anchor,3,4.8,0.6,15.593847435660901,15.66642443949307,-0.07257700383216914,-0.004643410302141746,0.0
release_fullsumanchor,current,3,4.8,0.6,15.532493654765364,15.66642443949307,-0.13393078472770625,-0.008585657171256424,0.0
release_fullsumanchor,width_anchor,3,4.8,0.6,9.215884099224077,15.66642443949307,-6.450540340268994,-0.5305913237780664,0.0
release_fullsumanchor,partial_anchor,3,4.8,0.6,26.40426415733406,15.66642443949307,10.737839717840991,0.5220056666068102,0.0
tailm2_detlin,current,3,4.8,0.6,59.05559813989445,15.66642443949307,43.38917370040138,1.3269594899215185,0.0
tailm2_detlin,width_anchor,3,4.8,0.6,9.215884099224077,15.66642443949307,-6.450540340268994,-0.5305913237780664,0.0
tailm2_detlin,partial_anchor,3,4.8,0.6,100.3908096094242,15.66642443949307,84.72438516993113,1.857550813699585,0.0
release_tuned,current,1,4.8,1.0,3.1347723522864612,3.4008660210336523,-0.2660936687471911,-0.08147355470958127,0.0
release_tuned,width_anchor,1,4.8,1.0,3.1493618905664222,3.4008660210336523,-0.2515041304672301,-0.0768302533640116,0.0
release_tuned,partial_anchor,1,4.8,1.0,3.3851113803404025,3.4008660210336523,-0.015754640693249833,-0.004643301345569532,0.0
release_fullsumanchor,current,1,4.8,1.0,0.9605236846971777,3.400866021033652,-2.440342336336474,-1.2643067496182934,0.0
release_fullsumanchor,width_anchor,1,4.8,1.0,0.5699151040093756,3.400866021033652,-2.830950917024276,-1.7862979808379083,0.0
release_fullsumanchor,partial_anchor,1,4.8,1.0,5.731752569293083,3.400866021033652,2.330886548259431,0.5219912312196149,0.0
tailm2_detlin,current,1,4.8,1.0,3.6439577319972325,3.4008660210336528,0.24309171096357973,0.06904026873107103,0.0
tailm2_detlin,width_anchor,1,4.8,1.0,0.5699151040093757,3.4008660210336528,-2.830950917024277,-1.7862979808379083,0.0
tailm2_detlin,partial_anchor,1,4.8,1.0,21.74466327642436,3.4008660210336528,18.343797255390708,1.8553382495689792,0.0
release_tuned,current,2,4.8,1.0,13.714672223431018,13.790954693731493,-0.07628247030047497,-0.005546695307441136,0.0
release_tuned,width_anchor,2,4.8,1.0,13.77850165437994,13.790954693731493,-0.012453039351552064,-0.0009033939618715978,0.0
release_tuned,partial_anchor,2,4.8,1.0,13.72706757360596,13.790954693731493,-0.063887120125532,-0.004643301345569308,0.0
release_fullsumanchor,current,2,4.8,1.0,21.04319940492896,13.790954693731495,7.252244711197465,0.4225645189996721,0.0
release_fullsumanchor,width_anchor,2,4.8,1.0,12.48572770106244,13.790954693731495,-1.3052269926690538,-0.09942671221994274,0.0
release_fullsumanchor,partial_anchor,2,4.8,1.0,23.24300325561629,13.790954693731495,9.452048561884796,0.5219912312196149,0.0
tailm2_detlin,current,2,4.8,1.0,79.83200247865345,13.790954693731493,66.04104778492196,1.7559115373490368,0.0
tailm2_detlin,width_anchor,2,4.8,1.0,12.485727701062444,13.790954693731493,-1.3052269926690485,-0.09942671221994226,0.0
tailm2_detlin,partial_anchor,2,4.8,1.0,88.1774419282976,13.790954693731493,74.3864872345661,1.8553382495689796,0.0
release_tuned,current,3,4.8,1.0,15.667075466809935,15.666073493176775,0.0010019736331603468,6.395614017473709e-05,0.0
release_tuned,width_anchor,3,4.8,1.0,15.73999157412833,15.666073493176775,0.07391808095155561,0.004707257485744469,0.0
release_tuned,partial_anchor,3,4.8,1.0,15.593499814168972,15.666073493176775,-0.0725736790078031,-0.00464330134556942,0.0
release_fullsumanchor,current,3,4.8,1.0,15.531921497737036,15.666073493176771,-0.13415199543973522,-0.008600092558451273,0.0
release_fullsumanchor,width_anchor,3,4.8,1.0,9.215677652591118,15.666073493176771,-6.450395840585653,-0.5305913237780662,0.0
release_fullsumanchor,partial_anchor,3,4.8,1.0,26.403291526303178,15.666073493176771,10.737218033126407,0.521991231219615,0.0
tailm2_detlin,current,3,4.8,1.0,58.92375829576376,15.666073493176773,43.25768480258699,1.3247469257909132,0.0
tailm2_detlin,width_anchor,3,4.8,1.0,9.215677652591122,15.666073493176773,-6.450395840585651,-0.5305913237780661,0.0
tailm2_detlin,partial_anchor,3,4.8,1.0,100.16669015067772,15.666073493176773,84.50061665750096,1.8553382495689794,0.0
release_tuned,current,1,4.8,2.0,3.170525849541242,3.4396534987011966,-0.2691276491599548,-0.08147328192210296,0.0
release_tuned,width_anchor,1,4.8,2.0,3.1852809192026137,3.4396534987011966,-0.25437257949858294,-0.07683025336401172,0.0
release_tuned,partial_anchor,1,4.8,2.0,3.423720107495934,3.4396534987011966,-0.015933391205262826,-0.004643028558090917,0.0
