family,peak2,center2_D,sigma2_D,D,eta,target_mu,cur_mu,mu_new,delta_mu,delta_log_mu,beta2
pointamp2,0.25,5.9,0.12,5.898305084745763,3.24,90.82256706925467,60.29696159386269,60.253323478910595,-30.56924359034408,-0.41035005840717786,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,3.43,90.8241631857692,60.29979401674245,60.256153851909346,-30.568009333859848,-0.4103206588099417,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,3.62,90.82575927598117,60.30262671999676,60.258984505079745,-30.566774770901425,-0.41029125617122014,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,3.81,90.82735533987562,60.30545970366357,60.26181543845961,-30.565539901416017,-0.4102618504906948,0.2499750642842958
pointamp2,0.25,5.9,0.12,5.898305084745763,4.0,90.82895137743073,60.30829296778385,60.2646466520902,-30.564304725340527,-0.4102324417679146,0.2499750642842958
pointamp2,0.25,5.9,0.12,6.169491525423729,0.2,86.94702113806258,72.06646393780726,71.69863073362129,-15.248390404441295,-0.1928273304685532,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,0.39,86.94756859275853,72.06898766877671,71.70114158325869,-15.24642700949984,-0.19279860798666176,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,0.5800000000000001,86.94811604148249,72.07151158782115,71.70365262001117,-15.244463421471323,-0.1927698840131593,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,0.77,86.94866348396428,72.07403523754775,71.70616338882043,-15.242500095143853,-0.1927411648912813,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,0.96,86.9492109206282,72.07655902161699,71.70867429128666,-15.240536629341548,-0.19271244502499052,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,1.15,86.94975835121514,72.07908228759027,71.7111846783013,-15.238573672913844,-0.19268373346312428,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,1.34,86.95030577588408,72.08160555328314,71.71369506503682,-15.236610710847259,-0.19265502302293316,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,1.53,86.95085319449171,72.08412900692889,71.71620563876606,-15.234647555725658,-0.1926263110913804,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,1.72,86.95140060719876,72.08665264862424,71.71871639958518,-15.232684207613588,-0.19259759766916346,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,1.91,86.95194801392257,72.08917647833813,71.72122734746303,-15.230720666459547,-0.19256888275595582,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,2.1,86.952495414569,72.09169948741895,71.72373747889641,-15.22875793567259,-0.19254018034209325,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,2.29,86.95304280930395,72.0942217766158,71.72624689412017,-15.226795915183786,-0.19251148903074064,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,2.4800000000000004,86.9535901979959,72.09674425360394,71.72875649617679,-15.224833701819108,-0.19248279622956785,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,2.6700000000000004,86.95413758073872,72.09926691843275,71.7312662851152,-15.22287129562352,-0.19245410193916196,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,2.8600000000000003,86.95468495748898,72.10178977111475,71.73377626094809,-15.220908696540889,-0.1924254061590362,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,3.0500000000000003,86.9552323282378,72.10431281166733,71.73628642369253,-15.218945904545265,-0.1923967088890399,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,3.24,86.9557796930088,72.10683604012569,71.73879677338365,-15.216982919625138,-0.19236801012914495,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,3.43,86.95632705178399,72.10935945649784,71.74130731002951,-15.215019741754475,-0.19233930987922168,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,3.62,86.95687440455882,72.11188306081768,71.74381803366387,-15.213056370894947,-0.19231060813893683,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,3.81,86.95742175137232,72.11440685309975,71.74632894430086,-15.211092807071466,-0.19228190490873215,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.169491525423729,4.0,86.95796909219014,72.11693083336483,71.74884004196164,-15.209129050228498,-0.19225320018810702,0.02008023180562964
pointamp2,0.25,5.9,0.12,6.4406779661016955,0.2,53.17603232822576,58.121276937101605,58.12099948637147,4.944967158145708,0.08891926081120415,9.764726037473623e-06
