label,beta,center,half_width,objective,global_max_abs_delta_mu_mumu,d4p0_p95_abs_delta_mu_mumu,d4p0_max_abs_delta_mu_mumu,d4p0_acceptance_mismatch,d4p8_p95_abs_delta_mu_mumu,d4p8_max_abs_delta_mu_mumu,d6p4_p95_abs_delta_mu_mumu,d6p4_max_abs_delta_mu_mumu,d7p2_p95_abs_delta_mu_mumu,d7p2_max_abs_delta_mu_mumu,d8p0_p95_abs_delta_mu_mumu,d8p0_max_abs_delta_mu_mumu
bandpass_gnorm,0.25,0.09,0.03,63.8486551415069,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.741836389843989,5.742029220729812,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.07,0.02,63.86206083103936,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.753007873138088,5.753200628673525,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.1,0.09,0.04,63.86206083103936,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.753007873138088,5.753200628673525,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.08,0.02,63.8653458264195,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.755745387628103,5.755938124823643,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.2,0.09,0.03,63.87970671556085,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.767712874540464,5.767905532441432,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.06,0.01,63.897729459282125,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.782731923438796,5.782924485542495,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.08,0.03,63.90030041918754,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.784874403049777,5.785066952130343,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.05,0.07,0.01,63.901519934927194,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.785890672251753,5.78608321524672,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.1,0.08,0.02,63.901519934927194,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.785890672251753,5.78608321524672,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
bandpass_gnorm,0.15,0.09,0.03,63.901519934927194,117.25240685344598,116.22599485506939,117.25240685344598,0.6097560975609756,106.01675209034988,106.09235690795059,5.785890672251753,5.78608321524672,1.4641492538520282,1.4641503559314133,1.9888941674383793,1.9888941834723983
