D,eta,mu_mumu_uv_rge,chi2_uv_rge,mu_mumu_release_bridge,mu_mumu_direct_y2,delta_mu_mumu_direct_minus_release,abs_delta_mu_mumu_direct_minus_release,chi2_release_bridge,chi2_direct_y2,accept_release,accept_direct_y2,acceptance_flip,acceptance_gain,acceptance_loss
5.6,0.96,57.98345539720048,20010.546404293596,57.98345539719626,57.16710926340444,-0.8163461337918179,0.8163461337918179,20010.546404290613,19437.315472478058,False,False,False,False,False
5.6,1.15,57.98645233428199,20012.6661736248,57.986452334278525,57.170016427940496,-0.8164359063380289,0.8164359063380289,20012.666173622343,19439.342077329704,False,False,False,False,False
5.6,1.34,57.98944920872863,20014.78601092048,57.989449208726725,57.17292352468411,-0.8165256840426167,0.8165256840426167,20014.78601091914,19441.36874056414,False,False,False,False,False
5.6,1.53,57.992446020531816,20016.905916167547,57.99244602052467,57.175830553619505,-0.8166154669051622,0.8166154669051622,20016.905916162486,19443.39546216297,False,False,False,False,False
5.6,1.72,57.99544276966004,20019.025889336648,57.995442769655206,57.17873751473001,-0.8167052549251963,0.8167052549251963,20019.025889333232,19445.42224210718,False,False,False,False,False
5.6,1.91,57.998439456096534,20021.145930408908,57.99843945609505,57.18164440799283,-0.8167950481022217,0.8167950481022217,20021.145930407853,19447.449080373484,False,False,False,False,False
5.6,2.1,58.00143607981104,20023.26603935584,58.001436079802886,57.18455123336754,-0.8168848464353431,0.8168848464353431,20023.266039350074,19449.4759769263,False,False,False,False,False
5.6,2.29,58.00443264077295,20025.386216148763,58.004432640766765,57.18745799084276,-0.8169746499240063,0.8169746499240063,20025.386216144387,19451.502931750285,False,False,False,False,False
5.6,2.4800000000000004,58.007429138970245,20027.50646077211,58.007429138968696,57.19036468040072,-0.8170644585679767,0.8170644585679767,20027.50646077101,19453.52994482565,False,False,False,False,False
5.6,2.6700000000000004,58.01042557436968,20029.62677319531,58.010425574363595,57.19327130199747,-0.8171542723661247,0.8171542723661247,20029.626773190997,19455.55701611434,False,False,False,False,False
5.6,2.8600000000000003,58.01342194695087,20031.747153396867,58.013421946948604,57.196177855630324,-0.8172440913182797,0.8172440913182797,20031.747153395256,19457.58414560707,False,False,False,False,False
5.6,3.0500000000000003,58.016418256691985,20033.867601354286,58.016418256691786,57.19908434126797,-0.8173339154238164,0.8173339154238164,20033.86760135414,19459.611333274595,False,False,False,False,False
5.6,3.24,58.01941450356524,20035.988117040833,58.01941450356331,57.20199075888142,-0.8174237446818893,0.8174237446818893,20035.988117039473,19461.6385790893,False,False,False,False,False
5.6,3.43,58.02241068754528,20038.108700431512,58.02241068754314,57.204897108451014,-0.8175135790921289,0.8175135790921289,20038.10870043,19463.665883030022,False,False,False,False,False
5.6,3.62,58.02540680860932,20040.229351503116,58.02540680860487,57.207803389951096,-0.8176034186537748,0.8176034186537748,20040.22935149997,19465.69324507148,False,False,False,False,False
5.6,3.81,58.0284028667376,20042.350070234595,58.028402866729444,57.21070960336299,-0.8176932633664507,0.8176932633664507,20042.35007022882,19467.72066519321,False,False,False,False,False
5.6,4.0,58.031398861902666,20044.47085659944,58.03139886189962,57.21361574867004,-0.8177831132295807,0.8177831132295807,20044.470856597283,19469.74814337617,False,False,False,False,False
6.4,0.2,59.87793765426565,21372.932451851124,59.877937654251284,56.74132997822468,-3.136607676026607,3.136607676026607,21372.93245184063,19141.642523492184,False,False,False,False,False
6.4,0.39,59.87809003340474,21373.04383721869,59.878090033393924,56.7414623020532,-3.136627731340724,3.136627731340724,21373.04383721079,19141.734060809846,False,False,False,False,False
6.4,0.5800000000000001,59.87824241195589,21373.155222446727,59.878242411952584,56.74159462527837,-3.1366477866742173,3.1366477866742173,21373.155222444308,19141.825597928997,False,False,False,False,False
6.4,0.77,59.8783947891123,21373.26660694547,59.878394789109905,56.7417269471222,-3.136667841987702,3.136667841987702,21373.26660694373,19141.917134311443,False,False,False,False,False
6.4,0.96,59.8785471649641,21373.377990780813,59.878547164950724,56.74185926767762,-3.136687897273106,3.136687897273106,21373.37799077104,19142.008670021467,False,False,False,False,False
6.4,1.15,59.87869953976779,21373.48937414023,59.878699539754265,56.7419915871971,-3.136707952557167,3.136707952557167,21373.48937413035,19142.100205233713,False,False,False,False,False
6.4,1.34,59.87885191356253,21373.600757052347,59.87885191355776,56.742123905713214,-3.136728007844546,3.136728007844546,21373.60075704886,19142.19173997071,False,False,False,False,False
6.4,1.53,59.8790042860856,21373.712139325115,59.87900428607789,56.74225622296802,-3.13674806310987,3.13674806310987,21373.712139319472,19142.28327405401,False,False,False,False,False
6.4,1.72,59.87915665751493,21373.82352108858,59.879156657511835,56.742388539142105,-3.13676811836973,3.13676811836973,21373.823521086313,19142.374807608543,False,False,False,False,False
6.4,1.91,59.87930902770516,21373.93490223649,59.87930902769548,56.742520854083686,-3.136788173611791,3.136788173611791,21373.93490222941,19142.466340529296,False,False,False,False,False
6.4,2.1,59.879461396861686,21374.04628291898,59.87946139685846,56.74265316800603,-3.1368082288524306,3.1368082288524306,21374.046282916617,19142.5578729638,False,False,False,False,False
6.4,2.29,59.87961376479858,21374.15766300012,59.879613764788516,56.742785480711476,-3.1368282840770405,3.1368282840770405,21374.157662992766,19142.649404775304,False,False,False,False,False
6.4,2.4800000000000004,59.8797661316673,21374.26904259064,59.87976613165236,56.74291779235502,-3.1368483392973374,3.1368483392973374,21374.269042579712,19142.74093607104,False,False,False,False,False
6.4,2.6700000000000004,59.87991849733976,21374.38042159688,59.87991849732328,56.74305010282024,-3.13686839450304,3.13686839450304,21374.38042158483,19142.832466770444,False,False,False,False,False
6.4,2.8600000000000003,59.880070861841375,21374.491800037427,59.880070861825274,56.74318241212692,-3.136888449698354,3.136888449698354,21374.491800025662,19142.923996887213,False,False,False,False,False
6.4,3.0500000000000003,59.8802232252355,21374.603177958583,59.88022322523049,56.74331472034424,-3.13690850488625,3.13690850488625,21374.60317795492,19143.015526469193,False,False,False,False,False
6.4,3.24,59.88037558751555,21374.71455535553,59.88037558750084,56.74344702743626,-3.1369285600645824,3.1369285600645824,21374.714555344777,19143.107055491524,False,False,False,False,False
