D,eta,parent_fixedpoint_k11,parent_fixedpoint_k_bg,parent_fixedpoint_k22,parent_fixedpoint_e_part,parent_fixedpoint_e_tree,parent_fixedpoint_c_parent,parent_fixedpoint_xi_target,parent_fixedpoint_e_part_log,parent_fixedpoint_e_tree_log,eymh_parented_prefactor_diag
4.0,1.15,1.3974819418874604,1.052928468881864,1.9365342574838256,0.39748194188746044,0.8836057886019615,0.5926359293162274,0.12977904273177127,0.3346720042373057,0.641575228839097,0.0433245034859134
4.8,1.15,1.3865349787857408,1.3330127461264274,2.362467722110098,0.38653497878574083,1.0294549759836706,0.6308092875843883,0.12147850656273808,0.3268078138735686,0.762836691868452,0.0392197611780555
5.6,1.15,1.37403212042753,1.0489632309804584,2.1633067642079675,0.3740321204275301,1.1143435332275091,0.6456007083467235,0.1402209815838118,0.3177495708395254,0.7592770168444554,0.044896734179811
6.4,1.15,1.4087591883550523,1.2368422574530327,2.3109293932234096,0.4087591883550523,1.074087135770377,0.6626031888242783,0.13486013965598057,0.3427093086966672,0.7731355168659576,0.0493701274067632
7.2,1.15,1.4653972679744274,1.5397550802947837,2.131691456139096,0.4653972679744274,0.5919363758443121,0.5248671947575183,0.08818995817451752,0.3821263783871553,0.5008706415526962,0.0543924286917839
8.0,1.15,1.4813765249119362,1.5891268740470006,2.1471719194765195,0.48137652491193617,0.5580450454295189,0.518295074945909,0.08445432340458026,0.3929717399154901,0.4782745260389954,0.0579949942686409
8.8,1.15,1.4893167957553755,1.1526414316992488,1.8912538554167322,0.48931679575537546,0.7386124237174834,0.6011783965501012,0.12831275146765628,0.3983174884633464,0.5707693860911601,0.0457081664811168
9.6,1.15,1.4963861807590098,1.1066533286499558,1.9918148543875644,0.49638618075900975,0.8851615257376086,0.6628589209746742,0.14741767430172542,0.40305298845790527,0.6503865449721231,0.0411393810685261
10.4,1.15,1.5001900867491937,1.191089660939199,2.1083009192602926,0.5001900867491937,0.9172112583210936,0.6773329896490832,0.14505261666074495,0.4055918245787558,0.6801286357669089,0.0443592616232658
11.2,1.15,1.5018903586981316,1.263616892757297,2.182084690298016,0.5018903586981316,0.9184677975407192,0.678947812692842,0.14065751984799163,0.40672455380545885,0.6903171196160554,0.0459252714313139
12.0,1.15,1.5025679687055786,1.324701506182844,2.201818980777296,0.5025679687055786,0.8771174745944521,0.6639361019880609,0.13324067710388499,0.4071756234793203,0.6730764273250145,0.0457444401657166
12.8,1.15,1.527964304682314,1.114287005200122,1.9059479235429342,0.5279643046823139,0.7916609183428123,0.6465049932498781,0.14352234713864304,0.4239363296614568,0.5981099738804182,0.0392926901636739
13.6,1.15,1.5316496906269814,1.1152775579450587,1.797315955747026,0.5316496906269814,0.6820383978019673,0.6021673381935772,0.13171963351055735,0.42634538370074077,0.5322005375407375,0.039620912840985
14.4,1.15,1.5288520798467347,1.195999582362392,1.8917998947239,0.5288520798467347,0.6958003123615082,0.6066097941431471,0.1272266730678419,0.42451717919751275,0.5484212966928023,0.0396852575780094
15.2,1.15,1.52615124386845,1.2635129579283289,2.0826521763338794,0.5261512438684499,0.8191392184055506,0.6564991383585437,0.1355982239925959,0.4227490392672166,0.6314358788289381,0.0417227117093466
16.0,1.15,1.523060364114119,1.3217878591111365,2.108273838079334,0.5230603641141189,0.7864859789681975,0.6413888387941863,0.12811461052349415,0.42072170813356613,0.617121956471316,0.043499608404553
16.8,1.15,1.5236154407926128,1.3729068193667717,2.150342239404418,0.5236154407926128,0.7774354200376461,0.6380260105597594,0.12424926174584477,0.4210860899845931,0.6160188314107913,0.0429967306925387
17.6,1.15,1.53334510636259,1.2679119024066776,1.946628624197221,0.53334510636259,0.6787167217905434,0.6016562491767586,0.1212757159530251,0.42745169286002216,0.5435888137598568,0.0407600933091185
18.4,1.15,1.5405182049703174,1.20297833384972,1.7169023663713,0.5405182049703174,0.5139240325215799,0.5270534086311096,0.10502599838694988,0.43211885655718146,0.42792500554231283,0.0395745521139277
19.200000000000003,1.15,1.0,1.2685122027208124,1.2685122027208124,0.0,0.0,0.0,0.0,0.0,0.0,0.0580670617382019
20.0,1.15,1.0,1.3261537967964965,1.3261537967964965,0.0,0.0,0.0,0.0,0.0,0.0,0.0622911350603241
4.0,1.34,1.3969481248083628,1.052928468881864,1.9372836701200107,0.39694812480836283,0.8843552012381466,0.5924889355895219,0.12971404194699668,0.3342899463057417,0.6419826191316559,0.0433243983435429
4.8,1.34,1.3865528065422388,1.3330127461264274,2.3624204094341774,0.3865528065422388,1.02940766330775,0.6308093383326683,0.12147939702884751,0.3268206715671422,0.7628099956173234,0.0392199017676219
5.6,1.34,1.3740372294868797,1.0489632309804584,2.1632993530082527,0.3740372294868797,1.1143361220277943,0.6456029707184049,0.1402219233319222,0.3177532891294948,0.7592734232305289,0.0448967276155091
6.4,1.34,1.4087597685618491,1.2368422574530327,2.3109285591369955,0.40875976856184915,1.0740863016839628,0.662603401811211,0.13486021948698562,0.34270972055320176,0.773135070450973,0.0493701261496686
7.2,1.34,1.4653973144194101,1.5397550802947837,2.1316914090495103,0.4653973144194101,0.5919363287547266,0.5248672000703938,0.08818995911289632,0.38212641008162,0.5008706075391294,0.0543924284305855
8.0,1.34,1.4813765286027187,1.5891268740470006,2.1471719175116997,0.48137652860271873,0.5580450434646991,0.518295076020398,0.08445432362161631,0.3929717424069448,0.47827452458482766,0.0579949942229298
8.8,1.34,1.489316796193828,1.1526414316992488,1.8912538544291362,0.48931679619382806,0.7386124227298874,0.6011783964175276,0.12831275144029317,0.39831748875774486,0.5707693854892609,0.0457081664863228
9.6,1.34,1.4963861810803656,1.1066533286499558,1.9918148536352194,0.4963861810803656,0.8851615249852636,0.6628589209075394,0.147417674295888,0.4030529886726599,0.6503865445541199,0.0411393810718783
10.4,1.34,1.5001900875355185,1.191089660939199,2.108300917542277,0.5001900875355185,0.9172112566030781,0.677332989547133,0.14505261665925048,0.40559182510290587,0.680128634796312,0.0443592616297141
11.2,1.34,1.501890341782051,1.263616892757297,2.1820847113812523,0.501890341782051,0.9184678186239552,0.6789478090435168,0.14065751856115538,0.4067245425422661,0.6903171318250833,0.0459252714680822
12.0,1.34,1.5025679031811556,1.324701506182844,2.2018191665578364,0.5025679031811556,0.8771176603749924,0.6639361290198184,0.1332406825216043,0.40717557987102715,0.6730765390979407,0.0457444392332702
