family,peak,center_D,sigma_D,p95_abs_delta_mu,max_abs_delta_mu,D4p814_max_abs_delta_mu,D5p356_max_abs_delta_mu,D5p627_max_abs_delta_mu,D5p898_max_abs_delta_mu,D6p169_max_abs_delta_mu,D6p441_max_abs_delta_mu,D6p712_max_abs_delta_mu,hotspot_objective,guard_objective,joint_objective
pointamp3,0.25,6.31,0.08,28.799683625972285,28.80028768939814,8.95885793912742,3.082724186845642,10.272608773798765,1.3721440374986997,24.513119654173295,28.80028768939814,7.462495354403799,28.80028768939814,10.272608773798765,28.80028768939814
partial2,0.5,6.24,0.1,28.84151972641815,28.842124612892015,8.958857939127423,3.0827241868456454,10.272608829067536,1.361356823766684,16.959604143532516,28.842124612892015,7.462494076279441,28.842124612892015,10.272608829067536,28.842124612892015
partial2,0.25,6.31,0.08,28.874224059513118,28.874829589384284,8.958857939127423,3.0827241868456454,10.272608773798773,1.372140655566426,24.617017643513307,28.874829589384284,7.462495714553498,28.874829589384284,10.272608773798773,28.874829589384284
pointamp3,0.75,6.1,0.15,29.133591407736507,29.134202040180803,8.95885793912742,3.082724379720922,10.27244351541519,1.4391763596220102,9.833614564229848,29.134202040180803,7.462370323401256,29.134202040180803,10.27244351541519,29.134202040180803
partial2,0.75,6.1,0.15,29.198258161591315,29.198870066234257,8.958857939127423,3.08271125753825,10.355272793519951,0.9537090412389233,10.958070412217111,29.198870066234257,7.462449736113207,29.198870066234257,10.355272793519951,29.198870066234257
pointamp3,0.25,6.17,0.15,29.425413266521986,29.426029640021646,8.95885793912742,3.0827241925410505,10.272597428267915,1.3828472114368253,19.60812064884007,29.426029640021646,7.462243986276132,29.426029640021646,10.272597428267915,29.426029640021646
partial2,0.25,6.17,0.15,29.481415466257157,29.48203294149649,8.958857939127423,3.082723805054801,10.278280194535704,1.0125930261693838,20.071068950973995,29.48203294149649,7.462403277238032,29.48203294149649,10.278280194535704,29.48203294149649
pointamp3,1.0,6.24,0.08,29.652696830182858,29.65331767506637,8.95885793912742,3.082724186845642,10.272608773798765,1.3721680718999494,9.736199730784705,29.65331767506637,7.462495904858287,29.65331767506637,10.272608773798765,29.65331767506637
partial2,1.0,6.24,0.08,29.70192793933745,29.7025497527518,8.958857939127423,3.0827241868456454,10.27260877380158,1.3713352270584664,10.866864985157235,29.7025497527518,7.462495916975325,29.7025497527518,10.27260877380158,29.7025497527518
pointamp3,0.5,6.1,0.15,29.844336112797578,29.844960727829424,8.95885793912742,3.082724315429175,10.272498601491222,1.4168387705159944,14.882736860491121,29.844960727829424,7.462412190215158,29.844960727829424,10.272498601491222,29.844960727829424
partial2,0.5,6.1,0.15,29.88784258669006,29.888468057631336,8.958857939127423,3.082715567308071,10.327705159101313,0.18524493190379587,15.674798950314766,29.888468057631336,7.4624651320749535,29.888468057631336,10.327705159101313,29.888468057631336
pointamp3,0.25,6.24,0.1,30.015585182972263,30.0162131670129,8.95885793912742,3.082724186845642,10.272608773743535,1.3723048753748657,20.956637686866145,30.0162131670129,7.462493411698414,30.0162131670129,10.272608773743535,30.0162131670129
pointamp3,1.0,6.31,0.05,30.03492646408417,30.035554828628655,8.95885793912742,3.082724186845642,10.272608773798765,1.3721439395038004,25.39164405643656,30.035554828628655,7.462495924022825,30.035554828628655,10.272608773798765,30.035554828628655
partial2,0.25,6.24,0.1,30.053964198718052,30.054592937794872,8.958857939127423,3.0827241868456454,10.27260880143313,1.3667505723991553,21.322602603423448,30.054592937794872,7.46249500015108,30.054592937794872,10.27260880143313,30.054592937794872
pointamp3,0.75,6.24,0.08,30.05774446370286,30.05837327714942,8.95885793912742,3.082724186845642,10.272608773798765,1.3721620388017897,13.516964233354884,30.05837327714942,7.462495909649398,30.05837327714942,10.272608773798765,30.05837327714942
partial2,1.0,6.31,0.05,30.07272566665778,30.07335477483179,8.958857939127423,3.0827241868456454,10.272608773798773,1.3721439395037436,25.429430536442098,30.07335477483179,7.462495924022743,30.07335477483179,10.272608773798773,30.07335477483179
partial2,0.75,6.24,0.08,30.094859443993215,30.09548898760837,8.958857939127423,3.0827241868456454,10.272608773800904,1.3715374059740242,14.400949534480532,30.09548898760837,7.462495918737169,30.09548898760837,10.272608773800904,30.09548898760837
pointamp3,1.0,6.17,0.1,30.307918481373807,30.308552216531503,8.95885793912742,3.082724186845642,10.272608761167163,1.3776528913892037,2.993147918427354,30.308552216531503,7.46249563479714,30.308552216531503,10.272608761167163,30.308552216531503
